ZipCode,county,state,Adult,Retirement,Geriatric
35007,Shelby County,AL,NA,36.80926916221034,NA
35020,Jefferson County,AL,14.261168384879724,NA,NA
35022,Jefferson County,AL,NA,51.33689839572193,NA
35023,Jefferson County,AL,61.68384879725086,NA,NA
35045,Chilton County,AL,NA,NA,80.45602605863192
35051,Shelby County,AL,NA,86.27450980392157,NA
35125,St. Clair County,AL,NA,70.14260249554367,NA
35127,Jefferson County,AL,NA,59.80392156862745,NA
35222,Jefferson County,AL,NA,97.68270944741533,NA
35244,Jefferson County,AL,48.10996563573883,40.55258467023173,NA
35555,Fayette County,AL,NA,58.9126559714795,NA
35570,Marion County,AL,65.12027491408935,NA,NA
35601,Morgan County,AL,NA,NA,28.990228013029316
35640,Morgan County,AL,NA,36.096256684491976,NA
35653,Franklin County,AL,NA,82.35294117647058,NA
35654,Franklin County,AL,NA,90.46345811051694,NA
35661,Colbert County,AL,NA,73.3511586452763,60.26058631921825
35670,Morgan County,AL,77.83505154639175,NA,NA
35757,Madison County,AL,71.1340206185567,NA,NA
35903,Etowah County,AL,53.608247422680414,NA,NA
36078,Elmore County,AL,NA,94.5632798573975,NA
36106,Montgomery County,AL,NA,94.29590017825312,NA
36109,Montgomery County,AL,NA,63.63636363636363,NA
36116,Montgomery County,AL,NA,48.84135472370767,NA
36117,Montgomery County,AL,NA,37.34402852049911,NA
36201,Calhoun County,AL,25.601374570446733,81.72905525846701,NA
36265,Calhoun County,AL,NA,58.73440285204992,NA
36271,Calhoun County,AL,NA,96.2566844919786,NA
36277,Calhoun County,AL,NA,95.09803921568627,NA
36421,Covington County,AL,80.58419243986255,NA,NA
36467,Covington County,AL,71.64948453608247,NA,NA
36526,Baldwin County,AL,51.20274914089347,39.39393939393939,NA
36532,Baldwin County,AL,NA,22.63814616755793,NA
36535,Baldwin County,AL,NA,57.308377896613194,NA
36580,Baldwin County,AL,NA,NA,91.53094462540716
36609,Mobile County,AL,NA,64.88413547237076,NA
36619,Mobile County,AL,75.08591065292096,NA,NA
36701,Dallas County,AL,NA,29.500891265597147,NA
36756,Perry County,AL,NA,96.79144385026738,NA
99508,Anchorage Municipality,AK,18.04123711340206,NA,NA
99669,Kenai Peninsula Borough,AK,NA,56.77361853832442,NA
85138,Pinal County,AZ,NA,67.64705882352942,NA
85212,Maricopa County,AZ,NA,NA,94.46254071661238
85254,Maricopa County,AZ,NA,84.40285204991088,NA
85255,Maricopa County,AZ,NA,NA,24.429967426710096
85258,Maricopa County,AZ,NA,NA,32.24755700325733
85260,Maricopa County,AZ,63.57388316151202,NA,NA
85308,Maricopa County,AZ,NA,16.131907308377897,NA
85338,Maricopa County,AZ,34.36426116838488,NA,NA
85339,Maricopa County,AZ,NA,51.69340463458111,NA
85350,Yuma County,AZ,NA,98.57397504456328,77.19869706840392
85367,Yuma County,AZ,NA,50.26737967914438,NA
85374,Maricopa County,AZ,NA,73.52941176470588,NA
85375,Maricopa County,AZ,NA,20.409982174688057,0.32573289902280134
85383,Maricopa County,AZ,NA,71.56862745098039,NA
85541,Gila County,AZ,NA,40.55258467023173,NA
85614,Pima County,AZ,NA,18.538324420677363,NA
85635,Cochise County,AZ,23.53951890034364,49.82174688057041,NA
85710,Pima County,AZ,NA,15.86452762923351,NA
85745,Pima County,AZ,23.883161512027492,NA,NA
85750,Pima County,AZ,NA,81.01604278074866,NA
85757,Pima County,AZ,NA,55.97147950089126,NA
86004,Coconino County,AZ,NA,79.50089126559715,NA
86305,Yavapai County,AZ,NA,33.9572192513369,NA
86327,Yavapai County,AZ,NA,88.94830659536542,NA
86336,Yavapai County,AZ,91.92439862542955,NA,NA
86404,Mohave County,AZ,NA,53.11942959001783,NA
71603,Jefferson County,AR,NA,NA,23.12703583061889
71635,Ashley County,AR,NA,59.001782531194294,NA
71671,Bradley County,AR,NA,NA,78.82736156351791
71730,Union County,AR,46.735395189003434,NA,NA
71822,Little River County,AR,NA,93.22638146167557,NA
71854,Miller County,AR,NA,25.13368983957219,NA
71909,Garland County,AR,NA,32.35294117647059,NA
72031,Van Buren County,AR,NA,94.4741532976827,NA
72032,Faulkner County,AR,NA,43.49376114081996,NA
72076,Pulaski County,AR,NA,NA,50.814332247557005
72206,Pulaski County,AR,NA,65.41889483065954,NA
72209,Pulaski County,AR,52.749140893470795,NA,NA
72223,Pulaski County,AR,NA,62.121212121212125,NA
72401,Craighead County,AR,15.807560137457044,NA,NA
72455,Randolph County,AR,92.26804123711341,NA,NA
72764,Washington County,AR,NA,NA,68.40390879478826
72903,Sebastian County,AR,71.8213058419244,63.36898395721925,NA
72908,Sebastian County,AR,NA,93.67201426024955,NA
72956,Crawford County,AR,NA,NA,46.579804560260584
90001,Los Angeles County,CA,NA,NA,56.67752442996743
90002,Los Angeles County,CA,NA,61.05169340463458,NA
90003,Los Angeles County,CA,NA,38.50267379679144,NA
90020,Los Angeles County,CA,NA,54.54545454545454,NA
90023,Los Angeles County,CA,NA,NA,68.07817589576547
90025,Los Angeles County,CA,NA,NA,41.69381107491857
90026,Los Angeles County,CA,NA,38.770053475935825,NA
90032,Los Angeles County,CA,NA,58.37789661319073,NA
90034,Los Angeles County,CA,NA,52.85204991087345,36.807817589576544
90038,Los Angeles County,CA,NA,NA,84.36482084690554
90045,Los Angeles County,CA,62.7147766323024,56.417112299465245,42.99674267100978
90066,Los Angeles County,CA,NA,32.085561497326204,NA
90212,Los Angeles County,CA,NA,NA,65.14657980456026
90247,Los Angeles County,CA,77.14776632302406,NA,NA
90250,Los Angeles County,CA,NA,23.262032085561497,NA
90265,Los Angeles County,CA,NA,NA,78.50162866449512
90274,Los Angeles County,CA,85.05154639175258,NA,NA
90277,Los Angeles County,CA,53.09278350515464,NA,NA
90278,Los Angeles County,CA,NA,54.278074866310156,NA
90501,Los Angeles County,CA,48.797250859106526,57.75401069518716,NA
90601,Los Angeles County,CA,NA,66.1319073083779,NA
90602,Los Angeles County,CA,84.02061855670104,NA,NA
90650,Los Angeles County,CA,NA,13.992869875222816,NA
90703,Los Angeles County,CA,NA,33.06595365418895,NA
90723,Los Angeles County,CA,52.57731958762887,NA,NA
90813,Los Angeles County,CA,NA,46.524064171122994,NA
91104,Los Angeles County,CA,43.81443298969072,NA,NA
91303,Los Angeles County,CA,81.44329896907216,NA,NA
91311,Los Angeles County,CA,NA,51.42602495543672,NA
91324,Los Angeles County,CA,NA,92.6916221033868,NA
91335,Los Angeles County,CA,NA,33.155080213903744,NA
91723,Los Angeles County,CA,77.31958762886599,NA,NA
91790,Los Angeles County,CA,NA,NA,35.17915309446254
91915,San Diego County,CA,84.19243986254295,NA,NA
91942,San Diego County,CA,NA,42.60249554367201,NA
92020,San Diego County,CA,NA,36.007130124777184,NA
92021,San Diego County,CA,15.979381443298967,NA,NA
92058,San Diego County,CA,NA,NA,85.01628664495115
92064,San Diego County,CA,NA,37.16577540106952,NA
92069,San Diego County,CA,NA,54.81283422459893,NA
92124,San Diego County,CA,NA,75.66844919786097,NA
92129,San Diego County,CA,NA,47.504456327985736,NA
92131,San Diego County,CA,NA,76.6488413547237,NA
92201,Riverside County,CA,NA,16.31016042780749,25.732899022801302
92211,Riverside County,CA,NA,8.9126559714795,NA
92223,Riverside County,CA,28.52233676975945,NA,NA
92234,Riverside County,CA,14.604810996563575,NA,NA
92243,Imperial County,CA,NA,67.37967914438502,NA
92253,Riverside County,CA,NA,9.358288770053475,NA
92260,Riverside County,CA,NA,12.745098039215685,NA
92262,Riverside County,CA,20.618556701030926,NA,NA
92284,San Bernardino County,CA,NA,26.38146167557932,58.63192182410424
92392,San Bernardino County,CA,NA,67.5579322638146,55.700325732899024
92530,Riverside County,CA,NA,56.951871657754005,NA
92545,Riverside County,CA,41.75257731958763,NA,NA
92584,Riverside County,CA,44.329896907216494,58.46702317290553,NA
92592,Riverside County,CA,NA,27.450980392156865,NA
92646,Orange County,CA,58.4192439862543,36.63101604278075,NA
92649,Orange County,CA,NA,28.431372549019606,NA
92651,Orange County,CA,NA,45.632798573975045,NA
92660,Orange County,CA,NA,NA,47.55700325732899
92677,Orange County,CA,NA,62.38859180035651,NA
92683,Orange County,CA,NA,18.003565062388592,NA
92688,Orange County,CA,NA,NA,55.37459283387622
