ZipCode,county,state,Adult,Retirement
35215,Jefferson County,AL,7.547169811320755,NA
36106,Montgomery County,AL,NA,78.26086956521739
36526,Baldwin County,AL,49.056603773584904,NA
85248,Maricopa County,AZ,NA,34.23913043478261
85742,Pima County,AZ,76.88679245283019,NA
86305,Yavapai County,AZ,NA,67.93478260869566
86315,Yavapai County,AZ,94.33962264150944,NA
86401,Mohave County,AZ,66.98113207547169,NA
86503,Apache County,AZ,NA,53.80434782608695
71701,Ouachita County,AR,NA,57.065217391304344
72143,White County,AR,67.9245283018868,NA
72834,Yell County,AR,84.90566037735849,NA
90025,Los Angeles County,CA,NA,69.02173913043478
90031,Los Angeles County,CA,NA,68.47826086956522
90046,Los Angeles County,CA,NA,26.08695652173913
90212,Los Angeles County,CA,99.52830188679245,NA
90280,Los Angeles County,CA,61.79245283018868,NA
90601,Los Angeles County,CA,87.73584905660378,NA
90710,Los Angeles County,CA,NA,95.65217391304348
91604,Los Angeles County,CA,NA,85.32608695652173
92024,San Diego County,CA,NA,47.82608695652174
92054,San Diego County,CA,NA,85.86956521739131
92220,Riverside County,CA,NA,64.13043478260869
92234,Riverside County,CA,42.45283018867924,NA
92264,Riverside County,CA,NA,14.673913043478262
92373,San Bernardino County,CA,86.32075471698113,NA
92604,Orange County,CA,77.83018867924528,NA
92630,Orange County,CA,NA,19.565217391304348
93308,Kern County,CA,26.88679245283019,NA
93311,Kern County,CA,59.905660377358494,NA
93455,Santa Barbara County,CA,29.245283018867923,NA
93510,Los Angeles County,CA,NA,96.19565217391305
94510,Solano County,CA,NA,63.58695652173913
94704,Alameda County,CA,95.75471698113208,NA
95033,Santa Cruz County,CA,NA,89.67391304347827
95330,San Joaquin County,CA,78.30188679245283,NA
80215,Jefferson County,CO,63.67924528301887,NA
80226,Jefferson County,CO,NA,76.08695652173914
80501,Boulder County,CO,20.28301886792453,NA
80504,Boulder County,CO,29.71698113207547,NA
80524,Larimer County,CO,NA,30.978260869565215
80537,Larimer County,CO,21.69811320754717,NA
80631,Weld County,CO,7.0754716981132075,NA
81503,Mesa County,CO,NA,83.69565217391305
81623,Garfield County,CO,NA,65.21739130434783
81635,Garfield County,CO,91.50943396226415,NA
06492,New Haven County,CT,51.886792452830186,NA
06897,Fairfield County,CT,75.94339622641509,NA
19701,New Castle County,DE,25.943396226415093,NA
19803,New Castle County,DE,NA,52.17391304347826
32128,Volusia County,FL,85.37735849056604,NA
32246,Duval County,FL,14.150943396226415,NA
32401,Bay County,FL,91.0377358490566,NA
32408,Bay County,FL,74.05660377358491,NA
32579,Okaloosa County,FL,NA,95.1086956521739
32653,Alachua County,FL,NA,90.76086956521739
32810,Orange County,FL,NA,82.6086956521739
32952,Brevard County,FL,NA,50
33030,Miami-Dade County,FL,42.924528301886795,NA
33060,Broward County,FL,35.84905660377358,NA
33073,Broward County,FL,87.26415094339622,NA
33462,Palm Beach County,FL,68.39622641509435,NA
33486,Palm Beach County,FL,NA,51.63043478260869
33544,Pasco County,FL,92.45283018867924,NA
33990,Lee County,FL,35.37735849056604,NA
34108,Collier County,FL,86.79245283018868,NA
34135,Lee County,FL,NA,16.847826086956523
34237,Sarasota County,FL,54.71698113207547,NA
34690,Pasco County,FL,71.69811320754717,NA
34691,Pasco County,FL,NA,80.43478260869566
30022,Fulton County,GA,NA,77.17391304347827
30052,Walton County,GA,NA,12.5
30127,Cobb County,GA,17.92452830188679,NA
30204,Lamar County,GA,NA,98.36956521739131
30276,Coweta County,GA,69.81132075471697,NA
30338,DeKalb County,GA,72.16981132075472,NA
30401,Emanuel County,GA,70.28301886792453,NA
30458,Bulloch County,GA,31.132075471698112,38.58695652173913
30533,Lumpkin County,GA,63.20754716981132,NA
30534,Dawson County,GA,NA,37.5
30705,Murray County,GA,27.830188679245282,NA
31036,Pulaski County,GA,NA,76.63043478260869
31816,Meriwether County,GA,NA,91.30434782608695
96826,Honolulu County,HI,40.56603773584906,NA
