fips,county,state,Over18
01001,Autauga County,AL,54.53359425962165
01003,Baldwin County,AL,61.77429876060013
01005,Barbour County,AL,83.03979125896934
01007,Bibb County,AL,NA
01009,Blount County,AL,74.55968688845401
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,84.80104370515329
01017,Chambers County,AL,NA
01019,Cherokee County,AL,NA
01021,Chilton County,AL,NA
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,NA
01033,Colbert County,AL,NA
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,48.336594911937375
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,7.30593607305936
01045,Dale County,AL,NA
01047,Dallas County,AL,15.78604044357469
01049,DeKalb County,AL,NA
01051,Elmore County,AL,46.37964774951076
01053,Escambia County,AL,20.417482061317678
01055,Etowah County,AL,18.33007175472929
01057,Fayette County,AL,45.27071102413568
01059,Franklin County,AL,NA
01061,Geneva County,AL,NA
01063,Greene County,AL,NA
01065,Hale County,AL,NA
01067,Henry County,AL,69.47162426614481
01069,Houston County,AL,43.966079582517935
01071,Jackson County,AL,NA
01073,Jefferson County,AL,12.589693411611218
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,NA
01079,Lawrence County,AL,NA
01081,Lee County,AL,52.120026092628834
01083,Limestone County,AL,3.7181996086105675
01085,Lowndes County,AL,98.9562948467058
01087,Macon County,AL,NA
01089,Madison County,AL,11.87214611872146
01091,Marengo County,AL,77.29941291585128
01093,Marion County,AL,NA
01095,Marshall County,AL,NA
01097,Mobile County,AL,82.32224396607958
01099,Monroe County,AL,NA
01101,Montgomery County,AL,60.9262883235486
01103,Morgan County,AL,45.46640574037834
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,53.16373124592303
01111,Randolph County,AL,NA
01113,Russell County,AL,56.033920417482065
01115,St. Clair County,AL,22.63535551206784
01117,Shelby County,AL,44.35746901500326
01119,Sumter County,AL,NA
01121,Talladega County,AL,72.27658186562296
01123,Tallapoosa County,AL,20.808871493803
01125,Tuscaloosa County,AL,16.43835616438356
01127,Walker County,AL,6.457925636007827
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,57.14285714285714
02020,Anchorage Municipality,AK,21.395955642530986
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,13.829093281148076
02110,Juneau City and Borough,AK,94.9119373776908
02122,Kenai Peninsula Borough,AK,15.394651011089366
02130,Ketchikan Gateway Borough,AK,55.18590998043052
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,93.41161121983039
02180,Nome Census Area,AK,99.08675799086758
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,99.80430528375733
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,77.36464448793215
04003,Cochise County,AZ,36.20352250489237
04005,Coconino County,AZ,90.21526418786692
04007,Gila County,AZ,79.38682322243966
04009,Graham County,AZ,94.45531637312459
04012,La Paz County,AZ,NA
04013,Maricopa County,AZ,47.35812133072407
04015,Mohave County,AZ,39.0737116764514
04017,Navajo County,AZ,63.405088062622305
04019,Pima County,AZ,7.958251793868232
04021,Pinal County,AZ,42.400521852576645
04023,Santa Cruz County,AZ,NA
04025,Yavapai County,AZ,73.5812133072407
04027,Yuma County,AZ,66.01435094585779
05001,Arkansas County,AR,NA
05003,Ashley County,AR,NA
05005,Baxter County,AR,60.73059360730594
05007,Benton County,AR,27.919112850619697
05009,Boone County,AR,34.70319634703196
05011,Bradley County,AR,NA
05015,Carroll County,AR,NA
05017,Chicot County,AR,NA
05019,Clark County,AR,NA
05021,Clay County,AR,NA
05023,Cleburne County,AR,NA
05025,Cleveland County,AR,NA
05027,Columbia County,AR,NA
05029,Conway County,AR,NA
05031,Craighead County,AR,25.048923679060664
05033,Crawford County,AR,NA
05035,Crittenden County,AR,88.97586431833007
05037,Cross County,AR,NA
05039,Dallas County,AR,NA
05041,Desha County,AR,NA
05043,Drew County,AR,NA
05045,Faulkner County,AR,NA
05047,Franklin County,AR,NA
05049,Fulton County,AR,NA
05051,Garland County,AR,34.833659491193735
05053,Grant County,AR,87.8016960208741
05055,Greene County,AR,NA
05057,Hempstead County,AR,NA
05059,Hot Spring County,AR,NA
05061,Howard County,AR,NA
05063,Independence County,AR,NA
05067,Jackson County,AR,NA
05069,Jefferson County,AR,66.66666666666666
05071,Johnson County,AR,NA
05075,Lawrence County,AR,NA
05077,Lee County,AR,NA
05079,Lincoln County,AR,NA
05081,Little River County,AR,NA
05083,Logan County,AR,NA
05085,Lonoke County,AR,42.20482713633398
05087,Madison County,AR,NA
05089,Marion County,AR,NA
05091,Miller County,AR,NA
05093,Mississippi County,AR,77.6255707762557
05095,Monroe County,AR,NA
05097,Montgomery County,AR,NA
05099,Nevada County,AR,NA
05103,Ouachita County,AR,67.5146771037182
05105,Perry County,AR,NA
05107,Phillips County,AR,NA
05109,Pike County,AR,NA
05111,Poinsett County,AR,NA
05113,Polk County,AR,NA
05115,Pope County,AR,22.243966079582517
05119,Pulaski County,AR,11.937377690802348
05121,Randolph County,AR,80.30006523157208
05123,St. Francis County,AR,NA
05125,Saline County,AR,34.96412263535551
05127,Scott County,AR,NA
05129,Searcy County,AR,NA
05131,Sebastian County,AR,57.46901500326158
05133,Sevier County,AR,NA
05135,Sharp County,AR,NA
05137,Stone County,AR,NA
05139,Union County,AR,NA
05141,Van Buren County,AR,NA
05143,Washington County,AR,46.1839530332681
05145,White County,AR,3.326810176125244
05149,Yell County,AR,NA
06001,Alameda County,CA,21.65688193085453
06005,Amador County,CA,NA
06007,Butte County,CA,32.4853228962818
06009,Calaveras County,CA,52.772341813437706
06011,Colusa County,CA,NA
06013,Contra Costa County,CA,13.50293542074364
06015,Del Norte County,CA,52.64187866927593
06017,El Dorado County,CA,18.851924331376384
06019,Fresno County,CA,40.769732550554465
06021,Glenn County,CA,40.63926940639269
06023,Humboldt County,CA,76.84279191128506
06025,Imperial County,CA,18.199608610567513
06027,Inyo County,CA,NA
06029,Kern County,CA,46.31441617742988
06031,Kings County,CA,82.25701239399869
06033,Lake County,CA,6.8493150684931505
06035,Lassen County,CA,NA
06037,Los Angeles County,CA,60.79582517938682
06039,Madera County,CA,86.43183300717547
06041,Marin County,CA,46.90150032615786
06043,Mariposa County,CA,NA
06045,Mendocino County,CA,4.827136333985649
06047,Merced County,CA,28.701891715590342
06049,Modoc County,CA,NA
06051,Mono County,CA,NA
06053,Monterey County,CA,9.197651663405088
06055,Napa County,CA,28.11480756686236
06057,Nevada County,CA,4.435746901500326
06059,Orange County,CA,51.85909980430529
06061,Placer County,CA,18.06914546640574
06063,Plumas County,CA,NA
06065,Riverside County,CA,50.94585779517287
06067,Sacramento County,CA,8.48010437051533
06069,San Benito County,CA,NA
06071,San Bernardino County,CA,64.9706457925636
06073,San Diego County,CA,57.599478147423355
06075,San Francisco County,CA,17.873450750163077
06077,San Joaquin County,CA,43.574690150032616
