ZipCode,county,state,Retirement,Geriatric
35125,St. Clair County,AL,66.98717948717949,NA
35453,Tuscaloosa County,AL,65.06410256410257,NA
36265,Calhoun County,AL,55.44871794871795,NA
85008,Maricopa County,AZ,24.679487179487182,NA
85009,Maricopa County,AZ,25.64102564102564,NA
85015,Maricopa County,AZ,47.11538461538461,NA
85215,Maricopa County,AZ,72.43589743589743,NA
85351,Maricopa County,AZ,12.5,NA
85634,Pima County,AZ,27.884615384615387,NA
85658,Pima County,AZ,NA,86.02941176470588
86044,San Juan County,AZ,NA,98.16176470588235
86045,Coconino County,AZ,NA,50
86314,Yavapai County,AZ,NA,13.970588235294118
71635,Ashley County,AR,55.769230769230774,NA
72015,Saline County,AR,NA,77.94117647058823
72114,Pulaski County,AR,95.1923076923077,NA
72212,Pulaski County,AR,NA,77.20588235294117
72802,Pope County,AR,62.5,NA
90049,Los Angeles County,CA,NA,27.205882352941174
90272,Los Angeles County,CA,NA,35.294117647058826
91006,Los Angeles County,CA,NA,65.07352941176471
91304,Los Angeles County,CA,48.3974358974359,NA
91701,San Bernardino County,CA,27.564102564102566,NA
91910,San Diego County,CA,NA,14.705882352941178
91945,San Diego County,CA,67.62820512820514,NA
92201,Riverside County,CA,18.91025641025641,NA
92210,Riverside County,CA,NA,57.720588235294116
92243,Imperial County,CA,NA,25
92336,San Bernardino County,CA,NA,73.52941176470588
92410,San Bernardino County,CA,80.44871794871796,NA
92571,Riverside County,CA,88.78205128205127,NA
92663,Orange County,CA,91.98717948717949,NA
92705,Orange County,CA,50,NA
92807,Orange County,CA,37.17948717948718,NA
92870,Orange County,CA,56.730769230769226,NA
93420,San Luis Obispo County,CA,NA,47.794117647058826
93905,Monterey County,CA,88.46153846153845,NA
94025,San Mateo County,CA,34.93589743589743,NA
94063,San Mateo County,CA,83.33333333333334,NA
94070,San Mateo County,CA,NA,59.55882352941176
94086,Santa Clara County,CA,96.15384615384616,NA
94109,San Francisco County,CA,NA,7.720588235294118
94110,San Francisco County,CA,35.256410256410255,NA
94111,San Francisco County,CA,NA,84.19117647058823
94114,San Francisco County,CA,NA,55.51470588235294
94134,San Francisco County,CA,58.97435897435898,NA
94306,Santa Clara County,CA,NA,56.61764705882353
94403,San Mateo County,CA,80.76923076923077,15.441176470588236
94546,Alameda County,CA,NA,84.92647058823529
94577,Alameda County,CA,31.41025641025641,NA
94598,Contra Costa County,CA,NA,62.86764705882353
95008,Santa Clara County,CA,NA,32.720588235294116
95035,Santa Clara County,CA,42.94871794871795,NA
95065,Santa Cruz County,CA,94.55128205128204,NA
95382,Stanislaus County,CA,NA,48.529411764705884
95608,Sacramento County,CA,NA,11.029411764705882
95621,Sacramento County,CA,NA,30.88235294117647
95758,Sacramento County,CA,NA,44.11764705882353
95826,Sacramento County,CA,52.88461538461539,NA
95834,Sacramento County,CA,91.34615384615384,NA
95932,Colusa County,CA,NA,100
95973,Butte County,CA,NA,24.264705882352942
80004,Jefferson County,CO,NA,43.01470588235294
80005,Jefferson County,CO,NA,85.29411764705883
80220,Denver County,CO,62.17948717948718,NA
80237,Denver County,CO,57.37179487179487,NA
80525,Larimer County,CO,13.782051282051283,NA
80751,Logan County,CO,NA,83.45588235294117
81201,Chaffee County,CO,73.3974358974359,NA
06067,Hartford County,CT,61.21794871794872,NA
06098,Litchfield County,CT,NA,72.05882352941177
06492,New Haven County,CT,75.96153846153845,NA
06811,Fairfield County,CT,NA,55.14705882352941
19901,Kent County,DE,NA,30.514705882352942
32303,Leon County,FL,41.02564102564102,NA
32828,Orange County,FL,58.01282051282052,NA
33010,Miami-Dade County,FL,38.141025641025635,15.808823529411764
33012,Miami-Dade County,FL,NA,31.985294117647058
33014,Miami-Dade County,FL,68.26923076923077,NA
33016,Miami-Dade County,FL,53.52564102564102,NA
33018,Miami-Dade County,FL,52.243589743589745,NA
33130,Miami-Dade County,FL,NA,79.04411764705883
33137,Miami-Dade County,FL,NA,92.27941176470588
33140,Miami-Dade County,FL,NA,28.676470588235293
33144,Miami-Dade County,FL,NA,19.485294117647058
33145,Miami-Dade County,FL,NA,37.5
33150,Miami-Dade County,FL,NA,98.52941176470588
33155,Miami-Dade County,FL,NA,83.08823529411765
33156,Miami-Dade County,FL,53.205128205128204,NA
33165,Miami-Dade County,FL,33.01282051282051,30.14705882352941
33166,Miami-Dade County,FL,88.14102564102564,NA
33169,Miami-Dade County,FL,86.21794871794873,NA
33172,Miami-Dade County,FL,NA,80.51470588235294
33173,Miami-Dade County,FL,49.358974358974365,NA
33175,Miami-Dade County,FL,NA,21.691176470588236
33176,Miami-Dade County,FL,NA,63.60294117647059
33178,Miami-Dade County,FL,77.24358974358975,NA
33180,Miami-Dade County,FL,NA,51.83823529411765
33193,Miami-Dade County,FL,NA,95.58823529411765
33317,Broward County,FL,NA,48.89705882352941
33319,Broward County,FL,NA,23.897058823529413
33321,Broward County,FL,NA,8.088235294117647
33324,Broward County,FL,NA,85.66176470588235
33844,Polk County,FL,33.65384615384615,NA
33905,Lee County,FL,NA,46.69117647058824
33908,Lee County,FL,7.051282051282051,NA
33981,Charlotte County,FL,87.17948717948718,NA
34653,Pasco County,FL,30.128205128205128,NA
34677,Pinellas County,FL,NA,60.66176470588235
34953,St. Lucie County,FL,NA,71.32352941176471
34983,St. Lucie County,FL,26.602564102564102,NA
30305,Fulton County,GA,NA,42.64705882352941
30504,Hall County,GA,NA,95.95588235294117
30680,Barrow County,GA,23.717948717948715,NA
96744,Honolulu County,HI,22.756410256410255,NA
96797,Honolulu County,HI,8.974358974358974,NA
83686,Canyon County,ID,NA,6.61764705882353
60004,Cook County,IL,NA,11.397058823529411
60010,Lake County,IL,NA,23.161764705882355
60025,Cook County,IL,6.41025641025641,NA
60062,Cook County,IL,6.730769230769231,NA
60091,Cook County,IL,97.43589743589743,NA
60101,DuPage County,IL,23.076923076923077,NA
60126,DuPage County,IL,4.807692307692308,NA
60134,Kane County,IL,38.46153846153847,NA
60164,Cook County,IL,38.782051282051285,NA
60201,Cook County,IL,NA,38.60294117647059
60409,Cook County,IL,63.78205128205128,NA
60423,Will County,IL,24.358974358974358,NA
60457,Cook County,IL,63.141025641025635,NA
60461,Cook County,IL,85.8974358974359,NA
60646,Cook County,IL,NA,33.455882352941174
60656,Cook County,IL,NA,45.220588235294116
60657,Cook County,IL,17.307692307692307,NA
60714,Cook County,IL,NA,73.16176470588235
61036,Jo Daviess County,IL,83.65384615384616,NA
61048,Stephenson County,IL,NA,70.95588235294117
61073,Winnebago County,IL,36.217948717948715,NA
61080,Winnebago County,IL,NA,91.91176470588235
61081,Whiteside County,IL,NA,48.161764705882355
61201,Rock Island County,IL,29.48717948717949,NA
61265,Rock Island County,IL,NA,67.27941176470588
61360,LaSalle County,IL,96.47435897435898,NA
61571,Tazewell County,IL,47.43589743589743,NA
61801,Champaign County,IL,43.269230769230774,NA
61821,Champaign County,IL,NA,16.176470588235293
61832,Vermilion County,IL,58.333333333333336,NA
62012,Macoupin County,IL,NA,65.80882352941177
62702,Sangamon County,IL,NA,40.07352941176471
46237,Marion County,IN,13.141025641025642,NA
46307,Lake County,IN,2.8846153846153846,NA
46375,Lake County,IN,18.269230769230766,NA
46390,LaPorte County,IN,100,NA
46516,Elkhart County,IN,35.57692307692308,NA
50125,Warren County,IA,82.6923076923077,NA
50265,Polk County,IA,56.08974358974359,NA
50322,Polk County,IA,53.84615384615385,NA
50436,Winnebago County,IA,NA,91.17647058823529
50613,Black Hawk County,IA,NA,7.352941176470589
51105,Woodbury County,IA,60.256410256410255,NA
51503,Pottawattamie County,IA,6.089743589743589,NA
52001,Dubuque County,IA,NA,49.63235294117647
52136,Howard County,IA,NA,75.36764705882352
52172,Allamakee County,IA,NA,97.42647058823529
52240,Johnson County,IA,52.243589743589745,NA
52732,Clinton County,IA,NA,88.23529411764706
40515,Fayette County,KY,48.717948717948715,NA
41701,Perry County,KY,NA,78.67647058823529
70116,Orleans Parish,LA,NA,69.11764705882352
70119,Orleans Parish,LA,32.05128205128205,NA
70125,Orleans Parish,LA,NA,99.63235294117648
70560,Iberia Parish,LA,16.98717948717949,NA
70563,Iberia Parish,LA,60.57692307692307,NA
70754,Livingston Parish,LA,NA,75.73529411764706
70769,Ascension Parish,LA,68.91025641025641,NA
03909,York County,ME,50.32051282051282,NA
04011,Cumberland County,ME,NA,96.32352941176471
04401,Penobscot County,ME,NA,72.79411764705883
04444,Penobscot County,ME,92.3076923076923,NA
04468,Penobscot County,ME,NA,69.48529411764706
04530,Sagadahoc County,ME,41.66666666666667,NA
04769,Aroostook County,ME,40.06410256410257,NA
20794,Howard County,MD,89.42307692307693,97.79411764705883
20852,Montgomery County,MD,NA,31.61764705882353
20877,Montgomery County,MD,81.08974358974359,NA
21042,Howard County,MD,54.807692307692314,NA
21117,Baltimore County,MD,25.320512820512818,NA
21208,Baltimore County,MD,NA,17.647058823529413
21215,Baltimore city,MD,11.217948717948719,NA
21222,Baltimore County,MD,NA,9.558823529411764
21224,Baltimore city,MD,82.05128205128204,NA
21229,Baltimore city,MD,NA,26.838235294117645
21704,Frederick County,MD,NA,93.75
21903,Cecil County,MD,NA,97.05882352941177
21921,Cecil County,MD,NA,26.47058823529412
01519,Worcester County,MA,92.62820512820514,NA
01550,Worcester County,MA,NA,5.147058823529411
01602,Worcester County,MA,21.794871794871796,NA
01605,Worcester County,MA,NA,1.1029411764705883
01730,Middlesex County,MA,NA,56.25
01821,Middlesex County,MA,64.74358974358975,NA
01834,Essex County,MA,73.07692307692307,NA
01841,Essex County,MA,0,NA
01844,Essex County,MA,40.06410256410257,NA
01845,Essex County,MA,16.025641025641026,NA
01852,Middlesex County,MA,NA,24.63235294117647
01913,Essex County,MA,NA,68.75
01915,Essex County,MA,1.6025641025641024,NA
01923,Essex County,MA,NA,3.6764705882352944
01938,Essex County,MA,NA,80.88235294117648
01940,Essex County,MA,43.269230769230774,NA
01945,Essex County,MA,21.153846153846153,NA
01960,Essex County,MA,NA,0
01970,Essex County,MA,0.3205128205128205,NA
01983,Essex County,MA,NA,95.22058823529412
02116,Suffolk County,MA,NA,20.22058823529412
02118,Suffolk County,MA,9.615384615384617,9.191176470588236
02120,Suffolk County,MA,67.94871794871796,NA
02122,Suffolk County,MA,15.064102564102564,NA
02124,Suffolk County,MA,12.179487179487179,NA
02128,Suffolk County,MA,NA,8.455882352941178
02129,Suffolk County,MA,59.294871794871796,NA
02130,Suffolk County,MA,NA,6.985294117647059
02132,Suffolk County,MA,NA,8.823529411764707
02145,Middlesex County,MA,36.53846153846153,NA
02148,Middlesex County,MA,5.769230769230769,NA
02151,Suffolk County,MA,NA,0.7352941176470588
02171,Norfolk County,MA,70.1923076923077,NA
02176,Middlesex County,MA,9.935897435897436,17.27941176470588
02346,Plymouth County,MA,15.384615384615385,NA
02360,Plymouth County,MA,NA,65.44117647058823
02364,Plymouth County,MA,59.93589743589743,NA
02379,Plymouth County,MA,NA,86.76470588235294
02446,Norfolk County,MA,NA,11.76470588235294
02459,Middlesex County,MA,NA,15.073529411764705
02467,Norfolk County,MA,28.205128205128204,NA
02478,Middlesex County,MA,NA,70.58823529411765
02482,Norfolk County,MA,78.84615384615384,NA
02720,Bristol County,MA,0.641025641025641,NA
