ZipCode,county,state,Adult
35005,Jefferson County,AL,84.31372549019608
36867,Russell County,AL,74.50980392156863
36870,Lee County,AL,81.04575163398692
99712,Fairbanks North Star Borough,AK,82.6797385620915
85017,Maricopa County,AZ,37.58169934640523
85085,Maricopa County,AZ,70.91503267973856
85202,Maricopa County,AZ,24.836601307189543
85301,Maricopa County,AZ,28.431372549019606
85365,Yuma County,AZ,32.6797385620915
85757,Pima County,AZ,30.392156862745097
90250,Los Angeles County,CA,28.75816993464052
90602,Los Angeles County,CA,67.3202614379085
90806,Los Angeles County,CA,58.16993464052288
92106,San Diego County,CA,93.4640522875817
92113,San Diego County,CA,29.411764705882355
92126,San Diego County,CA,49.01960784313725
92130,San Diego County,CA,68.30065359477125
92311,San Bernardino County,CA,43.13725490196079
92801,Orange County,CA,39.869281045751634
92804,Orange County,CA,17.647058823529413
92867,Orange County,CA,62.745098039215684
93033,Ventura County,CA,15.359477124183007
93458,Santa Barbara County,CA,18.627450980392158
93536,Los Angeles County,CA,47.712418300653596
94010,San Mateo County,CA,53.92156862745098
94595,Contra Costa County,CA,92.48366013071896
95330,San Joaquin County,CA,82.35294117647058
95401,Sonoma County,CA,83.98692810457517
95476,Sonoma County,CA,76.47058823529412
95482,Mendocino County,CA,44.11764705882353
95928,Butte County,CA,40.19607843137255
80204,Denver County,CO,26.47058823529412
80234,Adams County,CO,66.01307189542483
80433,Jefferson County,CO,95.75163398692811
80601,Adams County,CO,38.88888888888889
80808,El Paso County,CO,90.84967320261438
81230,Gunnison County,CO,89.54248366013073
06074,Hartford County,CT,57.84313725490197
06110,Hartford County,CT,96.40522875816994
06114,Hartford County,CT,20.915032679738562
06513,New Haven County,CT,6.535947712418301
19938,Kent County,DE,69.93464052287581
32119,Volusia County,FL,78.43137254901961
32141,Volusia County,FL,75.81699346405229
32177,Putnam County,FL,49.34640522875817
32218,Duval County,FL,5.555555555555555
32244,Duval County,FL,8.49673202614379
32404,Bay County,FL,29.08496732026144
32780,Brevard County,FL,45.751633986928105
32958,Indian River County,FL,72.87581699346404
33014,Miami-Dade County,FL,70.26143790849673
33133,Miami-Dade County,FL,79.41176470588235
33186,Miami-Dade County,FL,53.59477124183007
33709,Pinellas County,FL,52.94117647058824
34475,Marion County,FL,67.64705882352942
30034,DeKalb County,GA,34.31372549019608
30046,Gwinnett County,GA,50.98039215686274
30075,Fulton County,GA,44.44444444444444
30217,Heard County,GA,71.56862745098039
30542,Hall County,GA,55.22875816993464
31405,Chatham County,GA,52.28758169934641
31907,Muscogee County,GA,37.908496732026144
96707,Honolulu County,HI,42.48366013071895
96782,Honolulu County,HI,43.4640522875817
83201,Bannock County,ID,57.51633986928104
60004,Cook County,IL,30.065359477124183
60048,Lake County,IL,54.57516339869281
60050,McHenry County,IL,44.771241830065364
60068,Cook County,IL,76.79738562091504
60106,DuPage County,IL,65.68627450980392
60440,Will County,IL,23.52941176470588
60445,Cook County,IL,58.16993464052288
60514,DuPage County,IL,90.19607843137256
60523,DuPage County,IL,93.79084967320262
60629,Cook County,IL,9.15032679738562
46176,Shelby County,IN,19.934640522875817
46201,Marion County,IN,22.54901960784314
46385,Porter County,IN,9.803921568627452
46815,Allen County,IN,38.23529411764706
47933,Montgomery County,IN,36.9281045751634
50501,Webster County,IA,29.73856209150327
51501,Pottawattamie County,IA,5.228758169934641
52246,Johnson County,IA,63.725490196078425
67501,Reno County,KS,72.22222222222221
40006,Trimble County,KY,91.17647058823529
40356,Jessamine County,KY,17.320261437908496
40503,Fayette County,KY,71.24183006535948
41006,Pendleton County,KY,89.86928104575163
41007,Campbell County,KY,98.36601307189542
41339,Breathitt County,KY,51.307189542483655
42459,Union County,KY,91.83006535947712
42633,Wayne County,KY,54.90196078431373
70001,Jefferson Parish,LA,94.77124183006535
70435,St. Tammany Parish,LA,24.509803921568626
70526,Acadia Parish,LA,61.43790849673203
