ZipCode,county,state,Adult,Retirement,Geriatric
35016,Marshall County,AL,NA,81.54425612052731,NA
35020,Jefferson County,AL,11.69024571854058,NA,NA
35022,Jefferson County,AL,NA,12.617702448210924,NA
35023,Jefferson County,AL,25.31645569620253,NA,NA
35043,Shelby County,AL,72.97096053611318,83.80414312617702,NA
35064,Jefferson County,AL,NA,70.30759573132454,NA
35071,Jefferson County,AL,NA,71.75141242937853,NA
35116,Jefferson County,AL,NA,99.93722536095417,NA
35121,Blount County,AL,55.02606105733433,NA,NA
35124,Shelby County,AL,NA,NA,69.22077922077922
35125,St. Clair County,AL,NA,86.88010043942246,NA
35133,Blount County,AL,NA,92.5925925925926,NA
35146,St. Clair County,AL,71.85405807892778,86.691776522285,NA
35150,Talladega County,AL,NA,NA,47.92207792207792
35173,Jefferson County,AL,69.47133283693225,NA,NA
35175,Marshall County,AL,96.94713328369322,NA,NA
35179,Cullman County,AL,79.5234549516009,NA,NA
35204,Jefferson County,AL,NA,59.57313245448839,NA
35207,Jefferson County,AL,NA,78.40552416823603,NA
35211,Jefferson County,AL,NA,NA,69.61038961038962
35212,Jefferson County,AL,NA,NA,92.33766233766234
35242,Shelby County,AL,26.28443782576322,NA,8.181818181818182
35244,Jefferson County,AL,41.399851079672374,34.714375392341495,NA
35404,Tuscaloosa County,AL,13.104988830975428,NA,NA
35405,Tuscaloosa County,AL,45.420699925539836,58.94538606403014,NA
35406,Tuscaloosa County,AL,NA,NA,72.07792207792207
35442,Pickens County,AL,NA,89.32831136220966,NA
35462,Greene County,AL,NA,NA,100
35466,Pickens County,AL,NA,96.10797237915882,NA
35470,Sumter County,AL,NA,NA,95.97402597402598
35475,Tuscaloosa County,AL,43.037974683544306,NA,NA
35476,Tuscaloosa County,AL,NA,79.3471437539234,NA
35490,Tuscaloosa County,AL,97.76619508562919,NA,NA
35504,Walker County,AL,NA,58.3804143126177,NA
35546,Fayette County,AL,NA,NA,98.83116883116884
35555,Fayette County,AL,95.08562918838422,51.726302573760194,NA
35601,Morgan County,AL,11.094564408041698,NA,NA
35603,Morgan County,AL,13.924050632911392,26.741996233521657,NA
35620,Limestone County,AL,73.8644825018615,NA,NA
35630,Lauderdale County,AL,NA,NA,45.45454545454545
35640,Morgan County,AL,72.67311988086374,NA,NA
35650,Lawrence County,AL,NA,36.346516007532955,NA
35654,Franklin County,AL,NA,83.92969240426868,NA
35670,Morgan County,AL,71.25837676842889,NA,NA
35674,Colbert County,AL,29.26284437825763,NA,NA
35750,Madison County,AL,76.84288905435592,NA,91.68831168831169
35758,Madison County,AL,NA,32.70558694287508,NA
35759,Madison County,AL,NA,NA,94.54545454545455
35761,Madison County,AL,NA,68.67545511613308,NA
35768,Jackson County,AL,NA,46.32768361581921,NA
35773,Madison County,AL,97.46835443037975,57.94099183929693,NA
35802,Madison County,AL,NA,NA,21.558441558441558
35803,Madison County,AL,57.25986597170514,NA,NA
35806,Madison County,AL,68.27997021593447,NA,NA
35810,Madison County,AL,NA,50.09416195856874,NA
35811,Madison County,AL,77.36411020104245,NA,96.62337662337663
35901,Etowah County,AL,NA,29.504080351537983,NA
35903,Etowah County,AL,NA,24.293785310734464,NA
35904,Etowah County,AL,NA,NA,71.68831168831169
35952,Etowah County,AL,92.55398361876395,NA,NA
35954,Etowah County,AL,86.52271034996278,NA,NA
35976,Marshall County,AL,40.059568131049886,NA,NA
36037,Butler County,AL,NA,56.183301946013806,NA
36078,Elmore County,AL,46.6120625465376,NA,NA
36092,Elmore County,AL,39.091586001489205,NA,NA
36106,Montgomery County,AL,NA,71.87696170747017,NA
36108,Montgomery County,AL,NA,61.330822347771495,NA
36109,Montgomery County,AL,NA,56.62272441933459,NA
36203,Calhoun County,AL,NA,44.38166980539862,NA
36207,Calhoun County,AL,NA,53.54676710608914,NA
36266,Clay County,AL,78.18317200297841,NA,NA
36274,Randolph County,AL,NA,79.09604519774011,NA
36301,Houston County,AL,NA,11.738857501569367,NA
36305,Houston County,AL,NA,58.317639673571875,NA
36310,Henry County,AL,NA,NA,87.53246753246754
36323,Coffee County,AL,NA,83.92969240426868,NA
36360,Dale County,AL,NA,91.02322661644695,NA
36502,Escambia County,AL,38.27252419955324,NA,NA
36526,Baldwin County,AL,NA,66.79221594475831,NA
36532,Baldwin County,AL,NA,19.522912743251727,NA
36542,Baldwin County,AL,70.36485480268057,NA,NA
36572,Mobile County,AL,93.81980640357409,NA,NA
36606,Mobile County,AL,NA,94.28750784682988,NA
36695,Mobile County,AL,58.89798957557707,NA,NA
36854,Chambers County,AL,54.35591958302308,NA,NA
36874,Lee County,AL,NA,73.82297551789078,NA
99515,Anchorage Municipality,AK,NA,70.55869428750785,NA
99576,Dillingham Census Area,AK,NA,96.98681732580037,NA
99603,Kenai Peninsula Borough,AK,NA,78.84494664155682,NA
99654,Matanuska-Susitna Borough,AK,29.858525688756515,NA,NA
99669,Kenai Peninsula Borough,AK,NA,49.215317011927176,NA
85004,Maricopa County,AZ,84.21444527177961,NA,NA
85008,Maricopa County,AZ,NA,19.711236660389204,NA
85009,Maricopa County,AZ,NA,21.40615191462649,NA
85014,Maricopa County,AZ,NA,NA,84.54545454545455
85015,Maricopa County,AZ,NA,43.565599497802886,NA
85019,Maricopa County,AZ,31.720029784065524,NA,NA
85020,Maricopa County,AZ,NA,28.123038292529817,NA
85021,Maricopa County,AZ,NA,27.746390458254865,NA
85022,Maricopa County,AZ,NA,57.31324544883867,NA
85027,Maricopa County,AZ,NA,48.0225988700565,NA
85028,Maricopa County,AZ,69.32241250930751,55.74387947269304,NA
85029,Maricopa County,AZ,NA,35.530445699937225,NA
85031,Maricopa County,AZ,82.5018615040953,85.68738229755178,NA
85033,Maricopa County,AZ,NA,67.16886377903327,NA
85037,Maricopa County,AZ,86.07594936708861,NA,NA
85040,Maricopa County,AZ,16.455696202531644,NA,NA
85041,Maricopa County,AZ,72.22635889798957,NA,NA
85042,Maricopa County,AZ,NA,49.780288763339605,NA
85051,Maricopa County,AZ,37.90022338049144,NA,NA
85120,Pinal County,AZ,NA,28.93910860012555,28.83116883116883
85122,Pinal County,AZ,NA,9.290646578782171,NA
85132,Pinal County,AZ,NA,NA,76.1038961038961
85203,Maricopa County,AZ,30.52866716306776,NA,NA
85204,Maricopa County,AZ,NA,91.39987445072191,NA
85206,Maricopa County,AZ,86.67163067758749,NA,NA
85225,Maricopa County,AZ,9.60536113179449,NA,NA
85249,Maricopa County,AZ,NA,30.445699937225363,53.896103896103895
85258,Maricopa County,AZ,82.57632166790768,NA,NA
85286,Maricopa County,AZ,NA,NA,89.48051948051948
85295,Maricopa County,AZ,NA,70.49591964846202,NA
85301,Maricopa County,AZ,19.3596425912137,NA,NA
85303,Maricopa County,AZ,44.303797468354425,NA,NA
85308,Maricopa County,AZ,58.82352941176471,NA,NA
85323,Maricopa County,AZ,NA,45.323289391086,NA
85351,Maricopa County,AZ,NA,NA,1.0389610389610389
