fips,county,state,Under18,Over18
01003,Baldwin County,AL,48.372093023255815,NA
01009,Blount County,AL,84.41860465116278,NA
01033,Colbert County,AL,NA,81.90954773869346
01039,Covington County,AL,85.11627906976744,NA
01041,Crenshaw County,AL,98.83720930232558,NA
01043,Cullman County,AL,NA,88.44221105527639
01045,Dale County,AL,NA,77.88944723618091
01051,Elmore County,AL,68.37209302325581,NA
01055,Etowah County,AL,54.418604651162795,NA
01073,Jefferson County,AL,NA,23.953098827470686
01081,Lee County,AL,64.65116279069767,NA
01089,Madison County,AL,63.72093023255814,26.298157453936348
01095,Marshall County,AL,58.372093023255815,67.50418760469012
01097,Mobile County,AL,NA,7.537688442211055
01101,Montgomery County,AL,33.95348837209302,NA
01103,Morgan County,AL,NA,29.145728643216078
01117,Shelby County,AL,NA,28.475711892797317
02020,Anchorage Municipality,AK,19.53488372093023,17.252931323283082
04001,Apache County,AZ,57.674418604651166,NA
04003,Cochise County,AZ,83.95348837209302,NA
04013,Maricopa County,AZ,14.883720930232558,25.4606365159129
04015,Mohave County,AZ,62.7906976744186,8.207705192629817
04017,Navajo County,AZ,NA,42.88107202680067
04019,Pima County,AZ,19.069767441860467,10.887772194304858
04021,Pinal County,AZ,NA,49.74874371859296
04023,Santa Cruz County,AZ,60.46511627906976,NA
04027,Yuma County,AZ,65.11627906976744,NA
05007,Benton County,AR,NA,32.32830820770519
05019,Clark County,AR,NA,93.1323283082077
05025,Cleveland County,AR,NA,98.99497487437185
05033,Crawford County,AR,NA,75.37688442211056
05091,Miller County,AR,NA,81.23953098827471
05113,Polk County,AR,NA,91.4572864321608
06001,Alameda County,CA,12.790697674418606,31.490787269681743
06007,Butte County,CA,22.790697674418606,50.9212730318258
06013,Contra Costa County,CA,28.837209302325583,NA
06017,El Dorado County,CA,67.90697674418604,23.283082077051926
06019,Fresno County,CA,21.86046511627907,32.663316582914575
06023,Humboldt County,CA,74.18604651162791,51.42378559463987
06025,Imperial County,CA,44.883720930232556,NA
06031,Kings County,CA,58.6046511627907,NA
06033,Lake County,CA,NA,63.81909547738693
06035,Lassen County,CA,NA,93.80234505862647
06037,Los Angeles County,CA,45.348837209302324,31.65829145728643
06041,Marin County,CA,80.93023255813954,NA
06047,Merced County,CA,20.69767441860465,NA
06053,Monterey County,CA,26.046511627906977,36.68341708542713
06055,Napa County,CA,NA,46.56616415410385
06057,Nevada County,CA,85.34883720930233,NA
06059,Orange County,CA,3.7209302325581395,30.65326633165829
06061,Placer County,CA,NA,14.572864321608039
06065,Riverside County,CA,13.023255813953488,13.23283082077052
06067,Sacramento County,CA,5.116279069767442,16.24790619765494
06071,San Bernardino County,CA,5.348837209302325,14.237855946398659
06073,San Diego County,CA,1.8604651162790697,12.897822445561138
06075,San Francisco County,CA,58.139534883720934,58.458961474036855
06077,San Joaquin County,CA,30.23255813953488,NA
06079,San Luis Obispo County,CA,65.58139534883722,NA
06081,San Mateo County,CA,17.209302325581397,8.877721943048575
06083,Santa Barbara County,CA,NA,41.70854271356784
06085,Santa Clara County,CA,49.76744186046512,2.680067001675042
06087,Santa Cruz County,CA,NA,36.348408710217754
06095,Solano County,CA,NA,10.720268006700168
06097,Sonoma County,CA,NA,6.030150753768844
06099,Stanislaus County,CA,11.86046511627907,34.505862646566165
06107,Tulare County,CA,NA,57.286432160804026
06109,Tuolumne County,CA,NA,56.44891122278057
06111,Ventura County,CA,42.32558139534884,55.61139028475712
06113,Yolo County,CA,NA,84.92462311557789
08001,Adams County,CO,7.906976744186046,58.12395309882747
08005,Arapahoe County,CO,61.395348837209305,14.40536013400335
08013,Boulder County,CO,72.55813953488372,57.45393634840871
08031,Denver County,CO,38.83720930232558,57.11892797319933
08035,Douglas County,CO,23.488372093023255,26.633165829145728
08041,El Paso County,CO,73.48837209302326,35.34338358458962
08059,Jefferson County,CO,10.930232558139535,22.780569514237854
08067,La Plata County,CO,NA,79.39698492462311
08069,Larimer County,CO,NA,53.768844221105525
08075,Logan County,CO,NA,90.45226130653266
08077,Mesa County,CO,49.30232558139535,NA
08101,Pueblo County,CO,46.04651162790698,NA
08123,Weld County,CO,50.23255813953489,38.02345058626466
09001,Fairfield County,CT,16.97674418604651,4.690117252931323
09003,Hartford County,CT,8.604651162790699,1.8425460636515913
09005,Litchfield County,CT,NA,46.39865996649916
09007,Middlesex County,CT,NA,56.28140703517588
09009,New Haven County,CT,41.16279069767442,70.51926298157454
09013,Tolland County,CT,NA,31.825795644891127
09015,Windham County,CT,NA,65.32663316582915
10001,Kent County,DE,28.13953488372093,50.753768844221106
10003,New Castle County,DE,17.674418604651162,7.872696817420436
10005,Sussex County,DE,NA,22.613065326633166
11001,District of Columbia,DC,NA,20.938023450586265
12001,Alachua County,FL,NA,7.035175879396985
12009,Brevard County,FL,NA,20.268006700167504
12011,Broward County,FL,18.6046511627907,13.06532663316583
12013,Calhoun County,FL,NA,91.28978224455612
12017,Citrus County,FL,NA,29.815745393634842
12019,Clay County,FL,NA,56.78391959798995
12021,Collier County,FL,26.51162790697674,6.532663316582915
12027,DeSoto County,FL,NA,82.74706867671692
12031,Duval County,FL,10.465116279069768,11.725293132328309
12033,Escambia County,FL,11.627906976744185,16.415410385259634
12049,Hardee County,FL,92.79069767441861,NA
12051,Hendry County,FL,86.51162790697674,NA
12053,Hernando County,FL,NA,25.963149078726964
12057,Hillsborough County,FL,14.186046511627906,2.3450586264656614
12069,Lake County,FL,30.930232558139537,4.522613065326634
12071,Lee County,FL,7.441860465116279,5.025125628140704
12081,Manatee County,FL,NA,6.867671691792294
12083,Marion County,FL,38.139534883720934,6.365159128978225
12085,Martin County,FL,62.093023255813954,17.75544388609715
12086,Miami-Dade County,FL,36.27906976744186,21.608040201005025
12091,Okaloosa County,FL,NA,87.77219430485762
12095,Orange County,FL,16.27906976744186,NA
12099,Palm Beach County,FL,3.488372093023256,9.715242881072026
12101,Pasco County,FL,14.651162790697676,NA
12103,Pinellas County,FL,NA,9.380234505862646
12105,Polk County,FL,25.813953488372093,22.278056951423785
12109,St. Johns County,FL,NA,47.571189279731996
12111,St. Lucie County,FL,NA,30.15075376884422
12113,Santa Rosa County,FL,43.95348837209303,88.2747068676717
12115,Sarasota County,FL,29.53488372093023,1.507537688442211
12117,Seminole County,FL,NA,12.227805695142377
12123,Taylor County,FL,NA,91.79229480737018
13019,Berrien County,GA,NA,94.63986599664992
13021,Bibb County,GA,NA,34.67336683417086
13035,Butts County,GA,97.20930232558139,NA
13043,Candler County,GA,97.67441860465115,NA
13045,Carroll County,GA,56.27906976744186,45.22613065326633
13051,Chatham County,GA,43.48837209302325,55.10887772194305
13057,Cherokee County,GA,NA,29.98324958123953
13059,Clarke County,GA,NA,59.631490787269684
13067,Cobb County,GA,33.72093023255814,NA
13073,Columbia County,GA,70.23255813953489,NA
13089,DeKalb County,GA,9.069767441860465,13.90284757118928
13097,Douglas County,GA,NA,49.0787269681742
13105,Elbert County,GA,NA,91.95979899497488
13121,Fulton County,GA,30.465116279069765,15.41038525963149
13135,Gwinnett County,GA,26.744186046511626,19.09547738693467
13139,Hall County,GA,60,NA
13153,Houston County,GA,NA,37.52093802345058
13187,Lumpkin County,GA,NA,91.12227805695142
13211,Morgan County,GA,NA,94.80737018425461
13215,Muscogee County,GA,NA,71.52428810720268
13217,Newton County,GA,63.95348837209303,84.7571189279732
13233,Polk County,GA,80.23255813953489,NA
13245,Richmond County,GA,NA,23.115577889447238
13247,Rockdale County,GA,86.9767441860465,NA
13251,Screven County,GA,96.04651162790697,NA
13255,Spalding County,GA,NA,70.68676716917923
13275,Thomas County,GA,NA,73.53433835845897
13285,Troup County,GA,64.18604651162791,NA
13297,Walton County,GA,65.34883720930232,NA
13303,Washington County,GA,93.72093023255815,NA
13313,Whitfield County,GA,NA,62.47906197654941
15003,Honolulu County,HI,5.5813953488372094,8.040201005025125
16001,Ada County,ID,12.325581395348838,32.1608040201005
16011,Bingham County,ID,NA,99.66499162479062
16017,Bonner County,ID,NA,81.4070351758794
16019,Bonneville County,ID,60.69767441860465,NA
16027,Canyon County,ID,18.13953488372093,11.390284757118927
16039,Elmore County,ID,95.34883720930233,NA
16055,Kootenai County,ID,57.906976744186046,29.313232830820766
16083,Twin Falls County,ID,55.58139534883721,97.15242881072027
17019,Champaign County,IL,NA,56.11390284757118
17027,Clinton County,IL,NA,89.11222780569514
17031,Cook County,IL,0,19.597989949748744
17039,De Witt County,IL,98.13953488372093,NA
17043,DuPage County,IL,18.83720930232558,40.53601340033501
