ZipCode,county,state,Adult,Retirement,Geriatric
35124,Shelby County,AL,65.625,NA,NA
35205,Jefferson County,AL,NA,NA,96.06299212598425
35611,Limestone County,AL,NA,27.083333333333332,NA
35640,Morgan County,AL,33.482142857142854,NA,NA
35650,Lawrence County,AL,NA,NA,45.66929133858268
35749,Madison County,AL,NA,58.333333333333336,NA
35750,Madison County,AL,60.71428571428571,NA,NA
35953,St. Clair County,AL,NA,NA,98.03149606299213
35959,Cherokee County,AL,NA,NA,97.63779527559055
36104,Montgomery County,AL,NA,77.60416666666666,NA
36272,Calhoun County,AL,45.982142857142854,NA,NA
36693,Mobile County,AL,56.69642857142857,NA,NA
36854,Chambers County,AL,NA,67.1875,NA
36874,Lee County,AL,NA,80.46875,NA
85022,Maricopa County,AZ,NA,31.510416666666668,NA
85023,Maricopa County,AZ,27.232142857142854,NA,NA
85035,Maricopa County,AZ,16.071428571428573,NA,NA
85041,Maricopa County,AZ,32.142857142857146,NA,NA
85042,Maricopa County,AZ,25,NA,NA
85044,Maricopa County,AZ,NA,51.5625,NA
85202,Maricopa County,AZ,NA,51.822916666666664,NA
85208,Maricopa County,AZ,NA,NA,26.77165354330709
85251,Maricopa County,AZ,NA,58.854166666666664,NA
85331,Maricopa County,AZ,NA,57.8125,NA
85338,Maricopa County,AZ,NA,47.13541666666667,NA
85546,Graham County,AZ,NA,NA,87.4015748031496
85552,Graham County,AZ,NA,94.01041666666666,NA
85650,Cochise County,AZ,NA,NA,48.4251968503937
85701,Pima County,AZ,NA,NA,95.2755905511811
85705,Pima County,AZ,NA,39.58333333333333,NA
85710,Pima County,AZ,6.696428571428571,NA,NA
85745,Pima County,AZ,NA,19.791666666666664,NA
85937,Navajo County,AZ,83.92857142857143,NA,NA
86301,Yavapai County,AZ,NA,NA,16.141732283464567
86336,Yavapai County,AZ,NA,NA,69.68503937007874
71602,Jefferson County,AR,NA,NA,91.33858267716536
71753,Columbia County,AR,67.85714285714286,NA,NA
71901,Garland County,AR,NA,NA,42.91338582677165
71909,Garland County,AR,96.42857142857143,NA,NA
71953,Polk County,AR,NA,NA,40.94488188976378
72143,White County,AR,NA,10.677083333333332,NA
72601,Boone County,AR,NA,36.19791666666667,NA
72653,Baxter County,AR,87.05357142857143,NA,NA
90011,Los Angeles County,CA,NA,48.17708333333333,NA
90018,Los Angeles County,CA,NA,35.41666666666667,NA
90019,Los Angeles County,CA,NA,29.166666666666668,NA
