ZipCode,county,state,Adult,Retirement
35077,Cullman County,AL,56.315789473684205,NA
35555,Fayette County,AL,58.684210526315795,NA
35640,Morgan County,AL,NA,35.57046979865772
35959,Cherokee County,AL,92.10526315789474,NA
36083,Macon County,AL,NA,81.87919463087249
36108,Montgomery County,AL,44.73684210526316,NA
36201,Calhoun County,AL,31.31578947368421,NA
36542,Baldwin County,AL,72.89473684210527,NA
85122,Pinal County,AZ,NA,44.63087248322148
85363,Maricopa County,AZ,NA,87.58389261744966
85631,Pinal County,AZ,95.78947368421052,NA
85747,Pima County,AZ,64.47368421052632,NA
86351,Yavapai County,AZ,91.05263157894737,NA
86401,Mohave County,AZ,12.631578947368421,NA
86409,Mohave County,AZ,NA,4.026845637583892
71753,Columbia County,AR,NA,84.56375838926175
72118,Pulaski County,AR,NA,57.71812080536913
72143,White County,AR,NA,40.26845637583892
72206,Pulaski County,AR,NA,28.523489932885905
72653,Baxter County,AR,NA,21.140939597315437
90008,Los Angeles County,CA,68.15789473684211,NA
90024,Los Angeles County,CA,NA,78.18791946308725
90042,Los Angeles County,CA,51.84210526315789,NA
90062,Los Angeles County,CA,NA,56.375838926174495
90302,Los Angeles County,CA,94.21052631578948,NA
90806,Los Angeles County,CA,54.21052631578947,NA
91710,San Bernardino County,CA,NA,52.013422818791945
91740,Los Angeles County,CA,58.15789473684211,NA
91768,Los Angeles County,CA,78.94736842105263,NA
91792,Los Angeles County,CA,NA,77.18120805369128
91932,San Diego County,CA,71.05263157894737,NA
92008,San Diego County,CA,NA,59.395973154362416
92307,San Bernardino County,CA,32.631578947368425,NA
92337,San Bernardino County,CA,NA,69.79865771812081
92618,Orange County,CA,56.84210526315789,NA
92804,Orange County,CA,NA,20.469798657718123
93230,Kings County,CA,NA,15.771812080536913
93263,Kern County,CA,NA,85.23489932885906
93551,Los Angeles County,CA,NA,53.355704697986575
93657,Fresno County,CA,88.94736842105263,NA
94121,San Francisco County,CA,65.26315789473685,NA
94558,Napa County,CA,72.63157894736842,NA
94597,Contra Costa County,CA,65.78947368421053,NA
95037,Santa Clara County,CA,NA,33.22147651006711
95127,Santa Clara County,CA,NA,43.95973154362416
95210,San Joaquin County,CA,41.31578947368421,NA
95215,San Joaquin County,CA,88.68421052631578,NA
95356,Stanislaus County,CA,43.684210526315795,NA
95386,Stanislaus County,CA,76.31578947368422,NA
95437,Mendocino County,CA,NA,40.939597315436245
95448,Sonoma County,CA,85,NA
95490,Mendocino County,CA,NA,76.1744966442953
95540,Humboldt County,CA,NA,92.28187919463086
