fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,59.72850678733032
01003,Baldwin County,AL,19.041450777202073,21.97083961789844
01005,Barbour County,AL,NA,78.28054298642535
01009,Blount County,AL,NA,79.93966817496229
01015,Calhoun County,AL,19.94818652849741,28.657616892911008
01017,Chambers County,AL,78.49740932642487,89.44193061840122
01021,Chilton County,AL,NA,8.044243338360985
01025,Clarke County,AL,NA,81.90045248868778
01027,Clay County,AL,NA,86.27450980392157
01029,Cleburne County,AL,NA,90.24635495223731
01031,Coffee County,AL,NA,5.580693815987934
01033,Colbert County,AL,57.2538860103627,51.33232780291603
01037,Coosa County,AL,NA,74.76118652589241
01039,Covington County,AL,NA,34.841628959276015
01043,Cullman County,AL,47.020725388601036,18.954248366013072
01045,Dale County,AL,67.61658031088082,27.551533433886377
01047,Dallas County,AL,NA,2.413273001508296
01049,DeKalb County,AL,84.84455958549223,54.04725992961287
01051,Elmore County,AL,NA,84.76621417797888
01053,Escambia County,AL,NA,81.2971342383107
01055,Etowah County,AL,51.813471502590666,26.646556058320765
01059,Franklin County,AL,70.46632124352331,12.719959778783307
01061,Geneva County,AL,NA,62.242332830568124
01063,Greene County,AL,NA,95.32428355957768
01065,Hale County,AL,NA,18.099547511312217
01067,Henry County,AL,NA,34.94218200100553
01069,Houston County,AL,32.12435233160622,94.46958270487681
01071,Jackson County,AL,NA,55.957767722473605
01073,Jefferson County,AL,NA,58.270487682252394
01075,Lamar County,AL,NA,87.7325289089995
01077,Lauderdale County,AL,53.626943005181346,15.585721468074409
01079,Lawrence County,AL,NA,87.93363499245852
01081,Lee County,AL,36.39896373056995,38.009049773755656
01083,Limestone County,AL,NA,76.42031171442936
01089,Madison County,AL,62.95336787564767,71.39265962795375
01091,Marengo County,AL,95.59585492227978,82.90598290598291
01093,Marion County,AL,NA,51.080945198592254
01095,Marshall County,AL,NA,47.46103569632981
01097,Mobile County,AL,NA,8.446455505279035
01099,Monroe County,AL,NA,86.62644544997487
01101,Montgomery County,AL,33.67875647668394,15.233785822021115
01103,Morgan County,AL,75,59.778783308195074
01105,Perry County,AL,NA,88.83861236802413
01107,Pickens County,AL,NA,77.32528908999498
01109,Pike County,AL,72.53886010362694,57.717445952740064
01111,Randolph County,AL,NA,37.55656108597285
01113,Russell County,AL,NA,3.3685268979386627
01115,St. Clair County,AL,37.95336787564767,71.4429361488185
01117,Shelby County,AL,18.65284974093264,13.976872800402212
01119,Sumter County,AL,97.02072538860104,NA
01121,Talladega County,AL,47.66839378238342,80.74409250879839
01123,Tallapoosa County,AL,97.15025906735751,23.2780291603821
01125,Tuscaloosa County,AL,58.80829015544041,2.463549522373052
01127,Walker County,AL,46.1139896373057,0.5027652086475616
01131,Wilcox County,AL,NA,82.20211161387631
01133,Winston County,AL,69.43005181347151,22.42332830568125
02020,Anchorage Municipality,AK,19.818652849740932,29.21065862242333
02050,Bethel Census Area,AK,92.2279792746114,NA
02090,Fairbanks North Star Borough,AK,51.29533678756477,14.6807440925088
02122,Kenai Peninsula Borough,AK,NA,52.58924082453495
02130,Ketchikan Gateway Borough,AK,NA,60.18099547511312
02150,Kodiak Island Borough,AK,NA,77.8783308195073
02170,Matanuska-Susitna Borough,AK,NA,5.128205128205128
02220,Sitka City and Borough,AK,NA,49.673202614379086
04001,Apache County,AZ,NA,28.25540472599296
04003,Cochise County,AZ,74.35233160621762,69.13021618903971
04005,Coconino County,AZ,4.145077720207254,6.435394670688788
04007,Gila County,AZ,NA,33.63499245852187
04012,La Paz County,AZ,NA,10.558069381598793
04013,Maricopa County,AZ,10.362694300518134,31.070889894419306
04015,Mohave County,AZ,50,54.55002513826043
04017,Navajo County,AZ,16.580310880829018,28.75816993464052
04019,Pima County,AZ,31.73575129533679,47.863247863247864
04021,Pinal County,AZ,37.43523316062176,52.28758169934641
04023,Santa Cruz County,AZ,NA,22.473604826546005
04025,Yavapai County,AZ,71.76165803108809,50.02513826043238
04027,Yuma County,AZ,NA,0.7541478129713424
05001,Arkansas County,AR,NA,39.31623931623932
05005,Baxter County,AR,NA,48.1649069884364
05007,Benton County,AR,NA,12.217194570135746
05009,Boone County,AR,NA,37.70739064856712
05011,Bradley County,AR,NA,71.34238310708899
05015,Carroll County,AR,NA,59.527400703871294
05021,Clay County,AR,NA,42.73504273504273
05023,Cleburne County,AR,NA,43.2378079436903
05027,Columbia County,AR,NA,87.3805932629462
05031,Craighead County,AR,NA,27.7526395173454
05033,Crawford County,AR,NA,3.469079939668175
05035,Crittenden County,AR,NA,70.48768225238814
05037,Cross County,AR,NA,86.37506284565109
05041,Desha County,AR,NA,63.348416289592755
05043,Drew County,AR,NA,83.30819507290096
05045,Faulkner County,AR,NA,38.360985419808955
05051,Garland County,AR,NA,9.904474610356964
05055,Greene County,AR,NA,48.06435394670689
05059,Hot Spring County,AR,NA,19.65811965811966
05063,Independence County,AR,NA,58.57214680744093
05067,Jackson County,AR,NA,56.963298139768725
05069,Jefferson County,AR,NA,18.20010055304173
05079,Lincoln County,AR,NA,62.64454499748617
05081,Little River County,AR,NA,61.236802413273004
05083,Logan County,AR,NA,33.735545500251384
05085,Lonoke County,AR,NA,46.45550527903469
05089,Marion County,AR,NA,54.14781297134238
05091,Miller County,AR,NA,61.53846153846154
05093,Mississippi County,AR,NA,47.31020613373554
05111,Poinsett County,AR,NA,76.87280040221218
05113,Polk County,AR,NA,84.11261940673705
05115,Pope County,AR,NA,4.675716440422323
05119,Pulaski County,AR,NA,53.745600804424335
05123,St. Francis County,AR,NA,64.85671191553544
05125,Saline County,AR,NA,2.7149321266968327
05127,Scott County,AR,NA,66.31473102061337
05131,Sebastian County,AR,NA,3.569632981397687
05139,Union County,AR,NA,39.869281045751634
05141,Van Buren County,AR,NA,52.488687782805435
05143,Washington County,AR,NA,41.6289592760181
05145,White County,AR,NA,29.71342383107089
06001,Alameda County,CA,31.476683937823836,35.8974358974359
06005,Amador County,CA,NA,44.54499748617396
06007,Butte County,CA,37.95336787564767,53.79587732528909
06009,Calaveras County,CA,NA,90.89994972347914
06011,Colusa County,CA,NA,91.10105580693816
06013,Contra Costa County,CA,60.10362694300518,51.23177476118652
06017,El Dorado County,CA,NA,31.02061337355455
06019,Fresno County,CA,12.564766839378239,23.931623931623932
06023,Humboldt County,CA,NA,82.35294117647058
06025,Imperial County,CA,NA,7.6420311714429365
06027,Inyo County,CA,NA,46.40522875816993
06029,Kern County,CA,7.512953367875648,40.975364504776266
06031,Kings County,CA,56.865284974093264,71.99597787833082
06033,Lake County,CA,NA,6.485671191553545
