fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,90.83704804358594
01003,Baldwin County,AL,64.05797101449275,31.896978702327882
01005,Barbour County,AL,NA,13.521545319465082
01007,Bibb County,AL,NA,9.608717186726103
01009,Blount County,AL,NA,70.77761267954433
01011,Bullock County,AL,NA,90.34175334323923
01013,Butler County,AL,NA,21.644378405151066
01015,Calhoun County,AL,NA,71.02526002971769
01017,Chambers County,AL,NA,23.476968796433876
01019,Cherokee County,AL,NA,16.889549281822685
01021,Chilton County,AL,NA,30.51015354135711
01025,Clarke County,AL,NA,93.85834571570084
01027,Clay County,AL,NA,94.20505200594353
01029,Cleburne County,AL,NA,61.56513125309559
01031,Coffee County,AL,NA,23.278850916295195
01033,Colbert County,AL,60.86956521739131,34.07627538385339
01035,Conecuh County,AL,NA,72.0158494304111
01039,Covington County,AL,NA,11.490837048043586
01043,Cullman County,AL,NA,42.100049529470034
01045,Dale County,AL,NA,3.368003962357603
01047,Dallas County,AL,NA,12.233779098563645
01049,DeKalb County,AL,NA,91.18375433382863
01051,Elmore County,AL,45.94202898550724,81.57503714710252
01053,Escambia County,AL,83.33333333333334,2.5755324418028724
01055,Etowah County,AL,NA,76.2258543833581
01057,Fayette County,AL,NA,9.905894006934126
01059,Franklin County,AL,NA,68.59831599801882
01061,Geneva County,AL,NA,92.22387320455671
01063,Greene County,AL,NA,97.82070331847449
01065,Hale County,AL,NA,53.838533927686974
01067,Henry County,AL,96.95652173913044,NA
01069,Houston County,AL,38.405797101449274,85.28974739970282
01071,Jackson County,AL,NA,92.62010896483407
01073,Jefferson County,AL,19.565217391304348,48.489351163942544
01075,Lamar County,AL,74.92753623188406,87.32045567112432
01077,Lauderdale County,AL,NA,82.07033184744922
01079,Lawrence County,AL,80.57971014492755,82.21892025755324
01081,Lee County,AL,NA,68.44972758791481
01083,Limestone County,AL,55.79710144927537,15.651312530955918
01087,Macon County,AL,NA,60.178306092124814
01089,Madison County,AL,26.231884057971016,50.66864784546805
01091,Marengo County,AL,NA,43.04110946012878
01093,Marion County,AL,NA,23.130262506191183
01095,Marshall County,AL,34.92753623188406,63.893016344725105
01097,Mobile County,AL,44.78260869565218,17.880138682516098
01099,Monroe County,AL,NA,86.42892521050025
01101,Montgomery County,AL,NA,42.248637939574046
01103,Morgan County,AL,80.43478260869566,66.17137196631995
01107,Pickens County,AL,NA,77.11738484398218
01109,Pike County,AL,73.47826086956522,92.27340267459138
01111,Randolph County,AL,NA,90.14363546310055
01113,Russell County,AL,NA,58.54383358098069
01115,St. Clair County,AL,44.63768115942029,75.78008915304606
01117,Shelby County,AL,89.42028985507247,86.08221892025756
01121,Talladega County,AL,NA,24.170381376919266
01123,Tallapoosa County,AL,NA,61.31748390292224
01125,Tuscaloosa County,AL,12.608695652173912,15.948489351163941
01127,Walker County,AL,NA,25.656265477959384
01131,Wilcox County,AL,NA,82.02080237741455
02020,Anchorage Municipality,AK,5.507246376811594,78.80138682516098
02090,Fairbanks North Star Borough,AK,55.65217391304348,62.704309063893014
02110,Juneau City and Borough,AK,NA,28.38038632986627
02122,Kenai Peninsula Borough,AK,NA,95.93858345715701
02130,Ketchikan Gateway Borough,AK,NA,92.81822684497276
02220,Sitka City and Borough,AK,NA,83.85339276869738
04001,Apache County,AZ,10.289855072463768,33.77909856364537
04003,Cochise County,AZ,NA,43.635463100544825
04005,Coconino County,AZ,NA,26.79544328875681
04007,Gila County,AZ,NA,10.648836057454185
04009,Graham County,AZ,NA,25.26002971768202
04012,La Paz County,AZ,NA,86.57751362060426
04013,Maricopa County,AZ,24.20289855072464,38.434868746904414
04015,Mohave County,AZ,NA,66.61713719663199
