ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35020,Jefferson County,AL,NA,NA,NA,NA,40.52369077306734
35044,Talladega County,AL,NA,NA,NA,75.62062380649269,NA
35055,Cullman County,AL,NA,NA,87.41854636591478,61.68045830681095,57.605985037406484
35068,Jefferson County,AL,NA,90.85365853658537,NA,NA,NA
35072,Coosa County,AL,NA,NA,83.45864661654136,97.07192870782941,NA
35079,Blount County,AL,NA,NA,NA,76.83004455760663,NA
35094,Jefferson County,AL,NA,NA,57.14285714285714,NA,NA
35115,Shelby County,AL,NA,NA,84.71177944862156,61.29853596435392,NA
35125,St. Clair County,AL,NA,NA,53.28320802005012,NA,NA
35150,Talladega County,AL,NA,NA,NA,83.25907065563335,NA
35180,Jefferson County,AL,NA,NA,NA,NA,82.54364089775561
35205,Jefferson County,AL,NA,NA,NA,68.68236791852324,76.55860349127181
35215,Jefferson County,AL,40.7202216066482,NA,30.32581453634085,NA,NA
35218,Jefferson County,AL,NA,NA,NA,87.96944621260344,NA
35222,Jefferson County,AL,NA,NA,NA,87.77848504137492,NA
35226,Jefferson County,AL,59.83379501385041,NA,NA,NA,NA
35228,Jefferson County,AL,NA,NA,NA,78.6123488224061,NA
35242,Shelby County,AL,NA,NA,28.87218045112782,NA,NA
35243,Jefferson County,AL,58.72576177285319,NA,NA,NA,NA
35244,Jefferson County,AL,NA,NA,NA,38.0649267982177,NA
35405,Tuscaloosa County,AL,NA,NA,NA,11.839592616168046,NA
35406,Tuscaloosa County,AL,NA,NA,69.62406015037594,NA,NA
35555,Fayette County,AL,NA,NA,60.6516290726817,NA,NA
35594,Marion County,AL,NA,NA,91.62907268170426,NA,NA
35603,Morgan County,AL,NA,NA,NA,NA,28.179551122194514
35611,Limestone County,AL,NA,NA,22.957393483709275,NA,NA
35616,Colbert County,AL,NA,NA,96.04010025062657,NA,NA
35633,Lauderdale County,AL,NA,NA,78.7468671679198,NA,NA
35640,Morgan County,AL,NA,NA,31.17794486215539,NA,NA
35661,Colbert County,AL,NA,NA,NA,NA,59.22693266832918
35747,Marshall County,AL,NA,NA,NA,81.5404201145767,NA
35756,Limestone County,AL,NA,NA,NA,76.38446849140675,NA
35757,Madison County,AL,87.81163434903047,NA,68.1704260651629,NA,NA
35763,Madison County,AL,NA,NA,NA,54.487587523870154,NA
35803,Madison County,AL,NA,77.4390243902439,NA,33.41820496499045,NA
35810,Madison County,AL,NA,NA,NA,20.496499045194145,21.94513715710723
35903,Etowah County,AL,NA,NA,78.39598997493734,NA,NA
35905,Etowah County,AL,NA,NA,NA,92.23424570337365,NA
35956,Etowah County,AL,NA,NA,NA,91.97963080840229,NA
35962,DeKalb County,AL,NA,64.63414634146342,NA,NA,NA
35967,DeKalb County,AL,NA,NA,NA,67.34563971992361,NA
35976,Marshall County,AL,86.14958448753463,NA,NA,88.60598345003183,53.11720698254364
35980,Marshall County,AL,NA,NA,94.08521303258145,NA,NA
36027,Barbour County,AL,NA,NA,NA,NA,71.3216957605985
36067,Autauga County,AL,NA,NA,64.16040100250626,NA,NA
36109,Montgomery County,AL,NA,NA,NA,NA,76.93266832917706
36117,Montgomery County,AL,NA,45.1219512195122,NA,NA,NA
36201,Calhoun County,AL,NA,NA,NA,NA,63.965087281795505
36203,Calhoun County,AL,NA,NA,NA,49.39528962444303,NA
36265,Calhoun County,AL,NA,NA,NA,82.62253341820497,NA
36266,Clay County,AL,NA,NA,92.68170426065163,NA,NA
36272,Calhoun County,AL,NA,NA,NA,71.2285168682368,NA
36301,Houston County,AL,NA,36.58536585365854,NA,NA,NA
36303,Houston County,AL,29.085872576177284,NA,52.73182957393484,NA,NA
36305,Houston County,AL,70.3601108033241,NA,NA,NA,NA
36345,Henry County,AL,76.45429362880887,NA,NA,NA,NA
36507,Baldwin County,AL,NA,NA,36.19047619047619,NA,NA
36527,Baldwin County,AL,NA,NA,NA,NA,79.80049875311721
36532,Baldwin County,AL,NA,NA,55.18796992481203,NA,NA
36542,Baldwin County,AL,NA,NA,NA,64.16295353278166,NA
36551,Baldwin County,AL,NA,NA,74.18546365914787,NA,NA
36606,Mobile County,AL,63.988919667590025,NA,NA,NA,NA
