fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,9.192825112107624
01003,Baldwin County,AL,37.54863813229572,36.54708520179372
01005,Barbour County,AL,87.54863813229572,71.24439461883408
01007,Bibb County,AL,NA,64.18161434977578
01009,Blount County,AL,NA,72.86995515695067
01015,Calhoun County,AL,NA,9.304932735426009
01017,Chambers County,AL,81.1284046692607,88.78923766816143
01025,Clarke County,AL,NA,37.94843049327354
01027,Clay County,AL,NA,68.27354260089686
01029,Cleburne County,AL,NA,75.22421524663677
01033,Colbert County,AL,NA,18.778026905829595
01037,Coosa County,AL,NA,82.39910313901345
01039,Covington County,AL,NA,51.17713004484305
01043,Cullman County,AL,NA,2.690582959641256
01045,Dale County,AL,74.12451361867704,12.612107623318385
01047,Dallas County,AL,NA,7.174887892376682
01049,DeKalb County,AL,72.95719844357976,7.118834080717488
01051,Elmore County,AL,73.92996108949417,65.30269058295964
01053,Escambia County,AL,NA,9.865470852017937
01055,Etowah County,AL,NA,23.99103139013453
01057,Fayette County,AL,NA,98.4304932735426
01059,Franklin County,AL,NA,96.46860986547085
01065,Hale County,AL,NA,95.68385650224215
01067,Henry County,AL,93.19066147859922,82.45515695067265
01069,Houston County,AL,NA,25.168161434977577
01073,Jefferson County,AL,31.517509727626457,30.99775784753363
01077,Lauderdale County,AL,63.035019455252915,42.71300448430493
01079,Lawrence County,AL,NA,81.39013452914799
01081,Lee County,AL,NA,55.100896860986545
01083,Limestone County,AL,42.4124513618677,80.94170403587444
01085,Lowndes County,AL,NA,99.04708520179372
01089,Madison County,AL,15.758754863813229,45.06726457399103
01091,Marengo County,AL,NA,87.16367713004485
01093,Marion County,AL,83.65758754863813,12.892376681614351
01095,Marshall County,AL,NA,0.4484304932735426
01097,Mobile County,AL,45.13618677042802,24.77578475336323
01101,Montgomery County,AL,NA,40.97533632286996
01103,Morgan County,AL,32.87937743190661,19.22645739910314
01107,Pickens County,AL,NA,54.31614349775785
01113,Russell County,AL,NA,35.65022421524663
01115,St. Clair County,AL,52.52918287937744,1.6255605381165918
01117,Shelby County,AL,37.35408560311284,11.939461883408072
01119,Sumter County,AL,91.43968871595331,NA
01121,Talladega County,AL,40.856031128404666,54.7645739910314
01123,Tallapoosa County,AL,79.76653696498055,74.77578475336323
01125,Tuscaloosa County,AL,48.054474708171206,7.455156950672645
01127,Walker County,AL,NA,28.923766816143498
01133,Winston County,AL,NA,36.99551569506727
02020,Anchorage Municipality,AK,NA,26.73766816143498
02090,Fairbanks North Star Borough,AK,NA,48.654708520179376
02122,Kenai Peninsula Borough,AK,NA,6.838565022421525
02130,Ketchikan Gateway Borough,AK,NA,34.97757847533632
02170,Matanuska-Susitna Borough,AK,57.19844357976653,64.29372197309418
02180,Nome Census Area,AK,NA,99.83183856502242
