ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,NA,53.0271587115402,NA
35005,Jefferson County,AL,NA,NA,53.13543264459082,NA
35007,Shelby County,AL,NA,NA,95.40738067310295,61.49068322981367
35010,Tallapoosa County,AL,NA,51.97792088316467,63.61093566723811,69.75425330812854
35014,Talladega County,AL,NA,NA,NA,77.0366369610226
35016,Marshall County,AL,NA,54.146405572348534,63.51168456194172,49.554415338914396
35020,Jefferson County,AL,12.162162162162163,80.94361939808122,41.71253270775061,83.5538752362949
35022,Jefferson County,AL,NA,54.7640951504797,47.03600108273933,49.293365739490504
35023,Jefferson County,AL,27.77777777777778,90.6163753449862,32.84309302535415,32.02808533621388
35031,Blount County,AL,NA,83.04639243001708,NA,77.23467458817174
35033,Cullman County,AL,NA,NA,97.71722457818281,NA
35034,Bibb County,AL,NA,97.84465764226574,85.73490932058107,NA
35040,Shelby County,AL,NA,51.084242344591935,79.97834521338987,9.721847150958682
35042,Bibb County,AL,NA,98.18635825995531,87.55752052693315,NA
35043,Shelby County,AL,NA,NA,54.082829558783715,46.457826987127554
35044,Talladega County,AL,NA,50.16427914311999,38.26581250563927,NA
35045,Chilton County,AL,NA,19.54264686555395,28.873048813498148,28.904491853452157
35046,Chilton County,AL,NA,NA,82.57691960660472,63.25501845350616
35051,Shelby County,AL,NA,NA,47.992420824686455,87.72166711675217
35054,St. Clair County,AL,NA,NA,95.39835784534874,43.829327572238725
35055,Cullman County,AL,NA,NA,64.13425967698277,87.25357817985417
35057,Cullman County,AL,NA,93.83624655013799,42.1546512677073,16.98622738320281
35058,Cullman County,AL,NA,NA,34.54840747090138,91.06130164731299
35062,Jefferson County,AL,NA,43.51425942962281,46.061535685283765,15.761994779008011
35064,Jefferson County,AL,NA,NA,11.305603176035369,86.07435412728418
35068,Jefferson County,AL,NA,95.74188461032988,95.50663177839935,89.32397155459537
35071,Jefferson County,AL,NA,28.623997897226968,36.56049806009204,61.94977045638671
35072,Coosa County,AL,NA,47.98265212248653,41.117026075972205,44.648483211810245
35077,Cullman County,AL,NA,NA,81.39492917080213,54.40633720406878
35079,Blount County,AL,NA,NA,NA,92.47457016833198
35080,Shelby County,AL,NA,17.137600210277306,50.870702878282046,NA
35085,Chilton County,AL,NA,NA,90.35459713074077,89.90008101539293
35094,Jefferson County,AL,NA,43.97424103035878,55.201660200306776,41.63291025294806
35096,Talladega County,AL,NA,53.27901169667499,36.61463502661734,87.17256278692952
35111,Tuscaloosa County,AL,NA,86.80509922460244,25.462419922403683,74.41713925645873
35114,Shelby County,AL,NA,NA,89.08237841739601,NA
35115,Shelby County,AL,NA,77.09291628334867,5.982134801046648,75.056260689531
35117,Jefferson County,AL,NA,NA,85.50933862672562,NA
35118,Jefferson County,AL,NA,89.82783545801026,NA,79.30506796291296
35120,St. Clair County,AL,NA,61.53239584702326,34.954434719841196,96.68737060041408
35121,Blount County,AL,NA,19.963201471941122,96.85103311377786,4.536862003780719
35124,Shelby County,AL,NA,NA,38.969593070468285,80.6823296426321
35125,St. Clair County,AL,NA,57.8525430411355,83.12731209961201,44.94553965253398
35126,Jefferson County,AL,NA,36.995663030621635,27.88956058828837,54.09127734269511
35127,Jefferson County,AL,NA,96.53042449730582,86.8447171343499,6.4722297236474935
35128,St. Clair County,AL,NA,59.74503876987778,28.23242804294866,NA
35133,Blount County,AL,NA,81.52188198186359,NA,83.69790260149428
35146,St. Clair County,AL,NA,NA,58.99124785707841,NA
35150,Talladega County,AL,NA,27.65146536995663,74.79021925471443,31.028895490143128
35151,Talladega County,AL,NA,NA,95.10962735721375,NA
35160,Talladega County,AL,NA,41.766329346826126,81.6746368311829,92.64560266450626
35173,Jefferson County,AL,NA,72.08568800105138,70.22466841108003,83.80592312539382
35175,Marshall County,AL,NA,50.58483374950716,NA,NA
35179,Cullman County,AL,NA,NA,NA,54.433342335043655
35180,Jefferson County,AL,NA,94.80877907740833,77.66850130831003,73.45395625168783
35184,Bibb County,AL,NA,NA,80.95281061084543,96.68737060041408
35204,Jefferson County,AL,NA,54.330398212642926,41.70350987999639,29.057520928976505
35205,Jefferson County,AL,NA,66.34248915757655,47.68564468104304,7.426411018093438
35206,Jefferson County,AL,19.81981981981982,73.67591010645287,94.96526211314627,66.45062561886759
35207,Jefferson County,AL,NA,91.69404652385333,NA,11.41416869205149
35208,Jefferson County,AL,NA,70.62688921014588,NA,69.46619857772977
35209,Jefferson County,AL,NA,NA,87.75602273752594,35.142677108650645
35210,Jefferson County,AL,NA,NA,67.21104394117117,80.16023044378431
35211,Jefferson County,AL,NA,69.19437508213957,59.55066317783994,28.61643712305338
35212,Jefferson County,AL,NA,85.00459981600737,74.90751601551926,81.18642542082995
35213,Jefferson County,AL,NA,NA,NA,73.4809613826627
35214,Jefferson County,AL,NA,48.376922065974505,69.43065956870883,4.734899630929877
35215,Jefferson County,AL,NA,37.69220659745039,75.69250203013624,79.5031055900621
