fips,county,state,Under18,Over18
01003,Baldwin County,AL,50.74626865671642,NA
01009,Blount County,AL,82.08955223880598,NA
01031,Coffee County,AL,NA,73.78223495702005
01049,DeKalb County,AL,83.5820895522388,NA
01055,Etowah County,AL,NA,22.77936962750716
01059,Franklin County,AL,NA,81.37535816618912
01069,Houston County,AL,NA,62.46418338108882
01073,Jefferson County,AL,19.1044776119403,0
01081,Lee County,AL,NA,37.392550143266476
01083,Limestone County,AL,54.62686567164179,NA
01089,Madison County,AL,NA,14.899713467048711
01101,Montgomery County,AL,39.1044776119403,12.177650429799428
01103,Morgan County,AL,45.07462686567164,NA
01117,Shelby County,AL,50.44776119402985,NA
01121,Talladega County,AL,52.83582089552239,36.96275071633238
01127,Walker County,AL,NA,48.567335243553
02090,Fairbanks North Star Borough,AK,NA,91.11747851002865
02110,Juneau City and Borough,AK,NA,98.56733524355302
02130,Ketchikan Gateway Borough,AK,NA,96.99140401146131
04003,Cochise County,AZ,NA,27.22063037249284
04005,Coconino County,AZ,NA,49.4269340974212
04009,Graham County,AZ,NA,90.68767908309455
04013,Maricopa County,AZ,24.17910447761194,48.99713467048711
04015,Mohave County,AZ,39.701492537313435,35.24355300859599
04017,Navajo County,AZ,NA,59.885386819484246
04019,Pima County,AZ,16.119402985074625,68.62464183381088
04021,Pinal County,AZ,57.611940298507456,47.70773638968481
04025,Yavapai County,AZ,NA,38.68194842406877
04027,Yuma County,AZ,NA,34.52722063037249
05007,Benton County,AR,NA,67.621776504298
05055,Greene County,AR,NA,89.25501432664757
05093,Mississippi County,AR,NA,96.41833810888252
05115,Pope County,AR,NA,71.48997134670488
05119,Pulaski County,AR,NA,3.0085959885386817
05125,Saline County,AR,NA,37.106017191977074
05143,Washington County,AR,NA,63.89684813753582
06001,Alameda County,CA,16.716417910447763,40.68767908309456
06013,Contra Costa County,CA,33.731343283582085,45.41547277936962
06015,Del Norte County,CA,96.11940298507463,NA
06019,Fresno County,CA,27.164179104477608,60.458452722063036
06025,Imperial County,CA,NA,76.50429799426934
06029,Kern County,CA,NA,2.148997134670487
06031,Kings County,CA,NA,49.713467048710605
06033,Lake County,CA,94.6268656716418,84.5272206303725
06037,Los Angeles County,CA,38.50746268656716,36.24641833810888
06039,Madera County,CA,NA,90.54441260744986
06041,Marin County,CA,NA,12.320916905444127
06047,Merced County,CA,52.537313432835816,89.54154727793696
06053,Monterey County,CA,31.044776119402982,NA
06059,Orange County,CA,24.47761194029851,6.446991404011461
06061,Placer County,CA,NA,46.99140401146132
06065,Riverside County,CA,17.01492537313433,25.644699140401144
06067,Sacramento County,CA,37.014925373134325,41.260744985673355
06069,San Benito County,CA,85.07462686567165,NA
06071,San Bernardino County,CA,46.865671641791046,39.82808022922636
06073,San Diego County,CA,13.73134328358209,55.014326647564474
06075,San Francisco County,CA,18.80597014925373,40.97421203438395
06077,San Joaquin County,CA,NA,7.020057306590258
06079,San Luis Obispo County,CA,42.38805970149254,11.74785100286533
06081,San Mateo County,CA,21.492537313432834,0.28653295128939826
06083,Santa Barbara County,CA,NA,68.33810888252148
06085,Santa Clara County,CA,7.164179104477612,63.180515759312314
06087,Santa Cruz County,CA,NA,69.48424068767909
06097,Sonoma County,CA,41.19402985074627,30.945558739255013
06099,Stanislaus County,CA,14.626865671641792,51.862464183381086
06101,Sutter County,CA,98.50746268656717,52.14899713467048
06109,Tuolumne County,CA,NA,69.05444126074498
06111,Ventura County,CA,35.223880597014926,82.9512893982808
06113,Yolo County,CA,NA,81.51862464183381
08001,Adams County,CO,9.253731343283581,40.54441260744986
08005,Arapahoe County,CO,48.95522388059702,1.146131805157593
08029,Delta County,CO,NA,85.95988538681948
08031,Denver County,CO,NA,39.541547277936964
08035,Douglas County,CO,28.65671641791045,61.46131805157593
08041,El Paso County,CO,NA,53.00859598853869
08045,Garfield County,CO,NA,89.82808022922636
08059,Jefferson County,CO,NA,27.793696275071632
08069,Larimer County,CO,25.37313432835821,4.584527220630372
08075,Logan County,CO,NA,95.84527220630372
08077,Mesa County,CO,NA,79.79942693409741
08123,Weld County,CO,65.3731343283582,71.34670487106017
09001,Fairfield County,CT,5.6716417910447765,26.64756446991404
09003,Hartford County,CT,NA,62.17765042979943
09005,Litchfield County,CT,NA,31.37535816618911
09007,Middlesex County,CT,NA,11.60458452722063
09009,New Haven County,CT,37.3134328358209,20.057306590257877
09013,Tolland County,CT,NA,67.47851002865329
09015,Windham County,CT,NA,76.93409742120345
10001,Kent County,DE,NA,52.72206303724928
10003,New Castle County,DE,6.567164179104477,66.33237822349571
10005,Sussex County,DE,NA,2.5787965616045847
11001,District of Columbia,DC,54.328358208955216,29.369627507163326
12001,Alachua County,FL,NA,76.07449856733524
12005,Bay County,FL,NA,54.87106017191977
12009,Brevard County,FL,22.08955223880597,34.67048710601719
12011,Broward County,FL,14.925373134328357,10.17191977077364
12019,Clay County,FL,NA,12.464183381088825
12021,Collier County,FL,31.94029850746269,31.661891117478508
12023,Columbia County,FL,NA,49.28366762177651
12031,Duval County,FL,13.432835820895523,22.063037249283667
12033,Escambia County,FL,NA,31.51862464183381
12035,Flagler County,FL,NA,74.35530085959886
12039,Gadsden County,FL,NA,83.5243553008596
12041,Gilchrist County,FL,NA,91.26074498567334
12045,Gulf County,FL,NA,95.12893982808023
12049,Hardee County,FL,NA,90.83094555873924
12053,Hernando County,FL,NA,61.174785100286535
12055,Highlands County,FL,NA,15.329512893982807
12057,Hillsborough County,FL,37.61194029850746,35.38681948424069
12069,Lake County,FL,36.417910447761194,11.031518624641834
12071,Lee County,FL,28.35820895522388,45.55873925501432
12075,Levy County,FL,NA,72.34957020057307
12081,Manatee County,FL,NA,3.4383954154727796
12083,Marion County,FL,66.86567164179105,31.088825214899714
12085,Martin County,FL,NA,8.595988538681947
12086,Miami-Dade County,FL,25.970149253731346,42.12034383954155
12091,Okaloosa County,FL,NA,35.673352435530084
12093,Okeechobee County,FL,NA,70.77363896848138
12095,Orange County,FL,9.55223880597015,56.73352435530086
12097,Osceola County,FL,22.686567164179106,65.4727793696275
12099,Palm Beach County,FL,29.55223880597015,7.4498567335243555
12101,Pasco County,FL,18.208955223880597,57.44985673352435
12103,Pinellas County,FL,27.761194029850746,39.25501432664756
12105,Polk County,FL,3.582089552238806,23.065902578796564
12107,Putnam County,FL,NA,41.833810888252145
12109,St. Johns County,FL,47.16417910447761,31.805157593123205
12111,St. Lucie County,FL,69.25373134328359,32.808022922636106
12113,Santa Rosa County,FL,NA,45.845272206303726
12115,Sarasota County,FL,34.32835820895522,67.90830945558739
12117,Seminole County,FL,NA,27.650429799426934
12119,Sumter County,FL,83.28358208955224,NA
12123,Taylor County,FL,NA,90.25787965616045
12127,Volusia County,FL,46.56716417910447,61.31805157593123
13001,Appling County,GA,97.31343283582089,NA
13009,Baldwin County,GA,NA,76.79083094555874
13015,Bartow County,GA,NA,47.99426934097421
13017,Ben Hill County,GA,NA,94.12607449856733
13025,Brantley County,GA,97.01492537313433,NA
13031,Bulloch County,GA,NA,84.81375358166189
13039,Camden County,GA,NA,78.36676217765043
13045,Carroll County,GA,56.71641791044776,74.78510028653295
13051,Chatham County,GA,NA,37.96561604584527
13057,Cherokee County,GA,NA,18.48137535816619
13059,Clarke County,GA,NA,42.83667621776504
13063,Clayton County,GA,NA,26.93409742120344
13067,Cobb County,GA,53.43283582089552,2.292263610315186
13073,Columbia County,GA,85.97014925373134,NA
13085,Dawson County,GA,NA,83.0945558739255
13089,DeKalb County,GA,32.537313432835816,46.41833810888252
13095,Dougherty County,GA,NA,36.81948424068768
13097,Douglas County,GA,51.34328358208955,33.3810888252149
13115,Floyd County,GA,61.19402985074627,41.40401146131805
13121,Fulton County,GA,35.52238805970149,42.40687679083094
13135,Gwinnett County,GA,33.134328358208954,1.8624641833810889
13139,Hall County,GA,NA,24.355300859598856
13145,Harris County,GA,NA,97.27793696275072
13153,Houston County,GA,NA,55.873925501432666
13185,Lowndes County,GA,63.88059701492538,36.53295128939828
13215,Muscogee County,GA,45.97014925373134,NA
13217,Newton County,GA,NA,81.08882521489971
13219,Oconee County,GA,NA,89.68481375358166
13223,Paulding County,GA,67.16417910447761,NA
13237,Putnam County,GA,NA,82.52148997134671
13241,Rabun County,GA,NA,95.55873925501433
13245,Richmond County,GA,77.61194029850746,NA
13281,Towns County,GA,NA,87.24928366762178
13285,Troup County,GA,65.67164179104478,NA
13291,Union County,GA,NA,88.82521489971347
13295,Walker County,GA,NA,41.54727793696275
13297,Walton County,GA,NA,64.18338108882521
13299,Ware County,GA,NA,70.63037249283668
13311,White County,GA,NA,86.24641833810888
15001,Hawaii County,HI,NA,29.512893982808023
15003,Honolulu County,HI,47.462686567164184,NA
15009,Maui County,HI,NA,54.72779369627507
16001,Ada County,ID,NA,55.15759312320917
16027,Canyon County,ID,22.98507462686567,27.07736389684814
16035,Clearwater County,ID,NA,93.69627507163324
16055,Kootenai County,ID,85.37313432835822,17.765042979942695
17007,Boone County,IL,94.02985074626866,NA
17029,Coles County,IL,NA,64.32664756446992
17031,Cook County,IL,5.3731343283582085,6.876790830945559
17043,DuPage County,IL,40.59701492537313,3.5816618911174785
17055,Franklin County,IL,96.41791044776119,NA
17063,Grundy County,IL,NA,48.853868194842406
17089,Kane County,IL,34.626865671641795,69.62750716332378
17097,Lake County,IL,17.91044776119403,25.358166189111746
17099,LaSalle County,IL,NA,25.214899713467048
17111,McHenry County,IL,NA,2.722063037249284
17115,Macon County,IL,NA,17.621776504297994
17133,Monroe County,IL,NA,88.10888252148997
17163,St. Clair County,IL,NA,10.458452722063036
17193,White County,IL,NA,96.70487106017191
17197,Will County,IL,NA,30.37249283667622
17201,Winnebago County,IL,55.52238805970149,NA
18003,Allen County,IN,NA,35.816618911174785
18005,Bartholomew County,IN,NA,37.82234957020057
18011,Boone County,IN,89.8507462686567,NA
18017,Cass County,IN,NA,58.88252148997135
18019,Clark County,IN,NA,59.45558739255014
18037,Dubois County,IN,NA,89.11174785100286
18039,Elkhart County,IN,43.582089552238806,NA
18043,Floyd County,IN,NA,76.36103151862464
18045,Fountain County,IN,NA,86.81948424068769
18053,Grant County,IN,NA,28.223495702005728
18057,Hamilton County,IN,NA,38.108882521489974
18075,Jay County,IN,NA,96.56160458452722
18079,Jennings County,IN,NA,91.83381088825216
18083,Knox County,IN,87.16417910447761,NA
18089,Lake County,IN,NA,30.08595988538682
18091,LaPorte County,IN,49.55223880597015,77.50716332378224
18095,Madison County,IN,NA,51.00286532951289
18097,Marion County,IN,32.83582089552239,56.01719197707736
18103,Miami County,IN,84.17910447761194,67.76504297994269
18111,Newton County,IN,NA,99.42693409742121
18119,Owen County,IN,NA,93.26647564469914
18121,Parke County,IN,NA,95.70200573065902
18127,Porter County,IN,25.671641791044774,22.922636103151863
18137,Ripley County,IN,88.65671641791046,NA
18141,St. Joseph County,IN,NA,10.315186246418339
18145,Shelby County,IN,88.95522388059702,NA
18163,Vanderburgh County,IN,NA,32.23495702005731
18173,Warrick County,IN,NA,94.41260744985674
18175,Washington County,IN,NA,96.27507163323781
18179,Wells County,IN,NA,94.98567335243553
18181,White County,IN,92.53731343283582,NA
19015,Boone County,IA,97.91044776119404,NA
19021,Buena Vista County,IA,NA,91.54727793696274
19045,Clinton County,IA,NA,99.7134670487106
19057,Des Moines County,IA,NA,80.22922636103151
19061,Dubuque County,IA,NA,79.65616045845272
19097,Jackson County,IA,NA,94.55587392550143
19103,Johnson County,IA,NA,56.87679083094556
19111,Lee County,IA,NA,64.75644699140402
19113,Linn County,IA,NA,37.53581661891118
19127,Marshall County,IA,89.25373134328358,NA
19153,Polk County,IA,NA,2.4355300859598854
19155,Pottawattamie County,IA,NA,53.72492836676218
19163,Scott County,IA,72.23880597014926,42.26361031518625
19169,Story County,IA,NA,88.53868194842407
19193,Woodbury County,IA,72.83582089552239,69.91404011461319
20015,Butler County,KS,NA,74.21203438395415
20055,Finney County,KS,NA,71.63323782234957
20091,Johnson County,KS,NA,6.59025787965616
20123,Mitchell County,KS,NA,98.8538681948424
20161,Riley County,KS,NA,87.10601719197709
20169,Saline County,KS,98.2089552238806,88.25214899713467
20209,Wyandotte County,KS,NA,21.91977077363897
21003,Allen County,KY,NA,86.67621776504298
21009,Barren County,KY,NA,51.28939828080229
21015,Boone County,KY,NA,54.15472779369628
21017,Bourbon County,KY,NA,84.9570200573066
21021,Boyle County,KY,NA,86.10315186246417
21029,Bullitt County,KY,77.01492537313432,75.93123209169055
