ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,NA,59.6030990893027,NA,NA
35005,Jefferson County,AL,NA,NA,61.62838113361424,NA,NA
35007,Shelby County,AL,NA,NA,NA,17.94782608695652,NA
35010,Tallapoosa County,AL,NA,NA,90.9066195460106,NA,NA
35014,Talladega County,AL,NA,NA,84.42299850482534,NA,NA
35016,Marshall County,AL,NA,NA,82.91423134429795,NA,34.10249530453448
35020,Jefferson County,AL,NA,NA,1.8757645779529701,44.31304347826087,NA
35022,Jefferson County,AL,NA,NA,61.12545874677178,29.72173913043478,11.40327341024953
35023,Jefferson County,AL,NA,66.33906633906635,65.9372026641294,4.71304347826087,NA
35031,Blount County,AL,89.52959028831563,NA,45.80671469348919,NA,NA
35034,Bibb County,AL,NA,NA,NA,78.83478260869565,NA
35040,Shelby County,AL,NA,NA,50.83593856191382,NA,NA
35042,Bibb County,AL,NA,NA,NA,81.40869565217392,NA
35045,Chilton County,AL,60.69802731411229,NA,NA,NA,69.70753957606655
35051,Shelby County,AL,NA,NA,66.07312763354628,NA,NA
35057,Cullman County,AL,NA,NA,45.942639662906075,NA,NA
35058,Cullman County,AL,NA,NA,NA,56.92173913043478,NA
35062,Jefferson County,AL,NA,NA,NA,90.29565217391304,82.90850550040247
35063,Walker County,AL,NA,NA,91.99401930134566,NA,NA
35064,Jefferson County,AL,NA,NA,NA,57.565217391304344,92.91655486986853
35068,Jefferson County,AL,NA,NA,NA,NA,94.41910383686611
35071,Jefferson County,AL,NA,NA,75.35680304471931,NA,46.01556211430105
35077,Cullman County,AL,NA,NA,27.959766209052606,NA,NA
35079,Blount County,AL,NA,NA,76.41701780617099,NA,NA
35080,Shelby County,AL,NA,NA,26.85877395677586,84.1391304347826,NA
35096,Talladega County,AL,NA,NA,91.35517194508631,NA,NA
35111,Tuscaloosa County,AL,NA,NA,16.215848851434007,NA,NA
35114,Shelby County,AL,NA,NA,NA,83.40869565217392,NA
35115,Shelby County,AL,NA,NA,90.02310724480087,NA,NA
35118,Jefferson County,AL,NA,NA,NA,NA,95.51918433056076
35124,Shelby County,AL,NA,NA,67.18771238276472,50.66086956521739,57.68714784008586
35125,St. Clair County,AL,NA,50.61425061425061,25.159711839064837,NA,82.53286825865307
35126,Jefferson County,AL,NA,51.96560196560197,54.28843278510263,28.382608695652173,NA
35127,Jefferson County,AL,NA,NA,60.89438629876308,NA,NA
35146,St. Clair County,AL,NA,97.2972972972973,54.47872774228626,NA,NA
35150,Talladega County,AL,NA,NA,62.38956096234879,37.14782608695652,NA
35151,Talladega County,AL,NA,NA,NA,75.58260869565217,NA
35160,Talladega County,AL,NA,NA,2.446649449503874,59.339130434782604,21.03568553796619
35173,Jefferson County,AL,NA,NA,18.920755742829957,NA,NA
35204,Jefferson County,AL,NA,NA,NA,44.243478260869566,81.80842500670781
35206,Jefferson County,AL,21.775417298937786,NA,64.904172896561093,78.76521739130435,NA
35208,Jefferson County,AL,NA,NA,81.3510941960038,55.80869565217391,NA
35209,Jefferson County,AL,NA,NA,NA,44.57391304347826,NA
35210,Jefferson County,AL,NA,NA,NA,45.44347826086956,NA
35211,Jefferson County,AL,NA,NA,2.2699469892619275,10.104347826086958,22.35041588408908
35212,Jefferson County,AL,NA,NA,49.789316297403836,NA,NA
35213,Jefferson County,AL,NA,NA,NA,44.06956521739131,NA
35214,Jefferson County,AL,88.23975720789075,NA,NA,NA,59.350684196404615
35215,Jefferson County,AL,NA,NA,0.8155498165012913,70.97391304347826,24.362758250603704
35216,Jefferson County,AL,NA,NA,55.60690498844638,28.000000000000004,67.61470351489135
