ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35630,Lauderdale County,AL,NA,33.90243902439025,NA,NA
35660,Colbert County,AL,60.311284046692606,NA,NA,NA
35754,Morgan County,AL,NA,NA,95.34313725490196,NA
35901,Etowah County,AL,NA,NA,NA,60.952380952380956
35951,Marshall County,AL,NA,NA,NA,75.55555555555556
36421,Covington County,AL,NA,82.4390243902439,NA,NA
36507,Baldwin County,AL,NA,41.70731707317073,NA,NA
36526,Baldwin County,AL,NA,NA,NA,31.11111111111111
36532,Baldwin County,AL,NA,NA,NA,56.82539682539682
36561,Baldwin County,AL,NA,NA,86.02941176470588,NA
36582,Mobile County,AL,61.478599221789885,NA,NA,NA
99501,Anchorage Municipality,AK,NA,23.414634146341466,NA,NA
99504,Anchorage Municipality,AK,NA,56.09756097560976,42.40196078431372,NA
99508,Anchorage Municipality,AK,NA,19.51219512195122,37.00980392156863,NA
99517,Anchorage Municipality,AK,NA,NA,76.9607843137255,NA
85119,Pinal County,AZ,NA,89.75609756097562,NA,NA
85142,Maricopa County,AZ,NA,12.439024390243903,NA,NA
85208,Maricopa County,AZ,NA,46.58536585365854,NA,25.71428571428571
85212,Maricopa County,AZ,NA,NA,65.19607843137256,NA
85233,Maricopa County,AZ,NA,42.4390243902439,NA,NA
85255,Maricopa County,AZ,NA,52.6829268292683,NA,NA
85258,Maricopa County,AZ,NA,NA,57.59803921568627,NA
85296,Maricopa County,AZ,NA,36.58536585365854,NA,NA
85326,Maricopa County,AZ,NA,NA,43.13725490196079,NA
85345,Maricopa County,AZ,NA,15.121951219512194,NA,NA
85350,Yuma County,AZ,NA,52.926829268292686,NA,NA
85750,Pima County,AZ,NA,67.5609756097561,NA,41.904761904761905
85929,Navajo County,AZ,NA,86.34146341463415,NA,NA
71909,Garland County,AR,NA,NA,31.61764705882353,NA
71913,Garland County,AR,14.785992217898833,NA,NA,NA
72067,Cleburne County,AR,NA,NA,NA,95.87301587301587
72106,Faulkner County,AR,NA,NA,94.85294117647058,NA
72114,Pulaski County,AR,NA,77.8048780487805,64.70588235294117,NA
72205,Pulaski County,AR,NA,NA,NA,16.507936507936506
72211,Pulaski County,AR,NA,NA,78.43137254901961,NA
72315,Mississippi County,AR,NA,NA,49.50980392156863,NA
72404,Craighead County,AR,NA,NA,NA,67.93650793650794
72450,Greene County,AR,NA,NA,23.284313725490197,NA
72476,Lawrence County,AR,NA,NA,94.6078431372549,NA
72543,Cleburne County,AR,NA,NA,NA,82.53968253968253
72560,Stone County,AR,NA,NA,NA,84.12698412698413
72802,Pope County,AR,NA,NA,65.68627450980392,NA
72923,Sebastian County,AR,NA,NA,NA,86.98412698412699
90008,Los Angeles County,CA,NA,NA,42.15686274509804,NA
90011,Los Angeles County,CA,16.342412451361866,NA,NA,NA
90064,Los Angeles County,CA,NA,30.975609756097562,NA,NA
90068,Los Angeles County,CA,NA,NA,NA,72.06349206349206
90245,Los Angeles County,CA,NA,NA,64.95098039215686,NA
90262,Los Angeles County,CA,NA,NA,83.82352941176471,NA
90275,Los Angeles County,CA,NA,NA,39.46078431372549,NA
90277,Los Angeles County,CA,68.8715953307393,NA,NA,NA
90601,Los Angeles County,CA,NA,NA,NA,43.80952380952381
91331,Los Angeles County,CA,NA,14.634146341463413,NA,NA
91335,Los Angeles County,CA,53.69649805447471,NA,NA,NA
91354,Los Angeles County,CA,NA,78.78048780487805,NA,NA
91401,Los Angeles County,CA,NA,NA,31.372549019607842,NA
91406,Los Angeles County,CA,NA,NA,38.23529411764706,NA
91605,Los Angeles County,CA,78.98832684824903,NA,NA,NA
91744,Los Angeles County,CA,NA,19.75609756097561,NA,NA
91770,Los Angeles County,CA,NA,98.04878048780488,NA,NA
91773,Los Angeles County,CA,NA,NA,94.11764705882352,NA
92021,San Diego County,CA,NA,NA,13.23529411764706,NA
92029,San Diego County,CA,NA,84.6341463414634,NA,NA
92102,San Diego County,CA,NA,40.487804878048784,NA,70.15873015873015
92105,San Diego County,CA,NA,NA,82.1078431372549,NA
92116,San Diego County,CA,NA,92.92682926829269,NA,NA
92117,San Diego County,CA,NA,NA,NA,17.77777777777778
