ZipCode,county,state,Adult
85501,Gila County,AZ,67.85714285714286
86045,Coconino County,AZ,27.976190476190478
91331,Los Angeles County,CA,57.738095238095234
92025,San Diego County,CA,49.404761904761905
92037,San Diego County,CA,80.35714285714286
92253,Riverside County,CA,46.42857142857143
92335,San Bernardino County,CA,38.69047619047619
92394,San Bernardino County,CA,73.80952380952381
92804,Orange County,CA,17.261904761904763
92880,Riverside County,CA,26.190476190476193
93458,Santa Barbara County,CA,18.452380952380953
93722,Fresno County,CA,69.64285714285714
93905,Monterey County,CA,41.66666666666667
94010,San Mateo County,CA,85.11904761904762
94105,San Francisco County,CA,99.40476190476191
94925,Marin County,CA,100
95337,San Joaquin County,CA,64.28571428571429
95376,San Joaquin County,CA,72.61904761904762
95503,Humboldt County,CA,50
96094,Siskiyou County,CA,98.80952380952381
80916,El Paso County,CO,40.476190476190474
06051,Hartford County,CT,4.166666666666666
06607,Fairfield County,CT,79.76190476190477
33024,Broward County,FL,33.33333333333333
33030,Miami-Dade County,FL,44.642857142857146
33068,Broward County,FL,45.83333333333333
33150,Miami-Dade County,FL,51.78571428571429
33414,Palm Beach County,FL,47.023809523809526
33813,Polk County,FL,95.83333333333334
33860,Polk County,FL,58.333333333333336
30046,Gwinnett County,GA,48.80952380952381
96707,Honolulu County,HI,61.30952380952381
96789,Honolulu County,HI,25.595238095238095
83651,Canyon County,ID,23.214285714285715
60586,Will County,IL,19.047619047619047
46241,Marion County,IN,53.57142857142857
46385,Porter County,IN,7.142857142857142
46501,Marshall County,IN,86.90476190476191
50428,Cerro Gordo County,IA,77.97619047619048
51503,Pottawattamie County,IA,8.333333333333332
52641,Henry County,IA,87.5
66083,Johnson County,KS,70.83333333333334
66208,Johnson County,KS,82.14285714285714
41017,Kenton County,KY,34.523809523809526
41501,Pike County,KY,14.285714285714285
42330,Muhlenberg County,KY,63.095238095238095
70043,St. Bernard Parish,LA,97.61904761904762
70056,Jefferson Parish,LA,4.761904761904762
70087,St. Charles Parish,LA,98.21428571428571
70117,Orleans Parish,LA,79.16666666666666
70726,Livingston Parish,LA,13.690476190476192
70769,Ascension Parish,LA,10.119047619047619
70806,East Baton Rouge Parish,LA,16.071428571428573
71109,Caddo Parish,LA,31.547619047619047
71270,Lincoln Parish,LA,26.785714285714285
20707,Prince George's County,MD,60.71428571428571
20879,Montgomery County,MD,82.73809523809523
21015,Harford County,MD,93.45238095238095
21061,Anne Arundel County,MD,8.928571428571429
21236,Baltimore County,MD,42.26190476190476
01040,Hampden County,MA,3.571428571428571
01469,Middlesex County,MA,72.02380952380952
01603,Worcester County,MA,30.357142857142854
01721,Middlesex County,MA,60.11904761904761
01844,Essex County,MA,23.809523809523807
01915,Essex County,MA,29.761904761904763
02130,Suffolk County,MA,2.380952380952381
02149,Middlesex County,MA,0
02451,Middlesex County,MA,28.57142857142857
48239,Wayne County,MI,7.738095238095238
48322,Oakland County,MI,42.857142857142854
48458,Genesee County,MI,33.92857142857143
48837,Eaton County,MI,55.35714285714286
49327,Newaygo County,MI,74.40476190476191
56601,Beltrami County,MN,5.952380952380952
39117,Scott County,MS,52.38095238095239
63376,St. Charles County,MO,39.285714285714285
64152,Platte County,MO,51.19047619047619
64153,Platte County,MO,83.33333333333334
68066,Saunders County,NE,91.66666666666666
68116,Douglas County,NE,91.07142857142857
89410,Douglas County,NV,83.92857142857143
07024,Bergen County,NJ,37.5
07735,Monmouth County,NJ,76.78571428571429
07801,Morris County,NJ,61.904761904761905
08033,Camden County,NJ,89.88095238095238
08062,Gloucester County,NJ,39.88095238095239
08230,Cape May County,NJ,75
08619,Mercer County,NJ,92.26190476190477
08817,Middlesex County,NJ,25
08857,Middlesex County,NJ,75.59523809523809
88005,Doa Ana County,NM,43.452380952380956
10309,Richmond County,NY,95.23809523809523
10457,Bronx County,NY,1.1904761904761905
10467,Bronx County,NY,0.5952380952380952
10468,Bronx County,NY,2.976190476190476
10543,Westchester County,NY,85.71428571428571
11203,Kings County,NY,54.761904761904766
11206,Kings County,NY,35.714285714285715
11214,Kings County,NY,21.428571428571427
13205,Onondaga County,NY,15.476190476190476
13208,Onondaga County,NY,14.880952380952381
13209,Onondaga County,NY,88.09523809523809
14223,Erie County,NY,30.952380952380953
14559,Monroe County,NY,11.904761904761903
14580,Monroe County,NY,1.7857142857142856
14612,Monroe County,NY,16.666666666666664
14624,Monroe County,NY,71.42857142857143
27030,Surry County,NC,6.547619047619048
27105,Forsyth County,NC,20.238095238095237
27284,Forsyth County,NC,32.73809523809524
28789,Jackson County,NC,92.85714285714286
44111,Cuyahoga County,OH,27.380952380952383
44515,Mahoning County,OH,10.714285714285714
44705,Stark County,OH,56.547619047619044
45246,Hamilton County,OH,68.45238095238095
45356,Miami County,OH,17.857142857142858
45601,Ross County,OH,19.642857142857142
73170,Cleveland County,OK,35.11904761904761
97322,Linn County,OR,78.57142857142857
97601,Klamath County,OR,22.023809523809522
17109,Dauphin County,PA,81.54761904761905
17408,York County,PA,66.07142857142857
17545,Lancaster County,PA,66.66666666666666
19014,Delaware County,PA,94.04761904761905
19050,Delaware County,PA,31.547619047619047
19140,Philadelphia County,PA,20.833333333333336
19154,Philadelphia County,PA,88.69047619047619
19365,Chester County,PA,94.64285714285714
19602,Berks County,PA,12.5
19604,Berks County,PA,13.095238095238097
29307,Spartanburg County,SC,58.92857142857143
29349,Spartanburg County,SC,29.166666666666668
29440,Georgetown County,SC,47.61904761904761
57401,Brown County,SD,22.61904761904762
37066,Sumner County,TN,10.714285714285714
75067,Denton County,TX,36.904761904761905
75074,Collin County,TX,77.38095238095238
75210,Dallas County,TX,90.47619047619048
77080,Harris County,TX,62.5
77089,Harris County,TX,44.047619047619044
77396,Harris County,TX,41.07142857142857
77406,Fort Bend County,TX,45.23809523809524
77535,Liberty County,TX,63.69047619047619
77802,Brazos County,TX,57.14285714285714
77845,Brazos County,TX,9.523809523809524
78254,Bexar County,TX,70.23809523809523
78521,Cameron County,TX,36.30952380952381
78542,Hidalgo County,TX,65.47619047619048
78596,Hidalgo County,TX,64.88095238095238
78617,Travis County,TX,67.26190476190477
78664,Williamson County,TX,69.04761904761905
79107,Potter County,TX,38.095238095238095
79108,Potter County,TX,76.19047619047619
84092,Salt Lake County,UT,89.28571428571429
84404,Weber County,UT,24.404761904761905
20120,Fairfax County,VA,52.976190476190474
20148,Loudoun County,VA,55.952380952380956
20151,Fairfax County,VA,84.52380952380952
20152,Loudoun County,VA,73.21428571428571
22310,Fairfax County,VA,54.166666666666664
98338,Pierce County,WA,48.214285714285715
98516,Thurston County,WA,96.42857142857143
26847,Grant County,WV,86.30952380952381
53095,Washington County,WI,50.595238095238095
53172,Milwaukee County,WI,80.95238095238095
53215,Milwaukee County,WI,59.523809523809526
53405,Racine County,WI,5.357142857142857
54021,Pierce County,WI,97.02380952380952
