fips,county,state,Over18
01001,Autauga County,AL,5.024311183144246
01003,Baldwin County,AL,87.79038357644517
01005,Barbour County,AL,64.07347379794706
01007,Bibb County,AL,56.02377093462994
01009,Blount County,AL,66.61264181523501
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,26.25607779578606
01017,Chambers County,AL,34.6839546191248
01019,Cherokee County,AL,27.55267423014587
01021,Chilton County,AL,10.372771474878444
01025,Clarke County,AL,70.01620745542951
01027,Clay County,AL,60.39978390059427
01029,Cleburne County,AL,69.69205834683954
01031,Coffee County,AL,96.00216099405726
01033,Colbert County,AL,11.777417612101566
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,3.727714748784441
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,41.004862236628846
01045,Dale County,AL,33.92760669908157
01047,Dallas County,AL,21.39384116693679
01049,DeKalb County,AL,3.943814154511075
01051,Elmore County,AL,7.023230686115613
01053,Escambia County,AL,27.876823338735818
01055,Etowah County,AL,33.1172339276067
01057,Fayette County,AL,17.990275526742302
01059,Franklin County,AL,16.315505132360887
01061,Geneva County,AL,44.62452728254998
01063,Greene County,AL,85.57536466774717
01065,Hale County,AL,22.636412749864938
01067,Henry County,AL,81.46947595894112
01069,Houston County,AL,17.558076715289033
01071,Jackson County,AL,38.84386817936251
01073,Jefferson County,AL,37.70934629929768
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,7.347379794705565
01079,Lawrence County,AL,9.346299297676932
01081,Lee County,AL,4.538087520259319
01083,Limestone County,AL,66.99081577525662
01085,Lowndes County,AL,NA
01087,Macon County,AL,93.46299297676931
01089,Madison County,AL,75.20259319286872
01091,Marengo County,AL,53.91680172879525
01093,Marion County,AL,58.076715289032954
01095,Marshall County,AL,48.13614262560778
01097,Mobile County,AL,62.93895191788222
01099,Monroe County,AL,91.13992436520799
01101,Montgomery County,AL,19.124797406807133
01103,Morgan County,AL,76.87736358725013
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,24.04105888708806
01111,Randolph County,AL,46.245272825499725
01113,Russell County,AL,26.526202052944353
01115,St. Clair County,AL,30.79416531604538
01117,Shelby County,AL,61.04808211777417
01119,Sumter County,AL,97.13668287412209
01121,Talladega County,AL,75.68881685575364
01123,Tallapoosa County,AL,5.564559697460832
01125,Tuscaloosa County,AL,48.67639113992436
01127,Walker County,AL,36.790923824959485
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,27.282549972987574
02020,Anchorage Municipality,AK,35.548352242031335
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,NA
02122,Kenai Peninsula Borough,AK,20.583468395461914
02130,Ketchikan Gateway Borough,AK,26.039978390059424
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,72.93354943273907
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,56.293895191788224
02240,Southeast Fairbanks Census Area,AK,NA
