fips,county,state,Over18
01001,Autauga County,AL,84.58333333333333
01003,Baldwin County,AL,15.119047619047619
01005,Barbour County,AL,27.73809523809524
01007,Bibb County,AL,59.345238095238095
01009,Blount County,AL,7.261904761904763
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,68.0952380952381
01017,Chambers County,AL,76.25
01019,Cherokee County,AL,NA
01021,Chilton County,AL,96.25
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,70.71428571428572
01031,Coffee County,AL,93.51190476190476
01033,Colbert County,AL,70.5952380952381
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,NA
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,2.083333333333333
01045,Dale County,AL,37.73809523809524
01047,Dallas County,AL,5.714285714285714
01049,DeKalb County,AL,NA
01051,Elmore County,AL,22.321428571428573
01053,Escambia County,AL,32.44047619047619
01055,Etowah County,AL,50.654761904761905
01057,Fayette County,AL,59.76190476190476
01059,Franklin County,AL,NA
01061,Geneva County,AL,46.845238095238095
01063,Greene County,AL,NA
01065,Hale County,AL,64.82142857142857
01067,Henry County,AL,NA
01069,Houston County,AL,58.333333333333336
01071,Jackson County,AL,12.797619047619047
01073,Jefferson County,AL,16.964285714285715
01075,Lamar County,AL,65.47619047619048
01077,Lauderdale County,AL,10.535714285714286
01079,Lawrence County,AL,NA
01081,Lee County,AL,27.26190476190476
01083,Limestone County,AL,30.773809523809526
01085,Lowndes County,AL,NA
01087,Macon County,AL,91.84523809523809
01089,Madison County,AL,48.095238095238095
01091,Marengo County,AL,57.26190476190476
01093,Marion County,AL,10.714285714285714
01095,Marshall County,AL,17.32142857142857
01097,Mobile County,AL,76.13095238095238
01099,Monroe County,AL,NA
01101,Montgomery County,AL,46.07142857142857
01103,Morgan County,AL,10
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,NA
01111,Randolph County,AL,NA
01113,Russell County,AL,30.952380952380953
01115,St. Clair County,AL,9.166666666666666
01117,Shelby County,AL,21.48809523809524
01119,Sumter County,AL,NA
01121,Talladega County,AL,26.785714285714285
01123,Tallapoosa County,AL,NA
01125,Tuscaloosa County,AL,1.369047619047619
01127,Walker County,AL,NA
01129,Washington County,AL,99.64285714285714
01131,Wilcox County,AL,NA
01133,Winston County,AL,32.02380952380952
02020,Anchorage Municipality,AK,13.80952380952381
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,NA
02122,Kenai Peninsula Borough,AK,74.40476190476191
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,36.19047619047619
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,59.64285714285714
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,15.773809523809524
04003,Cochise County,AZ,76.72619047619048
04005,Coconino County,AZ,54.285714285714285
04007,Gila County,AZ,88.63095238095238
04009,Graham County,AZ,39.285714285714285
04012,La Paz County,AZ,50.77380952380952
04013,Maricopa County,AZ,73.21428571428571
04015,Mohave County,AZ,74.04761904761905
04017,Navajo County,AZ,72.55952380952381
04019,Pima County,AZ,68.63095238095238
04021,Pinal County,AZ,88.86904761904762
04023,Santa Cruz County,AZ,86.19047619047619
04025,Yavapai County,AZ,54.047619047619044
04027,Yuma County,AZ,19.761904761904763
05001,Arkansas County,AR,NA
05003,Ashley County,AR,NA
05005,Baxter County,AR,9.583333333333334
05007,Benton County,AR,5.952380952380952
05009,Boone County,AR,NA
05011,Bradley County,AR,NA
05015,Carroll County,AR,96.19047619047619
05017,Chicot County,AR,NA
05019,Clark County,AR,46.42857142857143
05021,Clay County,AR,NA
05023,Cleburne County,AR,85.71428571428571
05025,Cleveland County,AR,NA
05027,Columbia County,AR,NA
05029,Conway County,AR,62.38095238095238
05031,Craighead County,AR,1.6666666666666667
05033,Crawford County,AR,31.428571428571427
05035,Crittenden County,AR,89.28571428571429
05037,Cross County,AR,NA
05039,Dallas County,AR,NA
05041,Desha County,AR,NA
05043,Drew County,AR,NA
05045,Faulkner County,AR,49.583333333333336
05047,Franklin County,AR,NA
05049,Fulton County,AR,NA
05051,Garland County,AR,NA
05053,Grant County,AR,97.14285714285714
05055,Greene County,AR,9.523809523809524
05057,Hempstead County,AR,NA
05059,Hot Spring County,AR,94.10714285714286
05061,Howard County,AR,NA
05063,Independence County,AR,13.928571428571429
05067,Jackson County,AR,NA
05069,Jefferson County,AR,NA
05071,Johnson County,AR,97.91666666666666
05075,Lawrence County,AR,87.73809523809524
05077,Lee County,AR,NA
05079,Lincoln County,AR,NA
05081,Little River County,AR,91.60714285714285
05083,Logan County,AR,43.392857142857146
05085,Lonoke County,AR,20.714285714285715
05087,Madison County,AR,99.40476190476191
05089,Marion County,AR,NA
05091,Miller County,AR,15.059523809523808
05093,Mississippi County,AR,21.011904761904763
05095,Monroe County,AR,NA
05097,Montgomery County,AR,NA
05099,Nevada County,AR,NA
05103,Ouachita County,AR,NA
05105,Perry County,AR,NA
05107,Phillips County,AR,NA
05109,Pike County,AR,NA
05111,Poinsett County,AR,NA
05113,Polk County,AR,NA
05115,Pope County,AR,57.67857142857142
05119,Pulaski County,AR,26.547619047619047
05121,Randolph County,AR,95.11904761904762
05123,St. Francis County,AR,NA
05125,Saline County,AR,0.6547619047619048
05127,Scott County,AR,NA
05129,Searcy County,AR,NA
05131,Sebastian County,AR,97.38095238095238
