ZipCode,county,state,Retirement,Geriatric
35215,Jefferson County,AL,NA,35.947712418300654
35504,Walker County,AL,NA,92.48366013071896
35565,Winston County,AL,72.28915662650603,NA
35811,Madison County,AL,48.795180722891565,NA
35901,Etowah County,AL,80.12048192771084,NA
35983,Cherokee County,AL,NA,99.34640522875817
36117,Montgomery County,AL,NA,19.28104575163399
85021,Maricopa County,AZ,NA,45.751633986928105
85248,Maricopa County,AZ,NA,4.57516339869281
85255,Maricopa County,AZ,NA,25.49019607843137
85302,Maricopa County,AZ,NA,87.90849673202614
85737,Pima County,AZ,NA,43.13725490196079
85749,Pima County,AZ,45.18072289156627,NA
86334,Yavapai County,AZ,99.3975903614458,NA
86442,Mohave County,AZ,12.650602409638553,NA
86505,Apache County,AZ,70.48192771084338,NA
71913,Garland County,AR,NA,9.803921568627452
72067,Cleburne County,AR,NA,91.17647058823529
90008,Los Angeles County,CA,NA,23.856209150326798
90029,Los Angeles County,CA,NA,36.27450980392157
90034,Los Angeles County,CA,NA,35.294117647058826
90039,Los Angeles County,CA,75.90361445783132,NA
90077,Los Angeles County,CA,NA,89.2156862745098
90242,Los Angeles County,CA,59.036144578313255,NA
90254,Los Angeles County,CA,NA,95.09803921568627
90620,Orange County,CA,40.963855421686745,NA
91042,Los Angeles County,CA,NA,74.83660130718954
91205,Los Angeles County,CA,91.56626506024097,NA
91214,Los Angeles County,CA,NA,46.73202614379085
91320,Ventura County,CA,NA,48.366013071895424
91325,Los Angeles County,CA,NA,52.94117647058824
91607,Los Angeles County,CA,NA,34.31372549019608
91744,Los Angeles County,CA,NA,18.627450980392158
92103,San Diego County,CA,NA,83.66013071895425
92683,Orange County,CA,NA,28.431372549019606
92805,Orange County,CA,49.39759036144578,NA
92832,Orange County,CA,85.54216867469879,NA
92840,Orange County,CA,NA,23.52941176470588
93065,Ventura County,CA,NA,16.666666666666664
93105,Santa Barbara County,CA,NA,82.35294117647058
93405,San Luis Obispo County,CA,84.93975903614458,NA
94306,Santa Clara County,CA,NA,51.9607843137255
94541,Alameda County,CA,NA,43.4640522875817
94559,Napa County,CA,NA,47.712418300653596
95123,Santa Clara County,CA,NA,30.392156862745097
95209,San Joaquin County,CA,57.831325301204814,57.18954248366013
95380,Stanislaus County,CA,21.686746987951807,NA
95401,Sonoma County,CA,NA,42.810457516339866
95403,Sonoma County,CA,NA,13.398692810457517
95630,Sacramento County,CA,78.3132530120482,NA
80012,Arapahoe County,CO,NA,18.30065359477124
06073,Hartford County,CT,NA,96.07843137254902
06810,Fairfield County,CT,NA,26.47058823529412
19709,New Castle County,DE,NA,27.450980392156865
19720,New Castle County,DE,NA,5.555555555555555
19803,New Castle County,DE,NA,29.73856209150327
32073,Clay County,FL,NA,21.241830065359476
32220,Duval County,FL,54.81927710843374,NA
32221,Duval County,FL,NA,41.830065359477125
32317,Leon County,FL,NA,83.98692810457517
32405,Bay County,FL,NA,16.013071895424837
32501,Escambia County,FL,NA,52.614379084967325
32566,Santa Rosa County,FL,NA,27.124183006535947
32570,Santa Rosa County,FL,NA,8.169934640522875
32601,Alachua County,FL,NA,86.60130718954248
32750,Seminole County,FL,NA,93.13725490196079
32905,Brevard County,FL,51.80722891566265,NA
32951,Brevard County,FL,NA,82.02614379084967
32958,Indian River County,FL,NA,3.9215686274509802
33050,Monroe County,FL,90.96385542168674,NA
33071,Broward County,FL,NA,67.3202614379085
33135,Miami-Dade County,FL,NA,55.55555555555556
33155,Miami-Dade County,FL,NA,45.42483660130719
33184,Miami-Dade County,FL,NA,49.34640522875817
33196,Miami-Dade County,FL,NA,48.69281045751634
33455,Martin County,FL,NA,9.477124183006536
33472,Palm Beach County,FL,NA,21.568627450980394
34288,Sarasota County,FL,NA,77.77777777777779
34420,Marion County,FL,64.45783132530121,75.81699346405229
34481,Marion County,FL,28.313253012048197,NA
34957,Martin County,FL,NA,14.37908496732026
34972,Okeechobee County,FL,NA,63.39869281045751
34990,Martin County,FL,24.69879518072289,1.9607843137254901
30087,DeKalb County,GA,22.289156626506024,31.045751633986928
30106,Cobb County,GA,NA,95.42483660130719
30117,Carroll County,GA,38.55421686746988,NA
30125,Polk County,GA,51.204819277108435,NA
30213,Fulton County,GA,66.26506024096386,NA
30236,Clayton County,GA,46.98795180722892,NA
30263,Coweta County,GA,NA,28.104575163398692
30281,Henry County,GA,19.27710843373494,NA
30341,DeKalb County,GA,73.49397590361446,NA
30349,Fulton County,GA,NA,61.111111111111114
30474,Toombs County,GA,NA,69.28104575163398
30528,White County,GA,NA,62.091503267973856
30601,Clarke County,GA,67.46987951807229,NA
30742,Catoosa County,GA,83.13253012048193,NA
30906,Richmond County,GA,35.54216867469879,NA
31792,Thomas County,GA,NA,79.73856209150327
96720,Hawaii County,HI,25.301204819277107,NA
60007,Cook County,IL,NA,23.856209150326798
60044,Lake County,IL,NA,56.5359477124183
60085,Lake County,IL,NA,58.16993464052288
60123,Kane County,IL,NA,17.973856209150327
60155,Cook County,IL,65.66265060240963,NA
60201,Cook County,IL,NA,5.228758169934641
60423,Will County,IL,NA,43.790849673202615
60426,Cook County,IL,NA,50.98039215686274
60463,Cook County,IL,93.37349397590361,NA
60467,Cook County,IL,NA,12.745098039215685
60473,Cook County,IL,NA,26.143790849673206
60614,Cook County,IL,NA,9.15032679738562
60617,Cook County,IL,3.0120481927710845,NA
60622,Cook County,IL,NA,45.09803921568628
60628,Cook County,IL,5.421686746987952,NA
60634,Cook County,IL,10.843373493975903,NA
60657,Cook County,IL,74.69879518072288,NA
60915,Kankakee County,IL,63.25301204819277,NA
61520,Fulton County,IL,NA,30.718954248366014
61832,Vermilion County,IL,12.048192771084338,NA
62232,St. Clair County,IL,NA,81.69934640522875
62294,Madison County,IL,NA,86.9281045751634
62401,Effingham County,IL,NA,94.77124183006535
62801,Marion County,IL,NA,33.33333333333333
46140,Hancock County,IN,19.879518072289155,NA
46368,Porter County,IN,2.4096385542168677,NA
46375,Lake County,IN,NA,23.202614379084967
46383,Porter County,IN,6.626506024096386,NA
46385,Porter County,IN,3.614457831325301,NA
46614,St. Joseph County,IN,NA,38.88888888888889
47201,Bartholomew County,IN,NA,11.76470588235294
