ZipCode,county,state,Retirement,Geriatric
35124,Shelby County,AL,NA,61.96473551637279
35127,Jefferson County,AL,NA,67.2544080604534
35242,Shelby County,AL,NA,80.35264483627203
35570,Marion County,AL,NA,44.83627204030227
35646,Colbert County,AL,NA,92.9471032745592
35653,Franklin County,AL,88.47736625514403,NA
35661,Colbert County,AL,66.66666666666666,NA
35801,Madison County,AL,29.218106995884774,NA
35983,Cherokee County,AL,NA,98.2367758186398
36110,Montgomery County,AL,NA,66.49874055415617
36271,Calhoun County,AL,95.47325102880659,NA
36526,Baldwin County,AL,NA,56.67506297229219
36603,Mobile County,AL,NA,80.60453400503779
99504,Anchorage Municipality,AK,NA,47.607052896725435
99611,Kenai Peninsula Borough,AK,NA,93.95465994962217
85051,Maricopa County,AZ,NA,62.468513853904284
85202,Maricopa County,AZ,NA,73.55163727959699
85205,Maricopa County,AZ,71.19341563786008,NA
85248,Maricopa County,AZ,NA,4.030226700251889
85249,Maricopa County,AZ,65.4320987654321,NA
85260,Maricopa County,AZ,NA,92.19143576826197
85331,Maricopa County,AZ,NA,49.87405541561713
85353,Maricopa County,AZ,NA,65.74307304785894
85616,Cochise County,AZ,95.47325102880659,NA
71639,Desha County,AR,NA,100
71730,Union County,AR,NA,29.219143576826195
71753,Columbia County,AR,59.67078189300411,NA
72704,Washington County,AR,74.8971193415638,NA
90069,Los Angeles County,CA,47.325102880658434,NA
90211,Los Angeles County,CA,NA,74.05541561712846
90221,Los Angeles County,CA,NA,74.55919395465995
90242,Los Angeles County,CA,84.77366255144034,NA
90247,Los Angeles County,CA,NA,43.57682619647355
91201,Los Angeles County,CA,NA,51.63727959697732
91316,Los Angeles County,CA,98.35390946502058,NA
91343,Los Angeles County,CA,NA,35.012594458438286
91745,Los Angeles County,CA,NA,24.68513853904282
91776,Los Angeles County,CA,NA,45.843828715365234
92009,San Diego County,CA,NA,39.29471032745592
92027,San Diego County,CA,NA,40.55415617128463
92056,San Diego County,CA,30.04115226337449,NA
92067,San Diego County,CA,NA,94.20654911838791
92104,San Diego County,CA,NA,69.52141057934509
92227,Imperial County,CA,51.85185185185185,NA
92311,San Bernardino County,CA,NA,71.78841309823679
92344,San Bernardino County,CA,73.25102880658436,NA
92410,San Bernardino County,CA,60.08230452674898,NA
92551,Riverside County,CA,86.0082304526749,NA
92562,Riverside County,CA,NA,35.768261964735515
92626,Orange County,CA,NA,28.211586901763226
92646,Orange County,CA,NA,5.037783375314862
92840,Orange County,CA,NA,21.41057934508816
93023,Ventura County,CA,NA,99.49622166246851
93030,Ventura County,CA,NA,56.67506297229219
93551,Los Angeles County,CA,NA,96.97732997481108
94014,San Mateo County,CA,84.36213991769547,NA
94103,San Francisco County,CA,NA,72.79596977329975
94306,Santa Clara County,CA,NA,45.08816120906801
94403,San Mateo County,CA,NA,55.91939546599496
94509,Contra Costa County,CA,NA,15.617128463476071
94533,Solano County,CA,22.633744855967077,NA
94598,Contra Costa County,CA,49.794238683127574,NA
94803,Contra Costa County,CA,NA,48.11083123425693
94920,Marin County,CA,NA,41.30982367758186
95019,Santa Cruz County,CA,NA,86.64987405541562
95118,Santa Clara County,CA,NA,52.896725440806044
95136,Santa Clara County,CA,55.55555555555556,NA
95337,San Joaquin County,CA,NA,58.94206549118388
95350,Stanislaus County,CA,NA,16.876574307304786
95608,Sacramento County,CA,17.695473251028808,NA
95818,Sacramento County,CA,67.90123456790124,NA
95928,Butte County,CA,62.55144032921811,50.62972292191436
95973,Butte County,CA,20.5761316872428,NA
80014,Arapahoe County,CO,NA,6.045340050377834
80104,Douglas County,CO,NA,78.58942065491183
80107,Elbert County,CO,92.5925925925926,NA
80132,El Paso County,CO,52.674897119341566,NA
80210,Denver County,CO,NA,62.72040302267003
80247,Arapahoe County,CO,NA,78.33753148614609
80304,Boulder County,CO,57.61316872427984,NA
80524,Larimer County,CO,NA,68.01007556675063
80634,Weld County,CO,NA,7.5566750629722925
80915,El Paso County,CO,NA,55.16372795969773
81623,Garfield County,CO,58.0246913580247,NA
06051,Hartford County,CT,17.28395061728395,NA
06112,Hartford County,CT,NA,52.39294710327456
06513,New Haven County,CT,NA,19.143576826196472
06787,Litchfield County,CT,72.42798353909465,NA
06790,Litchfield County,CT,56.37860082304527,NA
19711,New Castle County,DE,10.699588477366255,NA
19720,New Castle County,DE,3.292181069958848,NA
32065,Clay County,FL,NA,66.75062972292191
32117,Volusia County,FL,NA,31.738035264483628
32128,Volusia County,FL,54.32098765432099,NA
32131,Putnam County,FL,93.82716049382715,81.61209068010076
32207,Duval County,FL,NA,46.095717884130984
32210,Duval County,FL,NA,7.8085642317380355
32222,Duval County,FL,NA,84.1309823677582
32583,Santa Rosa County,FL,19.34156378600823,NA
32696,Levy County,FL,NA,71.03274559193954
32765,Seminole County,FL,79.42386831275721,NA
32807,Orange County,FL,97.53086419753086,NA
32825,Orange County,FL,63.78600823045267,NA
32966,Indian River County,FL,NA,14.86146095717884
32967,Indian River County,FL,NA,38.539042821158695
33020,Broward County,FL,NA,57.43073047858942
33023,Broward County,FL,69.95884773662551,NA
33032,Miami-Dade County,FL,NA,56.42317380352645
33040,Monroe County,FL,NA,53.40050377833753
33062,Broward County,FL,25.514403292181072,NA
33128,Miami-Dade County,FL,NA,64.73551637279597
33139,Miami-Dade County,FL,NA,55.41561712846348
33144,Miami-Dade County,FL,NA,13.350125944584383
33155,Miami-Dade County,FL,60.49382716049383,10.579345088161208
33165,Miami-Dade County,FL,NA,1.7632241813602016
33168,Miami-Dade County,FL,67.07818930041152,NA
33183,Miami-Dade County,FL,NA,34.76070528967254
33322,Broward County,FL,NA,9.571788413098236
33409,Palm Beach County,FL,NA,74.81108312342569
33437,Palm Beach County,FL,NA,3.022670025188917
33458,Palm Beach County,FL,NA,24.937027707808564
33460,Palm Beach County,FL,NA,62.21662468513854
33538,Sumter County,FL,NA,90.6801007556675
33541,Pasco County,FL,NA,19.64735516372796
33610,Hillsborough County,FL,NA,93.70277078085643
33705,Pinellas County,FL,NA,40.050377833753146
33778,Pinellas County,FL,NA,65.99496221662469
33782,Pinellas County,FL,46.09053497942387,NA
33811,Polk County,FL,64.60905349794238,NA
33904,Lee County,FL,48.148148148148145,NA
33908,Lee County,FL,NA,0.2518891687657431
33971,Lee County,FL,58.43621399176955,NA
33983,Charlotte County,FL,68.72427983539094,NA
33990,Lee County,FL,34.97942386831276,NA
34117,Collier County,FL,70.37037037037037,NA
34420,Marion County,FL,NA,73.04785894206549
34442,Citrus County,FL,51.440329218106996,NA
34655,Pasco County,FL,23.456790123456788,NA
34667,Pasco County,FL,NA,19.395465994962215
34744,Osceola County,FL,NA,42.82115869017632
34769,Osceola County,FL,NA,41.81360201511335
34996,Martin County,FL,NA,24.43324937027708
30033,DeKalb County,GA,NA,73.29974811083123
30039,Gwinnett County,GA,76.13168724279835,NA
30041,Forsyth County,GA,NA,18.639798488664987
30076,Fulton County,GA,37.4485596707819,NA
30101,Cobb County,GA,NA,36.02015113350126
30114,Cherokee County,GA,NA,33.50125944584383
30157,Paulding County,GA,23.868312757201647,NA
30213,Fulton County,GA,57.20164609053497,NA
30238,Clayton County,GA,53.086419753086425,NA
30306,Fulton County,GA,69.1358024691358,NA
30318,Fulton County,GA,NA,28.463476070528966
30341,DeKalb County,GA,86.41975308641975,NA
30344,Fulton County,GA,NA,67.75818639798489
30349,Fulton County,GA,NA,96.4735516372796
30439,Candler County,GA,NA,69.0176322418136
