fips,county,state,Over18
01001,Autauga County,AL,68.17420435510888
01003,Baldwin County,AL,43.383584589614735
01005,Barbour County,AL,NA
01007,Bibb County,AL,NA
01009,Blount County,AL,NA
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,80.23450586264657
01017,Chambers County,AL,NA
01019,Cherokee County,AL,69.68174204355108
01021,Chilton County,AL,NA
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,NA
01033,Colbert County,AL,52.68006700167505
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,31.742043551088777
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,19.09547738693467
01045,Dale County,AL,44.221105527638194
01047,Dallas County,AL,64.40536013400336
01049,DeKalb County,AL,32.24455611390285
01051,Elmore County,AL,15.159128978224457
01053,Escambia County,AL,NA
01055,Etowah County,AL,79.64824120603015
01057,Fayette County,AL,NA
01059,Franklin County,AL,93.2998324958124
01061,Geneva County,AL,NA
01063,Greene County,AL,NA
01065,Hale County,AL,65.57788944723619
01067,Henry County,AL,NA
01069,Houston County,AL,75.20938023450586
01071,Jackson County,AL,NA
01073,Jefferson County,AL,38.19095477386934
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,15.829145728643216
01079,Lawrence County,AL,NA
01081,Lee County,AL,NA
01083,Limestone County,AL,55.69514237855946
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,33.75209380234506
01091,Marengo County,AL,NA
01093,Marion County,AL,89.27973199329983
01095,Marshall County,AL,23.618090452261306
01097,Mobile County,AL,24.5393634840871
01099,Monroe County,AL,NA
01101,Montgomery County,AL,72.36180904522614
01103,Morgan County,AL,29.815745393634842
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,85.17587939698493
01111,Randolph County,AL,NA
01113,Russell County,AL,38.60971524288107
01115,St. Clair County,AL,13.735343383584588
01117,Shelby County,AL,80.65326633165829
01119,Sumter County,AL,NA
01121,Talladega County,AL,NA
01123,Tallapoosa County,AL,NA
01125,Tuscaloosa County,AL,13.90284757118928
01127,Walker County,AL,46.231155778894475
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,NA
02020,Anchorage Municipality,AK,19.34673366834171
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,61.39028475711893
02110,Juneau City and Borough,AK,76.04690117252932
02122,Kenai Peninsula Borough,AK,88.35845896147404
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,42.96482412060301
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,52.428810720268004
04003,Cochise County,AZ,41.79229480737018
04005,Coconino County,AZ,NA
04007,Gila County,AZ,NA
04009,Graham County,AZ,NA
04012,La Paz County,AZ,NA
04013,Maricopa County,AZ,36.85092127303183
04015,Mohave County,AZ,46.39865996649916
04017,Navajo County,AZ,26.549413735343386
04019,Pima County,AZ,33.165829145728644
04021,Pinal County,AZ,0.41876046901172526
04023,Santa Cruz County,AZ,NA
04025,Yavapai County,AZ,10.720268006700168
04027,Yuma County,AZ,64.23785594639865
05001,Arkansas County,AR,NA
05003,Ashley County,AR,NA
05005,Baxter County,AR,NA
05007,Benton County,AR,33.835845896147404
