fips,county,state,Over18
01001,Autauga County,AL,NA
01003,Baldwin County,AL,22.365805168986082
01005,Barbour County,AL,NA
01007,Bibb County,AL,NA
01009,Blount County,AL,74.05566600397614
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,34.791252485089466
01017,Chambers County,AL,NA
01019,Cherokee County,AL,NA
01021,Chilton County,AL,NA
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,NA
01033,Colbert County,AL,NA
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,46.02385685884692
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,72.96222664015905
01045,Dale County,AL,55.76540755467197
01047,Dallas County,AL,NA
01049,DeKalb County,AL,71.07355864811133
01051,Elmore County,AL,69.58250497017893
01053,Escambia County,AL,NA
01055,Etowah County,AL,33.89662027833002
01057,Fayette County,AL,NA
01059,Franklin County,AL,NA
01061,Geneva County,AL,NA
01063,Greene County,AL,NA
01065,Hale County,AL,71.96819085487077
01067,Henry County,AL,NA
01069,Houston County,AL,18.986083499005964
01071,Jackson County,AL,NA
01073,Jefferson County,AL,39.165009940357855
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,29.82107355864811
01079,Lawrence County,AL,NA
01081,Lee County,AL,23.658051689860834
01083,Limestone County,AL,80.71570576540755
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,17.992047713717692
01091,Marengo County,AL,NA
01093,Marion County,AL,NA
01095,Marshall County,AL,76.54075546719682
01097,Mobile County,AL,46.42147117296223
01099,Monroe County,AL,NA
01101,Montgomery County,AL,8.34990059642147
01103,Morgan County,AL,10.834990059642147
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,73.06163021868787
01111,Randolph County,AL,NA
01113,Russell County,AL,NA
01115,St. Clair County,AL,NA
01117,Shelby County,AL,10.73558648111332
01119,Sumter County,AL,NA
01121,Talladega County,AL,23.45924453280318
01123,Tallapoosa County,AL,51.689860834990064
01125,Tuscaloosa County,AL,79.42345924453281
01127,Walker County,AL,31.21272365805169
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,NA
02020,Anchorage Municipality,AK,5.964214711729622
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,43.836978131212724
02110,Juneau City and Borough,AK,NA
02122,Kenai Peninsula Borough,AK,46.12326043737575
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
