ZipCode,county,state,Adult,Retirement,Geriatric
35005,Jefferson County,AL,NA,NA,98.14084507042253
35007,Shelby County,AL,NA,42.69791368962561,NA
35010,Tallapoosa County,AL,21.29403944161312,10.074306944841384,75.69953051643192
35014,Talladega County,AL,NA,NA,91.69953051643192
35016,Marshall County,AL,37.04852647906049,NA,NA
35020,Jefferson County,AL,28.207400842011964,NA,94.49765258215962
35022,Jefferson County,AL,23.90870817637935,22.420691626178908,32.92018779342723
35023,Jefferson County,AL,47.950365610458675,53.81537582166334,NA
35031,Blount County,AL,83.73587414136938,NA,70.92957746478874
35033,Cullman County,AL,NA,98.68533866819091,NA
35040,Shelby County,AL,33.34810547307778,43.28379537010574,NA
35043,Shelby County,AL,NA,70.20577307802229,NA
35044,Talladega County,AL,NA,53.01514718490997,NA
35045,Chilton County,AL,NA,41.097456416118895,59.13615023474178
35046,Chilton County,AL,NA,95.02715061446128,NA
35051,Shelby County,AL,75.53733658320408,NA,NA
35054,St. Clair County,AL,NA,NA,73.23943661971832
35055,Cullman County,AL,39.92909372922668,NA,33.42723004694836
35057,Cullman County,AL,NA,85.21006001714775,75.88732394366198
35058,Cullman County,AL,83.44781741635275,48.28522434981423,85.16431924882629
35062,Jefferson County,AL,NA,62.13203772506431,NA
35068,Jefferson County,AL,NA,76.43612460703058,NA
35071,Jefferson County,AL,58.34256592067361,NA,34.91079812206573
35077,Cullman County,AL,NA,37.62503572449271,48.751173708920184
35079,Blount County,AL,94.30534012851761,NA,NA
35080,Shelby County,AL,NA,45.91311803372392,NA
35094,Jefferson County,AL,44.75958342565921,71.0488711060303,NA
35096,Talladega County,AL,NA,NA,98.02816901408451
35111,Tuscaloosa County,AL,29.89142477287835,NA,NA
35115,Shelby County,AL,NA,33.438125178622464,79.92488262910798
35117,Jefferson County,AL,82.1626412585863,NA,NA
35118,Jefferson County,AL,NA,89.0968848242355,92.56338028169014
35121,Blount County,AL,NA,21.977707916547583,98.36619718309859
35124,Shelby County,AL,NA,12.017719348385253,NA
35125,St. Clair County,AL,41.568801240859734,74.30694484138326,NA
35126,Jefferson County,AL,NA,21.177479279794227,99.43661971830986
35127,Jefferson County,AL,NA,92.14061160331524,54.85446009389672
35128,St. Clair County,AL,NA,74.52129179765647,NA
35133,Blount County,AL,NA,87.41068876821949,NA
35146,St. Clair County,AL,67.40527365388877,NA,81.91549295774648
35150,Talladega County,AL,24.97230223797917,NA,NA
35151,Talladega County,AL,NA,69.03400971706202,99.71830985915493
35160,Talladega County,AL,NA,70.84881394684196,NA
35173,Jefferson County,AL,33.96853534234434,NA,24.300469483568072
35175,Marshall County,AL,NA,93.58388110888825,91.1549295774648
35179,Cullman County,AL,95.28030135165079,58.94541297513576,NA
35180,Jefferson County,AL,NA,87.0963132323521,NA
35204,Jefferson County,AL,NA,35.62446413260932,38.21596244131455
35205,Jefferson County,AL,NA,NA,97.20187793427229
35206,Jefferson County,AL,46.53224019499225,19.062589311231783,NA
35207,Jefferson County,AL,NA,86.89625607316376,NA
35208,Jefferson County,AL,23.930866385996012,78.90825950271505,NA
35210,Jefferson County,AL,NA,71.56330380108602,39.248826291079816
35211,Jefferson County,AL,NA,49.79994284081166,14.460093896713616
35213,Jefferson County,AL,NA,35.42440697342098,38.347417840375584
35215,Jefferson County,AL,3.412364280966098,63.68962560731638,NA
35216,Jefferson County,AL,NA,88.98256644755645,22.497652582159624
35217,Jefferson County,AL,NA,83.12374964275507,NA
35218,Jefferson County,AL,49.50144028362508,NA,74.25352112676057
35221,Jefferson County,AL,NA,88.75392969419835,94.83568075117371
35222,Jefferson County,AL,NA,72.47785081451843,NA
35223,Jefferson County,AL,NA,50.72877965132895,50.497652582159624
35226,Jefferson County,AL,32.26235320186129,NA,36.97652582159625
35228,Jefferson County,AL,NA,57.30208631037439,64.99530516431925
35234,Jefferson County,AL,NA,NA,72.16901408450704
35235,Jefferson County,AL,82.33990693551961,NA,NA
35242,Shelby County,AL,17.726567693330377,36.22463561017433,60.01877934272301
35243,Jefferson County,AL,NA,NA,33.91549295774648
35244,Jefferson County,AL,31.95213826722801,67.2049156901972,68.05633802816902
35401,Tuscaloosa County,AL,NA,86.68190911689054,NA
35404,Tuscaloosa County,AL,7.0241524484821625,NA,NA
35405,Tuscaloosa County,AL,36.6275204963439,NA,NA
35452,Tuscaloosa County,AL,96.60979392865056,NA,NA
35453,Tuscaloosa County,AL,39.44161311766009,39.3255215775936,NA
35462,Greene County,AL,NA,95.9274078308088,94.47887323943662
35473,Tuscaloosa County,AL,NA,24.249785653043727,44.33802816901408
35474,Hale County,AL,NA,98.39954272649328,NA
35475,Tuscaloosa County,AL,65.52182583647242,20.6630465847385,93.48356807511738
35481,Pickens County,AL,NA,99.08545298656759,NA
35503,Walker County,AL,50.85309107024153,NA,NA
35504,Walker County,AL,NA,84.19548442412118,NA
35553,Winston County,AL,NA,NA,99.39906103286384
35555,Fayette County,AL,NA,NA,78.83568075117371
35563,Marion County,AL,82.69443828938621,NA,92.16901408450704
35565,Winston County,AL,55.46199867050742,NA,NA
35580,Walker County,AL,98.53755816530024,NA,NA
35581,Franklin County,AL,NA,86.03886824807088,NA
35582,Franklin County,AL,86.50565034345225,90.44012575021435,NA
35592,Lamar County,AL,89.6521161090184,NA,NA
35594,Marion County,AL,70.52958120983824,51.671906258931124,NA
35601,Morgan County,AL,NA,2.857959416976279,NA
35603,Morgan County,AL,NA,NA,82.4225352112676
35611,Limestone County,AL,71.43806780412143,29.908545298656758,NA
35613,Limestone County,AL,58.03235098604033,53.229494141183196,45.29577464788732
35614,Limestone County,AL,NA,57.7593598170906,NA
35616,Colbert County,AL,98.47108353645025,NA,NA
35630,Lauderdale County,AL,NA,62.403543869677044,NA
35633,Lauderdale County,AL,98.47108353645025,88.72535010002858,NA
35640,Morgan County,AL,84.11256370485265,11.917690768791084,61.93427230046949
35645,Lauderdale County,AL,NA,NA,80.99530516431925
35646,Colbert County,AL,NA,98.85681623320949,NA
35650,Lawrence County,AL,93.90649235541768,47.885110031437556,19.981220657276996
35661,Colbert County,AL,NA,NA,84.52582159624413
35672,Lawrence County,AL,NA,85.85310088596742,NA
35673,Morgan County,AL,NA,70.10574449842812,NA
35674,Colbert County,AL,NA,NA,44.48826291079812
35677,Lauderdale County,AL,99.97784179038334,NA,NA
35739,Limestone County,AL,95.65699091513406,NA,NA
35747,Marshall County,AL,NA,62.63218062303515,NA
35748,Madison County,AL,NA,44.355530151471854,NA
35750,Madison County,AL,NA,27.436410402972278,NA
35754,Morgan County,AL,97.91712829603368,94.45555873106602,NA
35756,Limestone County,AL,NA,NA,95.77464788732394
35757,Madison County,AL,97.87281187680036,NA,NA
35758,Madison County,AL,23.288278307112787,13.032294941411832,NA
35759,Madison County,AL,94.46044759583425,NA,96.07511737089202
35761,Madison County,AL,NA,46.684767076307516,NA
35763,Madison County,AL,62.907157101706176,26.8076593312375,NA
35768,Jackson County,AL,44.4050520717926,23.935410117176335,NA
35769,Jackson County,AL,80.96609793928651,95.58445270077165,47.455399061032864
35773,Madison County,AL,87.54708619543541,NA,80.11267605633803
