fips,county,state,Over18
01001,Autauga County,AL,NA
01003,Baldwin County,AL,7.958115183246073
01005,Barbour County,AL,NA
01007,Bibb County,AL,76.75392670157069
01009,Blount County,AL,NA
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,16.649214659685864
01017,Chambers County,AL,NA
01019,Cherokee County,AL,NA
01021,Chilton County,AL,69.21465968586388
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,NA
01033,Colbert County,AL,45.654450261780106
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,NA
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,NA
01045,Dale County,AL,64.29319371727749
01047,Dallas County,AL,NA
01049,DeKalb County,AL,NA
01051,Elmore County,AL,36.439790575916234
01053,Escambia County,AL,60.31413612565445
01055,Etowah County,AL,NA
01057,Fayette County,AL,NA
01059,Franklin County,AL,NA
01061,Geneva County,AL,70.68062827225131
01063,Greene County,AL,99.89528795811519
01065,Hale County,AL,NA
01067,Henry County,AL,NA
01069,Houston County,AL,51.832460732984295
01071,Jackson County,AL,97.59162303664921
01073,Jefferson County,AL,48.167539267015705
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,NA
01079,Lawrence County,AL,NA
01081,Lee County,AL,NA
01083,Limestone County,AL,59.26701570680628
01085,Lowndes County,AL,NA
01087,Macon County,AL,98.1151832460733
01089,Madison County,AL,43.1413612565445
01091,Marengo County,AL,NA
01093,Marion County,AL,90.0523560209424
01095,Marshall County,AL,NA
01097,Mobile County,AL,47.95811518324607
01099,Monroe County,AL,NA
01101,Montgomery County,AL,9.424083769633508
01103,Morgan County,AL,36.02094240837697
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,NA
01111,Randolph County,AL,NA
01113,Russell County,AL,NA
01115,St. Clair County,AL,NA
01117,Shelby County,AL,12.041884816753926
01119,Sumter County,AL,NA
01121,Talladega County,AL,NA
01123,Tallapoosa County,AL,82.19895287958116
01125,Tuscaloosa County,AL,20.418848167539267
01127,Walker County,AL,NA
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,NA
02020,Anchorage Municipality,AK,6.701570680628273
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,NA
02122,Kenai Peninsula Borough,AK,55.07853403141362
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,83.45549738219896
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,79.68586387434556
04003,Cochise County,AZ,19.790575916230367
04005,Coconino County,AZ,66.49214659685863
04007,Gila County,AZ,NA
04009,Graham County,AZ,NA
04012,La Paz County,AZ,NA
04013,Maricopa County,AZ,29.109947643979055
04015,Mohave County,AZ,39.16230366492147
04017,Navajo County,AZ,21.780104712041883
04019,Pima County,AZ,33.089005235602095
04021,Pinal County,AZ,38.010471204188484
04023,Santa Cruz County,AZ,60.10471204188481
04025,Yavapai County,AZ,58.21989528795811
04027,Yuma County,AZ,43.66492146596859
05001,Arkansas County,AR,88.06282722513089
05003,Ashley County,AR,NA
05005,Baxter County,AR,63.03664921465969
05007,Benton County,AR,57.06806282722513
05009,Boone County,AR,71.93717277486911
05011,Bradley County,AR,95.07853403141361
05015,Carroll County,AR,NA
05017,Chicot County,AR,NA
05019,Clark County,AR,NA
05021,Clay County,AR,NA
05023,Cleburne County,AR,NA
05025,Cleveland County,AR,NA
05027,Columbia County,AR,86.07329842931937
05029,Conway County,AR,NA
05031,Craighead County,AR,84.18848167539267
05033,Crawford County,AR,59.58115183246073
05035,Crittenden County,AR,NA
05037,Cross County,AR,NA
05039,Dallas County,AR,NA
05041,Desha County,AR,NA
05043,Drew County,AR,NA
05045,Faulkner County,AR,37.27748691099477
05047,Franklin County,AR,NA
05049,Fulton County,AR,NA
05051,Garland County,AR,72.04188481675394
05053,Grant County,AR,NA
05055,Greene County,AR,NA
05057,Hempstead County,AR,90.99476439790575
05059,Hot Spring County,AR,NA
05061,Howard County,AR,NA
05063,Independence County,AR,68.48167539267016
05067,Jackson County,AR,NA
05069,Jefferson County,AR,95.18324607329843
05071,Johnson County,AR,NA
05075,Lawrence County,AR,96.96335078534032
05077,Lee County,AR,NA
05079,Lincoln County,AR,NA
05081,Little River County,AR,NA
05083,Logan County,AR,NA
05085,Lonoke County,AR,50.78534031413613
05087,Madison County,AR,NA
05089,Marion County,AR,NA
05091,Miller County,AR,NA
05093,Mississippi County,AR,89.31937172774869
05095,Monroe County,AR,NA
