fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,61.454792658055744
01003,Baldwin County,AL,52.15827338129496,40.58463630183549
01009,Blount County,AL,NA,24.065261726716518
01015,Calhoun County,AL,NA,82.324949014276
01021,Chilton County,AL,NA,87.15159755268525
01031,Coffee County,AL,NA,31.339225016995243
01033,Colbert County,AL,NA,42.21617946974847
01039,Covington County,AL,NA,74.98300475866758
01043,Cullman County,AL,74.46043165467626,37.38953093133922
01045,Dale County,AL,NA,69.27260367097213
01047,Dallas County,AL,NA,75.79877634262407
01051,Elmore County,AL,NA,77.63426240652618
01053,Escambia County,AL,NA,64.17403127124405
01055,Etowah County,AL,NA,9.925220938137322
01057,Fayette County,AL,NA,51.869476546566965
01059,Franklin County,AL,NA,81.16927260367098
01065,Hale County,AL,NA,57.64785859959212
01069,Houston County,AL,NA,35.010197144799456
01071,Jackson County,AL,NA,72.26376614547927
01073,Jefferson County,AL,NA,27.124405166553366
01075,Lamar County,AL,NA,86.13188307273964
01077,Lauderdale County,AL,NA,83.41264445955132
01079,Lawrence County,AL,NA,36.91366417403127
01081,Lee County,AL,NA,58.12372535690007
01083,Limestone County,AL,75.89928057553958,NA
01087,Macon County,AL,NA,97.41672331747111
01089,Madison County,AL,NA,53.16111488783141
01093,Marion County,AL,NA,69.40856560163155
01095,Marshall County,AL,NA,44.663494221617945
01097,Mobile County,AL,25.899280575539567,46.29503738953093
01101,Montgomery County,AL,42.44604316546763,23.657375934738273
01103,Morgan County,AL,NA,52.07341944255608
01109,Pike County,AL,NA,59.14343983684568
01113,Russell County,AL,NA,62.47450713800136
01117,Shelby County,AL,NA,60.1631543167913
01121,Talladega County,AL,55.03597122302158,4.350781781101292
01123,Tallapoosa County,AL,NA,25.900747790618627
01125,Tuscaloosa County,AL,40.28776978417266,37.72943575798776
01127,Walker County,AL,91.00719424460432,8.225696804894628
01133,Winston County,AL,84.53237410071942,NA
02020,Anchorage Municipality,AK,NA,37.93337865397689
02170,Matanuska-Susitna Borough,AK,NA,68.0489462950374
02220,Sitka City and Borough,AK,NA,95.85316111488783
04001,Apache County,AZ,NA,56.90006798096533
04003,Cochise County,AZ,NA,73.21549966009518
04005,Coconino County,AZ,NA,20.666213460231138
04007,Gila County,AZ,NA,17.33514615907546
04012,La Paz County,AZ,NA,45.00339904826649
04013,Maricopa County,AZ,21.942446043165468,38.81713120326309
04015,Mohave County,AZ,NA,40.99252209381373
04017,Navajo County,AZ,NA,14.072059823249491
04019,Pima County,AZ,12.23021582733813,43.09993201903467
04021,Pinal County,AZ,25.179856115107913,76.95445275322909
04023,Santa Cruz County,AZ,NA,25.220938137321554
04025,Yavapai County,AZ,NA,4.826648538409246
04027,Yuma County,AZ,NA,0.3399048266485384
05005,Baxter County,AR,NA,29.367777022433717
05007,Benton County,AR,NA,48.130523453433035
05009,Boone County,AR,NA,43.3718558803535
05015,Carroll County,AR,NA,61.18286879673691
05019,Clark County,AR,NA,75.86675730795378
05023,Cleburne County,AR,NA,47.11080897348742
05027,Columbia County,AR,NA,72.46770904146838
05031,Craighead County,AR,NA,7.409925220938137
05033,Crawford County,AR,NA,24.67709041468389
05035,Crittenden County,AR,NA,91.09449354180829
05039,Dallas County,AR,NA,97.07681849082257
05043,Drew County,AR,NA,81.84908225696805
05045,Faulkner County,AR,NA,52.88919102651257
05051,Garland County,AR,NA,43.50781781101291
05055,Greene County,AR,NA,29.163834126444595
05057,Hempstead County,AR,NA,85.24813052345344
05061,Howard County,AR,NA,99.66009517335146
05063,Independence County,AR,NA,73.89530931339226
05069,Jefferson County,AR,NA,35.75798776342624
05075,Lawrence County,AR,NA,95.64921821889871
05077,Lee County,AR,NA,98.708361658735555
05079,Lincoln County,AR,NA,88.30727396329027
05083,Logan County,AR,NA,74.23521414004078
05091,Miller County,AR,NA,87.83140720598233
05111,Poinsett County,AR,NA,97.48470428280082
05115,Pope County,AR,NA,66.62134602311353
05119,Pulaski County,AR,NA,53.297076818490815
05123,St. Francis County,AR,NA,89.25900747790618
05125,Saline County,AR,NA,43.57579877634262
05131,Sebastian County,AR,NA,63.97008837525493
05139,Union County,AR,NA,44.79945615227736
05143,Washington County,AR,NA,37.32154996600951
05149,Yell County,AR,NA,83.75254928619987
06001,Alameda County,CA,6.83453237410072,32.01903467029232
06005,Amador County,CA,NA,48.40244731475187
06007,Butte County,CA,NA,8.089734874235214
06013,Contra Costa County,CA,39.20863309352518,58.871515975526854
06015,Del Norte County,CA,NA,58.939496940856564
06017,El Dorado County,CA,NA,5.098572399728076
06019,Fresno County,CA,13.309352517985612,55.67641060503059
06021,Glenn County,CA,NA,48.81033310673011
06023,Humboldt County,CA,74.82014388489209,40.92454112848402
06025,Imperial County,CA,48.561151079136685,38.20530251529572
06029,Kern County,CA,36.69064748201439,52.685248130523455
06033,Lake County,CA,NA,57.23997280761387
06037,Los Angeles County,CA,10.071942446043165,60.571040108769544
06039,Madera County,CA,65.10791366906474,4.418762746431
06041,Marin County,CA,NA,23.725356900067982
06043,Mariposa County,CA,NA,79.12984364377974
06045,Mendocino County,CA,NA,85.58803535010198
06047,Merced County,CA,67.62589928057554,36.777702243371856
06053,Monterey County,CA,NA,34.33038749150238
06055,Napa County,CA,NA,35.62202583276682
06057,Nevada County,CA,NA,26.444595513256285
06059,Orange County,CA,17.985611510791365,42.76002719238613
06061,Placer County,CA,NA,65.87355540448674
06065,Riverside County,CA,2.5179856115107913,47.65465669612509
06067,Sacramento County,CA,27.33812949640288,25.492861998640382
06069,San Benito County,CA,NA,41.944255608429636
06071,San Bernardino County,CA,44.96402877697842,26.172671651937456
06073,San Diego County,CA,41.007194244604314,58.19170632222978
06075,San Francisco County,CA,NA,22.90958531611149
06077,San Joaquin County,CA,19.424460431654676,25.356900067980963
06079,San Luis Obispo County,CA,NA,34.39836845683209
06081,San Mateo County,CA,NA,51.18966689326988
06083,Santa Barbara County,CA,NA,2.2433718558803535
06085,Santa Clara County,CA,NA,35.825968728755946
06087,Santa Cruz County,CA,NA,52.82121006118287
06089,Shasta County,CA,NA,27.94017675050986
06093,Siskiyou County,CA,NA,70.8361658735554
06095,Solano County,CA,NA,48.87831407205982
06097,Sonoma County,CA,NA,34.5343303874915
06099,Stanislaus County,CA,NA,50.50985723997281
06101,Sutter County,CA,NA,38.8851121685928
06103,Tehama County,CA,NA,64.71787899388171
06107,Tulare County,CA,42.805755395683455,31.543167912984366
06109,Tuolumne County,CA,NA,45.34330387491502
06111,Ventura County,CA,NA,47.450713800135965
06113,Yolo County,CA,88.84892086330936,NA
06115,Yuba County,CA,NA,22.9775662814412
08001,Adams County,CO,15.107913669064748,32.69884432358939
08003,Alamosa County,CO,NA,65.39768864717878
08005,Arapahoe County,CO,11.151079136690647,11.012916383412644
08013,Boulder County,CO,NA,62.27056424201224
08014,Broomfield County,CO,NA,81.98504418762747
08027,Custer County,CO,NA,99.18422841604351
08031,Denver County,CO,45.68345323741007,38.0013596193066
08035,Douglas County,CO,NA,27.60027192386132
08041,El Paso County,CO,NA,18.966689326988444
08043,Fremont County,CO,NA,69.61250849762067
08045,Garfield County,CO,NA,82.80081577158396
08055,Huerfano County,CO,NA,92.72603670972128
08059,Jefferson County,CO,63.30935251798561,40.380693405846365
08067,La Plata County,CO,NA,71.85588035350102
08069,Larimer County,CO,NA,1.087695445275323
08071,Las Animas County,CO,NA,92.25016995241332
08075,Logan County,CO,NA,65.19374575118967
08077,Mesa County,CO,NA,55.472467709041474
08083,Montezuma County,CO,NA,79.87763426240653
08085,Montrose County,CO,84.89208633093526,NA
08087,Morgan County,CO,NA,86.81169272603671
08101,Pueblo County,CO,NA,15.159755268524814
08107,Routt County,CO,NA,96.66893269884433
08123,Weld County,CO,53.597122302158276,36.64174031271244
08125,Yuma County,CO,NA,100
09001,Fairfield County,CT,NA,22.365737593473828
09003,Hartford County,CT,NA,17.131203263086338
09005,Litchfield County,CT,NA,25.76478585995921
09007,Middlesex County,CT,NA,23.385452073419444
09009,New Haven County,CT,NA,29.231815091774305
09011,New London County,CT,NA,51.665533650577835
09013,Tolland County,CT,64.02877697841727,21.07409925220938
09015,Windham County,CT,NA,10.061182868796736
10001,Kent County,DE,NA,39.97280761386811
10003,New Castle County,DE,11.510791366906476,49.35418082936778
10005,Sussex County,DE,NA,34.4663494221618
11001,District of Columbia,DC,14.388489208633093,59.619306594153635
12001,Alachua County,FL,NA,48.266485384092455
