ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35020,Jefferson County,AL,NA,NA,28.934010152284262,NA
35022,Jefferson County,AL,NA,NA,15.313028764805415,NA
35045,Chilton County,AL,NA,NA,NA,93.75639713408394
35071,Jefferson County,AL,NA,73.43078245915736,NA,NA
35077,Cullman County,AL,NA,NA,NA,70.52200614124871
35114,Shelby County,AL,NA,NA,NA,85.26100307062437
35120,St. Clair County,AL,NA,NA,76.48054145516075,NA
35124,Shelby County,AL,NA,64.31642304385211,NA,NA
35173,Jefferson County,AL,NA,80.65348237317282,38.40947546531303,NA
35204,Jefferson County,AL,NA,NA,65.65143824027074,NA
35212,Jefferson County,AL,NA,NA,NA,93.3469805527124
35213,Jefferson County,AL,NA,NA,NA,62.026612077789146
35226,Jefferson County,AL,NA,NA,19.96615905245347,25.690890481064482
35228,Jefferson County,AL,NA,NA,82.23350253807106,NA
35466,Pickens County,AL,NA,NA,NA,96.11054247697032
35474,Hale County,AL,NA,65.43422184006879,NA,NA
35475,Tuscaloosa County,AL,NA,49.09716251074806,NA,NA
35476,Tuscaloosa County,AL,NA,61.99484092863285,NA,NA
35594,Marion County,AL,NA,95.01289767841789,NA,NA
35601,Morgan County,AL,NA,NA,13.282571912013536,NA
35670,Morgan County,AL,NA,NA,NA,92.32343909928352
35673,Morgan County,AL,NA,NA,88.74788494077835,NA
35674,Colbert County,AL,NA,NA,47.03891708967851,NA
36092,Elmore County,AL,NA,77.38607050730867,NA,NA
36117,Montgomery County,AL,NA,NA,NA,20.16376663254862
36274,Randolph County,AL,NA,97.07652622527945,NA,NA
36340,Geneva County,AL,NA,NA,NA,93.96110542476971
36421,Covington County,AL,NA,NA,77.2419627749577,68.16786079836234
36502,Escambia County,AL,NA,43.07824591573517,NA,NA
36587,Mobile County,AL,NA,80.82545141874462,NA,NA
36606,Mobile County,AL,NA,63.628546861564914,NA,NA
36608,Mobile County,AL,NA,NA,46.615905245346866,NA
36617,Mobile County,AL,NA,NA,86.88663282571912,NA
36619,Mobile County,AL,NA,NA,70.05076142131979,82.19037871033777
36830,Lee County,AL,NA,67.84178847807395,58.71404399323181,NA
36854,Chambers County,AL,NA,61.650902837489255,NA,NA
99504,Anchorage Municipality,AK,NA,NA,75.04230118443317,NA
99508,Anchorage Municipality,AK,NA,NA,36.12521150592217,NA
99517,Anchorage Municipality,AK,NA,NA,NA,81.06448311156602
99577,Anchorage Municipality,AK,NA,NA,97.37732656514383,NA
85006,Maricopa County,AZ,57.92349726775956,NA,NA,NA
85008,Maricopa County,AZ,NA,12.381771281169389,NA,NA
85015,Maricopa County,AZ,NA,NA,50,NA
85016,Maricopa County,AZ,NA,NA,33.50253807106599,NA
85017,Maricopa County,AZ,NA,NA,73.26565143824027,NA
85021,Maricopa County,AZ,NA,NA,32.233502538071065,NA
85022,Maricopa County,AZ,NA,18.572656921754085,NA,NA
85031,Maricopa County,AZ,NA,49.01117798796217,NA,NA
85033,Maricopa County,AZ,NA,NA,37.7326565143824,NA
85037,Maricopa County,AZ,NA,24.247635425623386,NA,NA
85042,Maricopa County,AZ,NA,25.27944969905417,55.922165820642974,NA
85043,Maricopa County,AZ,NA,83.83490971625108,NA,NA
85044,Maricopa County,AZ,NA,18.22871883061049,46.78510998307953,65.71136131013307
