ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,NA,72.45160416948694,NA
35005,Jefferson County,AL,NA,44.96583143507973,NA,NA
35007,Shelby County,AL,NA,11.400911161731207,36.103966427507785,NA
35010,Tallapoosa County,AL,NA,65.07972665148064,32.232299986462706,16.181318681318682
35016,Marshall County,AL,NA,91.65148063781321,11.087044808447272,NA
35020,Jefferson County,AL,NA,30.022779043280185,48.80194937051577,87.96703296703296
35022,Jefferson County,AL,NA,57.98405466970388,2.748070935427102,39.78021978021978
35023,Jefferson County,AL,NA,67.50569476082005,2.0847434682550428,10.741758241758241
35031,Blount County,AL,NA,30.296127562642365,92.10775687017734,NA
35034,Bibb County,AL,NA,NA,64.39691349668337,NA
35040,Shelby County,AL,NA,34.874715261959,NA,NA
35042,Bibb County,AL,NA,73.98633257403189,NA,NA
35043,Shelby County,AL,NA,NA,85.6910789224313,NA
35044,Talladega County,AL,NA,80.5239179954442,NA,NA
35046,Chilton County,AL,NA,NA,60.078516312440776,NA
35051,Shelby County,AL,78.92325315005728,49.2255125284738,82.27968051983213,NA
35054,St. Clair County,AL,NA,93.75854214123007,NA,75.82417582417582
35055,Cullman County,AL,NA,NA,77.0136726682009,40.24725274725275
35057,Cullman County,AL,NA,NA,NA,93.02197802197803
35058,Cullman County,AL,NA,93.063781321184507,NA,85.41208791208791
35062,Jefferson County,AL,NA,92.1640091116173,NA,NA
35071,Jefferson County,AL,NA,76.59453302961275,86.1242723703804,NA
35072,Coosa County,AL,NA,93.57630979498862,92.7846216325978,NA
35077,Cullman County,AL,NA,16.9248291571754,79.68051983213755,NA
35079,Blount County,AL,68.38487972508591,85.8883826879271,NA,NA
35080,Shelby County,AL,NA,63.2004555808656,70.89481521591986,NA
35085,Chilton County,AL,NA,NA,62.60999052389332,NA
35094,Jefferson County,AL,NA,16.958997722095674,NA,NA
35111,Tuscaloosa County,AL,NA,31.640091116173117,50.30458914308921,NA
35114,Shelby County,AL,NA,62.1867881548975,NA,NA
35115,Shelby County,AL,80.87056128293241,NA,NA,NA
35117,Jefferson County,AL,NA,84.49886104783599,NA,NA
35118,Jefferson County,AL,97.36540664375715,NA,NA,NA
35120,St. Clair County,AL,NA,92.39179954441914,41.451198050629486,NA
35121,Blount County,AL,NA,18.861047835990888,NA,NA
35124,Shelby County,AL,NA,19.98861047835991,9.62501692161906,NA
35125,St. Clair County,AL,NA,14.80637813211845,NA,NA
35126,Jefferson County,AL,57.159221076746846,57.357630979498865,17.36834980370922,NA
35127,Jefferson County,AL,NA,44.22551252847381,24.01516177067822,NA
35128,St. Clair County,AL,NA,63.371298405466966,NA,NA
35146,St. Clair County,AL,NA,83.3371298405467,66.14322458372817,NA
35147,Shelby County,AL,NA,98.02961275626424,NA,NA
35150,Talladega County,AL,NA,45.62642369020501,NA,32.5
35151,Talladega County,AL,NA,NA,60.90429132259375,94.23076923076923
35160,Talladega County,AL,7.331042382588775,51.75398633257403,74.04900500879924,18.48901098901099
35171,Chilton County,AL,NA,97.76765375854214,NA,NA
35173,Jefferson County,AL,NA,75.8883826879271,38.5812914579667,NA
35175,Marshall County,AL,NA,90.15945330296128,NA,NA
35179,Cullman County,AL,NA,49.134396355353076,79.54514687965344,NA
35180,Jefferson County,AL,NA,NA,33.70786516853933,NA
35184,Bibb County,AL,NA,87.53986332574031,NA,NA
35204,Jefferson County,AL,NA,NA,29.68728847976174,NA
35205,Jefferson County,AL,NA,NA,35.60308650331664,NA
35206,Jefferson County,AL,NA,18.223234624145785,NA,NA
35207,Jefferson County,AL,NA,24.07744874715262,52.971436307025854,NA
35208,Jefferson County,AL,NA,NA,NA,66.86813186813187
35209,Jefferson County,AL,58.99198167239405,35.170842824601365,NA,79.3131868131868
35210,Jefferson County,AL,NA,56.845102505694754,NA,46.34615384615385
35211,Jefferson County,AL,71.8213058419244,8.633257403189067,24.39420603763368,19.78021978021978
35212,Jefferson County,AL,NA,34.07744874715262,NA,95.52197802197803
35213,Jefferson County,AL,NA,54.89749430523918,62.67767700013537,45.3021978021978
35214,Jefferson County,AL,NA,20.432801822323462,NA,NA
35215,Jefferson County,AL,NA,52.699316628701595,9.611479626370652,NA
35216,Jefferson County,AL,NA,12.995444191343964,NA,28.57142857142857
35217,Jefferson County,AL,46.620847651775485,94.95444191343964,45.78313253012048,NA
35221,Jefferson County,AL,NA,87.73348519362186,NA,NA
35223,Jefferson County,AL,NA,NA,43.143359956680655,NA
