ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35007,Shelby County,AL,NA,NA,NA,95.24475524475524
35016,Marshall County,AL,NA,NA,34.71552555448409,NA
35020,Jefferson County,AL,NA,NA,NA,32.354312354312356
35023,Jefferson County,AL,NA,NA,12.584378013500483,NA
35042,Bibb County,AL,NA,NA,NA,89.18414918414919
35043,Shelby County,AL,NA,NA,87.70491803278688,NA
35046,Chilton County,AL,91.0493827160494,NA,NA,NA
35054,St. Clair County,AL,NA,NA,NA,86.38694638694638
35055,Cullman County,AL,NA,55.41855937702791,NA,NA
35057,Cullman County,AL,NA,NA,NA,97.38927738927738
35071,Jefferson County,AL,NA,NA,75.07232401157185,NA
35072,Coosa County,AL,NA,NA,78.83317261330762,NA
35080,Shelby County,AL,41.04938271604938,NA,NA,NA
35085,Chilton County,AL,NA,85.98312783906555,NA,NA
35094,Jefferson County,AL,NA,60.48020765736535,NA,NA
35111,Tuscaloosa County,AL,NA,NA,NA,93.89277389277389
35121,Blount County,AL,NA,63.07592472420506,NA,NA
35124,Shelby County,AL,57.407407407407405,NA,NA,95.52447552447553
35126,Jefferson County,AL,NA,52.82284231018819,NA,NA
35131,St. Clair County,AL,NA,96.56067488643738,NA,NA
35160,Talladega County,AL,NA,NA,41.080038572806174,NA
35179,Cullman County,AL,NA,NA,NA,90.53613053613053
35180,Jefferson County,AL,NA,NA,NA,81.86480186480186
35204,Jefferson County,AL,NA,NA,62.15043394406943,NA
35216,Jefferson County,AL,NA,NA,NA,39.3006993006993
35217,Jefferson County,AL,50.92592592592593,NA,NA,NA
35221,Jefferson County,AL,52.46913580246913,NA,NA,NA
35226,Jefferson County,AL,NA,NA,53.51976856316297,NA
35235,Jefferson County,AL,NA,100,NA,NA
35401,Tuscaloosa County,AL,NA,NA,NA,43.58974358974359
35404,Tuscaloosa County,AL,NA,14.665801427644388,NA,NA
35406,Tuscaloosa County,AL,NA,NA,NA,33.05361305361305
35442,Pickens County,AL,74.69135802469135,NA,NA,NA
35453,Tuscaloosa County,AL,19.1358024691358,NA,NA,NA
35476,Tuscaloosa County,AL,NA,NA,NA,85.64102564102564
35563,Marion County,AL,NA,NA,NA,85.4079254079254
35565,Winston County,AL,NA,NA,73.72227579556413,NA
35586,Lamar County,AL,NA,NA,NA,96.5034965034965
35592,Lamar County,AL,NA,NA,96.28736740597878,NA
35611,Limestone County,AL,NA,NA,NA,81.86480186480186
35613,Limestone County,AL,NA,71.96625567813109,NA,NA
35619,Morgan County,AL,NA,NA,NA,95.66433566433567
35620,Limestone County,AL,NA,NA,NA,89.97668997668997
35622,Morgan County,AL,NA,NA,88.66923818707811,NA
35630,Lauderdale County,AL,NA,NA,NA,75.15151515151514
35640,Morgan County,AL,NA,NA,31.918997107039537,NA
35653,Franklin County,AL,NA,NA,78.88138862102217,NA
35654,Franklin County,AL,NA,NA,NA,93.37995337995338
35670,Morgan County,AL,NA,NA,93.49083895853423,NA
35674,Colbert County,AL,NA,NA,43.73191899710704,NA
35750,Madison County,AL,NA,NA,NA,71.65501165501166
35758,Madison County,AL,37.65432098765432,37.183646982478905,NA,NA
35768,Jackson County,AL,NA,NA,50.048216007714565,NA
35773,Madison County,AL,NA,66.25567813108371,NA,NA
35803,Madison County,AL,65.4320987654321,NA,NA,NA
35806,Madison County,AL,NA,NA,56.412729026036644,50.815850815850816
35810,Madison County,AL,NA,29.785853341985725,NA,17.016317016317018
35811,Madison County,AL,NA,40.16872160934458,NA,NA
35901,Etowah County,AL,NA,33.48475016223232,NA,NA
35903,Etowah County,AL,NA,81.44062297209604,25.36162005785921,NA
35904,Etowah County,AL,NA,44.19208306294614,54.48408871745419,96.27039627039628
35954,Etowah County,AL,NA,59.24724205061648,NA,NA
