ZipCode,county,state,Adult,Retirement,Geriatric
35023,Jefferson County,AL,30.123180291153417,NA,21.467098166127293
35080,Shelby County,AL,NA,69.01057871810828,NA
35111,Tuscaloosa County,AL,NA,26.8823895457374,63.75404530744336
35124,Shelby County,AL,63.26987681970885,32.66957062850031,NA
35126,Jefferson County,AL,52.2956326987682,45.301804604853764,NA
35209,Jefferson County,AL,NA,85.87429993777225,NA
35210,Jefferson County,AL,NA,NA,95.14563106796116
35213,Jefferson County,AL,NA,NA,62.24379719525351
35216,Jefferson County,AL,NA,45.05289359054138,NA
35223,Jefferson County,AL,NA,NA,73.46278317152104
35406,Tuscaloosa County,AL,73.57222844344905,NA,NA
35501,Walker County,AL,NA,80.14934660858744,93.6353829557713
35504,Walker County,AL,NA,59.365276913503415,NA
35594,Marion County,AL,NA,72.68201617921594,NA
35749,Madison County,AL,NA,NA,72.168284789644
35758,Madison County,AL,NA,NA,32.25458468176915
35773,Madison County,AL,88.01791713325868,NA,NA
35811,Madison County,AL,38.40985442329227,NA,NA
35903,Etowah County,AL,NA,NA,66.45091693635383
36037,Butler County,AL,NA,NA,85.32901833872708
36079,Pike County,AL,NA,92.84380833851898,NA
36201,Calhoun County,AL,NA,45.23957685127567,NA
36207,Calhoun County,AL,55.99104143337066,NA,NA
36274,Randolph County,AL,78.94736842105263,NA,NA
36301,Houston County,AL,49.38409854423293,NA,21.898597626752967
36344,Geneva County,AL,NA,NA,84.89751887810141
36360,Dale County,AL,NA,32.918481642812694,NA
36420,Covington County,AL,NA,NA,61.165048543689316
36532,Baldwin County,AL,NA,NA,23.624595469255663
36572,Mobile County,AL,NA,95.89296826384567,NA
36869,Russell County,AL,54.31131019036955,NA,NA
99501,Anchorage Municipality,AK,21.612541993281077,NA,NA
99503,Anchorage Municipality,AK,75.81187010078388,NA,NA
99504,Anchorage Municipality,AK,NA,37.02551337896702,NA
99709,Fairbanks North Star Borough,AK,NA,49.34660858743,NA
99901,Ketchikan Gateway Borough,AK,72.3404255319149,47.230864965774735,NA
85007,Maricopa County,AZ,11.08622620380739,NA,NA
85016,Maricopa County,AZ,NA,31.238332296204106,NA
85045,Maricopa County,AZ,NA,99.50217797137523,NA
85138,Pinal County,AZ,NA,61.41879278158059,NA
85140,Pinal County,AZ,NA,39.01680149346608,NA
85205,Maricopa County,AZ,NA,20.535158680771623,NA
85206,Maricopa County,AZ,NA,61.1076540136901,NA
85248,Maricopa County,AZ,56.99888017917133,25.140012445550713,NA
85255,Maricopa County,AZ,49.27211646136618,NA,NA
85284,Maricopa County,AZ,NA,76.66459240821406,NA
85335,Maricopa County,AZ,NA,49.53329184816428,NA
85338,Maricopa County,AZ,NA,39.203484754200375,NA
85356,Yuma County,AZ,NA,NA,90.07551240560949
85364,Yuma County,AZ,34.71444568868981,NA,3.4519956850053934
85365,Yuma County,AZ,60.58230683090705,NA,NA
85374,Maricopa County,AZ,NA,NA,6.472491909385113
85375,Maricopa County,AZ,NA,53.08027380211574,NA
85607,Cochise County,AZ,NA,95.83074051026757,NA
85614,Pima County,AZ,NA,NA,3.9913700107874863
85629,Pima County,AZ,NA,54.20037336652147,NA
85634,Pima County,AZ,22.284434490481523,NA,NA
85650,Cochise County,AZ,NA,NA,45.415318230852215
85710,Pima County,AZ,NA,46.17299315494711,NA
85715,Pima County,AZ,NA,NA,70.44228694714133
85716,Pima County,AZ,48.15229563269877,NA,NA
