fips,county,state,Over18
01001,Autauga County,AL,95.42543458371455
01003,Baldwin County,AL,21.31747483989021
01005,Barbour County,AL,60.109789569990845
01007,Bibb County,AL,NA
01009,Blount County,AL,NA
01011,Bullock County,AL,NA
01013,Butler County,AL,98.35315645013723
01015,Calhoun County,AL,NA
01017,Chambers County,AL,NA
01019,Cherokee County,AL,81.51875571820678
01021,Chilton County,AL,NA
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,NA
01033,Colbert County,AL,NA
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,NA
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,NA
01045,Dale County,AL,41.26258005489479
01047,Dallas County,AL,NA
01049,DeKalb County,AL,31.83897529734675
01051,Elmore County,AL,NA
01053,Escambia County,AL,NA
01055,Etowah County,AL,NA
01057,Fayette County,AL,NA
01059,Franklin County,AL,NA
01061,Geneva County,AL,NA
01063,Greene County,AL,NA
01065,Hale County,AL,59.011893870082346
01067,Henry County,AL,NA
01069,Houston County,AL,NA
01071,Jackson County,AL,69.16742909423604
01073,Jefferson County,AL,36.230558096980786
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,NA
01079,Lawrence County,AL,NA
01081,Lee County,AL,33.57731015553522
01083,Limestone County,AL,51.14364135407137
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,8.325709057639525
01091,Marengo County,AL,NA
01093,Marion County,AL,92.13174748398902
01095,Marshall County,AL,NA
01097,Mobile County,AL,24.42817932296432
01099,Monroe County,AL,NA
01101,Montgomery County,AL,NA
01103,Morgan County,AL,28.453796889295518
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,60.38426349496798
01111,Randolph County,AL,NA
01113,Russell County,AL,74.29094236047575
01115,St. Clair County,AL,NA
01117,Shelby County,AL,15.187557182067705
01119,Sumter County,AL,NA
01121,Talladega County,AL,12.442817932296432
01123,Tallapoosa County,AL,96.52333028362305
01125,Tuscaloosa County,AL,93.59560841720037
01127,Walker County,AL,17.38334858188472
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,NA
02020,Anchorage Municipality,AK,10.247026532479413
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,NA
02122,Kenai Peninsula Borough,AK,31.19853613906679
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,NA
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,NA
04003,Cochise County,AZ,NA
04005,Coconino County,AZ,17.840805123513267
04007,Gila County,AZ,NA
04009,Graham County,AZ,NA
04012,La Paz County,AZ,NA
04013,Maricopa County,AZ,22.140896614821592
04015,Mohave County,AZ,11.61939615736505
04017,Navajo County,AZ,26.07502287282708
04019,Pima County,AZ,22.41537053979872
04021,Pinal County,AZ,45.65416285452882
04023,Santa Cruz County,AZ,NA
04025,Yavapai County,AZ,19.670631290027448
04027,Yuma County,AZ,20.951509606587372
05001,Arkansas County,AR,NA
05003,Ashley County,AR,NA
05005,Baxter County,AR,NA
05007,Benton County,AR,18.115279048490393
05009,Boone County,AR,NA
05011,Bradley County,AR,85.45288197621225
05015,Carroll County,AR,NA
05017,Chicot County,AR,NA
05019,Clark County,AR,NA
05021,Clay County,AR,NA
05023,Cleburne County,AR,NA
05025,Cleveland County,AR,NA
05027,Columbia County,AR,NA
05029,Conway County,AR,NA
05031,Craighead County,AR,56.45013723696248
05033,Crawford County,AR,NA
05035,Crittenden County,AR,NA
05037,Cross County,AR,NA
05039,Dallas County,AR,NA
05041,Desha County,AR,NA
05043,Drew County,AR,NA
05045,Faulkner County,AR,NA
05047,Franklin County,AR,NA
05049,Fulton County,AR,NA
05051,Garland County,AR,48.58188472095151
05053,Grant County,AR,NA
05055,Greene County,AR,83.44007319304666
05057,Hempstead County,AR,NA
05059,Hot Spring County,AR,60.933211344922235
05061,Howard County,AR,92.04025617566332
05063,Independence County,AR,NA
05067,Jackson County,AR,NA
05069,Jefferson County,AR,NA
05071,Johnson County,AR,NA
05075,Lawrence County,AR,NA
05077,Lee County,AR,NA
05079,Lincoln County,AR,NA
05081,Little River County,AR,NA
05083,Logan County,AR,NA
05085,Lonoke County,AR,76.39524245196706
05087,Madison County,AR,93.13815187557182
05089,Marion County,AR,NA
05091,Miller County,AR,87.55718206770356
05093,Mississippi County,AR,NA
05095,Monroe County,AR,NA
05097,Montgomery County,AR,NA
05099,Nevada County,AR,NA
05103,Ouachita County,AR,NA
05105,Perry County,AR,NA
05107,Phillips County,AR,NA
05109,Pike County,AR,NA
05111,Poinsett County,AR,NA
05113,Polk County,AR,65.96523330283624
05115,Pope County,AR,65.05032021957913
05119,Pulaski County,AR,8.508691674290942
05121,Randolph County,AR,NA
05123,St. Francis County,AR,95.51692589204026
05125,Saline County,AR,NA
05127,Scott County,AR,NA
05129,Searcy County,AR,NA
05131,Sebastian County,AR,NA
05133,Sevier County,AR,NA
05135,Sharp County,AR,NA
05137,Stone County,AR,NA
05139,Union County,AR,NA
05141,Van Buren County,AR,NA
05143,Washington County,AR,44.4647758462946
05145,White County,AR,NA
05149,Yell County,AR,NA
06001,Alameda County,CA,53.06495882891126
06005,Amador County,CA,NA
06007,Butte County,CA,54.254345837145465
06009,Calaveras County,CA,33.76029277218664
06011,Colusa County,CA,NA
06013,Contra Costa County,CA,67.33760292772186
06015,Del Norte County,CA,NA
06017,El Dorado County,CA,35.13266239707228
06019,Fresno County,CA,22.598353156450138
06021,Glenn County,CA,NA
