fips,county,state,Under18,Over18
01003,Baldwin County,AL,25.495750708215297,35.40925266903915
01005,Barbour County,AL,NA,98.75444839857651
01011,Bullock County,AL,NA,92.17081850533808
01013,Butler County,AL,NA,74.55516014234875
01015,Calhoun County,AL,49.008498583569406,46.97508896797153
01017,Chambers County,AL,NA,52.135231316725985
01019,Cherokee County,AL,NA,96.44128113879003
01021,Chilton County,AL,NA,58.18505338078291
01025,Clarke County,AL,92.3512747875354,NA
01031,Coffee County,AL,NA,51.779359430604984
01033,Colbert County,AL,80.16997167138811,NA
01045,Dale County,AL,NA,51.245551601423486
01047,Dallas County,AL,93.20113314447592,44.48398576512456
01051,Elmore County,AL,43.342776203966004,86.83274021352312
01053,Escambia County,AL,NA,71.17437722419929
01057,Fayette County,AL,NA,63.70106761565836
01063,Greene County,AL,NA,100
01065,Hale County,AL,90.08498583569406,67.25978647686833
01069,Houston County,AL,72.52124645892351,86.65480427046263
01073,Jefferson County,AL,63.172804532577906,91.63701067615658
01077,Lauderdale County,AL,NA,99.11032028469751
01083,Limestone County,AL,NA,25.444839857651246
01089,Madison County,AL,75.3541076487252,35.05338078291815
01093,Marion County,AL,NA,51.60142348754449
01095,Marshall County,AL,32.29461756373937,NA
01097,Mobile County,AL,84.41926345609065,86.29893238434164
01099,Monroe County,AL,87.25212464589235,NA
01101,Montgomery County,AL,68.83852691218131,93.59430604982207
01103,Morgan County,AL,NA,69.3950177935943
01107,Pickens County,AL,NA,81.67259786476868
01117,Shelby County,AL,25.21246458923513,41.10320284697509
01119,Sumter County,AL,NA,98.22064056939502
01121,Talladega County,AL,51.55807365439094,75.80071174377224
01125,Tuscaloosa County,AL,86.68555240793201,90.0355871886121
02020,Anchorage Municipality,AK,9.34844192634561,7.11743772241993
02122,Kenai Peninsula Borough,AK,68.27195467422096,NA
04013,Maricopa County,AZ,12.181303116147308,35.587188612099645
04019,Pima County,AZ,NA,2.491103202846975
04027,Yuma County,AZ,NA,8.896797153024911
05057,Hempstead County,AR,NA,97.68683274021353
05069,Jefferson County,AR,NA,67.43772241992883
05119,Pulaski County,AR,NA,80.2491103202847
06001,Alameda County,CA,62.889518413597735,94.48398576512456
06013,Contra Costa County,CA,24.362606232294617,77.04626334519573
06019,Fresno County,CA,3.1161473087818696,39.679715302491104
06029,Kern County,CA,12.747875354107649,9.07473309608541
06037,Los Angeles County,CA,10.48158640226629,32.91814946619217
06047,Merced County,CA,NA,15.12455516014235
06059,Orange County,CA,9.06515580736544,2.135231316725979
06065,Riverside County,CA,53.82436260623229,30.604982206405694
06067,Sacramento County,CA,48.44192634560906,31.13879003558719
06071,San Bernardino County,CA,0,45.37366548042704
06073,San Diego County,CA,4.815864022662889,13.87900355871886
06075,San Francisco County,CA,NA,15.302491103202847
06077,San Joaquin County,CA,NA,60.4982206405694
06081,San Mateo County,CA,NA,0.5338078291814947
06083,Santa Barbara County,CA,NA,38.967971530249116
06085,Santa Clara County,CA,NA,1.2455516014234875
06095,Solano County,CA,73.08781869688386,17.08185053380783
06099,Stanislaus County,CA,NA,1.7793594306049825
06101,Sutter County,CA,NA,34.519572953736656
06113,Yolo County,CA,NA,26.868327402135233
06115,Yuba County,CA,88.10198300283287,NA
08005,Arapahoe County,CO,73.37110481586402,29.8932384341637
08031,Denver County,CO,NA,57.11743772241993
08041,El Paso County,CO,15.01416430594901,8.718861209964412
08043,Fremont County,CO,NA,51.95729537366548
09001,Fairfield County,CT,22.946175637393768,17.437722419928825
09003,Hartford County,CT,35.41076487252124,25.26690391459075
09009,New Haven County,CT,37.6770538243626,43.77224199288256
10001,Kent County,DE,13.59773371104816,43.95017793594306
10003,New Castle County,DE,76.77053824362606,69.03914590747331
10005,Sussex County,DE,NA,38.43416370106761
11001,District of Columbia,DC,93.48441926345609,72.77580071174377
12001,Alachua County,FL,60.62322946175638,83.27402135231317
12005,Bay County,FL,23.512747875354105,NA
12009,Brevard County,FL,62.3229461756374,35.76512455516014
12011,Broward County,FL,83.56940509915015,66.54804270462633
12019,Clay County,FL,18.13031161473088,24.91103202846975
12021,Collier County,FL,44.759206798866856,12.633451957295375
12031,Duval County,FL,71.671388101983,78.29181494661923
12033,Escambia County,FL,15.864022662889518,20.284697508896798
12039,Gadsden County,FL,NA,97.15302491103202
12057,Hillsborough County,FL,43.90934844192634,52.49110320284698
12069,Lake County,FL,35.12747875354108,9.786476868327403
12071,Lee County,FL,NA,40.74733096085409
12073,Leon County,FL,26.628895184135974,72.95373665480427
12081,Manatee County,FL,NA,3.558718861209965
12083,Marion County,FL,48.1586402266289,61.56583629893239
12085,Martin County,FL,NA,42.704626334519574
12086,Miami-Dade County,FL,61.18980169971672,54.982206405693944
12091,Okaloosa County,FL,NA,36.120996441281136
12095,Orange County,FL,41.64305949008499,69.21708185053382
12097,Osceola County,FL,NA,70.1067615658363
12099,Palm Beach County,FL,47.30878186968839,38.612099644128115
12101,Pasco County,FL,31.444759206798867,1.4234875444839856
12103,Pinellas County,FL,9.91501416430595,27.22419928825623
12105,Polk County,FL,1.41643059490085,28.825622775800714
12107,Putnam County,FL,NA,88.79003558718861
