ZipCode,county,state,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,68.16143497757847,NA
35022,Jefferson County,AL,90.79956188389924,NA,NA
35031,Blount County,AL,71.30339539978094,NA,NA
35055,Cullman County,AL,51.478641840087626,NA,NA
35085,Chilton County,AL,NA,82.7354260089686,NA
35126,Jefferson County,AL,78.09419496166484,NA,NA
35160,Talladega County,AL,42.168674698795186,70.4035874439462,NA
35206,Jefferson County,AL,56.62650602409639,NA,NA
35216,Jefferson County,AL,50.38335158817087,NA,NA
35226,Jefferson County,AL,NA,18.161434977578477,NA
35405,Tuscaloosa County,AL,NA,39.23766816143498,NA
35406,Tuscaloosa County,AL,69.00328587075575,NA,NA
35594,Marion County,AL,NA,NA,96.7455621301775
35614,Limestone County,AL,70.31763417305586,NA,NA
35633,Lauderdale County,AL,NA,52.46636771300448,NA
35640,Morgan County,AL,28.806133625410734,NA,NA
35749,Madison County,AL,NA,46.63677130044843,NA
35750,Madison County,AL,98.02847754654984,50.89686098654709,NA
35758,Madison County,AL,65.06024096385542,33.18385650224215,NA
35801,Madison County,AL,86.52792990142387,NA,NA
35824,Madison County,AL,NA,97.75784753363229,NA
35962,DeKalb County,AL,NA,NA,99.70414201183432
36054,Elmore County,AL,NA,83.07174887892377,NA
36203,Calhoun County,AL,NA,73.65470852017937,NA
36251,Clay County,AL,NA,NA,89.3491124260355
36303,Houston County,AL,52.026286966046,34.753363228699556,NA
36360,Dale County,AL,42.38773274917853,NA,NA
36420,Covington County,AL,NA,NA,60.946745562130175
36421,Covington County,AL,NA,NA,65.38461538461539
36526,Baldwin County,AL,47.31653888280395,NA,NA
36549,Baldwin County,AL,NA,62.33183856502242,NA
36567,Baldwin County,AL,NA,NA,62.721893491124256
36572,Mobile County,AL,NA,97.30941704035875,NA
36582,Mobile County,AL,43.921139101861996,NA,NA
36587,Mobile County,AL,76.34173055859803,NA,NA
36608,Mobile County,AL,38.77327491785323,NA,NA
36695,Mobile County,AL,NA,25.448430493273545,NA
36832,Lee County,AL,NA,94.50672645739911,NA
36863,Chambers County,AL,NA,58.18385650224215,NA
99603,Kenai Peninsula Borough,AK,NA,NA,68.93491124260355
99701,Fairbanks North Star Borough,AK,NA,63.56502242152467,NA
85016,Maricopa County,AZ,NA,29.596412556053814,NA
85028,Maricopa County,AZ,76.12267250821468,NA,NA
85032,Maricopa County,AZ,NA,21.748878923766814,NA
85041,Maricopa County,AZ,NA,52.91479820627802,NA
85050,Maricopa County,AZ,NA,74.66367713004485,NA
85123,Pinal County,AZ,67.25082146768894,NA,NA
85131,Pinal County,AZ,NA,65.80717488789237,NA
85201,Maricopa County,AZ,NA,NA,35.798816568047336
85207,Maricopa County,AZ,NA,22.869955156950674,NA
85209,Maricopa County,AZ,NA,53.139013452914796,NA
85298,Maricopa County,AZ,NA,54.48430493273543,NA
85331,Maricopa County,AZ,NA,46.300448430493276,59.76331360946746
85338,Maricopa County,AZ,28.58707557502738,NA,NA
85339,Maricopa County,AZ,16.42935377875137,NA,NA
85345,Maricopa County,AZ,NA,NA,83.13609467455622
85351,Maricopa County,AZ,NA,NA,0.8875739644970414
85365,Yuma County,AZ,NA,16.928251121076233,NA
85374,Maricopa County,AZ,NA,15.695067264573993,NA
85379,Maricopa County,AZ,24.644030668127055,NA,NA
85383,Maricopa County,AZ,55.312157721796275,NA,NA
85602,Cochise County,AZ,81.81818181818183,NA,NA
85607,Cochise County,AZ,NA,40.134529147982065,NA
85614,Pima County,AZ,NA,NA,3.8461538461538463
85706,Pima County,AZ,2.190580503833516,NA,NA
85719,Pima County,AZ,61.88389923329682,32.847533632286996,NA
85742,Pima County,AZ,NA,NA,82.24852071005917
85743,Pima County,AZ,35.26834611171961,NA,NA
85745,Pima County,AZ,70.86527929901423,NA,63.609467455621306
85937,Navajo County,AZ,81.05147864184009,NA,NA
86326,Yavapai County,AZ,NA,51.34529147982063,NA
86336,Yavapai County,AZ,NA,80.26905829596413,NA
86409,Mohave County,AZ,27.710843373493976,NA,NA
71639,Desha County,AR,92.11391018619935,NA,NA
71671,Bradley County,AR,NA,80.71748878923766,NA
71909,Garland County,AR,NA,26.905829596412556,NA
72015,Saline County,AR,NA,60.65022421524664,NA
72076,Pulaski County,AR,85.98028477546549,NA,NA
72501,Independence County,AR,NA,53.81165919282511,NA
72601,Boone County,AR,NA,NA,53.84615384615385
72701,Washington County,AR,59.14567360350493,62.10762331838565,NA
72712,Benton County,AR,89.92332968236583,35.874439461883405,NA
72714,Benton County,AR,NA,60.87443946188341,NA
72715,Benton County,AR,NA,NA,20.118343195266274
72730,Washington County,AR,95.07119386637459,NA,NA
72734,Benton County,AR,91.67579408543264,NA,NA
72753,Washington County,AR,87.18510405257393,NA,NA
72761,Benton County,AR,72.3986856516977,NA,NA
72762,Washington County,AR,NA,52.130044843049326,NA
72764,Washington County,AR,31.544359255202632,48.87892376681614,NA
72936,Sebastian County,AR,71.74151150054765,NA,NA
72947,Crawford County,AR,NA,93.38565022421524,NA
72956,Crawford County,AR,45.78313253012048,NA,NA
90006,Los Angeles County,CA,NA,79.03587443946188,NA
90023,Los Angeles County,CA,31.32530120481928,NA,NA
90035,Los Angeles County,CA,NA,31.053811659192824,NA
90064,Los Angeles County,CA,NA,43.27354260089686,NA
90069,Los Angeles County,CA,NA,43.946188340807176,NA
90255,Los Angeles County,CA,NA,55.381165919282516,NA
90277,Los Angeles County,CA,NA,26.79372197309417,NA
90291,Los Angeles County,CA,NA,NA,67.15976331360946
90303,Los Angeles County,CA,NA,98.31838565022422,NA
90305,Los Angeles County,CA,NA,NA,93.49112426035504
90405,Los Angeles County,CA,NA,47.75784753363229,NA
90803,Los Angeles County,CA,73.2749178532311,NA,NA
91001,Los Angeles County,CA,53.01204819277109,NA,NA
91104,Los Angeles County,CA,38.66374589266155,NA,NA
91325,Los Angeles County,CA,74.15115005476451,NA,NA
91340,Los Angeles County,CA,58.59802847754655,NA,NA
91344,Los Angeles County,CA,72.17962760131435,NA,NA
91702,Los Angeles County,CA,NA,37.55605381165919,NA
91710,San Bernardino County,CA,NA,15.919282511210762,NA
91724,Los Angeles County,CA,69.76998904709748,NA,NA
91740,Los Angeles County,CA,NA,46.860986547085204,NA
91766,Los Angeles County,CA,NA,NA,32.544378698224854
92056,San Diego County,CA,NA,27.130044843049326,NA
92109,San Diego County,CA,NA,NA,55.62130177514793
92118,San Diego County,CA,NA,NA,36.3905325443787
92220,Riverside County,CA,NA,NA,25.7396449704142
92260,Riverside County,CA,NA,40.91928251121077,NA
92270,Riverside County,CA,NA,NA,39.94082840236686
92284,San Bernardino County,CA,NA,NA,56.50887573964497
92316,San Bernardino County,CA,47.754654983570646,NA,NA
92345,San Bernardino County,CA,8.32420591456736,NA,NA
92399,San Bernardino County,CA,NA,NA,77.81065088757396
92596,Riverside County,CA,NA,NA,86.68639053254438
92620,Orange County,CA,NA,37.44394618834081,NA
92627,Orange County,CA,15.991237677984666,NA,NA
92647,Orange County,CA,NA,NA,94.37869822485207
92649,Orange County,CA,NA,24.103139013452914,NA
92704,Orange County,CA,27.601314348302303,NA,NA
92705,Orange County,CA,NA,46.52466367713004,NA
92840,Orange County,CA,NA,31.614349775784756,NA
92865,Orange County,CA,NA,NA,94.0828402366864
93003,Ventura County,CA,NA,17.040358744394617,NA
93060,Ventura County,CA,NA,NA,66.5680473372781
93065,Ventura County,CA,40.525739320920046,NA,NA
93306,Kern County,CA,15.88170865279299,NA,NA
93436,Santa Barbara County,CA,NA,NA,13.313609467455622
93505,Kern County,CA,NA,93.27354260089686,NA
93561,Kern County,CA,68.23658269441401,NA,NA
93618,Tulare County,CA,78.97042716319824,NA,NA
93728,Fresno County,CA,NA,73.99103139013454,NA
93907,Monterey County,CA,NA,NA,67.45562130177515
94025,San Mateo County,CA,NA,62.78026905829597,NA
94061,San Mateo County,CA,NA,85.31390134529147,NA
94109,San Francisco County,CA,NA,NA,4.437869822485207
94115,San Francisco County,CA,NA,NA,11.834319526627219
94558,Napa County,CA,58.48849945235487,NA,NA
94595,Contra Costa County,CA,NA,NA,9.467455621301776
94705,Alameda County,CA,NA,NA,75.44378698224851
95008,Santa Clara County,CA,NA,42.71300448430493,NA
95030,Santa Clara County,CA,96.3855421686747,NA,NA
95037,Santa Clara County,CA,NA,27.3542600896861,NA
95112,Santa Clara County,CA,64.95071193866374,35.08968609865471,NA
95123,Santa Clara County,CA,NA,71.52466367713004,NA
95128,Santa Clara County,CA,29.791894852135815,NA,NA
95148,Santa Clara County,CA,NA,67.71300448430493,NA
95202,San Joaquin County,CA,23.986856516977,NA,NA
95354,Stanislaus County,CA,27.82037239868565,NA,NA
95407,Sonoma County,CA,NA,76.45739910313901,NA
95409,Sonoma County,CA,NA,71.63677130044843,13.905325443786982
95457,Lake County,CA,NA,91.81614349775785,NA
95661,Placer County,CA,NA,47.869955156950674,NA
95726,El Dorado County,CA,NA,NA,88.75739644970415
95757,Sacramento County,CA,NA,NA,59.46745562130178
95762,El Dorado County,CA,46.33077765607886,NA,NA
95818,Sacramento County,CA,89.37568455640745,NA,NA
95821,Sacramento County,CA,NA,NA,71.59763313609467
95901,Yuba County,CA,18.29134720700986,NA,NA
95948,Butte County,CA,76.77984665936474,NA,NA
95954,Butte County,CA,34.50164293537787,84.75336322869956,NA
95966,Butte County,CA,8.433734939759036,NA,25.7396449704142
95969,Butte County,CA,NA,5.493273542600897,NA
96002,Shasta County,CA,NA,82.17488789237667,NA
80010,Arapahoe County,CO,NA,NA,85.20710059171599
80011,Arapahoe County,CO,NA,NA,75.44378698224851
80013,Arapahoe County,CO,8.105147864184008,NA,NA
80020,Broomfield County,CO,NA,NA,97.92899408284023
80023,Broomfield County,CO,96.27601314348301,NA,NA
80109,Douglas County,CO,NA,57.28699551569507,NA
80130,Douglas County,CO,NA,98.4304932735426,NA
80134,Douglas County,CO,53.88828039430449,NA,NA
80138,Douglas County,CO,78.20372398685652,NA,NA
80202,Denver County,CO,48.30230010952902,NA,NA
80212,Denver County,CO,NA,62.21973094170403,NA
80214,Jefferson County,CO,35.26834611171961,NA,NA
80215,Jefferson County,CO,61.33625410733844,NA,NA
80216,Denver County,CO,95.29025191675794,NA,NA
80219,Denver County,CO,52.245345016429354,NA,NA
80221,Adams County,CO,77.4370208105148,89.91031390134529,NA
80228,Jefferson County,CO,50.602409638554214,NA,NA
80232,Jefferson County,CO,NA,88.2286995515695,NA
80238,Denver County,CO,NA,97.6457399103139,NA
80247,Arapahoe County,CO,81.59912376779846,NA,93.49112426035504
80249,Denver County,CO,NA,66.4798206278027,NA
80301,Boulder County,CO,NA,67.04035874439462,NA
80303,Boulder County,CO,NA,60.42600896860987,NA
80439,Jefferson County,CO,79.62760131434831,NA,NA
80503,Boulder County,CO,NA,47.08520179372198,NA
80525,Larimer County,CO,12.814895947426066,NA,NA
80534,Weld County,CO,64.18400876232202,NA,NA
80601,Adams County,CO,NA,89.23766816143498,NA
80631,Weld County,CO,49.17853231106243,NA,NA
80701,Morgan County,CO,NA,39.46188340807175,NA
80723,Morgan County,CO,NA,64.12556053811659,NA
80909,El Paso County,CO,NA,43.04932735426009,NA
80918,El Paso County,CO,40.854326396495075,NA,NA
81004,Pueblo County,CO,NA,24.663677130044842,NA
81005,Pueblo County,CO,NA,19.394618834080717,NA
81052,Prowers County,CO,82.14676889375684,NA,NA
81082,Las Animas County,CO,NA,66.03139013452915,NA
81101,Alamosa County,CO,70.31763417305586,NA,NA
81144,Rio Grande County,CO,87.84227820372399,NA,NA
81201,Chaffee County,CO,80.17524644030668,NA,NA
81212,Fremont County,CO,NA,46.18834080717489,NA
81230,Gunnison County,CO,89.1566265060241,NA,NA
81301,La Plata County,CO,NA,NA,51.183431952662716
81323,Montezuma County,CO,NA,86.65919282511211,NA
