ZipCode,county,state,Youth
36695,Mobile County,AL,30.994152046783626
85037,Maricopa County,AZ,5.263157894736842
72076,Pulaski County,AR,36.84210526315789
91331,Los Angeles County,CA,29.82456140350877
92021,San Diego County,CA,21.637426900584796
92024,San Diego County,CA,52.046783625730995
92083,San Diego County,CA,42.10526315789473
92647,Orange County,CA,38.01169590643275
94526,Contra Costa County,CA,55.55555555555556
94556,Contra Costa County,CA,91.81286549707602
94560,Alameda County,CA,82.45614035087719
94568,Alameda County,CA,68.42105263157895
94598,Contra Costa County,CA,60.81871345029239
94609,Alameda County,CA,87.71929824561403
95124,Santa Clara County,CA,64.32748538011695
95376,San Joaquin County,CA,54.97076023391813
95492,Sonoma County,CA,81.87134502923976
95959,Nevada County,CA,98.24561403508771
80108,Douglas County,CO,28.07017543859649
80126,Douglas County,CO,15.204678362573098
80223,Denver County,CO,55.55555555555556
80233,Adams County,CO,12.280701754385964
06073,Hartford County,CT,99.41520467836257
19709,New Castle County,DE,14.035087719298245
32180,Volusia County,FL,98.83040935672514
32605,Alachua County,FL,32.748538011695906
32656,Clay County,FL,62.57309941520468
34953,St. Lucie County,FL,18.71345029239766
30043,Gwinnett County,GA,22.807017543859647
30214,Fayette County,GA,77.19298245614034
30344,Fulton County,GA,53.216374269005854
30606,Clarke County,GA,45.614035087719294
30813,Columbia County,GA,25.730994152046783
31548,Camden County,GA,47.368421052631575
96746,Kauai County,HI,74.26900584795322
96792,Honolulu County,HI,13.450292397660817
83404,Bonneville County,ID,69.00584795321637
60014,McHenry County,IL,33.91812865497076
60073,Lake County,IL,35.08771929824561
60091,Cook County,IL,50.877192982456144
60093,Cook County,IL,54.385964912280706
60181,DuPage County,IL,51.461988304093566
60630,Cook County,IL,39.76608187134503
46143,Johnson County,IN,19.298245614035086
46307,Lake County,IN,1.1695906432748537
46311,Lake County,IN,27.485380116959064
46366,Starke County,IN,96.49122807017544
47201,Bartholomew County,IN,2.3391812865497075
47712,Vanderburgh County,IN,71.34502923976608
47909,Tippecanoe County,IN,29.239766081871345
50138,Marion County,IA,75.43859649122807
52738,Louisa County,IA,71.9298245614035
40299,Jefferson County,KY,38.59649122807017
41139,Greenup County,KY,67.83625730994152
42544,Pulaski County,KY,72.51461988304094
70119,Orleans Parish,LA,4.678362573099415
70592,Lafayette Parish,LA,11.11111111111111
71037,Bossier Parish,LA,8.187134502923977
71047,Caddo Parish,LA,69.00584795321637
21014,Harford County,MD,63.74269005847953
01267,Berkshire County,MA,66.66666666666666
01331,Worcester County,MA,43.859649122807014
02043,Plymouth County,MA,65.49707602339181
02090,Norfolk County,MA,78.94736842105263
02140,Middlesex County,MA,29.82456140350877
02155,Middlesex County,MA,14.619883040935672
02644,Barnstable County,MA,100
48111,Wayne County,MI,5.847953216374268
48642,Midland County,MI,22.22222222222222
49009,Kalamazoo County,MI,20.46783625730994
49221,Lenawee County,MI,1.7543859649122806
49229,Lenawee County,MI,94.73684210526315
49417,Ottawa County,MI,31.57894736842105
49866,Marquette County,MI,64.91228070175438
55317,Carver County,MN,81.28654970760235
56334,Pope County,MN,88.88888888888889
39046,Madison County,MS,18.128654970760234
39047,Rankin County,MS,16.95906432748538
64052,Jackson County,MO,50.29239766081871
64068,Clay County,MO,0.5847953216374269
64134,Jackson County,MO,2.923976608187134
64153,Platte County,MO,91.22807017543859
59923,Lincoln County,MT,76.60818713450293
68701,Madison County,NE,44.44444444444444
68767,Pierce County,NE,97.07602339181285
03033,Hillsborough County,NH,86.54970760233918
03842,Rockingham County,NH,88.30409356725146
07307,Hudson County,NJ,36.84210526315789
07458,Bergen County,NJ,85.96491228070175
07840,Warren County,NJ,35.67251461988304
08618,Mercer County,NJ,4.093567251461988
08736,Monmouth County,NJ,85.38011695906432
08852,Middlesex County,NJ,67.2514619883041
88007,Doa Ana County,NM,47.953216374269005
88240,Lea County,NM,7.017543859649122
13865,Broome County,NY,90.05847953216374
14580,Monroe County,NY,0
27520,Johnston County,NC,19.883040935672515
27604,Wake County,NC,33.33333333333333
28120,Gaston County,NC,61.98830409356725
28146,Rowan County,NC,57.30994152046783
28210,Mecklenburg County,NC,25.730994152046783
58601,Stark County,ND,66.08187134502924
43334,Morrow County,OH,84.21052631578947
43832,Tuscarawas County,OH,58.47953216374269
44067,Summit County,OH,59.64912280701754
44110,Cuyahoga County,OH,6.432748538011696
44212,Medina County,OH,26.900584795321635
45150,Clermont County,OH,63.1578947368421
45177,Clinton County,OH,34.50292397660819
45211,Hamilton County,OH,8.771929824561402
45432,Greene County,OH,47.953216374269005
73018,Grady County,OK,90.05847953216374
73044,Logan County,OK,21.052631578947366
74023,Payne County,OK,80.11695906432749
74059,Payne County,OK,94.15204678362574
74114,Tulsa County,OK,80.11695906432749
74834,Lincoln County,OK,82.45614035087719
97224,Washington County,OR,28.654970760233915
97838,Umatilla County,OR,17.543859649122805
15239,Allegheny County,PA,84.21052631578947
16441,Erie County,PA,93.56725146198829
16509,Erie County,PA,70.76023391812866
16823,Centre County,PA,45.02923976608187
17033,Dauphin County,PA,3.508771929824561
18801,Susquehanna County,PA,77.19298245614034
19030,Bucks County,PA,73.09941520467837
19046,Montgomery County,PA,57.30994152046783
19335,Chester County,PA,49.122807017543856
29466,Charleston County,SC,10.526315789473683
29501,Florence County,SC,15.789473684210526
29687,Greenville County,SC,25.146198830409354
37069,Williamson County,TN,89.47368421052632
37172,Robertson County,TN,41.52046783625731
37311,Bradley County,TN,56.72514619883041
37363,Hamilton County,TN,40.93567251461988
75067,Denton County,TX,9.941520467836257
75068,Denton County,TX,32.16374269005848
75142,Kaufman County,TX,49.707602339181285
75225,Dallas County,TX,73.68421052631578
75252,Collin County,TX,78.3625730994152
75751,Henderson County,TX,52.63157894736842
77023,Harris County,TX,60.81871345029239
77065,Harris County,TX,36.25730994152047
77077,Harris County,TX,42.69005847953216
77388,Harris County,TX,53.80116959064327
77563,Galveston County,TX,70.17543859649122
77598,Harris County,TX,46.198830409356724
84015,Davis County,UT,12.865497076023392
84404,Weber County,UT,40.35087719298245
05495,Chittenden County,VT,74.85380116959064
20111,Prince William County,VA,46.783625730994146
20148,Loudoun County,VA,23.391812865497073
22207,Arlington County,VA,43.27485380116959
22903,Charlottesville city,VA,16.374269005847953
22911,Albemarle County,VA,76.0233918128655
22939,Augusta County,VA,91.81286549707602
24083,Botetourt County,VA,97.6608187134503
24586,Pittsylvania County,VA,95.90643274853801
98166,King County,WA,79.53216374269006
98203,Snohomish County,WA,11.11111111111111
98272,Snohomish County,WA,59.06432748538012
98407,Pierce County,WA,83.62573099415205
99005,Spokane County,WA,92.98245614035088
26554,Marion County,WV,9.35672514619883
53132,Milwaukee County,WI,23.391812865497073
53144,Kenosha County,WI,7.602339181286549
53205,Milwaukee County,WI,23.391812865497073
53227,Milwaukee County,WI,60.23391812865497
53538,Jefferson County,WI,39.1812865497076
54661,Trempealeau County,WI,95.32163742690058
54727,Chippewa County,WI,87.13450292397661
