fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,55.04682622268471
01003,Baldwin County,AL,NA,61.08220603537981
01015,Calhoun County,AL,NA,68.26222684703434
01017,Chambers County,AL,NA,92.09157127991675
01021,Chilton County,AL,NA,67.84599375650365
01031,Coffee County,AL,NA,62.43496357960458
01043,Cullman County,AL,NA,37.356919875130075
01049,DeKalb County,AL,NA,51.716961498439126
01055,Etowah County,AL,64.41558441558442,13.111342351716962
01073,Jefferson County,AL,16.363636363636363,27.887617065556714
01077,Lauderdale County,AL,66.49350649350649,NA
01081,Lee County,AL,NA,25.59833506763788
01083,Limestone County,AL,75.84415584415585,NA
01089,Madison County,AL,NA,8.324661810613945
01095,Marshall County,AL,47.53246753246753,NA
01101,Montgomery County,AL,NA,27.36732570239334
01107,Pickens County,AL,89.35064935064935,NA
01111,Randolph County,AL,92.98701298701299,NA
01117,Shelby County,AL,NA,31.21748178980229
01121,Talladega County,AL,NA,53.17377731529657
01125,Tuscaloosa County,AL,30.909090909090907,16.857440166493237
01133,Winston County,AL,NA,98.33506763787722
02020,Anchorage Municipality,AK,NA,4.474505723204994
02090,Fairbanks North Star Borough,AK,NA,75.96253902185224
02122,Kenai Peninsula Borough,AK,NA,95.9417273673257
04001,Apache County,AZ,58.96103896103896,69.6149843912591
04003,Cochise County,AZ,NA,77.52341311134235
04005,Coconino County,AZ,NA,65.24453694068679
04009,Graham County,AZ,NA,84.39125910509885
04013,Maricopa County,AZ,11.688311688311687,23.51716961498439
04015,Mohave County,AZ,32.72727272727273,2.081165452653486
04017,Navajo County,AZ,NA,62.64308012486993
04019,Pima County,AZ,1.8181818181818181,15.088449531737774
04021,Pinal County,AZ,15.324675324675324,43.91259105098855
04023,Santa Cruz County,AZ,NA,81.89386056191468
04025,Yavapai County,AZ,41.81818181818181,26.534859521331946
04027,Yuma County,AZ,NA,68.78251821019771
05001,Arkansas County,AR,NA,88.76170655567117
05007,Benton County,AR,NA,52.75754422476587
05015,Carroll County,AR,NA,80.43704474505724
05021,Clay County,AR,NA,89.38605619146722
05031,Craighead County,AR,NA,62.22684703433923
05035,Crittenden County,AR,NA,84.59937565036421
05045,Faulkner County,AR,NA,61.810613943808534
05047,Franklin County,AR,NA,93.44432882414152
05055,Greene County,AR,NA,60.24973985431842
05085,Lonoke County,AR,NA,47.65868886576482
05119,Pulaski County,AR,NA,19.562955254942768
05143,Washington County,AR,NA,21.22788761706556
05145,White County,AR,NA,25.910509885535898
06001,Alameda County,CA,24.155844155844157,54.422476586888656
06009,Calaveras County,CA,NA,79.29240374609782
06013,Contra Costa County,CA,40.519480519480524,55.4630593132154
06017,El Dorado County,CA,77.14285714285715,27.471383975026015
06019,Fresno County,CA,6.493506493506493,36.420395421436005
06023,Humboldt County,CA,NA,77.62747138397502
06025,Imperial County,CA,70.9090909090909,13.007284079084286
06027,Inyo County,CA,NA,90.84287200832466
06029,Kern County,CA,9.87012987012987,31.94588969823101
06031,Kings County,CA,NA,89.9063475546306
06037,Los Angeles County,CA,12.727272727272727,26.326742976066598
06039,Madera County,CA,NA,84.1831425598335
06041,Marin County,CA,NA,72.11238293444329
06047,Merced County,CA,53.76623376623376,86.47242455775233
06051,Mono County,CA,NA,98.95941727367325
06053,Monterey County,CA,NA,14.672216441207075
06055,Napa County,CA,NA,75.33818938605619
06057,Nevada County,CA,NA,58.27263267429761
06059,Orange County,CA,31.68831168831169,45.16129032258064
06061,Placer County,CA,NA,46.30593132154006
06065,Riverside County,CA,49.09090909090909,39.125910509885536
06067,Sacramento County,CA,NA,11.966701352757545
06071,San Bernardino County,CA,23.376623376623375,33.1945889698231
06073,San Diego County,CA,NA,10.61394380853278
06075,San Francisco County,CA,NA,48.907388137356925
06077,San Joaquin County,CA,69.35064935064935,43.28824141519251
06079,San Luis Obispo County,CA,35.84415584415584,26.95109261186264
06081,San Mateo County,CA,NA,47.03433922996878
06083,Santa Barbara County,CA,19.480519480519483,NA
06085,Santa Clara County,CA,33.76623376623377,25.078043704474506
06087,Santa Cruz County,CA,NA,57.02393340270552
06089,Shasta County,CA,NA,71.07180020811654
06093,Siskiyou County,CA,84.15584415584415,63.683662851196665
06095,Solano County,CA,NA,14.880332986472425
06097,Sonoma County,CA,NA,1.1446409989594173
06099,Stanislaus County,CA,NA,13.423517169614986
06103,Tehama County,CA,NA,41.935483870967744
06107,Tulare County,CA,NA,48.49115504682622
06111,Ventura County,CA,28.83116883116883,26.638917793964623
08001,Adams County,CO,8.051948051948052,49.94797086368366
08003,Alamosa County,CO,NA,82.72632674297607
08005,Arapahoe County,CO,31.948051948051948,45.99375650364204
08013,Boulder County,CO,NA,44.84911550468262
08014,Broomfield County,CO,NA,59.72944849115505
08031,Denver County,CO,6.753246753246753,11.13423517169615
08035,Douglas County,CO,45.97402597402597,74.29760665972945
08041,El Paso County,CO,30.649350649350648,40.27055150884495
08045,Garfield County,CO,87.01298701298701,91.67533818938605
08051,Gunnison County,CO,NA,97.1904266389178
08059,Jefferson County,CO,29.87012987012987,27.15920915712799
08067,La Plata County,CO,NA,85.4318418314256
08069,Larimer County,CO,21.558441558441558,25.286160249739854
08083,Montezuma County,CO,NA,95.31737773152965
08089,Otero County,CO,98.18181818181819,NA
08101,Pueblo County,CO,38.701298701298704,30.280957336108223
08119,Teller County,CO,NA,97.71071800208117
08123,Weld County,CO,NA,66.3891779396462
09001,Fairfield County,CT,50.38961038961038,34.443288241415196
09003,Hartford County,CT,8.831168831168831,16.129032258064516
09005,Litchfield County,CT,NA,3.7460978147762747
09007,Middlesex County,CT,NA,6.867845993756504
09009,New Haven County,CT,NA,14.25598335067638
09011,New London County,CT,NA,75.44224765868887
09013,Tolland County,CT,NA,12.070759625390219
09015,Windham County,CT,NA,13.215400624349636
10001,Kent County,DE,NA,5.515088449531738
10003,New Castle County,DE,NA,1.8730489073881373
10005,Sussex County,DE,NA,7.075962539021852
11001,District of Columbia,DC,7.792207792207792,41.72736732570239
12001,Alachua County,FL,98.44155844155844,96.3579604578564
12009,Brevard County,FL,NA,1.9771071800208115
12011,Broward County,FL,5.454545454545454,43.08012486992716
12015,Charlotte County,FL,NA,6.347554630593131
12017,Citrus County,FL,54.02597402597402,32.778355879292405
12019,Clay County,FL,NA,55.254942767950055
12021,Collier County,FL,26.233766233766232,20.707596253902185
12023,Columbia County,FL,55.58441558441558,NA
12027,DeSoto County,FL,NA,70.96774193548387
12031,Duval County,FL,21.038961038961038,27.78355879292404
12033,Escambia County,FL,NA,48.5952133194589
12049,Hardee County,FL,NA,84.70343392299688
12051,Hendry County,FL,NA,70.34339229968782
12053,Hernando County,FL,NA,29.448491155046824
12057,Hillsborough County,FL,7.2727272727272725,2.18522372528616
12061,Indian River County,FL,NA,24.97398543184183
12069,Lake County,FL,NA,15.71279916753382
12071,Lee County,FL,NA,22.892819979188346
12073,Leon County,FL,NA,12.174817898022892
12075,Levy County,FL,74.8051948051948,NA
12081,Manatee County,FL,NA,1.352757544224766
12083,Marion County,FL,NA,9.365244536940686
12086,Miami-Dade County,FL,48.05194805194805,15.608740894901144
12089,Nassau County,FL,NA,26.222684703433924
12095,Orange County,FL,8.311688311688311,70.23933402705515
12097,Osceola County,FL,20,23.204994797086368
12099,Palm Beach County,FL,41.2987012987013,20.915712799167537
12101,Pasco County,FL,15.844155844155845,4.0582726326742975
12103,Pinellas County,FL,7.012987012987012,13.631633714880333
12105,Polk County,FL,NA,6.971904266389179
12107,Putnam County,FL,NA,29.240374609781476
12109,St. Johns County,FL,57.4025974025974,21.331945889698233
12111,St. Lucie County,FL,24.415584415584416,1.664932362122789
12113,Santa Rosa County,FL,69.87012987012987,3.1217481789802286
12115,Sarasota County,FL,27.79220779220779,2.497398543184183
12117,Seminole County,FL,NA,60.04162330905307
12119,Sumter County,FL,NA,18.938605619146724
12127,Volusia County,FL,NA,3.433922996878252
12129,Wakulla County,FL,94.54545454545455,93.86056191467222
13009,Baldwin County,GA,NA,87.20083246618107
13013,Barrow County,GA,NA,38.91779396462019
13015,Bartow County,GA,63.63636363636363,34.33922996878252
13039,Camden County,GA,NA,87.92924037460979
13043,Candler County,GA,NA,93.65244536940686
13045,Carroll County,GA,95.32467532467533,NA
13051,Chatham County,GA,NA,43.39229968782518
13057,Cherokee County,GA,NA,32.98647242455775
13059,Clarke County,GA,55.32467532467532,NA
13063,Clayton County,GA,NA,71.17585848074923
13067,Cobb County,GA,62.33766233766234,25.806451612903224
13073,Columbia County,GA,NA,15.192507804370447
13089,DeKalb County,GA,47.01298701298701,18.41831425598335
13093,Dooly County,GA,99.48051948051948,NA
13095,Dougherty County,GA,NA,24.557752341311133
13097,Douglas County,GA,42.33766233766234,NA
13113,Fayette County,GA,NA,33.50676378772112
13117,Forsyth County,GA,51.688311688311686,NA
13119,Franklin County,GA,NA,80.9573361082206
13121,Fulton County,GA,45.19480519480519,24.661810613943807
13135,Gwinnett County,GA,26.75324675324675,5.30697190426639
13137,Habersham County,GA,84.67532467532467,NA
13139,Hall County,GA,49.87012987012987,NA
13145,Harris County,GA,NA,94.48491155046827
13147,Hart County,GA,NA,83.45473465140478
13151,Henry County,GA,75.32467532467533,56.50364203954214
13153,Houston County,GA,NA,15.400624349635796
13177,Lee County,GA,NA,86.05619146722164
13179,Liberty County,GA,NA,80.12486992715921
13181,Lincoln County,GA,NA,95.73361082206036
13185,Lowndes County,GA,NA,24.24557752341311
13189,McDuffie County,GA,NA,82.10197710718002
13199,Meriwether County,GA,NA,93.02809573361083
13207,Monroe County,GA,NA,92.40374609781477
13215,Muscogee County,GA,38.18181818181819,NA
13217,Newton County,GA,NA,29.34443288241415
13223,Paulding County,GA,NA,33.29864724245578
13241,Rabun County,GA,NA,94.27679500520291
13245,Richmond County,GA,NA,7.1800208116545265
13247,Rockdale County,GA,NA,38.81373569198751
13253,Seminole County,GA,NA,92.61186264308012
13257,Stephens County,GA,NA,78.35587929240374
13275,Thomas County,GA,NA,53.06971904266389
13285,Troup County,GA,NA,30.489073881373567
13295,Walker County,GA,NA,73.46514047866806
13313,Whitfield County,GA,NA,63.05931321540063
15001,Hawaii County,HI,NA,73.2570239334027
15003,Honolulu County,HI,18.7012987012987,31.00936524453694
15007,Kauai County,HI,NA,83.7669094693028
15009,Maui County,HI,NA,41.51925078043705
16001,Ada County,ID,NA,42.039542143600414
16005,Bannock County,ID,NA,78.77211238293444
16011,Bingham County,ID,86.23376623376623,79.91675338189386
16019,Bonneville County,ID,61.298701298701296,NA
16027,Canyon County,ID,20.51948051948052,43.49635796045786
16031,Cassia County,ID,NA,79.81269510926118
16043,Fremont County,ID,NA,98.64724245577523
16045,Gem County,ID,NA,79.70863683662851
16047,Gooding County,ID,NA,98.23100936524453
16051,Jefferson County,ID,NA,95.52549427679502
16055,Kootenai County,ID,NA,70.55150884495318
16059,Lemhi County,ID,NA,90.42663891779397
16067,Minidoka County,ID,NA,88.2414151925078
16075,Payette County,ID,NA,72.73673257023934
16081,Teton County,ID,NA,99.16753381893861
16085,Valley County,ID,NA,95.1092611862643
17021,Christian County,IL,91.42857142857143,NA
17029,Coles County,IL,NA,50.052029136316335
17031,Cook County,IL,18.181818181818183,36.00416233090531
17033,Crawford County,IL,NA,98.02289281997919
17037,DeKalb County,IL,NA,32.049947970863684
17043,DuPage County,IL,42.077922077922075,55.15088449531738
17045,Edgar County,IL,NA,83.97502601456816
17057,Fulton County,IL,NA,80.33298647242457
17067,Hancock County,IL,NA,99.89594172736732
17077,Jackson County,IL,NA,56.81581685744017
17083,Jersey County,IL,NA,87.51300728407908
17089,Kane County,IL,28.05194805194805,80.02081165452654
17093,Kendall County,IL,NA,60.77003121748179
17097,Lake County,IL,15.584415584415584,1.2486992715920915
17099,LaSalle County,IL,68.31168831168831,57.54422476586889
17103,Lee County,IL,NA,44.22476586888658
17107,Logan County,IL,NA,98.75130072840791
17111,McHenry County,IL,33.246753246753244,50.676378772112386
17115,Macon County,IL,NA,9.781477627471384
17119,Madison County,IL,NA,16.441207075962538
17121,Marion County,IL,92.46753246753246,NA
17135,Montgomery County,IL,94.28571428571428,NA
17137,Morgan County,IL,NA,74.0894901144641
17157,Randolph County,IL,91.16883116883116,NA
17177,Stephenson County,IL,NA,47.13839750260146
17179,Tazewell County,IL,NA,20.08324661810614
17193,White County,IL,100,NA
17197,Will County,IL,10.129870129870131,34.85952133194589
17201,Winnebago County,IL,45.714285714285715,24.86992715920916
18003,Allen County,IN,13.246753246753245,47.86680541103018
18005,Bartholomew County,IN,NA,53.59001040582726
18019,Clark County,IN,NA,45.88969823100936
18033,DeKalb County,IN,NA,59.31321540062435
18039,Elkhart County,IN,NA,13.319458896982312
18045,Fountain County,IN,NA,93.96462018730489
18057,Hamilton County,IN,72.72727272727273,53.90218522372528
18059,Hancock County,IN,NA,37.2528616024974
18063,Hendricks County,IN,NA,52.653485952133195
18065,Henry County,IN,81.2987012987013,NA
18067,Howard County,IN,42.857142857142854,45.473465140478666
18069,Huntington County,IN,NA,51.30072840790842
18073,Jasper County,IN,NA,56.2955254942768
18081,Johnson County,IN,NA,8.949011446409989
18085,Kosciusko County,IN,NA,73.77731529656609
18087,LaGrange County,IN,NA,74.5057232049948
18089,Lake County,IN,3.3766233766233764,19.042663891779394
18091,LaPorte County,IN,92.20779220779221,55.359001040582726
18093,Lawrence County,IN,81.03896103896105,NA
18097,Marion County,IN,9.61038961038961,25.494276795005206
18105,Monroe County,IN,71.68831168831169,NA
18107,Montgomery County,IN,NA,69.92715920915713
18113,Noble County,IN,NA,51.30072840790842
18123,Perry County,IN,NA,87.72112382934444
18127,Porter County,IN,NA,48.283038501560874
18131,Pulaski County,IN,NA,92.92403746097816
18133,Putnam County,IN,NA,90.11446409989594
18141,St. Joseph County,IN,30.909090909090907,6.035379812695109
18149,Starke County,IN,NA,76.4828303850156
18155,Switzerland County,IN,NA,99.37565036420395
18163,Vanderburgh County,IN,NA,4.37044745057232
18167,Vigo County,IN,38.961038961038966,47.76274713839751
18177,Wayne County,IN,NA,25.18210197710718
19011,Benton County,IA,NA,97.60665972944848
19055,Delaware County,IA,NA,91.15504682622269
19061,Dubuque County,IA,65.1948051948052,70.34339229968782
19063,Emmet County,IA,NA,83.55879292403746
19065,Fayette County,IA,NA,90.94693028095733
19079,Hamilton County,IA,NA,93.34027055150884
19103,Johnson County,IA,NA,16.75338189386056
19113,Linn County,IA,NA,25.70239334027055
19121,Madison County,IA,NA,96.7741935483871
19129,Mills County,IA,NA,91.05098855359
19145,Page County,IA,NA,93.23621227887617
