ZipCode,county,state,Adult,Retirement
35055,Cullman County,AL,NA,64.66876971608832
35401,Tuscaloosa County,AL,NA,18.92744479495268
35474,Hale County,AL,63.817097415506964,NA
35546,Fayette County,AL,89.86083499005964,NA
35802,Madison County,AL,NA,64.98422712933754
35903,Etowah County,AL,78.13121272365805,NA
35976,Marshall County,AL,47.912524850894634,37.22397476340694
36265,Calhoun County,AL,77.53479125248509,NA
36271,Calhoun County,AL,85.88469184890656,NA
36567,Baldwin County,AL,61.63021868787276,NA
36701,Dallas County,AL,26.640159045725646,NA
36804,Lee County,AL,57.45526838966203,NA
36830,Lee County,AL,91.65009940357854,NA
99654,Matanuska-Susitna Borough,AK,35.984095427435385,NA
99669,Kenai Peninsula Borough,AK,70.9741550695825,55.83596214511041
85041,Maricopa County,AZ,8.747514910536779,24.9211356466877
85338,Maricopa County,AZ,33.79721669980119,NA
85344,La Paz County,AZ,66.79920477137176,NA
85383,Maricopa County,AZ,NA,37.85488958990536
85635,Cochise County,AZ,NA,52.05047318611987
85653,Pima County,AZ,NA,40.063091482649845
85745,Pima County,AZ,24.254473161033797,NA
85756,Pima County,AZ,NA,86.75078864353313
71635,Ashley County,AR,92.44532803180915,NA
71913,Garland County,AR,36.779324055666,NA
72404,Craighead County,AR,76.54075546719682,NA
72416,Craighead County,AR,NA,90.85173501577287
72501,Independence County,AR,33.20079522862823,NA
90041,Los Angeles County,CA,NA,92.74447949526814
90064,Los Angeles County,CA,59.64214711729622,NA
90201,Los Angeles County,CA,30.61630218687873,NA
90232,Los Angeles County,CA,93.24055666003976,NA
90260,Los Angeles County,CA,73.75745526838966,NA
90275,Los Angeles County,CA,56.66003976143141,NA
90403,Los Angeles County,CA,NA,68.45425867507886
90605,Los Angeles County,CA,79.52286282306163,NA
90621,Orange County,CA,56.461232604373755,NA
90650,Los Angeles County,CA,NA,14.826498422712934
90802,Los Angeles County,CA,50.29821073558648,NA
91362,Ventura County,CA,83.69781312127238,NA
91702,Los Angeles County,CA,31.21272365805169,NA
91709,San Bernardino County,CA,NA,27.129337539432175
91732,Los Angeles County,CA,41.15308151093439,NA
91739,San Bernardino County,CA,61.431411530815105,NA
91744,Los Angeles County,CA,18.687872763419485,NA
91762,San Bernardino County,CA,34.990059642147116,NA
91770,Los Angeles County,CA,NA,47.003154574132495
91901,San Diego County,CA,NA,75.39432176656152
92024,San Diego County,CA,40.357852882703774,NA
92054,San Diego County,CA,43.33996023856859,NA
92078,San Diego County,CA,NA,50.473186119873816
92101,San Diego County,CA,NA,10.410094637223976
92234,Riverside County,CA,44.93041749502982,4.100946372239748
92503,Riverside County,CA,20.07952286282306,NA
92544,Riverside County,CA,49.10536779324055,NA
92562,Riverside County,CA,NA,34.70031545741325
92583,Riverside County,CA,NA,67.82334384858044
92592,Riverside County,CA,NA,29.02208201892745
92610,Orange County,CA,NA,94.6372239747634
92624,Orange County,CA,95.02982107355865,NA
92648,Orange County,CA,NA,23.02839116719243
92675,Orange County,CA,64.21471172962227,NA
92679,Orange County,CA,60.039761431411534,NA
92691,Orange County,CA,NA,56.46687697160884
92704,Orange County,CA,32.40556660039761,NA
92870,Orange County,CA,36.381709741550694,NA
92880,Riverside County,CA,NA,54.889589905362776
93063,Ventura County,CA,NA,25.86750788643533
93257,Tulare County,CA,41.94831013916501,NA
93274,Tulare County,CA,25.646123260437374,NA
93277,Tulare County,CA,NA,82.33438485804416
93291,Tulare County,CA,NA,69.4006309148265
93455,Santa Barbara County,CA,NA,30.914826498422716
93536,Los Angeles County,CA,42.54473161033797,NA
93619,Fresno County,CA,41.35188866799205,91.7981072555205
93955,Monterey County,CA,NA,35.646687697160885
94116,San Francisco County,CA,NA,37.85488958990536
94122,San Francisco County,CA,74.35387673956262,NA
94542,Alameda County,CA,NA,93.69085173501577
94550,Alameda County,CA,NA,38.48580441640379
95060,Santa Cruz County,CA,71.57057654075547,NA
95330,San Joaquin County,CA,NA,81.38801261829653
95448,Sonoma County,CA,NA,47.94952681388013
95624,Sacramento County,CA,48.31013916500994,NA
95815,Sacramento County,CA,64.61232604373758,NA
95926,Butte County,CA,34.59244532803181,NA
95973,Butte County,CA,NA,23.974763406940063
96094,Siskiyou County,CA,NA,66.5615141955836
80012,Arapahoe County,CO,NA,29.652996845425868
80014,Arapahoe County,CO,31.01391650099404,NA
80021,Jefferson County,CO,59.24453280318092,NA
80023,Broomfield County,CO,NA,77.91798107255521
80123,Jefferson County,CO,48.9065606361829,NA
80126,Douglas County,CO,NA,57.09779179810725
80232,Jefferson County,CO,75.54671968190854,NA
80237,Denver County,CO,72.76341948310139,NA
80525,Larimer County,CO,NA,11.35646687697161
80526,Larimer County,CO,36.58051689860835,NA
80634,Weld County,CO,2.584493041749503,NA
80917,El Paso County,CO,NA,54.57413249211357
80922,El Paso County,CO,97.01789264413519,NA
81401,Montrose County,CO,83.89662027833002,43.53312302839117
06117,Hartford County,CT,70.37773359840955,NA
06119,Hartford County,CT,NA,79.49526813880126
06248,Tolland County,CT,96.81908548707754,NA
06468,Fairfield County,CT,NA,76.65615141955836
06475,Middlesex County,CT,NA,58.67507886435332
06516,New Haven County,CT,7.75347912524851,NA
06790,Litchfield County,CT,NA,3.7854889589905363
06795,Litchfield County,CT,NA,56.15141955835961
06851,Fairfield County,CT,57.25646123260437,NA
19701,New Castle County,DE,NA,16.08832807570978
19720,New Castle County,DE,3.180914512922465,NA
19950,Sussex County,DE,81.51093439363817,NA
32025,Columbia County,FL,67.79324055666004,NA
32055,Columbia County,FL,40.95427435387674,NA
32091,Bradford County,FL,42.14711729622266,NA
32137,Flagler County,FL,NA,8.832807570977918
32233,Duval County,FL,NA,41.32492113564668
32250,Duval County,FL,NA,33.12302839116719
32254,Duval County,FL,NA,68.76971608832808
32333,Gadsden County,FL,80.31809145129225,NA
32526,Escambia County,FL,44.333996023856855,NA
32535,Escambia County,FL,75.7455268389662,NA
32541,Okaloosa County,FL,84.49304174950298,NA
32561,Santa Rosa County,FL,NA,79.17981072555204
32571,Santa Rosa County,FL,91.84890656063618,NA
32605,Alachua County,FL,98.60834990059642,NA
32619,Gilchrist County,FL,99.60238568588468,NA
32771,Seminole County,FL,16.50099403578529,NA
