ZipCode,county,state,Retirement,Geriatric
35007,Shelby County,AL,29.357798165137616,NA
35010,Tallapoosa County,AL,NA,24.100719424460433
35054,St. Clair County,AL,NA,81.4148681055156
35121,Blount County,AL,NA,61.63069544364509
35125,St. Clair County,AL,83.6697247706422,NA
35235,Jefferson County,AL,NA,67.26618705035972
35244,Jefferson County,AL,NA,49.40047961630695
35405,Tuscaloosa County,AL,35.04587155963303,NA
35601,Morgan County,AL,10.458715596330276,NA
35611,Limestone County,AL,17.61467889908257,NA
35613,Limestone County,AL,37.43119266055046,NA
35754,Morgan County,AL,NA,77.81774580335733
35758,Madison County,AL,NA,58.87290167865707
35768,Jackson County,AL,NA,60.07194244604317
35802,Madison County,AL,55.596330275229356,17.505995203836928
35810,Madison County,AL,NA,17.86570743405276
35906,Etowah County,AL,68.07339449541284,NA
36091,Chilton County,AL,92.11009174311927,NA
36109,Montgomery County,AL,NA,38.84892086330935
36420,Covington County,AL,NA,79.73621103117506
36507,Baldwin County,AL,56.14678899082569,NA
36618,Mobile County,AL,NA,64.14868105515588
36701,Dallas County,AL,NA,75.41966426858512
85020,Maricopa County,AZ,25.688073394495415,NA
85022,Maricopa County,AZ,20.91743119266055,NA
85051,Maricopa County,AZ,61.46788990825688,NA
85122,Pinal County,AZ,NA,55.03597122302158
85204,Maricopa County,AZ,54.49541284403669,NA
85207,Maricopa County,AZ,NA,73.14148681055156
85254,Maricopa County,AZ,NA,38.489208633093526
85266,Maricopa County,AZ,88.25688073394495,NA
85282,Maricopa County,AZ,67.88990825688074,NA
85298,Maricopa County,AZ,NA,75.65947242206235
85321,Pima County,AZ,NA,91.24700239808153
85364,Yuma County,AZ,NA,2.5179856115107913
85383,Maricopa County,AZ,28.256880733944957,73.621103117506
85395,Maricopa County,AZ,35.77981651376147,NA
85602,Cochise County,AZ,71.92660550458716,NA
85614,Pima County,AZ,NA,3.237410071942446
85641,Pima County,AZ,NA,95.32374100719424
85650,Cochise County,AZ,87.1559633027523,NA
85710,Pima County,AZ,11.926605504587156,NA
85718,Pima County,AZ,46.23853211009175,NA
85742,Pima County,AZ,40.36697247706422,NA
85750,Pima County,AZ,69.90825688073394,NA
85937,Navajo County,AZ,NA,84.41247002398082
86301,Yavapai County,AZ,NA,13.908872901678656
86442,Mohave County,AZ,NA,17.026378896882495
86503,Apache County,AZ,NA,40.28776978417266
71671,Bradley County,AR,NA,70.50359712230215
71832,Sevier County,AR,NA,86.33093525179856
72023,Lonoke County,AR,20.36697247706422,NA
72058,Faulkner County,AR,NA,80.81534772182253
72113,Pulaski County,AR,NA,46.043165467625904
72173,Faulkner County,AR,93.21100917431193,NA
72207,Pulaski County,AR,NA,76.01918465227818
72715,Benton County,AR,NA,94.60431654676259
72756,Benton County,AR,27.339449541284406,NA
72764,Washington County,AR,NA,58.752997601918466
72903,Sebastian County,AR,53.39449541284404,NA
90002,Los Angeles County,CA,NA,65.34772182254197
90015,Los Angeles County,CA,69.54128440366972,NA
90024,Los Angeles County,CA,NA,85.73141486810552
90035,Los Angeles County,CA,28.623853211009177,NA
90065,Los Angeles County,CA,NA,48.32134292565947
90066,Los Angeles County,CA,NA,54.91606714628298
90068,Los Angeles County,CA,NA,97.24220623501199
90266,Los Angeles County,CA,39.26605504587156,73.26139088729016
90275,Los Angeles County,CA,NA,7.913669064748201
90631,Orange County,CA,12.110091743119266,NA
90640,Los Angeles County,CA,NA,23.26139088729017
90650,Los Angeles County,CA,NA,70.38369304556355
90706,Los Angeles County,CA,NA,56.95443645083933
90712,Los Angeles County,CA,40.18348623853211,NA
90731,Los Angeles County,CA,69.1743119266055,NA
90740,Orange County,CA,NA,18.94484412470024
90806,Los Angeles County,CA,86.60550458715596,NA
90808,Los Angeles County,CA,66.42201834862385,NA
90815,Los Angeles County,CA,62.93577981651376,NA
91007,Los Angeles County,CA,NA,40.52757793764988
91011,Los Angeles County,CA,NA,58.39328537170264
91345,Los Angeles County,CA,85.5045871559633,NA
91406,Los Angeles County,CA,30.091743119266056,NA
91755,Los Angeles County,CA,NA,37.76978417266187
91766,Los Angeles County,CA,NA,28.05755395683453
91770,Los Angeles County,CA,80.36697247706422,NA
91901,San Diego County,CA,NA,55.875299760191844
91902,San Diego County,CA,NA,57.67386091127098
91911,San Diego County,CA,NA,7.434052757793765
91914,San Diego County,CA,96.69724770642202,NA
91942,San Diego County,CA,32.6605504587156,21.223021582733814
91977,San Diego County,CA,NA,27.937649880095922
92020,San Diego County,CA,5.688073394495413,NA
92021,San Diego County,CA,9.724770642201836,NA
92024,San Diego County,CA,80.91743119266054,24.820143884892087
92026,San Diego County,CA,NA,27.697841726618705
92057,San Diego County,CA,NA,63.30935251798561
92071,San Diego County,CA,NA,52.637889688249395
92078,San Diego County,CA,38.1651376146789,NA
92082,San Diego County,CA,67.70642201834862,NA
92101,San Diego County,CA,6.972477064220184,NA
92102,San Diego County,CA,NA,65.94724220623502
92111,San Diego County,CA,43.11926605504588,NA
92119,San Diego County,CA,66.60550458715596,NA
92120,San Diego County,CA,84.77064220183486,NA
92124,San Diego County,CA,65.68807339449542,NA
92130,San Diego County,CA,51.559633027522935,NA
92211,Riverside County,CA,52.293577981651374,46.882494004796165
92241,Riverside County,CA,99.63302752293578,NA
92270,Riverside County,CA,NA,48.561151079136685
92325,San Bernardino County,CA,76.69724770642202,NA
92354,San Bernardino County,CA,NA,49.76019184652279
92411,San Bernardino County,CA,31.376146788990827,NA
92505,Riverside County,CA,41.8348623853211,NA
92626,Orange County,CA,35.22935779816514,NA
92627,Orange County,CA,22.568807339449542,14.148681055155876
92629,Orange County,CA,NA,61.990407673860915
92646,Orange County,CA,NA,6.115107913669065
92648,Orange County,CA,87.33944954128441,16.30695443645084
92653,Orange County,CA,NA,92.92565947242207
92663,Orange County,CA,NA,50.719424460431654
92675,Orange County,CA,35.41284403669725,NA
92683,Orange County,CA,NA,4.07673860911271
92692,Orange County,CA,52.11009174311927,NA
92804,Orange County,CA,NA,19.06474820143885
92821,Orange County,CA,70.27522935779817,NA
92845,Orange County,CA,NA,81.77458033573141
92868,Orange County,CA,NA,88.12949640287769
93308,Kern County,CA,NA,93.28537170263789
93446,San Luis Obispo County,CA,NA,44.00479616306954
93555,Kern County,CA,NA,63.189448441246995
93562,San Bernardino County,CA,92.84403669724772,NA
93614,Madera County,CA,NA,74.70023980815348
93635,Merced County,CA,36.14678899082569,NA
93654,Fresno County,CA,NA,56.71462829736211
93703,Fresno County,CA,77.43119266055047,NA
93704,Fresno County,CA,NA,63.549160671462836
93706,Fresno County,CA,NA,75.65947242206235
93711,Fresno County,CA,NA,28.896882494004792
93720,Fresno County,CA,NA,41.36690647482014
93722,Fresno County,CA,NA,62.70983213429256
93726,Fresno County,CA,36.88073394495413,NA
93908,Monterey County,CA,74.6788990825688,NA
93923,Monterey County,CA,NA,86.6906474820144
93924,Monterey County,CA,NA,99.40047961630695
94022,Santa Clara County,CA,NA,82.85371702637889
94030,San Mateo County,CA,51.74311926605505,NA
94066,San Mateo County,CA,NA,9.832134292565947
94080,San Mateo County,CA,NA,16.906474820143885
94089,Santa Clara County,CA,NA,62.47002398081535
94115,San Francisco County,CA,28.440366972477065,NA
94404,San Mateo County,CA,NA,67.0263788968825
94507,Contra Costa County,CA,93.39449541284404,75.0599520383693
94521,Contra Costa County,CA,NA,18.705035971223023
94539,Alameda County,CA,45.87155963302752,NA
94544,Alameda County,CA,NA,16.786570743405278
94553,Contra Costa County,CA,20.55045871559633,NA
94556,Contra Costa County,CA,86.42201834862385,NA
94558,Napa County,CA,NA,96.76258992805755
94563,Contra Costa County,CA,NA,72.06235011990407
94587,Alameda County,CA,NA,11.630695443645084
94596,Contra Costa County,CA,73.94495412844037,89.68824940047962
94707,Alameda County,CA,92.66055045871559,NA
94804,Contra Costa County,CA,79.26605504587157,NA
94920,Marin County,CA,NA,83.21342925659472
94925,Marin County,CA,NA,98.8009592326139
94960,Marin County,CA,72.29357798165138,NA
95119,Santa Clara County,CA,90.82568807339449,NA
95125,Santa Clara County,CA,NA,21.70263788968825
95127,Santa Clara County,CA,NA,71.94244604316546
95205,San Joaquin County,CA,NA,70.86330935251799
95212,San Joaquin County,CA,91.19266055045871,NA
95236,San Joaquin County,CA,97.43119266055047,NA
95242,San Joaquin County,CA,NA,41.48681055155875
95252,Calaveras County,CA,58.532110091743114,NA
95326,Stanislaus County,CA,NA,88.48920863309353
95337,San Joaquin County,CA,NA,58.63309352517986
95348,Merced County,CA,81.65137614678899,NA
95356,Stanislaus County,CA,NA,49.88009592326139
95376,San Joaquin County,CA,26.972477064220186,NA
95404,Sonoma County,CA,NA,18.345323741007196
95437,Mendocino County,CA,NA,87.88968824940048
95492,Sonoma County,CA,NA,37.170263788968825
95501,Humboldt County,CA,NA,69.42446043165468
95521,Humboldt County,CA,71.37614678899082,NA
95531,Del Norte County,CA,84.58715596330275,NA
95603,Placer County,CA,NA,55.15587529976019
95610,Sacramento County,CA,NA,35.4916067146283
95623,El Dorado County,CA,92.4770642201835,NA
95624,Sacramento County,CA,NA,33.573141486810556
95628,Sacramento County,CA,31.009174311926607,21.103117505995204
95630,Sacramento County,CA,NA,19.784172661870503
95642,Amador County,CA,NA,97.3621103117506
95648,Placer County,CA,NA,7.1942446043165464
95660,Sacramento County,CA,49.54128440366973,NA
95662,Sacramento County,CA,NA,65.46762589928058
95667,El Dorado County,CA,NA,0.8393285371702638
95673,Sacramento County,CA,90.09174311926606,NA
95678,Placer County,CA,24.954128440366972,NA
95747,Placer County,CA,NA,8.992805755395683
95814,Sacramento County,CA,77.24770642201835,NA
95817,Sacramento County,CA,NA,86.93045563549161
96002,Shasta County,CA,80.18348623853211,NA
96130,Lassen County,CA,NA,69.7841726618705
80012,Arapahoe County,CO,NA,15.467625899280577
80022,Adams County,CO,30.458715596330276,NA
80023,Broomfield County,CO,NA,70.74340527577938
80109,Douglas County,CO,80.55045871559633,NA
80112,Arapahoe County,CO,NA,77.33812949640287
80120,Arapahoe County,CO,NA,41.12709832134293
80125,Douglas County,CO,NA,97.72182254196643
80210,Denver County,CO,NA,62.23021582733813
80401,Jefferson County,CO,40,NA
80537,Larimer County,CO,NA,17.985611510791365
80634,Weld County,CO,2.5688073394495414,NA
81005,Pueblo County,CO,16.51376146788991,NA
81147,Archuleta County,CO,NA,82.25419664268586
81212,Fremont County,CO,NA,30.815347721822544
81506,Mesa County,CO,NA,52.99760191846523
06010,Hartford County,CT,NA,1.9184652278177456
06013,Hartford County,CT,NA,94.96402877697841
06035,Hartford County,CT,99.26605504587155,NA
06040,Hartford County,CT,NA,20.503597122302157
06074,Hartford County,CT,43.853211009174316,NA
06085,Hartford County,CT,NA,95.56354916067147
06108,Hartford County,CT,NA,83.93285371702638
06109,Hartford County,CT,NA,25.65947242206235
06117,Hartford County,CT,78.71559633027523,NA
06410,New Haven County,CT,NA,66.90647482014388
06413,Middlesex County,CT,NA,39.4484412470024
06424,Middlesex County,CT,NA,89.44844124700239
06457,Middlesex County,CT,NA,7.553956834532374
06517,New Haven County,CT,NA,46.76258992805755
06614,Fairfield County,CT,NA,21.34292565947242
06801,Fairfield County,CT,47.33944954128441,NA
06883,Fairfield County,CT,NA,77.45803357314148
19701,New Castle County,DE,43.30275229357798,NA
19713,New Castle County,DE,NA,61.51079136690647
19805,New Castle County,DE,29.724770642201836,NA
19956,Sussex County,DE,68.9908256880734,NA
19966,Sussex County,DE,6.605504587155964,NA
32034,Nassau County,FL,NA,13.549160671462829
32043,Clay County,FL,NA,43.884892086330936
32082,St. Johns County,FL,NA,52.15827338129496
32136,Flagler County,FL,NA,66.18705035971223
32137,Flagler County,FL,NA,5.635491606714628
32162,Sumter County,FL,NA,76.378896882494
32169,Volusia County,FL,NA,87.76978417266187
32177,Putnam County,FL,NA,38.1294964028777
32401,Bay County,FL,21.28440366972477,NA
32408,Bay County,FL,81.8348623853211,NA
32428,Washington County,FL,NA,72.18225419664267
32431,Jackson County,FL,NA,93.16546762589928
32456,Gulf County,FL,51.37614678899083,NA
32504,Escambia County,FL,NA,17.62589928057554
32570,Santa Rosa County,FL,81.46788990825688,NA
32583,Santa Rosa County,FL,50.091743119266056,NA
32725,Volusia County,FL,98.53211009174312,NA
32789,Orange County,FL,NA,44.24460431654676
32835,Orange County,FL,NA,91.12709832134293
32907,Brevard County,FL,NA,15.827338129496402
32955,Brevard County,FL,NA,76.61870503597122
32960,Indian River County,FL,31.55963302752294,NA
32968,Indian River County,FL,NA,68.94484412470024
33062,Broward County,FL,NA,2.7577937649880093
33069,Broward County,FL,NA,11.151079136690647
33126,Miami-Dade County,FL,NA,17.1462829736211
33135,Miami-Dade County,FL,62.38532110091744,NA
33144,Miami-Dade County,FL,NA,12.589928057553957
33157,Miami-Dade County,FL,NA,50.35971223021583
33175,Miami-Dade County,FL,NA,13.788968824940047
33176,Miami-Dade County,FL,26.055045871559635,NA
33186,Miami-Dade County,FL,NA,21.942446043165468
33319,Broward County,FL,81.28440366972477,NA
33321,Broward County,FL,98.89908256880734,NA
33324,Broward County,FL,NA,74.58033573141488
33401,Palm Beach County,FL,NA,52.87769784172662
33404,Palm Beach County,FL,NA,35.73141486810552
33408,Palm Beach County,FL,NA,32.25419664268585
33410,Palm Beach County,FL,25.321100917431195,25.899280575539567
33480,Palm Beach County,FL,NA,30.935251798561154
33484,Palm Beach County,FL,NA,98.92086330935251
33511,Hillsborough County,FL,NA,84.05275779376498
33563,Hillsborough County,FL,51.74311926605505,NA
33572,Hillsborough County,FL,50.825688073394495,NA
33598,Hillsborough County,FL,NA,72.66187050359713
33603,Hillsborough County,FL,93.57798165137615,NA
33607,Hillsborough County,FL,NA,51.91846522781775
33625,Hillsborough County,FL,NA,84.89208633093526
33755,Pinellas County,FL,55.41284403669725,NA
33761,Pinellas County,FL,NA,80.2158273381295
33803,Polk County,FL,NA,29.016786570743403
33852,Highlands County,FL,NA,27.45803357314149
33950,Charlotte County,FL,NA,20.023980815347723
33954,Charlotte County,FL,NA,63.90887290167866
34103,Collier County,FL,NA,29.61630695443645
34113,Collier County,FL,NA,29.73621103117506
34119,Collier County,FL,19.26605504587156,NA
34145,Collier County,FL,NA,22.66187050359712
34209,Manatee County,FL,NA,87.29016786570743
34223,Sarasota County,FL,NA,25.77937649880096
34292,Sarasota County,FL,38.899082568807344,NA
34431,Marion County,FL,NA,78.41726618705036
34470,Marion County,FL,NA,37.410071942446045
34476,Marion County,FL,NA,54.43645083932853
34481,Marion County,FL,NA,10.67146282973621
34652,Pasco County,FL,NA,36.69064748201439
34668,Pasco County,FL,14.678899082568808,NA
34684,Pinellas County,FL,36.3302752293578,NA
34688,Pinellas County,FL,NA,90.88729016786571
34761,Orange County,FL,NA,25.539568345323744
34786,Orange County,FL,39.816513761467895,NA
34787,Orange County,FL,75.41284403669725,NA
34952,St. Lucie County,FL,NA,6.3549160671462825
34986,St. Lucie County,FL,NA,93.88489208633094
34990,Martin County,FL,NA,2.997601918465228
34997,Martin County,FL,49.357798165137616,NA
30008,Cobb County,GA,NA,71.70263788968825
30009,Fulton County,GA,NA,99.04076738609112
30012,Rockdale County,GA,NA,59.47242206235012
30040,Forsyth County,GA,NA,11.270983213429256
30041,Forsyth County,GA,8.256880733944955,NA
30064,Cobb County,GA,NA,55.275779376498804
30080,Cobb County,GA,NA,58.992805755395686
30083,DeKalb County,GA,NA,73.02158273381295
30102,Cherokee County,GA,NA,68.82494004796163
30117,Carroll County,GA,NA,24.700239808153476
30143,Pickens County,GA,27.889908256880737,NA
30147,Floyd County,GA,NA,92.44604316546763
30188,Cherokee County,GA,NA,61.15107913669065
30204,Lamar County,GA,NA,76.2589928057554
30286,Upson County,GA,43.48623853211009,NA
30427,Tattnall County,GA,NA,76.85851318944844
30513,Fannin County,GA,NA,92.08633093525181
30548,Jackson County,GA,70.45871559633028,NA
30736,Catoosa County,GA,47.1559633027523,NA
30802,Columbia County,GA,83.11926605504587,NA
30815,Richmond County,GA,37.247706422018354,46.52278177458034
31061,Baldwin County,GA,NA,28.53717026378897
31088,Houston County,GA,14.311926605504588,NA
31216,Bibb County,GA,NA,69.7841726618705
31316,Long County,GA,NA,90.52757793764988
31411,Chatham County,GA,NA,53.83693045563549
31545,Wayne County,GA,72.47706422018348,NA
31709,Sumter County,GA,NA,99.16067146282974
31763,Lee County,GA,NA,73.50119904076739
31768,Colquitt County,GA,NA,52.038369304556355
31904,Muscogee County,GA,NA,13.189448441247004
39842,Terrell County,GA,57.247706422018354,NA
96727,Hawaii County,HI,NA,98.44124700239809
96734,Honolulu County,HI,NA,33.21342925659472
96740,Hawaii County,HI,52.66055045871559,97.96163069544365
96744,Honolulu County,HI,3.1192660550458715,20.38369304556355
96749,Hawaii County,HI,NA,97.12230215827337
96753,Maui County,HI,64.95412844036697,83.57314148681056
96790,Maui County,HI,NA,92.68585131894484
96815,Honolulu County,HI,NA,49.280575539568346
96819,Honolulu County,HI,NA,50
96821,Honolulu County,HI,63.11926605504588,NA
96822,Honolulu County,HI,46.42201834862386,NA
96825,Honolulu County,HI,NA,22.54196642685851
96826,Honolulu County,HI,NA,29.136690647482016
83301,Twin Falls County,ID,0.9174311926605505,2.278177458033573
83316,Twin Falls County,ID,NA,23.381294964028775
83330,Gooding County,ID,NA,85.85131894484412
83338,Jerome County,ID,NA,33.45323741007194
83340,Blaine County,ID,NA,93.64508393285371
83616,Ada County,ID,7.522935779816514,NA
83646,Ada County,ID,NA,3.7170263788968825
83651,Canyon County,ID,8.623853211009175,NA
83705,Ada County,ID,NA,87.41007194244604
60004,Cook County,IL,NA,7.1942446043165464
60005,Cook County,IL,NA,74.82014388489209
60025,Cook County,IL,21.467889908256883,3.357314148681055
60041,Lake County,IL,NA,95.20383693045564
60045,Lake County,IL,NA,11.390887290167866
60056,Cook County,IL,NA,27.33812949640288
60061,Lake County,IL,40.36697247706422,NA
60076,Cook County,IL,16.14678899082569,NA
60093,Cook County,IL,40.73394495412844,NA
60098,McHenry County,IL,9.908256880733946,NA
60106,DuPage County,IL,NA,61.031175059952034
60164,Cook County,IL,NA,50.59952038369304
60185,DuPage County,IL,21.100917431192663,41.726618705035975
60201,Cook County,IL,NA,4.916067146282973
60406,Cook County,IL,NA,47.24220623501199
60409,Cook County,IL,NA,61.270983213429254
60423,Will County,IL,49.908256880733944,NA
60447,Grundy County,IL,66.05504587155964,NA
60452,Cook County,IL,32.29357798165138,NA
60459,Cook County,IL,73.76146788990826,NA
60505,Kane County,IL,32.11009174311927,NA
60513,Cook County,IL,NA,51.55875299760192
60516,DuPage County,IL,21.834862385321102,NA
60523,DuPage County,IL,NA,33.932853717026376
60607,Cook County,IL,36.69724770642202,NA
60622,Cook County,IL,35.59633027522936,NA
60625,Cook County,IL,37.06422018348624,NA
60641,Cook County,IL,NA,18.82494004796163
60657,Cook County,IL,9.357798165137615,NA
60659,Cook County,IL,19.63302752293578,NA
60660,Cook County,IL,NA,29.856115107913666
61073,Winnebago County,IL,NA,43.28537170263789
61081,Whiteside County,IL,10.825688073394495,NA
61101,Winnebago County,IL,NA,36.45083932853717
61265,Rock Island County,IL,NA,11.750599520383693
61362,Bureau County,IL,NA,69.54436450839329
61607,Peoria County,IL,NA,62.70983213429256
61611,Tazewell County,IL,31.743119266055047,NA
61614,Peoria County,IL,NA,84.29256594724221
61853,Champaign County,IL,90.45871559633028,NA
61944,Edgar County,IL,NA,94.24460431654677
62010,Madison County,IL,58.89908256880734,NA
62095,Madison County,IL,NA,45.32374100719424
62305,Adams County,IL,NA,60.19184652278178
62471,Fayette County,IL,46.60550458715596,NA
62521,Macon County,IL,NA,3.5971223021582732
62618,Cass County,IL,75.59633027522936,NA
62656,Logan County,IL,NA,42.805755395683455
62702,Sangamon County,IL,NA,63.549160671462836
62837,Wayne County,IL,61.284403669724774,NA
46012,Madison County,IN,NA,60.5515587529976
46135,Putnam County,IN,NA,31.654676258992804
46217,Marion County,IN,23.119266055045873,NA
46228,Marion County,IN,NA,87.52997601918466
46237,Marion County,IN,NA,12.23021582733813
46321,Lake County,IN,11.743119266055047,NA
46322,Lake County,IN,17.431192660550458,NA
46324,Lake County,IN,NA,40.40767386091127
46383,Porter County,IN,NA,98.20143884892086
46511,Marshall County,IN,NA,97.00239808153476
46628,St. Joseph County,IN,38.34862385321101,NA
46777,Wells County,IN,NA,88.60911270983213
46808,Allen County,IN,52.477064220183486,NA
47112,Harrison County,IN,NA,56.11510791366906
47331,Fayette County,IN,NA,6.474820143884892
47408,Monroe County,IN,94.86238532110092,NA
47501,Daviess County,IN,NA,18.10551558752998
47546,Dubois County,IN,NA,22.781774580335732
47802,Vigo County,IN,95.96330275229357,NA
47805,Vigo County,IN,86.78899082568807,NA
47834,Clay County,IN,41.10091743119266,NA
47885,Vigo County,IN,63.6697247706422,NA
47905,Tippecanoe County,IN,NA,13.309352517985612
47909,Tippecanoe County,IN,NA,31.05515587529976
47960,White County,IN,NA,31.774580335731418
50010,Story County,IA,NA,60.671462829736214
50401,Cerro Gordo County,IA,NA,9.712230215827338
50588,Buena Vista County,IA,75.96330275229359,NA
50616,Floyd County,IA,NA,80.93525179856115
50702,Black Hawk County,IA,68.62385321100918,NA
51301,Clay County,IA,NA,82.13429256594725
51360,Dickinson County,IA,NA,45.20383693045564
51537,Shelby County,IA,NA,39.68824940047961
51601,Page County,IA,59.63302752293578,NA
52002,Dubuque County,IA,NA,69.6642685851319
52101,Winneshiek County,IA,54.862385321100916,23.501199040767386
52136,Howard County,IA,NA,71.46282973621103
52205,Jones County,IA,NA,66.54676258992805
52240,Johnson County,IA,NA,21.942446043165468
52722,Scott County,IA,NA,51.798561151079134
52732,Clinton County,IA,NA,35.61151079136691
52761,Muscatine County,IA,9.174311926605505,NA
52806,Scott County,IA,NA,34.65227817745804
66046,Douglas County,KS,74.12844036697248,NA
66062,Johnson County,KS,NA,14.86810551558753
66071,Miami County,KS,NA,67.26618705035972
66103,Wyandotte County,KS,NA,88.72901678657075
66104,Wyandotte County,KS,66.78899082568807,NA
66109,Wyandotte County,KS,NA,25.41966426858513
66206,Johnson County,KS,NA,66.42685851318944
66604,Shawnee County,KS,NA,32.61390887290168
66614,Shawnee County,KS,13.211009174311927,NA
66749,Allen County,KS,NA,53.11750599520384
67846,Finney County,KS,48.62385321100918,NA
40033,Marion County,KY,NA,81.17505995203837
40047,Bullitt County,KY,45.321100917431195,NA
40220,Jefferson County,KY,NA,50.47961630695443
40229,Jefferson County,KY,13.577981651376147,NA
40342,Anderson County,KY,NA,67.26618705035972
40371,Bath County,KY,98.71559633027523,NA
40419,Lincoln County,KY,88.80733944954129,NA
40502,Fayette County,KY,NA,36.57074340527578
40831,Harlan County,KY,NA,85.85131894484412
40977,Bell County,KY,59.082568807339456,NA
41537,Letcher County,KY,NA,99.76019184652279
42066,Graves County,KY,NA,28.177458033573146
42071,Calloway County,KY,79.63302752293579,NA
42134,Simpson County,KY,NA,46.642685851318944
42539,Casey County,KY,NA,85.4916067146283
42726,Grayson County,KY,NA,96.64268585131894
70001,Jefferson Parish,LA,NA,8.633093525179856
70005,Jefferson Parish,LA,87.5229357798165,NA
70118,Orleans Parish,LA,13.027522935779817,NA
70121,Jefferson Parish,LA,50.64220183486239,NA
70124,Orleans Parish,LA,NA,77.93764988009593
70301,Lafourche Parish,LA,NA,13.069544364508392
70394,Lafourche Parish,LA,23.669724770642205,NA
70401,Tangipahoa Parish,LA,60.550458715596335,NA
70452,St. Tammany Parish,LA,24.403669724770644,NA
70461,St. Tammany Parish,LA,13.394495412844037,NA
70471,St. Tammany Parish,LA,13.944954128440369,NA
70506,Lafayette Parish,LA,NA,52.757793764988016
70510,Vermilion Parish,LA,85.13761467889908,NA
70526,Acadia Parish,LA,56.513761467889914,NA
70529,Lafayette Parish,LA,75.04587155963303,NA
70535,St. Landry Parish,LA,33.57798165137615,NA
70601,Calcasieu Parish,LA,6.422018348623854,NA
70767,West Baton Rouge Parish,LA,58.532110091743114,NA
70811,East Baton Rouge Parish,LA,85.68807339449542,69.18465227817747
71129,Caddo Parish,LA,56.330275229357795,NA
71232,Richland Parish,LA,NA,85.25179856115108
71302,Rapides Parish,LA,NA,43.04556354916067
71342,La Salle Parish,LA,NA,78.05755395683454
71351,Avoyelles Parish,LA,NA,62.35011990407674
03908,York County,ME,NA,88.96882494004797
04064,York County,ME,NA,27.098321342925658
04074,Cumberland County,ME,48.07339449541285,NA
04086,Sagadahoc County,ME,NA,39.20863309352518
04102,Cumberland County,ME,28.990825688073397,NA
04106,Cumberland County,ME,26.422018348623855,60.671462829736214
04401,Penobscot County,ME,2.0183486238532113,NA
04457,Penobscot County,ME,NA,80.45563549160671
04736,Aroostook County,ME,32.84403669724771,NA
04769,Aroostook County,ME,NA,13.42925659472422
04937,Somerset County,ME,NA,70.26378896882494
04963,Kennebec County,ME,56.88073394495413,NA
20659,St. Mary's County,MD,NA,75.53956834532374
20852,Montgomery County,MD,NA,20.983213429256594
20853,Montgomery County,MD,62.018348623853214,NA
20854,Montgomery County,MD,25.504587155963304,NA
