ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35010,Tallapoosa County,AL,NA,87.91704238052299,NA,NA
35020,Jefferson County,AL,NA,NA,23.524590163934427,31.877729257641924
35040,Shelby County,AL,NA,67.08746618575293,NA,NA
35096,Talladega County,AL,NA,NA,NA,91.70305676855895
35120,St. Clair County,AL,NA,NA,61.721311475409834,NA
35121,Blount County,AL,98.05825242718447,NA,NA,NA
35133,Blount County,AL,NA,90.2614968440036,NA,NA
35150,Talladega County,AL,NA,33.3633904418395,NA,NA
35175,Marshall County,AL,NA,77.09648331830478,NA,NA
35207,Jefferson County,AL,NA,NA,NA,75.32751091703057
35242,Shelby County,AL,NA,27.141568981064022,NA,NA
35401,Tuscaloosa County,AL,NA,21.8214607754734,NA,NA
35442,Pickens County,AL,NA,74.48151487826871,NA,NA
35456,Tuscaloosa County,AL,87.37864077669903,NA,NA,NA
35476,Tuscaloosa County,AL,NA,51.39765554553652,NA,NA
35570,Marion County,AL,NA,NA,41.721311475409834,NA
35603,Morgan County,AL,NA,14.24706943192065,NA,NA
35611,Limestone County,AL,NA,NA,18.688524590163937,NA
35613,Limestone County,AL,50.48543689320388,NA,NA,NA
35633,Lauderdale County,AL,NA,44.8151487826871,NA,NA
35640,Morgan County,AL,NA,29.035166816952206,28.524590163934427,NA
35670,Morgan County,AL,NA,NA,84.42622950819673,NA
35748,Madison County,AL,NA,NA,82.21311475409836,NA
35749,Madison County,AL,NA,39.85572587917042,NA,NA
35803,Madison County,AL,NA,NA,27.704918032786885,NA
35810,Madison County,AL,NA,67.80883678990082,NA,NA
35907,Etowah County,AL,NA,86.1136158701533,NA,NA
35954,Etowah County,AL,NA,NA,43.0327868852459,NA
35961,DeKalb County,AL,NA,88.45807033363391,NA,NA
35980,Marshall County,AL,88.83495145631069,NA,NA,NA
36105,Montgomery County,AL,NA,NA,72.70491803278688,NA
36106,Montgomery County,AL,NA,NA,62.86885245901639,NA
36201,Calhoun County,AL,NA,22.72317403065825,90.32786885245902,NA
36301,Houston County,AL,NA,16.321009918845807,NA,NA
36421,Covington County,AL,92.71844660194175,NA,NA,91.92139737991266
36451,Clarke County,AL,NA,95.67177637511271,NA,NA
36467,Covington County,AL,NA,NA,57.540983606557376,NA
36535,Baldwin County,AL,NA,NA,44.016393442622956,NA
36587,Mobile County,AL,51.94174757281553,NA,80.32786885245902,NA
36604,Mobile County,AL,NA,NA,79.67213114754098,NA
36605,Mobile County,AL,NA,91.16321009918846,NA,NA
36608,Mobile County,AL,NA,NA,64.50819672131148,NA
36695,Mobile County,AL,NA,NA,NA,35.80786026200873
36830,Lee County,AL,67.47572815533981,NA,NA,NA
36854,Chambers County,AL,NA,NA,76.0655737704918,NA
36863,Chambers County,AL,NA,NA,91.63934426229508,NA
99502,Anchorage Municipality,AK,NA,NA,84.91803278688525,NA
99567,Anchorage Municipality,AK,NA,99.3688007213706,NA,NA
99611,Kenai Peninsula Borough,AK,NA,58.7917042380523,NA,NA
85022,Maricopa County,AZ,NA,NA,21.065573770491802,NA
85041,Maricopa County,AZ,NA,7.93507664562669,NA,NA
85122,Pinal County,AZ,NA,27.862939585211905,8.852459016393443,NA
85225,Maricopa County,AZ,NA,NA,50.08196721311475,NA
85298,Maricopa County,AZ,NA,NA,48.19672131147541,NA
85308,Maricopa County,AZ,NA,NA,39.75409836065574,NA
85344,La Paz County,AZ,NA,NA,NA,65.72052401746726
85345,Maricopa County,AZ,NA,NA,8.360655737704919,NA
85351,Maricopa County,AZ,NA,NA,NA,1.3100436681222707
85355,Maricopa County,AZ,NA,NA,NA,95.19650655021834
85361,Maricopa County,AZ,NA,90.71235347159603,NA,NA
85365,Yuma County,AZ,NA,NA,14.83606557377049,NA
85377,Maricopa County,AZ,NA,99.63931469792607,NA,NA
85378,Maricopa County,AZ,NA,NA,85,NA
85390,Maricopa County,AZ,NA,NA,76.80327868852459,82.31441048034934
85546,Graham County,AZ,NA,67.71866546438233,NA,NA
85607,Cochise County,AZ,56.79611650485437,NA,NA,78.38427947598254
85705,Pima County,AZ,NA,3.065825067628494,NA,NA
85715,Pima County,AZ,NA,NA,83.68852459016394,NA
85730,Pima County,AZ,NA,NA,NA,42.79475982532751
85739,Pinal County,AZ,NA,NA,NA,22.489082969432314
85741,Pima County,AZ,NA,27.68259693417493,NA,NA
85749,Pima County,AZ,NA,67.2678088367899,NA,NA
86001,Coconino County,AZ,NA,17.493237150586115,NA,NA
86033,Navajo County,AZ,NA,NA,75.90163934426229,NA
86040,Coconino County,AZ,46.116504854368934,NA,NA,NA
86043,Navajo County,AZ,NA,NA,90.08196721311475,NA
86322,Yavapai County,AZ,NA,NA,90.73770491803279,NA
86327,Yavapai County,AZ,NA,NA,49.09836065573771,NA
86401,Mohave County,AZ,NA,8.476104598737603,NA,NA
86406,Mohave County,AZ,NA,NA,48.032786885245905,NA
86409,Mohave County,AZ,NA,NA,70.81967213114754,NA
86503,Apache County,AZ,NA,NA,NA,93.44978165938865
71635,Ashley County,AR,86.40776699029125,NA,NA,NA
71701,Ouachita County,AR,NA,63.84129846708747,NA,NA
71854,Miller County,AR,NA,NA,19.836065573770494,NA
71953,Polk County,AR,NA,NA,40.73770491803278,NA
72023,Lonoke County,AR,NA,NA,NA,40.61135371179039
72031,Van Buren County,AR,NA,96.66366095581606,NA,NA
72032,Faulkner County,AR,NA,NA,61.885245901639344,NA
72034,Faulkner County,AR,NA,NA,NA,15.72052401746725
72046,Lonoke County,AR,NA,NA,82.29508196721311,NA
72088,Van Buren County,AR,NA,NA,NA,96.50655021834062
72160,Arkansas County,AR,NA,NA,92.21311475409836,NA
72401,Craighead County,AR,NA,NA,61.147540983606554,NA
72404,Craighead County,AR,49.029126213592235,NA,NA,NA
72450,Greene County,AR,NA,NA,18.852459016393443,NA
72472,Poinsett County,AR,95.63106796116504,NA,NA,NA
72501,Independence County,AR,79.6116504854369,NA,19.18032786885246,NA
72653,Baxter County,AR,NA,NA,59.50819672131148,NA
72703,Washington County,AR,NA,64.56266907123535,NA,NA
72712,Benton County,AR,NA,39.13435527502254,NA,NA
72758,Benton County,AR,NA,NA,NA,41.92139737991266
72802,Pope County,AR,NA,63.39044183949504,NA,NA
72837,Pope County,AR,NA,NA,81.63934426229508,NA
90005,Los Angeles County,CA,NA,NA,60.81967213114754,NA
90015,Los Angeles County,CA,NA,NA,64.91803278688525,NA
90039,Los Angeles County,CA,NA,99.00811541929666,64.42622950819671,NA
90045,Los Angeles County,CA,NA,NA,NA,34.27947598253275
90049,Los Angeles County,CA,NA,NA,NA,20.305676855895197
90063,Los Angeles County,CA,NA,41.298467087466186,NA,NA
90077,Los Angeles County,CA,NA,98.64743011722273,NA,NA
