ZipCode,county,state,Adult
36064,Montgomery County,AL,93.41317365269461
85027,Maricopa County,AZ,75.44910179640718
85085,Maricopa County,AZ,70.65868263473054
85204,Maricopa County,AZ,13.77245508982036
85741,Pima County,AZ,36.52694610778443
90013,Los Angeles County,CA,62.27544910179641
90605,Los Angeles County,CA,63.47305389221557
91701,San Bernardino County,CA,26.34730538922156
91792,Los Angeles County,CA,89.22155688622755
92027,San Diego County,CA,53.89221556886228
92284,San Bernardino County,CA,28.143712574850298
92345,San Bernardino County,CA,11.377245508982035
92407,San Bernardino County,CA,18.562874251497004
92612,Orange County,CA,91.61676646706587
93274,Tulare County,CA,28.74251497005988
93455,Santa Barbara County,CA,35.92814371257485
93514,Inyo County,CA,88.62275449101796
94070,San Mateo County,CA,82.03592814371258
94115,San Francisco County,CA,55.08982035928144
94513,Contra Costa County,CA,38.32335329341318
94561,Contra Costa County,CA,43.712574850299404
95003,Santa Cruz County,CA,86.22754491017965
95010,Santa Cruz County,CA,95.80838323353294
95828,Sacramento County,CA,47.30538922155689
95961,Yuba County,CA,52.09580838323353
80022,Adams County,CO,16.766467065868262
80138,Douglas County,CO,59.88023952095808
80701,Morgan County,CO,74.25149700598801
06114,Hartford County,CT,17.365269461077844
06234,Windham County,CT,69.46107784431138
06450,New Haven County,CT,52.69461077844312
19971,Sussex County,DE,73.65269461077844
19973,Sussex County,DE,14.97005988023952
32607,Alachua County,FL,21.55688622754491
33314,Broward County,FL,89.82035928143712
30161,Floyd County,GA,20.958083832335326
30274,Clayton County,GA,46.10778443113773
30501,Hall County,GA,70.05988023952095
30906,Richmond County,GA,8.383233532934131
31302,Effingham County,GA,88.02395209580838
60074,Cook County,IL,48.50299401197605
60160,Cook County,IL,97.60479041916167
60607,Cook County,IL,55.688622754491014
60617,Cook County,IL,7.784431137724551
61354,LaSalle County,IL,61.67664670658682
61761,McLean County,IL,45.50898203592814
62521,Macon County,IL,67.06586826347305
46254,Marion County,IN,23.353293413173652
46342,Lake County,IN,7.18562874251497
46349,Newton County,IN,95.20958083832335
46755,Noble County,IN,29.34131736526946
47274,Jackson County,IN,29.94011976047904
47304,Delaware County,IN,57.48502994011976
47553,Martin County,IN,87.42514970059881
50021,Polk County,IA,77.24550898203593
66103,Wyandotte County,KS,77.84431137724552
40211,Jefferson County,KY,13.17365269461078
40503,Fayette County,KY,71.25748502994011
41091,Boone County,KY,74.8502994011976
42127,Barren County,KY,72.45508982035929
70037,Plaquemines Parish,LA,85.62874251497006
70301,Lafourche Parish,LA,3.592814371257485
04937,Somerset County,ME,65.26946107784431
20774,Prince George's County,MD,50.898203592814376
01742,Middlesex County,MA,61.07784431137725
01923,Essex County,MA,4.790419161676647
02151,Suffolk County,MA,1.7964071856287425
02301,Plymouth County,MA,0
02330,Plymouth County,MA,98.20359281437125
02459,Middlesex County,MA,51.49700598802395
02720,Bristol County,MA,2.3952095808383236
02780,Bristol County,MA,0.5988023952095809
48108,Washtenaw County,MI,41.31736526946108
48116,Livingston County,MI,30.538922155688624
48202,Wayne County,MI,32.93413173652694
48341,Oakland County,MI,32.33532934131736
48420,Genesee County,MI,53.293413173652695
49007,Kalamazoo County,MI,44.31137724550898
55110,Ramsey County,MN,80.23952095808383
55433,Anoka County,MN,39.52095808383233
56560,Clay County,MN,12.574850299401197
39301,Lauderdale County,MS,20.359281437125748
39744,Webster County,MS,82.63473053892216
63114,St. Louis County,MO,25.748502994011975
63121,St. Louis County,MO,31.736526946107784
63935,Ripley County,MO,60.47904191616767
64058,Jackson County,MO,76.64670658682635
64133,Jackson County,MO,5.9880239520958085
65078,Morgan County,MO,96.40718562874252
68112,Douglas County,NE,83.23353293413174
68138,Sarpy County,NE,94.01197604790418
03301,Merrimack County,NH,54.49101796407185
07419,Sussex County,NJ,100
08401,Atlantic County,NJ,1.1976047904191618
88005,Doa Ana County,NM,49.101796407185624
88007,Doa Ana County,NM,64.07185628742515
11213,Kings County,NY,6.58682634730539
11216,Kings County,NY,40.718562874251496
11692,Queens County,NY,56.287425149700596
12549,Orange County,NY,98.80239520958084
12901,Clinton County,NY,38.92215568862276
14469,Ontario County,NY,47.90419161676647
14604,Monroe County,NY,58.08383233532935
14618,Monroe County,NY,16.16766467065868
14701,Chautauqua County,NY,4.191616766467066
14850,Tompkins County,NY,24.550898203592812
27330,Lee County,NC,22.75449101796407
27870,Halifax County,NC,23.952095808383234
28097,Stanly County,NC,94.61077844311377
28173,Union County,NC,41.91616766467065
28213,Mecklenburg County,NC,27.54491017964072
28360,Robeson County,NC,81.437125748502993
28411,New Hanover County,NC,40.119760479041915
43016,Franklin County,OH,66.46706586826348
43512,Defiance County,OH,5.389221556886228
43608,Lucas County,OH,37.12574850299401
44011,Lorain County,OH,34.73053892215569
44094,Lake County,OH,19.760479041916167
44149,Cuyahoga County,OH,49.700598802395206
44266,Portage County,OH,9.580838323353294
44509,Mahoning County,OH,50.29940119760479
45327,Montgomery County,OH,79.64071856287424
45365,Shelby County,OH,46.706586826347305
73005,Caddo County,OK,86.82634730538922
73801,Woodward County,OK,68.8622754491018
74354,Ottawa County,OK,58.68263473053892
74851,Pottawatomie County,OK,80.83832335329342
74954,Sequoyah County,OK,99.40119760479041
97078,Washington County,OR,71.8562874251497
97222,Clackamas County,OR,68.26347305389223
97233,Multnomah County,OR,15.568862275449103
97381,Marion County,OR,84.4311377245509
97470,Douglas County,OR,33.532934131736525
16507,Erie County,PA,83.8323353293413
18052,Lehigh County,PA,92.81437125748504
18222,Luzerne County,PA,85.02994011976048
18224,Luzerne County,PA,92.21556886227546
18504,Lackawanna County,PA,34.13173652694611
19140,Philadelphia County,PA,2.9940119760479043
19530,Berks County,PA,76.04790419161677
19608,Berks County,PA,31.137724550898206
02907,Providence County,RI,44.91017964071856
37013,Davidson County,TN,10.778443113772456
37091,Marshall County,TN,42.51497005988024
37415,Hamilton County,TN,65.86826347305389
38019,Tipton County,TN,62.874251497005986
38464,Lawrence County,TN,35.32934131736527
75052,Dallas County,TX,17.964071856287426
75693,Gregg County,TX,97.0059880239521
75773,Wood County,TX,73.05389221556887
76109,Tarrant County,TX,64.67065868263472
76119,Tarrant County,TX,8.982035928143713
77845,Brazos County,TX,10.179640718562874
78046,Webb County,TX,14.37125748502994
78261,Bexar County,TX,91.01796407185628
79936,El Paso County,TX,11.976047904191617
84105,Salt Lake County,UT,79.04191616766467
20120,Fairfax County,VA,59.281437125748504
23323,Chesapeake city,VA,37.72455089820359
23462,Virginia Beach city,VA,19.16167664670659
98366,Kitsap County,WA,25.149700598802394
98506,Thurston County,WA,78.44311377245509
26170,Pleasants County,WV,90.41916167664671
53132,Milwaukee County,WI,42.51497005988024
53538,Jefferson County,WI,56.886227544910184
54241,Manitowoc County,WI,67.66467065868264
54302,Brown County,WI,26.94610778443114
54304,Brown County,WI,22.15568862275449
