ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35007,Shelby County,AL,NA,NA,44.43541835905768,NA,NA
35010,Tallapoosa County,AL,NA,66.07929515418502,63.95884105063634,NA,NA
35016,Marshall County,AL,NA,NA,NA,40.54901960784314,NA
35020,Jefferson County,AL,NA,NA,7.933929054968861,NA,NA
35022,Jefferson County,AL,NA,NA,30.463038180341183,NA,NA
35023,Jefferson County,AL,NA,NA,75.41294340644463,13.254901960784313,NA
35034,Bibb County,AL,NA,NA,94.80097481722177,NA,NA
35040,Shelby County,AL,NA,NA,NA,74.66666666666667,NA
35042,Bibb County,AL,NA,NA,NA,NA,91.03554868624421
35043,Shelby County,AL,NA,NA,78.71649065800163,NA,NA
35044,Talladega County,AL,NA,84.14096916299559,NA,NA,NA
35046,Chilton County,AL,87.94326241134752,NA,NA,NA,NA
35055,Cullman County,AL,NA,NA,NA,65.9607843137255,NA
35057,Cullman County,AL,NA,NA,90.33306255077173,NA,NA
35064,Jefferson County,AL,NA,NA,54.37313836988898,NA,NA
35077,Cullman County,AL,NA,NA,NA,69.6470588235294,NA
35079,Blount County,AL,74.11347517730496,NA,NA,NA,NA
35115,Shelby County,AL,64.36170212765957,NA,NA,NA,NA
35117,Jefferson County,AL,NA,NA,NA,NA,95.20865533230294
35121,Blount County,AL,NA,NA,NA,52.70588235294118,73.57032457496136
35126,Jefferson County,AL,NA,NA,87.92309775250475,NA,NA
35127,Jefferson County,AL,NA,NA,81.37015976171135,NA,NA
35160,Talladega County,AL,NA,31.497797356828194,60.926076360682366,NA,NA
35175,Marshall County,AL,NA,NA,86.21716761440564,NA,NA
35206,Jefferson County,AL,NA,NA,83.64473327917682,NA,NA
35207,Jefferson County,AL,NA,NA,65.06904955320877,NA,NA
35209,Jefferson County,AL,NA,NA,75.03384782020038,NA,NA
35214,Jefferson County,AL,NA,NA,22.74573517465475,NA,NA
35215,Jefferson County,AL,NA,NA,24.235039263471432,NA,NA
35216,Jefferson County,AL,NA,NA,47.549417817492554,NA,NA
35217,Jefferson County,AL,NA,NA,41.835905767668564,NA,NA
35226,Jefferson County,AL,NA,NA,74.11318711075006,NA,NA
35228,Jefferson County,AL,NA,NA,55.53750338478201,NA,NA
