ZipCode,county,state,Adult,Retirement,Geriatric
35020,Jefferson County,AL,NA,26.965174129353237,37.92784458834413
35022,Jefferson County,AL,NA,70.09950248756219,21.461609620721553
35023,Jefferson County,AL,NA,NA,22.664199814986123
35043,Shelby County,AL,NA,88.40796019900498,NA
35071,Jefferson County,AL,NA,NA,60.777058279370955
35080,Shelby County,AL,NA,91.8407960199005,NA
35094,Jefferson County,AL,NA,64.5273631840796,NA
35111,Tuscaloosa County,AL,75.67567567567568,NA,NA
35118,Jefferson County,AL,NA,NA,97.03977798334876
35124,Shelby County,AL,64.25061425061425,NA,73.17298797409806
35126,Jefferson County,AL,NA,80.44776119402985,74.65309898242369
35131,St. Clair County,AL,NA,99.55223880597015,NA
35160,Talladega County,AL,NA,43.482587064676615,32.74745605920444
35173,Jefferson County,AL,49.75429975429975,NA,48.473635522664196
35206,Jefferson County,AL,NA,45.472636815920396,NA
35209,Jefferson County,AL,NA,NA,71.87789084181314
35210,Jefferson County,AL,69.71744471744472,NA,NA
35211,Jefferson County,AL,NA,58.00995024875621,NA
35214,Jefferson County,AL,NA,37.61194029850746,NA
35216,Jefferson County,AL,NA,47.51243781094527,NA
35226,Jefferson County,AL,47.97297297297297,18.45771144278607,NA
35228,Jefferson County,AL,NA,81.34328358208955,NA
35242,Shelby County,AL,31.695331695331696,44.12935323383085,NA
35244,Jefferson County,AL,47.78869778869779,NA,NA
35401,Tuscaloosa County,AL,59.09090909090909,16.81592039800995,NA
35405,Tuscaloosa County,AL,7.985257985257984,10,NA
35452,Tuscaloosa County,AL,NA,99.70149253731343,NA
35470,Sumter County,AL,NA,97.41293532338308,NA
35473,Tuscaloosa County,AL,NA,83.13432835820895,NA
35476,Tuscaloosa County,AL,62.53071253071253,NA,64.01480111008325
35550,Walker County,AL,80.65110565110565,NA,NA
35565,Winston County,AL,69.96314496314497,NA,NA
35592,Lamar County,AL,NA,85.82089552238806,NA
35611,Limestone County,AL,NA,21.393034825870647,NA
35633,Lauderdale County,AL,55.83538083538083,58.457711442786064,NA
35640,Morgan County,AL,33.90663390663391,33.78109452736319,NA
