ZipCode,county,state,Adult,Retirement
35004,St. Clair County,AL,NA,83.98791540785498
35023,Jefferson County,AL,27.012278308321964,NA
35033,Cullman County,AL,95.22510231923602,NA
35043,Shelby County,AL,98.36289222373806,NA
35057,Cullman County,AL,64.25648021828103,NA
35071,Jefferson County,AL,62.48294679399727,NA
35080,Shelby County,AL,51.56889495225102,NA
35096,Talladega County,AL,95.49795361527967,NA
35204,Jefferson County,AL,60.7094133697135,NA
35215,Jefferson County,AL,29.877216916780352,NA
35218,Jefferson County,AL,55.66166439290586,NA
35404,Tuscaloosa County,AL,56.070941336971345,NA
35474,Hale County,AL,NA,75.22658610271903
35476,Tuscaloosa County,AL,NA,72.20543806646525
35504,Walker County,AL,NA,55.58912386706949
35586,Lamar County,AL,NA,88.21752265861026
35613,Limestone County,AL,35.879945429740786,NA
35661,Colbert County,AL,NA,63.44410876132931
35810,Madison County,AL,27.421555252387446,NA
35967,DeKalb County,AL,55.934515688949524,NA
35983,Cherokee County,AL,89.08594815825374,NA
36037,Butler County,AL,49.931787175989086,85.49848942598187
36064,Montgomery County,AL,85.12960436562074,NA
36093,Elmore County,AL,83.90177353342429,NA
36104,Montgomery County,AL,81.9918144611187,NA
36265,Calhoun County,AL,NA,51.3595166163142
36442,Covington County,AL,98.90859481582538,98.79154078549848
36451,Clarke County,AL,79.53615279672579,NA
36502,Escambia County,AL,NA,67.37160120845923
36551,Baldwin County,AL,98.77216916780355,NA
36609,Mobile County,AL,52.11459754433834,NA
36801,Lee County,AL,93.99727148703957,NA
99508,Anchorage Municipality,AK,42.701227830832195,NA
85032,Maricopa County,AZ,13.096862210095498,NA
85033,Maricopa County,AZ,14.870395634379264,NA
85202,Maricopa County,AZ,18.144611186903138,NA
85212,Maricopa County,AZ,50.20463847203275,NA
85281,Maricopa County,AZ,31.105047748976805,NA
85302,Maricopa County,AZ,NA,24.169184290030213
85326,Maricopa County,AZ,NA,38.368580060422964
85339,Maricopa County,AZ,19.099590723055933,NA
85364,Yuma County,AZ,32.196452933151434,NA
85710,Pima County,AZ,7.91268758526603,14.501510574018129
85711,Pima County,AZ,30.013642564802183,NA
85713,Pima County,AZ,6.412005457025921,NA
85730,Pima County,AZ,65.4843110504775,81.2688821752266
85739,Pinal County,AZ,NA,25.075528700906347
85756,Pima County,AZ,71.48703956343793,NA
86040,Coconino County,AZ,89.90450204638472,NA
86303,Yavapai County,AZ,55.38881309686221,NA
86514,Apache County,AZ,96.86221009549796,NA
71602,Jefferson County,AR,53.206002728512956,NA
71655,Drew County,AR,NA,58.30815709969789
71701,Ouachita County,AR,NA,47.73413897280967
72404,Craighead County,AR,43.38335607094134,NA
90016,Los Angeles County,CA,37.653478854024556,NA
90022,Los Angeles County,CA,31.78717598908595,NA
90032,Los Angeles County,CA,NA,50.755287009063444
90038,Los Angeles County,CA,94.6793997271487,NA
90044,Los Angeles County,CA,6.684856753069577,NA
90045,Los Angeles County,CA,76.53478854024557,NA
90247,Los Angeles County,CA,69.30422919508868,NA
90280,Los Angeles County,CA,28.240109140518417,NA
90293,Los Angeles County,CA,NA,98.48942598187311
90404,Los Angeles County,CA,NA,50.15105740181269
90501,Los Angeles County,CA,42.01909959072306,NA
90505,Los Angeles County,CA,50.75034106412005,NA
90660,Los Angeles County,CA,24.829467939972716,NA
90703,Los Angeles County,CA,52.796725784447474,NA
90706,Los Angeles County,CA,21.69167803547067,NA
90717,Los Angeles County,CA,NA,54.98489425981873
90746,Los Angeles County,CA,97.27148703956344,NA
90805,Los Angeles County,CA,NA,21.75226586102719
90806,Los Angeles County,CA,49.113233287858115,NA
91006,Los Angeles County,CA,75.7162346521146,NA
91016,Los Angeles County,CA,93.45156889495226,NA
91104,Los Angeles County,CA,86.08458390177354,NA
91105,Los Angeles County,CA,NA,56.49546827794561
91387,Los Angeles County,CA,64.66575716234652,NA
91710,San Bernardino County,CA,NA,87.31117824773413
91752,Riverside County,CA,45.020463847203274,NA
91770,Los Angeles County,CA,91.40518417462484,NA
91776,Los Angeles County,CA,NA,90.6344410876133
91942,San Diego County,CA,54.979536152796726,NA
92064,San Diego County,CA,43.11050477489768,NA
92118,San Diego County,CA,NA,56.797583081571
92119,San Diego County,CA,77.76261937244202,NA
92123,San Diego County,CA,NA,39.87915407854985
92227,Imperial County,CA,36.15279672578445,NA
92284,San Bernardino County,CA,NA,70.09063444108762
92301,San Bernardino County,CA,NA,42.296072507552864
92311,San Bernardino County,CA,72.71487039563438,NA
92325,San Bernardino County,CA,75.03410641200546,NA
92373,San Bernardino County,CA,91.81446111869032,NA
92374,San Bernardino County,CA,NA,54.0785498489426
92505,Riverside County,CA,83.08321964529331,NA
92509,Riverside County,CA,49.24965893587995,NA
92557,Riverside County,CA,32.33287858117326,NA
92563,Riverside County,CA,NA,36.555891238670696
92567,Riverside County,CA,91.95088676671213,NA
92592,Riverside County,CA,80.76398362892225,NA
92604,Orange County,CA,NA,85.80060422960725
92620,Orange County,CA,96.45293315143248,NA
92649,Orange County,CA,48.43110504774898,NA
92802,Orange County,CA,47.61255115961801,NA
93004,Ventura County,CA,48.97680763983629,NA
93010,Ventura County,CA,NA,52.567975830815705
93023,Ventura County,CA,98.63574351978171,NA
93030,Ventura County,CA,NA,66.16314199395771
93033,Ventura County,CA,10.095497953615281,NA
93063,Ventura County,CA,30.69577080491132,NA
93215,Kern County,CA,51.84174624829468,NA
93230,Kings County,CA,15.961800818553886,NA
93280,Kern County,CA,94.1336971350614,NA
93292,Tulare County,CA,35.60709413369714,NA
93534,Los Angeles County,CA,NA,62.53776435045317
93555,Kern County,CA,50.886766712141885,NA
93638,Madera County,CA,59.2087312414734,NA
93704,Fresno County,CA,80.0818553888131,48.6404833836858
93720,Fresno County,CA,57.02592087312415,NA
93727,Fresno County,CA,54.70668485675307,NA
93907,Monterey County,CA,99.18144611186904,NA
93950,Monterey County,CA,90.72305593451568,NA
94112,San Francisco County,CA,20.73669849931787,NA
94114,San Francisco County,CA,41.06412005457026,NA
94124,San Francisco County,CA,21.418826739427015,NA
94131,San Francisco County,CA,76.67121418826738,NA
94134,San Francisco County,CA,NA,24.47129909365559
94303,San Mateo County,CA,24.147339699863572,NA
94513,Contra Costa County,CA,71.07776261937244,22.054380664652566
94534,Solano County,CA,55.52523874488404,NA
94568,Alameda County,CA,46.24829467939973,NA
94607,Alameda County,CA,61.80081855388813,NA
94619,Alameda County,CA,69.44065484311051,NA
94702,Alameda County,CA,89.7680763983629,NA
94930,Marin County,CA,98.4993178717599,NA
