ZipCode,county,state,Adult,Retirement,Geriatric
35022,Jefferson County,AL,23.748395378690628,NA,NA
35023,Jefferson County,AL,NA,46.55913978494623,NA
35040,Shelby County,AL,32.47753530166881,NA,NA
35046,Chilton County,AL,NA,69.24731182795699,NA
35057,Cullman County,AL,NA,62.043010752688176,NA
35064,Jefferson County,AL,NA,55.483870967741936,NA
35121,Blount County,AL,NA,60.86021505376345,NA
35126,Jefferson County,AL,NA,NA,52.1505376344086
35173,Jefferson County,AL,33.37612323491656,NA,30.376344086021508
35179,Cullman County,AL,NA,63.01075268817205,NA
35180,Jefferson County,AL,NA,NA,85.48387096774194
35210,Jefferson County,AL,73.17073170731707,NA,NA
35211,Jefferson County,AL,9.242618741976894,NA,NA
35222,Jefferson County,AL,NA,NA,94.08602150537635
35242,Shelby County,AL,NA,56.98924731182796,NA
35401,Tuscaloosa County,AL,65.08344030808729,NA,NA
35405,Tuscaloosa County,AL,35.943517329910144,NA,NA
35453,Tuscaloosa County,AL,NA,47.74193548387097,NA
35546,Fayette County,AL,77.66367137355584,NA,NA
35601,Morgan County,AL,NA,NA,17.20430107526882
35613,Limestone County,AL,NA,NA,48.924731182795696
35645,Lauderdale County,AL,NA,NA,91.39784946236558
35951,Marshall County,AL,45.82798459563543,NA,NA
35976,Marshall County,AL,58.15147625160462,NA,NA
36083,Macon County,AL,84.33889602053915,NA,NA
36093,Elmore County,AL,59.05006418485238,NA,NA
36207,Calhoun County,AL,39.15275994865212,NA,NA
36305,Houston County,AL,NA,43.655913978494624,NA
36360,Dale County,AL,NA,50,NA
36445,Monroe County,AL,NA,93.11827956989247,NA
36507,Baldwin County,AL,NA,44.623655913978496,NA
36582,Mobile County,AL,31.450577663671375,NA,NA
36744,Hale County,AL,NA,NA,81.18279569892472
36869,Russell County,AL,38.382541720154045,NA,NA
99503,Anchorage Municipality,AK,29.910141206675224,NA,NA
99507,Anchorage Municipality,AK,NA,NA,45.69892473118279
99611,Kenai Peninsula Borough,AK,NA,83.33333333333334,NA
99672,Kenai Peninsula Borough,AK,98.71630295250321,NA,NA
99705,Fairbanks North Star Borough,AK,56.73940949935815,NA,NA
85003,Maricopa County,AZ,NA,74.94623655913979,NA
85014,Maricopa County,AZ,56.35430038510911,NA,NA
85019,Maricopa County,AZ,95.37869062901156,NA,NA
85051,Maricopa County,AZ,NA,23.763440860215056,NA
85128,Pinal County,AZ,52.24646983311938,NA,NA
85142,Maricopa County,AZ,5.391527599486521,NA,NA
85143,Pinal County,AZ,NA,22.1505376344086,NA
85234,Maricopa County,AZ,NA,64.08602150537635,NA
85253,Maricopa County,AZ,NA,75.6989247311828,NA
85254,Maricopa County,AZ,NA,NA,59.40860215053764
85255,Maricopa County,AZ,NA,27.8494623655914,NA
85257,Maricopa County,AZ,NA,NA,23.655913978494624
85268,Maricopa County,AZ,NA,36.98924731182795,51.344086021505376
85297,Maricopa County,AZ,43.003851091142494,NA,NA
85302,Maricopa County,AZ,15.14762516046213,NA,NA
85308,Maricopa County,AZ,NA,8.172043010752688,NA
85326,Maricopa County,AZ,NA,27.526881720430108,NA
85331,Maricopa County,AZ,38.254172015404365,NA,NA
85345,Maricopa County,AZ,NA,76.98924731182795,NA
85346,La Paz County,AZ,NA,NA,81.45161290322581
85350,Yuma County,AZ,NA,95.26881720430107,NA
85351,Maricopa County,AZ,NA,NA,0.2688172043010753
85365,Yuma County,AZ,NA,NA,81.72043010752688
85378,Maricopa County,AZ,NA,78.6021505376344,NA
85383,Maricopa County,AZ,NA,49.24731182795699,NA
85607,Cochise County,AZ,89.08857509627728,NA,NA
85615,Cochise County,AZ,NA,58.70967741935483,NA
85634,Pima County,AZ,12.965340179717586,44.086021505376344,NA
85653,Pima County,AZ,NA,22.688172043010752,NA
85705,Pima County,AZ,11.16816431322208,NA,NA
85713,Pima County,AZ,NA,24.623655913978496,NA
85739,Pinal County,AZ,NA,NA,41.66666666666667
85749,Pima County,AZ,NA,51.29032258064517,NA
85750,Pima County,AZ,NA,72.04301075268818,NA
86351,Yavapai County,AZ,83.82541720154045,NA,61.55913978494624
86406,Mohave County,AZ,NA,NA,72.84946236559139
86409,Mohave County,AZ,NA,NA,11.827956989247312
86503,Apache County,AZ,NA,NA,73.38709677419355
86505,Apache County,AZ,NA,89.78494623655914,NA
71730,Union County,AR,NA,NA,48.11827956989247
72023,Lonoke County,AR,41.7201540436457,NA,NA
72143,White County,AR,NA,41.50537634408602,NA
72206,Pulaski County,AR,NA,43.763440860215056,NA
72315,Mississippi County,AR,36.2002567394095,NA,NA
72653,Baxter County,AR,54.81386392811296,NA,NA
72701,Washington County,AR,NA,91.72043010752688,NA
72703,Washington County,AR,NA,83.65591397849462,NA
72704,Washington County,AR,NA,81.50537634408602,NA
72956,Crawford County,AR,NA,16.021505376344088,NA
90007,Los Angeles County,CA,NA,66.55913978494624,NA
90019,Los Angeles County,CA,NA,NA,57.52688172043011
90023,Los Angeles County,CA,81.77150192554558,82.58064516129032,NA
90026,Los Angeles County,CA,30.038510911424904,NA,NA
90029,Los Angeles County,CA,42.49037227214377,NA,NA
90039,Los Angeles County,CA,NA,98.06451612903226,NA
90042,Los Angeles County,CA,NA,33.5483870967742,NA
90058,Los Angeles County,CA,99.87163029525033,NA,NA
90063,Los Angeles County,CA,NA,29.03225806451613,NA
90065,Los Angeles County,CA,NA,NA,85.21505376344086
90066,Los Angeles County,CA,NA,81.72043010752688,79.83870967741935
