ZipCode,county,state,Adult
35173,Jefferson County,AL,78.94736842105263
35218,Jefferson County,AL,65.13157894736842
35749,Madison County,AL,46.49122807017544
35904,Etowah County,AL,76.09649122807018
35954,Etowah County,AL,57.45614035087719
99705,Fairbanks North Star Borough,AK,76.75438596491229
85018,Maricopa County,AZ,33.33333333333333
85202,Maricopa County,AZ,21.271929824561404
85255,Maricopa County,AZ,49.122807017543856
72416,Craighead County,AR,85.08771929824562
90016,Los Angeles County,CA,41.66666666666667
90019,Los Angeles County,CA,39.91228070175439
90031,Los Angeles County,CA,70.39473684210526
91361,Ventura County,CA,88.37719298245614
91706,Los Angeles County,CA,26.535087719298247
91710,San Bernardino County,CA,82.45614035087719
91761,San Bernardino County,CA,25
92020,San Diego County,CA,23.026315789473685
92123,San Diego County,CA,67.32456140350878
92130,San Diego County,CA,64.25438596491229
92223,Riverside County,CA,30.043859649122805
92346,San Bernardino County,CA,58.77192982456141
92376,San Bernardino County,CA,8.991228070175438
92627,Orange County,CA,71.05263157894737
92663,Orange County,CA,80.04385964912281
92832,Orange County,CA,54.60526315789473
92868,Orange County,CA,86.62280701754386
92886,Orange County,CA,30.701754385964914
93065,Ventura County,CA,16.228070175438596
93308,Kern County,CA,59.86842105263158
93313,Kern County,CA,50.21929824561403
93535,Los Angeles County,CA,9.429824561403509
93543,Los Angeles County,CA,87.5
93555,Kern County,CA,25.657894736842106
94061,San Mateo County,CA,50.43859649122807
94086,Santa Clara County,CA,58.99122807017544
94110,San Francisco County,CA,12.5
94118,San Francisco County,CA,54.385964912280706
94303,San Mateo County,CA,28.728070175438596
94523,Contra Costa County,CA,93.64035087719299
94533,Solano County,CA,24.561403508771928
94550,Alameda County,CA,45.17543859649123
94551,Alameda County,CA,45.83333333333333
94608,Alameda County,CA,51.53508771929825
94965,Marin County,CA,92.98245614035088
95046,Santa Clara County,CA,95.17543859649122
95531,Del Norte County,CA,62.28070175438597
95817,Sacramento County,CA,80.48245614035088
95825,Sacramento County,CA,48.026315789473685
95961,Yuba County,CA,75.87719298245614
96021,Tehama County,CA,76.31578947368422
96022,Tehama County,CA,80.7017543859649
80004,Jefferson County,CO,54.824561403508774
80010,Arapahoe County,CO,19.078947368421055
80026,Boulder County,CO,59.64912280701754
80220,Denver County,CO,33.114035087719294
80538,Larimer County,CO,40.131578947368425
80550,Weld County,CO,61.8421052631579
80734,Phillips County,CO,96.05263157894737
80918,El Paso County,CO,77.19298245614034
81623,Garfield County,CO,89.69298245614034
81635,Garfield County,CO,91.66666666666666
06010,Hartford County,CT,1.7543859649122806
06052,Hartford County,CT,79.82456140350878
06511,New Haven County,CT,4.385964912280701
06604,Fairfield County,CT,20.394736842105264
32086,St. Johns County,FL,41.228070175438596
32164,Flagler County,FL,33.55263157894737
32541,Okaloosa County,FL,67.54385964912281
32607,Alachua County,FL,97.36842105263158
32707,Seminole County,FL,68.42105263157895
33018,Miami-Dade County,FL,76.53508771929825
33054,Miami-Dade County,FL,48.68421052631579
33304,Broward County,FL,91.8859649122807
33327,Broward County,FL,84.86842105263158
33328,Broward County,FL,83.33333333333334
33446,Palm Beach County,FL,83.1140350877193
33470,Palm Beach County,FL,66.00877192982456
33584,Hillsborough County,FL,53.50877192982456
33843,Polk County,FL,92.10526315789474
33948,Charlotte County,FL,82.23684210526315
34120,Collier County,FL,35.30701754385965
34482,Marion County,FL,65.13157894736842
34786,Orange County,FL,55.26315789473685
34787,Orange County,FL,26.096491228070175
34972,Okeechobee County,FL,83.99122807017544
30096,Gwinnett County,GA,27.850877192982455
30110,Haralson County,GA,86.62280701754386
30157,Paulding County,GA,27.412280701754387
30180,Carroll County,GA,81.7982456140351
30328,Fulton County,GA,67.76315789473685
30349,Fulton County,GA,7.675438596491229
30518,Gwinnett County,GA,37.06140350877193
30909,Richmond County,GA,26.973684210526315
96782,Honolulu County,HI,36.18421052631579
96791,Honolulu County,HI,88.1578947368421
83201,Bannock County,ID,23.903508771929825
83202,Bannock County,ID,51.09649122807017
60008,Cook County,IL,69.07894736842105
60030,Lake County,IL,73.68421052631578
60061,Lake County,IL,87.06140350877193
60077,Cook County,IL,58.55263157894737
60139,DuPage County,IL,48.90350877192983
60148,DuPage County,IL,15.789473684210526
60181,DuPage County,IL,30.482456140350877
60304,Cook County,IL,55.92105263157895
60446,Will County,IL,16.00877192982456
60516,DuPage County,IL,43.859649122807014
60605,Cook County,IL,58.114035087719294
60612,Cook County,IL,49.56140350877193
60613,Cook County,IL,28.947368421052634
60623,Cook County,IL,6.578947368421052
60638,Cook County,IL,10.087719298245613
60657,Cook County,IL,21.929824561403507
61109,Winnebago County,IL,43.42105263157895
61525,Peoria County,IL,95.6140350877193
61571,Tazewell County,IL,75.43859649122807
61866,Champaign County,IL,72.36842105263158
62656,Logan County,IL,75
62918,Williamson County,IL,85.96491228070175
46205,Marion County,IN,36.40350877192983
46304,Porter County,IN,12.719298245614036
46307,Lake County,IN,1.3157894736842104
46360,LaPorte County,IN,5.263157894736842
46368,Porter County,IN,2.631578947368421
46385,Porter County,IN,6.798245614035088
46517,Elkhart County,IN,46.05263157894737
50049,Lucas County,IA,91.00877192982456
50627,Hardin County,IA,100
50801,Union County,IA,83.77192982456141
51334,Emmet County,IA,66.8859649122807
52213,Linn County,IA,98.46491228070175
52403,Linn County,IA,73.90350877192982
52544,Appanoose County,IA,90.13157894736842
66062,Johnson County,KS,10.964912280701753
66213,Johnson County,KS,71.49122807017544
66617,Shawnee County,KS,93.2017543859649
67010,Butler County,KS,77.85087719298247
67213,Sedgwick County,KS,62.5
40059,Jefferson County,KY,79.60526315789474
40272,Jefferson County,KY,41.44736842105263
40291,Jefferson County,KY,17.982456140350877
42327,McLean County,KY,93.85964912280701
70118,Orleans Parish,LA,47.80701754385965
70343,Terrebonne Parish,LA,88.59649122807018
70373,Lafourche Parish,LA,51.75438596491229
70443,Tangipahoa Parish,LA,94.2982456140351
70633,Calcasieu Parish,LA,63.81578947368421
71342,La Salle Parish,LA,59.210526315789465
04102,Cumberland County,ME,33.771929824561404
04330,Kennebec County,ME,57.23684210526315
04412,Penobscot County,ME,64.91228070175438
04530,Sagadahoc County,ME,66.66666666666666
20816,Montgomery County,MD,94.07894736842105
20854,Montgomery County,MD,63.377192982456144
21215,Baltimore city,MD,7.456140350877193
21218,Baltimore city,MD,69.73684210526315
01056,Hampden County,MA,17.105263157894736
01085,Hampden County,MA,0.8771929824561403
01373,Franklin County,MA,98.24561403508771
01432,Middlesex County,MA,45.614035087719294
01507,Worcester County,MA,38.81578947368421
01746,Middlesex County,MA,21.710526315789476
01824,Middlesex County,MA,9.210526315789473
01830,Essex County,MA,56.79824561403509
01845,Essex County,MA,28.50877192982456
01886,Middlesex County,MA,24.12280701754386
01902,Essex County,MA,67.98245614035088
01950,Essex County,MA,20.614035087719298
02050,Plymouth County,MA,20.833333333333336
02072,Norfolk County,MA,8.333333333333332
02081,Norfolk County,MA,71.9298245614035
02121,Suffolk County,MA,11.18421052631579
02149,Middlesex County,MA,2.4122807017543857
02150,Suffolk County,MA,0.21929824561403508
02184,Norfolk County,MA,85.74561403508771
02368,Norfolk County,MA,1.5350877192982455
02452,Middlesex County,MA,62.71929824561403
02472,Middlesex County,MA,71.71052631578947
02719,Bristol County,MA,44.29824561403509
48042,Macomb County,MI,22.807017543859647
48047,Macomb County,MI,14.035087719298245
48072,Oakland County,MI,49.780701754385966
48084,Oakland County,MI,79.3859649122807
48088,Macomb County,MI,42.54385964912281
48103,Washtenaw County,MI,64.03508771929825
48114,Livingston County,MI,80.26315789473685
48170,Wayne County,MI,14.25438596491228
48186,Wayne County,MI,5.701754385964912
48192,Wayne County,MI,18.421052631578945
48207,Wayne County,MI,19.736842105263158
48221,Wayne County,MI,25.219298245614034
48229,Wayne County,MI,56.57894736842105
48235,Wayne County,MI,2.1929824561403506
48310,Macomb County,MI,16.447368421052634
48371,Oakland County,MI,36.622807017543856
48429,Shiawassee County,MI,64.25438596491229
48446,Lapeer County,MI,15.350877192982457
48842,Ingham County,MI,37.5
48843,Livingston County,MI,12.280701754385964
48854,Ingham County,MI,47.58771929824561
48855,Livingston County,MI,72.58771929824562
48866,Clinton County,MI,91.44736842105263
48879,Clinton County,MI,48.24561403508772
49014,Calhoun County,MI,48.46491228070175
49080,Allegan County,MI,41.00877192982456
49203,Jackson County,MI,7.017543859649122
49302,Kent County,MI,96.71052631578947
49426,Ottawa County,MI,39.69298245614035
49431,Mason County,MI,32.45614035087719
49783,Chippewa County,MI,21.052631578947366
49802,Dickinson County,MI,75.21929824561403
49931,Houghton County,MI,84.64912280701753
55119,Ramsey County,MN,13.37719298245614
55129,Washington County,MN,73.02631578947368
55328,Wright County,MN,90.78947368421053
55418,Hennepin County,MN,28.289473684210524
55731,St. Louis County,MN,99.3421052631579
55987,Winona County,MN,8.114035087719298
56264,Lyon County,MN,99.3421052631579
56352,Stearns County,MN,85.52631578947368
38930,Leflore County,MS,39.03508771929825
39092,Scott County,MS,92.54385964912281
39146,Holmes County,MS,98.68421052631578
39339,Winston County,MS,72.14912280701753
39564,Jackson County,MS,32.23684210526316
63901,Butler County,MO,13.815789473684212
64030,Jackson County,MO,18.201754385964914
64037,Lafayette County,MO,95.39473684210526
64068,Clay County,MO,8.771929824561402
64156,Clay County,MO,84.21052631578947
64507,Buchanan County,MO,26.75438596491228
65201,Boone County,MO,42.76315789473684
65301,Pettis County,MO,4.166666666666666
65340,Saline County,MO,34.42982456140351
59714,Gallatin County,MT,66.22807017543859
68022,Douglas County,NE,74.12280701754386
69301,Box Butte County,NE,70.17543859649122
89410,Douglas County,NV,86.40350877192982
89436,Washoe County,NV,54.166666666666664
03054,Hillsborough County,NH,65.78947368421053
03087,Rockingham County,NH,46.71052631578947
03867,Strafford County,NH,23.464912280701753
07005,Morris County,NJ,32.01754385964912
07024,Bergen County,NJ,32.67543859649123
07060,Union County,NJ,29.166666666666668
07840,Warren County,NJ,32.89473684210527
08030,Camden County,NJ,86.18421052631578
08050,Ocean County,NJ,36.84210526315789
08052,Burlington County,NJ,59.42982456140351
08518,Burlington County,NJ,96.9298245614035
08816,Middlesex County,NJ,34.21052631578947
87105,Bernalillo County,NM,3.9473684210526314
88101,Curry County,NM,9.868421052631579
10030,New York County,NY,23.684210526315788
10039,New York County,NY,30.92105263157895
10304,Richmond County,NY,14.473684210526317
10451,Bronx County,NY,2.850877192982456
10552,Westchester County,NY,60.96491228070175
11362,Queens County,NY,96.27192982456141
11385,Queens County,NY,9.649122807017543
12054,Albany County,NY,88.81578947368422
12801,Warren County,NY,20.175438596491226
12822,Saratoga County,NY,74.56140350877193
12866,Saratoga County,NY,41.885964912280706
13069,Oswego County,NY,4.605263157894736
13142,Oswego County,NY,68.85964912280701
13212,Onondaga County,NY,31.140350877192986
13316,Oneida County,NY,63.1578947368421
13365,Herkimer County,NY,67.10526315789474
13601,Jefferson County,NY,52.63157894736842
13815,Chenango County,NY,14.692982456140353
13825,Otsego County,NY,83.55263157894737
14072,Erie County,NY,40.35087719298245
14125,Genesee County,NY,85.08771929824562
14127,Erie County,NY,43.640350877192986
14221,Erie County,NY,11.842105263157894
14225,Erie County,NY,8.552631578947368
14470,Orleans County,NY,44.07894736842105
14512,Ontario County,NY,74.78070175438597
14532,Ontario County,NY,80.92105263157895
14580,Monroe County,NY,0.43859649122807015
14607,Monroe County,NY,19.298245614035086
14610,Monroe County,NY,29.82456140350877
14611,Monroe County,NY,29.605263157894733
14617,Monroe County,NY,6.140350877192982
14618,Monroe County,NY,44.95614035087719
14620,Monroe County,NY,5.482456140350877
14701,Chautauqua County,NY,3.289473684210526
14760,Cattaraugus County,NY,10.526315789473683
14838,Chemung County,NY,92.32456140350878
14892,Tioga County,NY,79.16666666666666
27282,Guilford County,NC,75.6578947368421
27510,Orange County,NC,57.675438596491226
27529,Wake County,NC,56.35964912280702
27587,Wake County,NC,22.36842105263158
27603,Wake County,NC,22.587719298245617
27892,Martin County,NC,78.0701754385965
28278,Mecklenburg County,NC,58.333333333333336
28697,Wilkes County,NC,62.06140350877193
28779,Jackson County,NC,55.04385964912281
43062,Licking County,OH,68.64035087719299
43068,Franklin County,OH,10.307017543859649
43229,Franklin County,OH,5.921052631578947
43551,Wood County,OH,13.157894736842104
43560,Lucas County,OH,25.438596491228072
43725,Guernsey County,OH,15.570175438596493
44004,Ashtabula County,OH,1.9736842105263157
44035,Lorain County,OH,0
44052,Lorain County,OH,31.798245614035086
44102,Cuyahoga County,OH,3.508771929824561
44107,Cuyahoga County,OH,1.0964912280701753
44118,Cuyahoga County,OH,11.62280701754386
44255,Portage County,OH,72.80701754385966
44320,Summit County,OH,17.324561403508774
44601,Stark County,OH,6.359649122807018
44647,Stark County,OH,47.368421052631575
44870,Erie County,OH,12.938596491228072
45044,Butler County,OH,4.824561403508771
45152,Warren County,OH,89.25438596491229
45628,Ross County,OH,97.58771929824562
45662,Scioto County,OH,3.070175438596491
45760,Meigs County,OH,82.01754385964912
73162,Oklahoma County,OK,46.92982456140351
74055,Tulsa County,OK,50.877192982456144
74136,Tulsa County,OK,53.94736842105263
97070,Clackamas County,OR,60.74561403508771
97114,Yamhill County,OR,97.14912280701753
97132,Yamhill County,OR,71.27192982456141
97386,Linn County,OR,78.28947368421053
15017,Allegheny County,PA,70.6140350877193
15108,Allegheny County,PA,39.473684210526315
15239,Allegheny County,PA,82.67543859649122
15601,Westmoreland County,PA,3.7280701754385963
15801,Clearfield County,PA,7.236842105263158
16146,Mercer County,PA,24.342105263157894
16438,Erie County,PA,87.71929824561403
16801,Centre County,PA,38.59649122807017
17078,Lebanon County,PA,17.763157894736842
17112,Dauphin County,PA,17.543859649122805
17847,Northumberland County,PA,63.59649122807017
18020,Northampton County,PA,73.24561403508771
18032,Lehigh County,PA,82.89473684210526
18040,Northampton County,PA,69.51754385964912
18062,Lehigh County,PA,42.32456140350877
18407,Lackawanna County,PA,44.73684210526316
18505,Lackawanna County,PA,40.78947368421053
18966,Bucks County,PA,45.39473684210527
19018,Delaware County,PA,77.41228070175438
19061,Delaware County,PA,29.385964912280706
19104,Philadelphia County,PA,11.403508771929824
19116,Philadelphia County,PA,60.08771929824561
19124,Philadelphia County,PA,0.6578947368421052
19142,Philadelphia County,PA,12.06140350877193
19146,Philadelphia County,PA,77.63157894736842
19147,Philadelphia County,PA,18.640350877192983
19151,Philadelphia County,PA,13.596491228070176
19312,Chester County,PA,65.5701754385965
19438,Montgomery County,PA,44.51754385964912
19543,Berks County,PA,96.49122807017544
19606,Berks County,PA,37.280701754385966
19610,Berks County,PA,87.28070175438597
02822,Washington County,RI,90.5701754385965
02909,Providence County,RI,19.517543859649123
29072,Lexington County,SC,57.89473684210527
29418,Charleston County,SC,38.15789473684211
29527,Horry County,SC,46.271929824561404
29532,Darlington County,SC,60.526315789473685
29583,Florence County,SC,92.76315789473685
29645,Laurens County,SC,68.2017543859649
57469,Spink County,SD,97.80701754385966
57717,Butte County,SD,89.91228070175438
37042,Montgomery County,TN,24.780701754385966
37066,Sumner County,TN,10.74561403508772
37167,Rutherford County,TN,28.07017543859649
37208,Davidson County,TN,57.01754385964912
37354,Monroe County,TN,35.74561403508772
37601,Washington County,TN,16.885964912280702
37683,Johnson County,TN,53.07017543859649
37814,Hamblen County,TN,64.69298245614034
37846,Loudon County,TN,95.83333333333334
37914,Knox County,TN,35.96491228070175
38075,Hardeman County,TN,99.78070175438597
38122,Shelby County,TN,51.973684210526315
38125,Shelby County,TN,51.31578947368421
38474,Maury County,TN,78.50877192982456
75056,Denton County,TX,31.359649122807014
75225,Dallas County,TX,76.97368421052632
75460,Lamar County,TX,56.14035087719298
75662,Gregg County,TX,50.6578947368421
75956,Jasper County,TX,84.4298245614035
76006,Tarrant County,TX,69.95614035087719
76009,Johnson County,TX,61.622807017543856
76180,Tarrant County,TX,40.57017543859649
76501,Bell County,TX,15.131578947368421
76513,Bell County,TX,7.894736842105263
76542,Bell County,TX,14.912280701754385
77379,Harris County,TX,25.877192982456144
77389,Harris County,TX,52.85087719298246
77493,Harris County,TX,60.30701754385965
77523,Chambers County,TX,55.70175438596491
77536,Harris County,TX,70.83333333333334
77551,Galveston County,TX,27.192982456140353
77802,Brazos County,TX,26.096491228070175
77833,Washington County,TX,42.98245614035088
77840,Brazos County,TX,42.10526315789473
78023,Bexar County,TX,89.47368421052632
78504,Hidalgo County,TX,38.377192982456144
78660,Travis County,TX,27.412280701754387
78738,Travis County,TX,81.14035087719299
78756,Travis County,TX,98.90350877192982
84067,Weber County,UT,35.30701754385965
84078,Uintah County,UT,16.666666666666664
84103,Salt Lake County,UT,66.44736842105263
84123,Salt Lake County,UT,22.149122807017545
84770,Washington County,UT,37.93859649122807
05753,Addison County,VT,98.02631578947368
20110,Manassas city,VA,34.64912280701755
22015,Fairfax County,VA,50
22026,Prince William County,VA,62.93859649122807
22305,Alexandria city,VA,74.3421052631579
22405,Stafford County,VA,55.26315789473685
22611,Clarke County,VA,94.51754385964912
23233,Henrico County,VA,81.57894736842105
23234,Chesterfield County,VA,19.956140350877195
23322,Chesapeake city,VA,51.973684210526315
24637,Tazewell County,VA,93.2017543859649
98002,King County,WA,33.99122807017544
98004,King County,WA,73.46491228070175
98021,Snohomish County,WA,53.289473684210535
98059,King County,WA,42.98245614035088
98105,King County,WA,81.14035087719299
98110,Kitsap County,WA,60.96491228070175
98125,King County,WA,39.25438596491228
98136,King County,WA,87.93859649122807
98270,Snohomish County,WA,18.859649122807017
98346,Kitsap County,WA,94.73684210526315
98498,Pierce County,WA,53.72807017543859
20001,District of Columbia,DC,21.49122807017544
20002,District of Columbia,DC,5.0438596491228065
20007,District of Columbia,DC,78.72807017543859
24740,Mercer County,WV,30.263157894736842
26547,Preston County,WV,94.95614035087719
53110,Milwaukee County,WI,31.57894736842105
53154,Milwaukee County,WI,23.026315789473685
53213,Milwaukee County,WI,46.92982456140351
53217,Milwaukee County,WI,34.868421052631575
53545,Rock County,WI,35.08771929824561
53549,Jefferson County,WI,90.35087719298247
53575,Dane County,WI,89.03508771929825
53590,Dane County,WI,37.719298245614034
53901,Columbia County,WI,69.2982456140351
54022,Pierce County,WI,52.41228070175439
54241,Manitowoc County,WI,61.40350877192983
54487,Lincoln County,WI,49.34210526315789
54728,Barron County,WI,91.00877192982456
54940,Waupaca County,WI,99.12280701754386
