ZipCode,county,state,Adult
36117,Montgomery County,AL,29.468599033816425
85706,Pima County,AZ,1.4492753623188406
86442,Mohave County,AZ,23.67149758454106
90026,Los Angeles County,CA,89.3719806763285
90034,Los Angeles County,CA,70.04830917874396
92065,San Diego County,CA,45.410628019323674
92122,San Diego County,CA,83.09178743961353
92130,San Diego County,CA,79.22705314009661
92316,San Bernardino County,CA,47.82608695652174
92354,San Bernardino County,CA,76.32850241545893
93221,Tulare County,CA,73.91304347826086
94065,San Mateo County,CA,84.54106280193237
94116,San Francisco County,CA,75.84541062801932
95032,Santa Clara County,CA,92.7536231884058
95382,Stanislaus County,CA,19.806763285024154
95401,Sonoma County,CA,53.14009661835749
95476,Sonoma County,CA,66.66666666666666
95834,Sacramento County,CA,64.73429951690821
80012,Arapahoe County,CO,53.62318840579711
80108,Douglas County,CO,44.927536231884055
80220,Denver County,CO,29.951690821256037
80228,Jefferson County,CO,49.75845410628019
80229,Adams County,CO,41.06280193236715
80631,Weld County,CO,28.502415458937197
80907,El Paso County,CO,49.275362318840585
80909,El Paso County,CO,19.32367149758454
19963,Sussex County,DE,30.917874396135264
32141,Volusia County,FL,66.18357487922705
32404,Bay County,FL,18.84057971014493
32506,Escambia County,FL,41.54589371980676
32696,Levy County,FL,87.92270531400966
33035,Miami-Dade County,FL,94.20289855072464
33165,Miami-Dade County,FL,56.52173913043478
33523,Pasco County,FL,62.80193236714976
33909,Lee County,FL,39.130434782608695
33976,Lee County,FL,82.6086956521739
34744,Osceola County,FL,21.73913043478261
30084,DeKalb County,GA,57.971014492753625
30103,Bartow County,GA,64.25120772946859
83501,Nez Perce County,ID,40.57971014492754
83605,Canyon County,ID,22.705314009661837
60097,McHenry County,IL,90.33816425120773
60448,Will County,IL,50.24154589371981
60469,Cook County,IL,99.03381642512076
60513,Cook County,IL,83.57487922705315
60563,DuPage County,IL,42.99516908212561
60615,Cook County,IL,69.56521739130434
60647,Cook County,IL,26.08695652173913
60827,Cook County,IL,71.49758454106279
61032,Stephenson County,IL,30.434782608695656
61244,Rock Island County,IL,60.86956521739131
46062,Hamilton County,IN,55.55555555555556
47025,Dearborn County,IN,36.71497584541063
47150,Floyd County,IN,8.695652173913043
47265,Jennings County,IN,18.357487922705314
50801,Union County,IA,36.231884057971016
52101,Winneshiek County,IA,65.70048309178745
52302,Linn County,IA,17.874396135265698
52601,Des Moines County,IA,57.00483091787439
52806,Scott County,IA,16.908212560386474
40361,Bourbon County,KY,33.33333333333333
42104,Warren County,KY,68.59903381642512
70003,Jefferson Parish,LA,6.763285024154589
70072,Jefferson Parish,LA,0.966183574879227
04103,Cumberland County,ME,74.8792270531401
21060,Anne Arundel County,MD,24.637681159420293
21061,Anne Arundel County,MD,50.72463768115942
21201,Baltimore city,MD,86.47342995169082
21228,Baltimore County,MD,47.82608695652174
21903,Cecil County,MD,93.23671497584542
01373,Franklin County,MA,95.65217391304348
01746,Middlesex County,MA,16.425120772946862
02114,Suffolk County,MA,14.009661835748794
02119,Suffolk County,MA,0
02121,Suffolk County,MA,0.4830917874396135
02472,Middlesex County,MA,45.410628019323674
02576,Plymouth County,MA,78.26086956521739
02760,Bristol County,MA,9.178743961352657
48009,Oakland County,MI,47.34299516908212
48045,Macomb County,MI,20.28985507246377
48104,Washtenaw County,MI,43.96135265700483
48183,Wayne County,MI,7.246376811594203
48185,Wayne County,MI,4.3478260869565215
48383,Oakland County,MI,63.28502415458937
48429,Shiawassee County,MI,59.42028985507246
48843,Livingston County,MI,9.66183574879227
48893,Isabella County,MI,68.11594202898551
49015,Calhoun County,MI,87.43961352657004
49078,Allegan County,MI,72.94685990338165
49202,Jackson County,MI,28.019323671497588
49242,Hillsdale County,MI,71.01449275362319
49286,Lenawee County,MI,51.20772946859904
49316,Kent County,MI,73.42995169082126
49417,Ottawa County,MI,13.526570048309178
49444,Muskegon County,MI,8.212560386473431
49504,Kent County,MI,10.628019323671497
49508,Kent County,MI,4.830917874396135
49646,Kalkaska County,MI,48.792270531400966
55127,Ramsey County,MN,61.35265700483091
55129,Washington County,MN,69.08212560386472
55413,Hennepin County,MN,38.64734299516908
55443,Hennepin County,MN,26.570048309178745
55804,St. Louis County,MN,95.16908212560386
55807,St. Louis County,MN,71.98067632850241
55912,Mower County,MN,6.280193236714976
38635,Marshall County,MS,91.30434782608695
64109,Jackson County,MO,23.18840579710145
64114,Jackson County,MO,32.367149758454104
64123,Jackson County,MO,39.61352657004831
64735,Henry County,MO,28.985507246376812
59801,Missoula County,MT,57.48792270531401
68152,Douglas County,NE,97.10144927536231
07652,Bergen County,NJ,46.85990338164252
07666,Bergen County,NJ,40.09661835748793
07733,Monmouth County,NJ,78.74396135265701
07871,Sussex County,NJ,75.36231884057972
08232,Atlantic County,NJ,3.864734299516908
08863,Middlesex County,NJ,62.31884057971014
08879,Middlesex County,NJ,85.5072463768116
87109,Bernalillo County,NM,44.44444444444444
10455,Bronx County,NY,2.898550724637681
10463,Bronx County,NY,25.60386473429952
11213,Kings County,NY,3.3816425120772946
