ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35004,St. Clair County,AL,59.42028985507246,NA,NA,NA
35005,Jefferson County,AL,NA,NA,NA,87.82201405152225
35007,Shelby County,AL,NA,43.54495100127823,NA,61.94379391100703
35010,Tallapoosa County,AL,NA,29.01576480613549,NA,NA
35020,Jefferson County,AL,NA,10.651896037494673,NA,NA
35022,Jefferson County,AL,NA,NA,42.64546440187929,NA
35023,Jefferson County,AL,NA,24.669791222837663,39.35670401156487,NA
35031,Blount County,AL,NA,69.49296974861525,NA,NA
35034,Bibb County,AL,93.71980676328504,NA,86.77267799060354,NA
35042,Bibb County,AL,NA,79.84661269706008,NA,NA
35055,Cullman County,AL,NA,NA,57.06541380556559,NA
35068,Jefferson County,AL,NA,90.54111631870472,NA,NA
35071,Jefferson County,AL,NA,67.49041329356625,NA,NA
35072,Coosa County,AL,NA,84.27780144865787,NA,NA
35079,Blount County,AL,NA,96.08010225820196,NA,NA
35111,Tuscaloosa County,AL,NA,NA,77.55692085290929,93.20843091334895
35120,St. Clair County,AL,NA,NA,90.82038308637513,NA
35124,Shelby County,AL,NA,NA,27.719551861221543,NA
35125,St. Clair County,AL,NA,79.20749893481039,NA,NA
35128,St. Clair County,AL,NA,70.2172986791649,94.47054571738344,NA
35147,Shelby County,AL,NA,96.46357051555177,NA,NA
35150,Talladega County,AL,NA,NA,51.13841705818576,NA
35160,Talladega County,AL,NA,NA,NA,63.17330210772833
35173,Jefferson County,AL,NA,NA,31.297434044091073,NA
35175,Marshall County,AL,NA,85.72645930975715,NA,NA
35180,Jefferson County,AL,NA,NA,63.028550777014814,NA
35205,Jefferson County,AL,NA,NA,64.87170220455367,NA
35206,Jefferson County,AL,NA,NA,NA,56.9672131147541
35210,Jefferson County,AL,NA,NA,NA,57.20140515222483
35213,Jefferson County,AL,NA,NA,59.016985905312616,NA
35216,Jefferson County,AL,NA,NA,40.58547162992411,NA
35226,Jefferson County,AL,NA,NA,15.142753885074086,NA
35228,Jefferson County,AL,81.15942028985508,NA,NA,NA
35242,Shelby County,AL,NA,75.28760119301235,8.673653776653415,NA
35243,Jefferson County,AL,NA,NA,49.945789663895916,NA
35244,Jefferson County,AL,NA,72.47550063911376,NA,NA
35401,Tuscaloosa County,AL,NA,NA,13.371882905674015,NA
35404,Tuscaloosa County,AL,NA,NA,24.503071919045897,NA
35453,Tuscaloosa County,AL,NA,NA,NA,95.5503512880562
