ZipCode,county,state,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,90.34185658699278,12.490951500040214
35005,Jefferson County,AL,NA,55.850472484713734,NA
35007,Shelby County,AL,NA,32.657031684269036,87.48491916673369
35010,Tallapoosa County,AL,25.942156003505694,60.3946637020567,92.64859647711735
35014,Talladega County,AL,NA,76.59811006114509,51.43569532695247
35016,Marshall County,AL,71.34092900964066,91.467481934408,37.65784605485402
35020,Jefferson County,AL,NA,57.54585881045025,57.09000241293333
35022,Jefferson County,AL,28.264680105170903,31.76764869371873,8.839379071824983
35023,Jefferson County,AL,NA,72.33185102834908,49.30427089198102
35031,Blount County,AL,NA,NA,76.84388321402719
35034,Bibb County,AL,NA,59.68593663146192,59.937263733612156
35040,Shelby County,AL,NA,88.67426347971094,27.38679321161425
35042,Bibb County,AL,NA,NA,77.1093058795142
35043,Shelby County,AL,NA,84.40800444691496,58.78709884983512
35044,Talladega County,AL,NA,86.03390772651474,15.57146304190461
35045,Chilton County,AL,52.497808939526735,31.378543635352973,37.42459583366846
35046,Chilton County,AL,NA,NA,98.2626880077214
35049,Blount County,AL,NA,99.74986103390773,NA
35051,Shelby County,AL,NA,50.83379655364091,51.781549103193115
35054,St. Clair County,AL,NA,NA,4.874125311670554
35055,Cullman County,AL,NA,NA,63.138421941607014
35057,Cullman County,AL,NA,NA,60.3072468430789
35058,Cullman County,AL,NA,37.38187882156754,77.5999356551114
35062,Jefferson County,AL,NA,NA,91.6995093702244
35064,Jefferson County,AL,NA,69.10783768760422,12.490951500040214
35068,Jefferson County,AL,NA,NA,87.14710850156841
35071,Jefferson County,AL,NA,39.23012784880489,33.96605807126196
35072,Coosa County,AL,NA,NA,80.77696452988016
35077,Cullman County,AL,50.569675723049954,59.68593663146192,80.5437143086946
35079,Blount County,AL,NA,42.64869371873263,50.91289310705381
35080,Shelby County,AL,NA,NA,81.92712941365721
35085,Chilton County,AL,NA,NA,83.84138984959382
35094,Jefferson County,AL,NA,74.98610339077266,63.3877583849433
35096,Talladega County,AL,NA,NA,13.53655593983753
35111,Tuscaloosa County,AL,NA,81.94830461367427,80.57588675299606
35114,Shelby County,AL,NA,NA,3.772219094345693
35115,Shelby County,AL,NA,89.27181767648695,48.72516689455481
35117,Jefferson County,AL,NA,96.92884936075598,89.27853293653986
35118,Jefferson County,AL,NA,NA,54.78162953430387
35120,St. Clair County,AL,NA,NA,58.15169307488136
35121,Blount County,AL,NA,90.61978877153975,66.16263170594387
35124,Shelby County,AL,NA,NA,57.03370063540577
35125,St. Clair County,AL,NA,30.48916064480267,48.419528673690984
35126,Jefferson County,AL,NA,82.35130628126737,87.80664360974825
35127,Jefferson County,AL,NA,80.71150639244024,9.217405292367088
35128,St. Clair County,AL,NA,NA,8.5900426284887
35131,St. Clair County,AL,NA,NA,99.98391377784928
35133,Blount County,AL,NA,NA,62.12498994611116
35146,St. Clair County,AL,NA,61.49249583101724,70.98045524008687
35150,Talladega County,AL,NA,51.38966092273485,95.81758224081075
35151,Talladega County,AL,NA,83.57420789327405,25.866645218370465
35160,Talladega County,AL,10.254163014899213,39.38299055030573,45.50792246440923
35173,Jefferson County,AL,NA,10.881045025013897,84.64570095713022
35175,Marshall County,AL,NA,NA,16.14252392825545
35179,Cullman County,AL,NA,NA,80.60805919729751
35180,Jefferson County,AL,NA,NA,72.10649079063782
35184,Bibb County,AL,NA,NA,58.15169307488136
35204,Jefferson County,AL,NA,57.490272373540854,19.231078581195206
35205,Jefferson County,AL,NA,92.5236242356865,36.025094506555135
35206,Jefferson County,AL,NA,80.46136742634798,75.55698544196895
35207,Jefferson County,AL,NA,NA,3.410279095954315
35208,Jefferson County,AL,NA,NA,67.35301214509772
35209,Jefferson County,AL,NA,74.9444135630906,34.90710206707955
35210,Jefferson County,AL,NA,75.4585881045025,47.78412289873723
35211,Jefferson County,AL,35.363716038562664,38.646470261256255,81.36411163838173
35212,Jefferson County,AL,67.17791411042946,85.29738743746526,9.515000402155554
