ZipCode,county,state,Geriatric
36305,Houston County,AL,66.11111111111111
85020,Maricopa County,AZ,42.77777777777778
85704,Pima County,AZ,21.666666666666668
85747,Pima County,AZ,65
72543,Cleburne County,AR,47.22222222222222
72949,Franklin County,AR,75.55555555555556
90064,Los Angeles County,CA,23.333333333333332
90606,Los Angeles County,CA,44.44444444444444
91355,Los Angeles County,CA,61.111111111111114
91387,Los Angeles County,CA,77.22222222222223
91601,Los Angeles County,CA,69.44444444444444
92592,Riverside County,CA,56.666666666666664
93230,Kings County,CA,79.44444444444444
93536,Los Angeles County,CA,47.22222222222222
94502,Alameda County,CA,75
95355,Stanislaus County,CA,26.111111111111114
95628,Sacramento County,CA,25
80260,Adams County,CO,65.55555555555556
81082,Las Animas County,CO,52.77777777777778
81201,Chaffee County,CO,61.66666666666667
06106,Hartford County,CT,85
32073,Clay County,FL,18.88888888888889
32207,Duval County,FL,51.66666666666667
32218,Duval County,FL,21.11111111111111
32404,Bay County,FL,20.555555555555554
33029,Broward County,FL,46.666666666666664
33069,Broward County,FL,10.555555555555555
33484,Palm Beach County,FL,2.2222222222222223
34110,Collier County,FL,11.11111111111111
34119,Collier County,FL,16.666666666666664
34203,Manatee County,FL,13.333333333333334
34982,St. Lucie County,FL,46.111111111111114
30014,Newton County,GA,62.77777777777778
30038,DeKalb County,GA,87.22222222222223
30047,Gwinnett County,GA,38.88888888888889
30083,DeKalb County,GA,45
30114,Cherokee County,GA,37.22222222222222
30680,Barrow County,GA,63.888888888888886
31061,Baldwin County,GA,32.77777777777778
96744,Honolulu County,HI,3.888888888888889
96766,Kauai County,HI,85
83501,Nez Perce County,ID,6.111111111111111
60162,Cook County,IL,72.22222222222221
60416,Grundy County,IL,71.11111111111111
60561,DuPage County,IL,28.333333333333332
60617,Cook County,IL,1.6666666666666667
46804,Allen County,IN,71.11111111111111
47404,Monroe County,IN,81.11111111111111
52577,Mahaska County,IA,77.77777777777779
66062,Johnson County,KS,15.555555555555555
67550,Pawnee County,KS,73.33333333333333
67735,Sherman County,KS,66.66666666666666
42642,Russell County,KY,92.77777777777779
70538,St. Mary Parish,LA,56.111111111111114
04530,Sagadahoc County,ME,58.88888888888889
21046,Howard County,MD,100
21161,Harford County,MD,97.77777777777777
01220,Berkshire County,MA,70
01803,Middlesex County,MA,2.7777777777777777
01824,Middlesex County,MA,7.777777777777778
01830,Essex County,MA,33.88888888888889
02081,Norfolk County,MA,36.666666666666664
02301,Plymouth County,MA,9.444444444444445
02420,Middlesex County,MA,40.55555555555556
48101,Wayne County,MI,57.77777777777777
48105,Washtenaw County,MI,3.3333333333333335
48127,Wayne County,MI,68.88888888888889
48322,Oakland County,MI,5
48374,Oakland County,MI,82.22222222222221
48813,Eaton County,MI,31.666666666666664
49442,Muskegon County,MI,6.666666666666667
49617,Benzie County,MI,83.88888888888889
55313,Wright County,MN,63.33333333333333
55436,Hennepin County,MN,73.33333333333333
55808,St. Louis County,MN,90
55921,Houston County,MN,95.55555555555556
56093,Waseca County,MN,60
56560,Clay County,MN,0.5555555555555556
56621,Clearwater County,MN,31.11111111111111
39111,Simpson County,MS,89.44444444444444
63123,St. Louis County,MO,18.333333333333332
63301,St. Charles County,MO,20
64058,Jackson County,MO,93.88888888888889
64744,Cedar County,MO,70.55555555555556
65041,Gasconade County,MO,82.77777777777777
65613,Polk County,MO,13.88888888888889
59401,Cascade County,MT,35.55555555555556
68022,Douglas County,NE,53.333333333333336
68847,Buffalo County,NE,52.22222222222223
89117,Clark County,NV,36.11111111111111
89130,Clark County,NV,43.333333333333336
03431,Cheshire County,NH,7.222222222222221
07624,Bergen County,NJ,93.33333333333333
07731,Monmouth County,NJ,67.22222222222223
07874,Sussex County,NJ,95
07932,Morris County,NJ,76.66666666666667
08106,Camden County,NJ,98.88888888888889
08628,Mercer County,NJ,88.33333333333333
10541,Putnam County,NY,55.55555555555556
10704,Westchester County,NY,42.22222222222222
10956,Rockland County,NY,25.555555555555554
11358,Queens County,NY,48.333333333333336
11561,Nassau County,NY,78.88888888888889
13350,Herkimer County,NY,53.888888888888886
14904,Chemung County,NY,80
27249,Guilford County,NC,64.44444444444444
27341,Randolph County,NC,98.33333333333333
27403,Guilford County,NC,80.55555555555556
28054,Gaston County,NC,29.444444444444446
43004,Franklin County,OH,86.66666666666667
43072,Champaign County,OH,87.77777777777777
43147,Fairfield County,OH,41.11111111111111
44039,Lorain County,OH,26.666666666666668
44074,Lorain County,OH,48.888888888888886
44087,Summit County,OH,4.444444444444445
44132,Cuyahoga County,OH,74.44444444444444
44133,Cuyahoga County,OH,8.333333333333332
44142,Cuyahoga County,OH,49.44444444444444
44240,Portage County,OH,16.11111111111111
44278,Summit County,OH,40
44312,Summit County,OH,78.33333333333333
44420,Trumbull County,OH,43.888888888888886
44883,Seneca County,OH,17.22222222222222
45069,Butler County,OH,11.666666666666666
45320,Preble County,OH,37.77777777777778
45432,Greene County,OH,60.55555555555555
45601,Ross County,OH,0
73034,Oklahoma County,OK,28.888888888888886
73080,McClain County,OK,67.77777777777779
73159,Oklahoma County,OK,39.44444444444444
74010,Creek County,OK,90.55555555555556
74014,Wagoner County,OK,45.55555555555556
74053,Rogers County,OK,91.66666666666666
74804,Pottawatomie County,OK,33.33333333333333
15005,Beaver County,PA,59.44444444444444
15301,Washington County,PA,10
15552,Somerset County,PA,97.22222222222221
15642,Westmoreland County,PA,50.55555555555556
16509,Erie County,PA,24.444444444444443
16947,Bradford County,PA,88.88888888888889
17201,Franklin County,PA,14.444444444444443
17543,Lancaster County,PA,34.44444444444444
17815,Columbia County,PA,12.222222222222221
17872,Northumberland County,PA,81.66666666666667
18052,Lehigh County,PA,19.444444444444446
18901,Bucks County,PA,8.88888888888889
18938,Bucks County,PA,55.00000000000001
