ZipCode,county,state,Adult
36744,Hale County,AL,71.51515151515152
99508,Anchorage Municipality,AK,17.575757575757574
85226,Maricopa County,AZ,53.939393939393945
85338,Maricopa County,AZ,30.303030303030305
85716,Pima County,AZ,16.969696969696972
86040,Coconino County,AZ,63.030303030303024
72901,Sebastian County,AR,52.121212121212125
90006,Los Angeles County,CA,64.84848484848484
91352,Los Angeles County,CA,24.242424242424242
91740,Los Angeles County,CA,61.212121212121204
92277,San Bernardino County,CA,67.27272727272727
92345,San Bernardino County,CA,8.484848484848486
92804,Orange County,CA,12.727272727272727
93003,Ventura County,CA,13.939393939393941
93726,Fresno County,CA,20.606060606060606
94110,San Francisco County,CA,10.303030303030303
95111,Santa Clara County,CA,33.939393939393945
95128,Santa Clara County,CA,92.72727272727272
95327,Tuolumne County,CA,83.63636363636363
95670,Sacramento County,CA,30.909090909090907
95864,Sacramento County,CA,76.36363636363637
80226,Jefferson County,CO,46.06060606060606
80305,Boulder County,CO,90.9090909090909
81632,Eagle County,CO,94.54545454545455
06460,New Haven County,CT,26.666666666666668
32177,Putnam County,FL,44.84848484848485
32455,Walton County,FL,80
33701,Pinellas County,FL,45.45454545454545
33771,Pinellas County,FL,44.24242424242424
33884,Polk County,FL,78.78787878787878
34145,Collier County,FL,90.30303030303031
34950,St. Lucie County,FL,50.90909090909091
30187,Douglas County,GA,73.33333333333333
30252,Henry County,GA,37.57575757575757
30338,DeKalb County,GA,70.3030303030303
30442,Jenkins County,GA,75.15151515151514
30467,Screven County,GA,56.36363636363636
30540,Gilmer County,GA,48.484848484848484
60185,DuPage County,IL,32.72727272727273
60433,Will County,IL,59.3939393939394
60564,Will County,IL,33.33333333333333
60644,Cook County,IL,6.666666666666667
60901,Kankakee County,IL,15.757575757575756
61244,Rock Island County,IL,64.24242424242425
61530,Woodford County,IL,87.27272727272727
62703,Sangamon County,IL,80.60606060606061
46160,Brown County,IN,92.12121212121212
50662,Fayette County,IA,82.42424242424242
52001,Dubuque County,IA,72.12121212121212
66801,Lyon County,KS,49.09090909090909
40245,Jefferson County,KY,46.666666666666664
40330,Mercer County,KY,51.515151515151516
40741,Laurel County,KY,22.424242424242426
40831,Harlan County,KY,67.87878787878789
70121,Jefferson Parish,LA,74.54545454545455
20745,Prince George's County,MD,69.6969696969697
20879,Montgomery County,MD,79.39393939393939
20895,Montgomery County,MD,84.24242424242424
01040,Hampden County,MA,0
01520,Worcester County,MA,42.42424242424242
01760,Middlesex County,MA,32.121212121212125
01960,Essex County,MA,0.6060606060606061
02050,Plymouth County,MA,50.303030303030305
02061,Plymouth County,MA,95.15151515151516
02351,Plymouth County,MA,81.21212121212122
02668,Barnstable County,MA,100
48105,Washtenaw County,MI,36.36363636363637
48134,Wayne County,MI,58.78787878787879
48188,Wayne County,MI,40.60606060606061
48214,Wayne County,MI,18.787878787878785
48602,Saginaw County,MI,1.8181818181818181
55082,Washington County,MN,29.09090909090909
55124,Dakota County,MN,34.54545454545455
55401,Hennepin County,MN,61.81818181818181
55412,Hennepin County,MN,28.484848484848484
55413,Hennepin County,MN,41.81818181818181
55420,Hennepin County,MN,66.06060606060606
55431,Hennepin County,MN,87.87878787878788
55447,Hennepin County,MN,70.9090909090909
55448,Anoka County,MN,39.39393939393939
56549,Clay County,MN,95.75757575757575
39307,Lauderdale County,MS,66.66666666666666
63146,St. Louis County,MO,75.75757575757575
63825,Stoddard County,MO,89.6969696969697
64024,Clay County,MO,18.181818181818183
