ZipCode,county,state,Adult,Retirement,Geriatric
35064,Jefferson County,AL,59.08045977011495,NA,NA
35118,Jefferson County,AL,91.0344827586207,NA,NA
35126,Jefferson County,AL,NA,54.51713395638629,NA
35207,Jefferson County,AL,68.50574712643677,NA,NA
35208,Jefferson County,AL,86.4367816091954,NA,NA
35214,Jefferson County,AL,37.24137931034483,NA,NA
35217,Jefferson County,AL,51.03448275862069,NA,NA
35235,Jefferson County,AL,87.1264367816092,NA,NA
35603,Morgan County,AL,20,NA,NA
35613,Limestone County,AL,45.28735632183908,NA,NA
35633,Lauderdale County,AL,78.62068965517241,NA,NA
35650,Lawrence County,AL,NA,NA,43.41463414634146
35670,Morgan County,AL,77.01149425287356,NA,NA
35749,Madison County,AL,NA,84.42367601246106,NA
36037,Butler County,AL,NA,NA,81.46341463414633
36301,Houston County,AL,22.988505747126435,NA,NA
36853,Tallapoosa County,AL,NA,83.8006230529595,77.5609756097561
99504,Anchorage Municipality,AK,71.03448275862068,NA,NA
99701,Fairbanks North Star Borough,AK,NA,75.0778816199377,NA
85207,Maricopa County,AZ,30.344827586206897,NA,NA
85225,Maricopa County,AZ,14.482758620689657,NA,NA
85302,Maricopa County,AZ,80.22988505747126,65.42056074766354,NA
85331,Maricopa County,AZ,NA,84.11214953271028,NA
85364,Yuma County,AZ,NA,3.4267912772585665,NA
85382,Maricopa County,AZ,NA,NA,19.024390243902438
85383,Maricopa County,AZ,31.95402298850575,NA,NA
85614,Pima County,AZ,NA,21.806853582554517,NA
85615,Cochise County,AZ,89.65517241379311,NA,NA
85706,Pima County,AZ,2.528735632183908,NA,NA
85716,Pima County,AZ,66.66666666666666,NA,NA
85730,Pima County,AZ,30.574712643678158,NA,NA
85746,Pima County,AZ,15.172413793103448,NA,NA
72019,Saline County,AR,87.356321839080465,NA,38.048780487804876
72401,Craighead County,AR,NA,NA,20.48780487804878
72753,Washington County,AR,NA,95.32710280373831,NA
90005,Los Angeles County,CA,NA,NA,67.31707317073172
90006,Los Angeles County,CA,NA,NA,82.92682926829268
90007,Los Angeles County,CA,60.689655172413794,NA,NA
90008,Los Angeles County,CA,NA,NA,32.19512195121951
90018,Los Angeles County,CA,40.229885057471265,NA,NA
90023,Los Angeles County,CA,80,NA,NA
90035,Los Angeles County,CA,NA,39.56386292834891,NA
90043,Los Angeles County,CA,48.04597701149425,NA,NA
90047,Los Angeles County,CA,19.770114942528735,NA,NA
90094,Los Angeles County,CA,97.93103448275862,NA,NA
90201,Los Angeles County,CA,NA,38.940809968847354,NA
90270,Los Angeles County,CA,82.29885057471265,NA,NA
90292,Los Angeles County,CA,NA,59.50155763239875,NA
90301,Los Angeles County,CA,38.85057471264368,NA,NA
90503,Los Angeles County,CA,51.49425287356322,NA,NA
90602,Los Angeles County,CA,62.98850574712643,NA,NA
90660,Los Angeles County,CA,32.87356321839081,NA,NA
90815,Los Angeles County,CA,51.724137931034484,NA,NA
91304,Los Angeles County,CA,NA,56.074766355140184,NA
91352,Los Angeles County,CA,NA,47.35202492211838,NA
91364,Los Angeles County,CA,NA,NA,44.87804878048781
91390,Los Angeles County,CA,NA,97.19626168224299,NA
91401,Los Angeles County,CA,NA,35.202492211838006,NA
91605,Los Angeles County,CA,49.88505747126437,NA,NA
91706,Los Angeles County,CA,74.02298850574712,NA,NA
91737,San Bernardino County,CA,NA,NA,78.53658536585367
91750,Los Angeles County,CA,NA,43.925233644859816,NA
91763,San Bernardino County,CA,64.59770114942529,NA,NA
91792,Los Angeles County,CA,NA,NA,68.78048780487805
91911,San Diego County,CA,28.965517241379313,20.5607476635514,NA
92008,San Diego County,CA,NA,65.73208722741433,NA
92021,San Diego County,CA,NA,16.510903426791277,NA
92058,San Diego County,CA,84.59770114942529,NA,NA
92124,San Diego County,CA,NA,78.50467289719626,NA
92253,Riverside County,CA,NA,NA,14.146341463414632
92260,Riverside County,CA,NA,51.09034267912772,NA
92270,Riverside County,CA,NA,NA,2.9268292682926833
92277,San Bernardino County,CA,71.49425287356321,NA,NA
92301,San Bernardino County,CA,NA,50.155763239875384,NA
92313,San Bernardino County,CA,NA,NA,92.6829268292683
92324,San Bernardino County,CA,54.02298850574713,77.57009345794393,NA
92337,San Bernardino County,CA,57.701149425287355,NA,NA
92346,San Bernardino County,CA,NA,48.90965732087228,NA
92373,San Bernardino County,CA,68.50574712643677,NA,NA
92411,San Bernardino County,CA,NA,43.613707165109034,NA
92555,Riverside County,CA,57.931034482758626,NA,76.09756097560975
92557,Riverside County,CA,NA,NA,64.8780487804878
92630,Orange County,CA,NA,20.24922118380062,NA
92656,Orange County,CA,NA,81.61993769470405,NA
92705,Orange County,CA,NA,57.009345794392516,NA
92801,Orange County,CA,66.20689655172414,NA,NA
92802,Orange County,CA,NA,45.794392523364486,NA
93313,Kern County,CA,53.103448275862064,NA,NA
93436,Santa Barbara County,CA,NA,18.38006230529595,NA
93455,Santa Barbara County,CA,37.01149425287356,NA,NA
93535,Los Angeles County,CA,10.344827586206897,NA,NA
93550,Los Angeles County,CA,60.91954022988506,NA,NA
93555,Kern County,CA,NA,22.118380062305295,NA
93640,Fresno County,CA,NA,96.57320872274143,NA
93703,Fresno County,CA,NA,63.55140186915887,NA
93711,Fresno County,CA,67.1264367816092,NA,NA
93726,Fresno County,CA,26.89655172413793,NA,NA
93737,Fresno County,CA,97.01149425287356,NA,NA
93907,Monterey County,CA,NA,NA,70.73170731707317
93923,Monterey County,CA,91.26436781609195,NA,NA
93950,Monterey County,CA,NA,NA,58.536585365853654
94015,San Mateo County,CA,NA,43.30218068535825,NA
94040,Santa Clara County,CA,NA,80.68535825545172,NA
94044,San Mateo County,CA,NA,81.93146417445483,NA
94063,San Mateo County,CA,92.18390804597702,NA,NA
94087,Santa Clara County,CA,NA,54.51713395638629,NA
94123,San Francisco County,CA,98.85057471264368,NA,NA
94134,San Francisco County,CA,86.20689655172413,NA,NA
94158,San Francisco County,CA,90.3448275862069,NA,NA
94301,Santa Clara County,CA,NA,NA,60.48780487804878
94501,Alameda County,CA,NA,48.28660436137071,NA
94513,Contra Costa County,CA,38.62068965517241,NA,NA
94541,Alameda County,CA,NA,NA,98.53658536585365
94542,Alameda County,CA,NA,NA,93.65853658536587
94546,Alameda County,CA,NA,87.85046728971963,NA
94565,Contra Costa County,CA,NA,38.31775700934579,NA
94591,Solano County,CA,NA,NA,24.878048780487806
94601,Alameda County,CA,46.89655172413793,NA,NA
94603,Alameda County,CA,49.42528735632184,NA,NA
94611,Alameda County,CA,61.37931034482759,NA,NA
94928,Sonoma County,CA,NA,46.728971962616825,NA
95008,Santa Clara County,CA,NA,52.336448598130836,NA
95121,Santa Clara County,CA,NA,61.059190031152646,NA
95129,Santa Clara County,CA,81.60919540229885,NA,NA
95209,San Joaquin County,CA,NA,NA,61.951219512195124
95210,San Joaquin County,CA,41.60919540229885,NA,NA
95404,Sonoma County,CA,70.57471264367817,NA,NA
95648,Placer County,CA,NA,28.037383177570092,NA
95821,Sacramento County,CA,46.206896551724135,NA,NA
95901,Yuba County,CA,28.735632183908045,NA,NA
80012,Arapahoe County,CO,NA,NA,22.926829268292686
80022,Adams County,CO,NA,41.74454828660436,NA
80027,Boulder County,CO,NA,57.63239875389408,NA
80203,Denver County,CO,70.34482758620689,NA,NA
80210,Denver County,CO,78.39080459770115,59.813084112149525,NA
80214,Jefferson County,CO,NA,NA,74.14634146341463
80229,Adams County,CO,17.24137931034483,NA,NA
80233,Adams County,CO,31.264367816091955,NA,NA
80302,Boulder County,CO,NA,72.89719626168224,NA
80504,Boulder County,CO,NA,26.479750778816197,NA
80634,Weld County,CO,NA,79.75077881619937,NA
81623,Garfield County,CO,86.66666666666667,NA,NA
06002,Hartford County,CT,NA,32.087227414330215,NA
06029,Tolland County,CT,NA,68.84735202492212,NA
06066,Tolland County,CT,21.839080459770116,NA,NA
06105,Hartford County,CT,NA,NA,53.170731707317074
06108,Hartford County,CT,34.71264367816092,NA,NA
06112,Hartford County,CT,20.689655172413794,NA,NA
06118,Hartford County,CT,29.42528735632184,NA,NA
06260,Windham County,CT,63.9080459770115,NA,NA
06457,Middlesex County,CT,NA,9.345794392523365,NA
06460,New Haven County,CT,61.149425287356316,NA,NA
06473,New Haven County,CT,69.42528735632185,NA,NA
06513,New Haven County,CT,NA,10.2803738317757,NA
06810,Fairfield County,CT,NA,22.741433021806852,NA
19804,New Castle County,DE,NA,NA,59.02439024390244
19805,New Castle County,DE,2.9885057471264367,9.657320872274143,NA
19808,New Castle County,DE,NA,23.67601246105919,NA
19938,Kent County,DE,65.74712643678161,NA,NA
32025,Columbia County,FL,40.91954022988506,NA,NA
32054,Union County,FL,76.55172413793103,NA,NA
32174,Volusia County,FL,NA,NA,12.682926829268293
32210,Duval County,FL,4.597701149425287,NA,NA
32433,Walton County,FL,57.931034482758626,NA,NA
32526,Escambia County,FL,NA,NA,11.707317073170733
32550,Walton County,FL,NA,58.56697819314641,NA
32566,Santa Rosa County,FL,NA,24.610591900311526,NA
32578,Okaloosa County,FL,NA,76.63551401869158,NA
32583,Santa Rosa County,FL,30.804597701149426,NA,NA
32606,Alachua County,FL,38.39080459770115,NA,NA
32703,Orange County,FL,28.50574712643678,NA,NA
32724,Volusia County,FL,NA,63.862928348909655,NA
32725,Volusia County,FL,NA,41.1214953271028,NA
32738,Volusia County,FL,NA,NA,51.21951219512195
32780,Brevard County,FL,43.44827586206896,NA,NA
32808,Orange County,FL,19.310344827586206,NA,NA
32935,Brevard County,FL,NA,45.482866043613704,NA
32953,Brevard County,FL,NA,22.429906542056074,NA
33018,Miami-Dade County,FL,NA,60.12461059190031,47.3170731707317
33025,Broward County,FL,62.29885057471264,NA,NA
33066,Broward County,FL,NA,NA,23.414634146341466
33129,Miami-Dade County,FL,94.02298850574712,NA,NA
33132,Miami-Dade County,FL,95.63218390804597,NA,NA
33175,Miami-Dade County,FL,NA,25.85669781931464,NA
33430,Palm Beach County,FL,52.41379310344828,NA,NA
33433,Palm Beach County,FL,58.39080459770115,NA,80
