fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,17.09753231492362
01003,Baldwin County,AL,NA,0.11750881316098707
01007,Bibb County,AL,NA,63.86603995299648
01009,Blount County,AL,NA,17.391304347826086
01013,Butler County,AL,NA,49.00117508813161
01015,Calhoun County,AL,NA,1.1750881316098707
01031,Coffee County,AL,NA,22.796709753231493
01039,Covington County,AL,70.4331450094162,90.12925969447708
01043,Cullman County,AL,NA,8.049353701527615
01047,Dallas County,AL,NA,55.346650998824906
01049,DeKalb County,AL,49.152542372881356,NA
01051,Elmore County,AL,71.75141242937853,NA
01055,Etowah County,AL,37.664783427495294,26.556991774383075
01059,Franklin County,AL,74.01129943502825,NA
01067,Henry County,AL,NA,54.81786133960047
01069,Houston County,AL,NA,36.89776733254994
01073,Jefferson County,AL,NA,25.08813160987074
01077,Lauderdale County,AL,NA,49.70622796709753
01079,Lawrence County,AL,NA,53.05522914218567
01083,Limestone County,AL,NA,4.524089306698002
01089,Madison County,AL,13.93596986817326,1.9976498237367801
01091,Marengo County,AL,NA,62.455934195064636
01093,Marion County,AL,NA,22.737955346651
01095,Marshall County,AL,NA,9.870740305522913
01097,Mobile County,AL,NA,3.172737955346651
01101,Montgomery County,AL,21.84557438794727,17.038777908343125
01103,Morgan County,AL,NA,21.62162162162162
01105,Perry County,AL,99.2467043314501,99.82373678025851
01109,Pike County,AL,NA,43.24324324324324
01115,St. Clair County,AL,NA,36.486486486486484
01117,Shelby County,AL,NA,21.09283196239718
01121,Talladega County,AL,NA,15.452408930669801
01125,Tuscaloosa County,AL,20.527306967984934,32.19741480611046
01127,Walker County,AL,NA,40.36427732079906
01133,Winston County,AL,73.44632768361582,NA
02020,Anchorage Municipality,AK,NA,38.42538190364277
02090,Fairbanks North Star Borough,AK,NA,12.749706227967097
02130,Ketchikan Gateway Borough,AK,NA,44.47708578143361
02170,Matanuska-Susitna Borough,AK,52.91902071563088,NA
02220,Sitka City and Borough,AK,NA,82.54994124559342
02261,Valdez-Cordova Census Area,AK,NA,98.70740305522914
04001,Apache County,AZ,18.64406779661017,29.612220916568745
04003,Cochise County,AZ,36.53483992467043,62.80846063454759
04005,Coconino County,AZ,NA,15.158636897767334
04007,Gila County,AZ,NA,13.396004700352526
04009,Graham County,AZ,NA,23.678025851938894
04013,Maricopa County,AZ,12.8060263653484,23.971797884841365
04015,Mohave County,AZ,NA,14.62984723854289
04017,Navajo County,AZ,NA,34.488836662749705
04019,Pima County,AZ,37.47645951035782,22.150411280846065
04025,Yavapai County,AZ,32.95668549905838,0
04027,Yuma County,AZ,47.64595103578154,61.39835487661575
05001,Arkansas County,AR,NA,58.28437132784959
05003,Ashley County,AR,NA,45.769682726204465
05005,Baxter County,AR,NA,72.85546415981199
05007,Benton County,AR,NA,0.881316098707403
05031,Craighead County,AR,NA,5.992949471210341
05033,Crawford County,AR,NA,45.475910693302
05045,Faulkner County,AR,NA,5.875440658049354
05049,Fulton County,AR,NA,85.3701527614571
05053,Grant County,AR,NA,73.50176263219741
05063,Independence County,AR,NA,53.5840188014101
05069,Jefferson County,AR,NA,7.520564042303173
05075,Lawrence County,AR,NA,98.17861339600469
05085,Lonoke County,AR,NA,11.398354876615747
05089,Marion County,AR,NA,66.56874265569918
05095,Monroe County,AR,NA,87.95534665099882
05099,Nevada County,AR,NA,91.42185663924795
05119,Pulaski County,AR,NA,2.056404230317274
05125,Saline County,AR,NA,88.1316098707403
05127,Scott County,AR,NA,72.91421856639248
05131,Sebastian County,AR,NA,33.90129259694477
05137,Stone County,AR,NA,61.51586368977673
05143,Washington County,AR,NA,71.73913043478261
05145,White County,AR,NA,15.863689776733256
05149,Yell County,AR,NA,64.86486486486487
06001,Alameda County,CA,17.702448210922785,14.982373678025851
06005,Amador County,CA,NA,60.928319623971795
06007,Butte County,CA,57.6271186440678,78.61339600470035
06009,Calaveras County,CA,NA,75.4406580493537
06011,Colusa County,CA,94.35028248587571,87.48531139835488
06013,Contra Costa County,CA,NA,48.82491186839013
06017,El Dorado County,CA,NA,74.85311398354877
06019,Fresno County,CA,4.519774011299435,25.205640423031728
06023,Humboldt County,CA,NA,55.69917743830788
06027,Inyo County,CA,NA,98.47238542890717
06029,Kern County,CA,30.88512241054614,0.17626321974148063
06031,Kings County,CA,NA,7.403055229142186
06033,Lake County,CA,73.6346516007533,41.65687426556992
06035,Lassen County,CA,97.92843691148776,56.75675675675676
06037,Los Angeles County,CA,1.5065913370998116,10.869565217391305
06039,Madera County,CA,22.033898305084744,15.511163337250295
06041,Marin County,CA,NA,48.589894242068155
