fips,county,state,Over18
01001,Autauga County,AL,25.885558583106267
01003,Baldwin County,AL,68.66485013623979
01005,Barbour County,AL,NA
01007,Bibb County,AL,95.2316076294278
01009,Blount County,AL,NA
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,40.94005449591281
01017,Chambers County,AL,66.34877384196184
01019,Cherokee County,AL,60.76294277929155
01021,Chilton County,AL,91.96185286103542
01025,Clarke County,AL,61.58038147138964
01027,Clay County,AL,NA
01029,Cleburne County,AL,87.05722070844686
01031,Coffee County,AL,NA
01033,Colbert County,AL,86.92098092643052
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,NA
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,39.032697547683924
01045,Dale County,AL,NA
01047,Dallas County,AL,54.97275204359673
01049,DeKalb County,AL,NA
01051,Elmore County,AL,8.106267029972752
01053,Escambia County,AL,NA
01055,Etowah County,AL,39.71389645776567
01057,Fayette County,AL,80.24523160762944
01059,Franklin County,AL,49.25068119891008
01061,Geneva County,AL,92.37057220708446
01063,Greene County,AL,NA
01065,Hale County,AL,56.335149863760215
01067,Henry County,AL,NA
01069,Houston County,AL,83.78746594005449
01071,Jackson County,AL,37.39782016348774
01073,Jefferson County,AL,10.08174386920981
01075,Lamar County,AL,99.45504087193461
01077,Lauderdale County,AL,89.71389645776566
01079,Lawrence County,AL,38.555858310626704
01081,Lee County,AL,44.4141689373297
01083,Limestone County,AL,26.634877384196187
01085,Lowndes County,AL,NA
01087,Macon County,AL,86.37602179836512
01089,Madison County,AL,18.460490463215258
01091,Marengo County,AL,NA
01093,Marion County,AL,81.33514986376021
01095,Marshall County,AL,30.92643051771117
01097,Mobile County,AL,35.694822888283376
01099,Monroe County,AL,NA
01101,Montgomery County,AL,25.817438692098094
01103,Morgan County,AL,43.73297002724796
01105,Perry County,AL,85.14986376021798
01107,Pickens County,AL,NA
01109,Pike County,AL,57.833787465940055
01111,Randolph County,AL,NA
01113,Russell County,AL,59.741144414168936
01115,St. Clair County,AL,72.75204359673025
01117,Shelby County,AL,20.02724795640327
01119,Sumter County,AL,NA
01121,Talladega County,AL,4.836512261580381
01123,Tallapoosa County,AL,28.201634877384198
01125,Tuscaloosa County,AL,39.3732970027248
01127,Walker County,AL,9.196185286103542
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,NA
02020,Anchorage Municipality,AK,11.1716621253406
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,20.844686648501362
02110,Juneau City and Borough,AK,NA
02122,Kenai Peninsula Borough,AK,71.2534059945504
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,NA
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,NA
04003,Cochise County,AZ,30.585831062670298
04005,Coconino County,AZ,9.60490463215259
04007,Gila County,AZ,52.929155313351494
04009,Graham County,AZ,NA
04012,La Paz County,AZ,NA
04013,Maricopa County,AZ,50.54495912806539
04015,Mohave County,AZ,16.348773841961854
04017,Navajo County,AZ,34.60490463215259
04019,Pima County,AZ,18.05177111716621
04021,Pinal County,AZ,34.94550408719346
04023,Santa Cruz County,AZ,27.656675749318797
04025,Yavapai County,AZ,64.78201634877384
04027,Yuma County,AZ,64.23705722070845
05001,Arkansas County,AR,NA
05003,Ashley County,AR,60.89918256130791
05005,Baxter County,AR,31.94822888283379
05007,Benton County,AR,48.09264305177112
05009,Boone County,AR,98.77384196185287
05011,Bradley County,AR,NA
05015,Carroll County,AR,NA
05017,Chicot County,AR,NA
05019,Clark County,AR,72.6158038147139
05021,Clay County,AR,NA
05023,Cleburne County,AR,77.24795640326975
05025,Cleveland County,AR,NA
05027,Columbia County,AR,91.41689373297002
05029,Conway County,AR,NA
05031,Craighead County,AR,81.1307901907357
05033,Crawford County,AR,60.08174386920982
05035,Crittenden County,AR,90.66757493188011
05037,Cross County,AR,82.56130790190736
05039,Dallas County,AR,NA
05041,Desha County,AR,87.26158038147139
05043,Drew County,AR,NA
05045,Faulkner County,AR,33.65122615803814
05047,Franklin County,AR,NA
05049,Fulton County,AR,NA
05051,Garland County,AR,84.33242506811989
05053,Grant County,AR,NA
05055,Greene County,AR,31.81198910081744
05057,Hempstead County,AR,95.84468664850137
05059,Hot Spring County,AR,NA
05061,Howard County,AR,NA
05063,Independence County,AR,NA
05067,Jackson County,AR,NA
05069,Jefferson County,AR,37.94277929155314
05071,Johnson County,AR,NA
05075,Lawrence County,AR,NA
05077,Lee County,AR,NA
05079,Lincoln County,AR,NA
05081,Little River County,AR,98.63760217983652
05083,Logan County,AR,NA
05085,Lonoke County,AR,18.732970027247955
05087,Madison County,AR,NA
05089,Marion County,AR,NA
05091,Miller County,AR,72.34332425068119
05093,Mississippi County,AR,94.89100817438693
05095,Monroe County,AR,NA
05097,Montgomery County,AR,NA
05099,Nevada County,AR,NA
05103,Ouachita County,AR,NA
05105,Perry County,AR,NA
05107,Phillips County,AR,NA
05109,Pike County,AR,NA
05111,Poinsett County,AR,98.50136239782016
05113,Polk County,AR,NA
05115,Pope County,AR,NA
05119,Pulaski County,AR,71.38964577656675
05121,Randolph County,AR,82.35694822888283
05123,St. Francis County,AR,NA
05125,Saline County,AR,24.182561307901906
05127,Scott County,AR,NA
05129,Searcy County,AR,NA
05131,Sebastian County,AR,60.83106267029973
05133,Sevier County,AR,89.44141689373298
05135,Sharp County,AR,77.17983651226157
05137,Stone County,AR,NA
05139,Union County,AR,NA
05141,Van Buren County,AR,NA
05143,Washington County,AR,3.337874659400545
05145,White County,AR,24.7275204359673
05149,Yell County,AR,NA
06001,Alameda County,CA,90.25885558583107
06005,Amador County,CA,77.79291553133515
06007,Butte County,CA,1.1580381471389645
06009,Calaveras County,CA,74.65940054495913
06011,Colusa County,CA,NA
06013,Contra Costa County,CA,91.07629427792916
06015,Del Norte County,CA,NA
06017,El Dorado County,CA,63.76021798365122
06019,Fresno County,CA,50.47683923705723
06021,Glenn County,CA,NA
06023,Humboldt County,CA,4.291553133514987
06025,Imperial County,CA,NA
06027,Inyo County,CA,NA
06029,Kern County,CA,13.283378746594005
06031,Kings County,CA,68.59673024523161
06033,Lake County,CA,9.673024523160763
06035,Lassen County,CA,NA
06037,Los Angeles County,CA,73.16076294277929
06039,Madera County,CA,24.250681198910083
06041,Marin County,CA,96.18528610354224
06043,Mariposa County,CA,NA
06045,Mendocino County,CA,6.8801089918256135
06047,Merced County,CA,10.762942779291553
06049,Modoc County,CA,NA
06051,Mono County,CA,NA
06053,Monterey County,CA,48.43324250681199
06055,Napa County,CA,79.97275204359673
06057,Nevada County,CA,NA
06059,Orange County,CA,65.25885558583107
06061,Placer County,CA,79.7683923705722
06063,Plumas County,CA,NA
06065,Riverside County,CA,42.84741144414169
06067,Sacramento County,CA,91.14441416893733
06069,San Benito County,CA,NA
06071,San Bernardino County,CA,56.06267029972752
06073,San Diego County,CA,70.91280653950953
06075,San Francisco County,CA,41.893732970027244
06077,San Joaquin County,CA,50.40871934604905
06079,San Luis Obispo County,CA,15.531335149863759
06081,San Mateo County,CA,83.85558583106267
06083,Santa Barbara County,CA,52.247956403269754
06085,Santa Clara County,CA,88.89645776566758
06087,Santa Cruz County,CA,13.419618528610355
06089,Shasta County,CA,14.850136239782016
06093,Siskiyou County,CA,35.6267029972752
06095,Solano County,CA,93.59673024523161
06097,Sonoma County,CA,74.72752043596729
06099,Stanislaus County,CA,30.79019073569482
06101,Sutter County,CA,11.78474114441417
06103,Tehama County,CA,61.37602179836512
06105,Trinity County,CA,NA
06107,Tulare County,CA,5.5858310626703
06109,Tuolumne County,CA,68.3242506811989
06111,Ventura County,CA,45.23160762942779
06113,Yolo County,CA,78.67847411444143
06115,Yuba County,CA,25.068119891008173
08001,Adams County,CO,47.41144414168937
08003,Alamosa County,CO,61.85286103542234
08005,Arapahoe County,CO,21.457765667574932
08007,Archuleta County,CO,76.90735694822888
08011,Bent County,CO,NA
08013,Boulder County,CO,38.01089918256131
08014,Broomfield County,CO,NA
08015,Chaffee County,CO,NA
08021,Conejos County,CO,NA
08027,Custer County,CO,NA
08029,Delta County,CO,NA
08031,Denver County,CO,22.479564032697546
08035,Douglas County,CO,29.768392370572204
08037,Eagle County,CO,NA
08039,Elbert County,CO,91.00817438692098
08041,El Paso County,CO,48.501362397820166
08043,Fremont County,CO,66.14441416893733
08045,Garfield County,CO,64.71389645776566
08051,Gunnison County,CO,94.07356948228883
08055,Huerfano County,CO,NA
08059,Jefferson County,CO,5.517711171662126
08063,Kit Carson County,CO,NA
08065,Lake County,CO,NA
08067,La Plata County,CO,37.19346049046322
08069,Larimer County,CO,31.743869209809265
08071,Las Animas County,CO,NA
08075,Logan County,CO,61.78474114441417
08077,Mesa County,CO,NA
08081,Moffat County,CO,NA
08083,Montezuma County,CO,NA
08085,Montrose County,CO,NA
08087,Morgan County,CO,85.21798365122616
08089,Otero County,CO,NA
08093,Park County,CO,NA
08095,Phillips County,CO,NA
08097,Pitkin County,CO,NA
08099,Prowers County,CO,NA
08101,Pueblo County,CO,92.77929155313352
08105,Rio Grande County,CO,90.59945504087193
08107,Routt County,CO,NA
08109,Saguache County,CO,NA
08111,San Juan County,CO,99.65940054495913
08113,San Miguel County,CO,NA
08117,Summit County,CO,NA
08119,Teller County,CO,NA
08123,Weld County,CO,38.35149863760218
08125,Yuma County,CO,NA
09001,Fairfield County,CT,52.724795640326974
09003,Hartford County,CT,28.610354223433244
09005,Litchfield County,CT,9.945504087193461
09007,Middlesex County,CT,5.313351498637602
09009,New Haven County,CT,38.76021798365122
09011,New London County,CT,51.56675749318801
09013,Tolland County,CT,1.3623978201634876
09015,Windham County,CT,1.5667574931880108
10001,Kent County,DE,22.3433242506812
10003,New Castle County,DE,33.03814713896458
10005,Sussex County,DE,72.0708446866485
11001,District of Columbia,DC,30.24523160762943
12001,Alachua County,FL,7.901907356948229
12003,Baker County,FL,57.49318801089919
12005,Bay County,FL,86.64850136239782
12007,Bradford County,FL,81.53950953678473
12009,Brevard County,FL,42.370572207084464
12011,Broward County,FL,46.525885558583106
12013,Calhoun County,FL,63.62397820163488
12015,Charlotte County,FL,50.340599455040866
12017,Citrus County,FL,NA
12019,Clay County,FL,37.32970027247956
12021,Collier County,FL,7.3569482288828345
12023,Columbia County,FL,55.858310626703
12027,DeSoto County,FL,NA
12029,Dixie County,FL,NA
12031,Duval County,FL,43.66485013623978
12033,Escambia County,FL,50.885558583106274
12035,Flagler County,FL,35.967302452316076
12037,Franklin County,FL,NA
12039,Gadsden County,FL,53.67847411444142
12041,Gilchrist County,FL,NA
12043,Glades County,FL,97.34332425068119
12045,Gulf County,FL,NA
12047,Hamilton County,FL,83.5149863760218
12049,Hardee County,FL,NA
12051,Hendry County,FL,NA
12053,Hernando County,FL,18.256130790190735
12055,Highlands County,FL,94.82288828337875
12057,Hillsborough County,FL,7.561307901907358
12059,Holmes County,FL,NA
12061,Indian River County,FL,14.168937329700274
12063,Jackson County,FL,NA
12065,Jefferson County,FL,NA
12067,Lafayette County,FL,NA
12069,Lake County,FL,47.956403269754766
12071,Lee County,FL,7.970027247956403
12073,Leon County,FL,NA
12075,Levy County,FL,NA
12077,Liberty County,FL,NA
12079,Madison County,FL,84.87738419618529
12081,Manatee County,FL,51.70299727520435
12083,Marion County,FL,31.471389645776565
12085,Martin County,FL,30.3133514986376
12086,Miami-Dade County,FL,17.09809264305177
12087,Monroe County,FL,60.013623978201636
12089,Nassau County,FL,74.86376021798365
12091,Okaloosa County,FL,55.653950953678475
12093,Okeechobee County,FL,NA
12095,Orange County,FL,22.752043596730246
12097,Osceola County,FL,22.002724795640326
12099,Palm Beach County,FL,24.863760217983653
12101,Pasco County,FL,54.70027247956403
12103,Pinellas County,FL,76.15803814713897
12105,Polk County,FL,22.547683923705723
12107,Putnam County,FL,28.882833787465938
12109,St. Johns County,FL,46.049046321525886
12111,St. Lucie County,FL,8.446866485013624
12113,Santa Rosa County,FL,61.444141689373296
12115,Sarasota County,FL,44.822888283378745
12117,Seminole County,FL,15.463215258855586
12119,Sumter County,FL,17.779291553133515
12121,Suwannee County,FL,NA
12123,Taylor County,FL,66.4850136239782
12125,Union County,FL,NA
12127,Volusia County,FL,43.05177111716621
12129,Wakulla County,FL,NA
12131,Walton County,FL,64.85013623978202
12133,Washington County,FL,48.024523160762946
13001,Appling County,GA,NA
13003,Atkinson County,GA,NA
13005,Bacon County,GA,75.54495912806539
13009,Baldwin County,GA,70.16348773841962
13011,Banks County,GA,NA
13013,Barrow County,GA,12.057220708446867
13015,Bartow County,GA,8.991825613079019
13017,Ben Hill County,GA,NA
13019,Berrien County,GA,77.3841961852861
13021,Bibb County,GA,1.7029972752043598
13023,Bleckley County,GA,81.47138964577657
13025,Brantley County,GA,NA
13027,Brooks County,GA,78.2016348773842
13029,Bryan County,GA,69.82288828337875
13031,Bulloch County,GA,NA
13033,Burke County,GA,67.30245231607628
13035,Butts County,GA,NA
13037,Calhoun County,GA,NA
13039,Camden County,GA,NA
13043,Candler County,GA,NA
13045,Carroll County,GA,3.1335149863760217
13047,Catoosa County,GA,NA
13049,Charlton County,GA,NA
13051,Chatham County,GA,89.57765667574932
13055,Chattooga County,GA,50.817438692098094
13057,Cherokee County,GA,21.321525885558586
13059,Clarke County,GA,30.04087193460491
13061,Clay County,GA,NA
13063,Clayton County,GA,15.054495912806539
13065,Clinch County,GA,NA
13067,Cobb County,GA,14.645776566757492
13069,Coffee County,GA,NA
13071,Colquitt County,GA,NA
13073,Columbia County,GA,29.155313351498634
13075,Cook County,GA,NA
13077,Coweta County,GA,20.708446866485016
13079,Crawford County,GA,NA
13081,Crisp County,GA,51.771117166212534
13083,Dade County,GA,NA
13085,Dawson County,GA,81.06267029972753
13087,Decatur County,GA,NA
13089,DeKalb County,GA,69.89100817438693
13091,Dodge County,GA,NA
13093,Dooly County,GA,NA
13095,Dougherty County,GA,79.49591280653951
13097,Douglas County,GA,NA
13099,Early County,GA,NA
13103,Effingham County,GA,35.76294277929155
13105,Elbert County,GA,97.82016348773843
13107,Emanuel County,GA,NA
13109,Evans County,GA,NA
13111,Fannin County,GA,82.9700272479564
13113,Fayette County,GA,8.651226158038147
13115,Floyd County,GA,28.269754768392367
13117,Forsyth County,GA,51.90735694822888
13119,Franklin County,GA,59.33242506811989
13121,Fulton County,GA,41.28065395095368
13123,Gilmer County,GA,NA
13127,Glynn County,GA,NA
13129,Gordon County,GA,78.88283378746594
13131,Grady County,GA,NA
13133,Greene County,GA,75.40871934604905
13135,Gwinnett County,GA,88.0108991825613
13137,Habersham County,GA,34.74114441416894
13139,Hall County,GA,1.8392370572207086
13141,Hancock County,GA,NA
13143,Haralson County,GA,70.57220708446866
13145,Harris County,GA,61.03542234332425
13147,Hart County,GA,NA
13149,Heard County,GA,85.08174386920982
13151,Henry County,GA,42.09809264305177
13153,Houston County,GA,54.223433242506815
13155,Irwin County,GA,NA
13157,Jackson County,GA,NA
13159,Jasper County,GA,NA
