ZipCode,county,state,Adult,Retirement
35071,Jefferson County,AL,NA,78.9237668161435
35223,Jefferson County,AL,NA,78.9237668161435
35234,Jefferson County,AL,NA,90.88191330343797
35244,Jefferson County,AL,74.64285714285714,NA
35401,Tuscaloosa County,AL,24.047619047619047,NA
35442,Pickens County,AL,84.28571428571429,NA
35453,Tuscaloosa County,AL,NA,71.15097159940208
35475,Tuscaloosa County,AL,45.714285714285715,NA
35603,Morgan County,AL,15.95238095238095,34.379671150971596
35613,Limestone County,AL,NA,52.615844544095665
35630,Lauderdale County,AL,NA,37.369207772795214
35661,Colbert County,AL,60.357142857142854,NA
35673,Morgan County,AL,88.57142857142857,NA
35750,Madison County,AL,54.88095238095239,NA
35904,Etowah County,AL,40.35714285714286,NA
35956,Etowah County,AL,75.23809523809524,NA
36027,Barbour County,AL,35,NA
36092,Elmore County,AL,40.595238095238095,NA
36207,Calhoun County,AL,NA,62.78026905829597
36301,Houston County,AL,46.07142857142857,NA
36303,Houston County,AL,NA,42.00298953662182
36322,Dale County,AL,NA,87.593423019432
36502,Escambia County,AL,NA,46.48729446935725
36526,Baldwin County,AL,77.26190476190476,NA
36567,Baldwin County,AL,58.452380952380956,NA
36605,Mobile County,AL,NA,54.40956651718983
36608,Mobile County,AL,39.166666666666664,NA
36610,Mobile County,AL,57.61904761904761,NA
36701,Dallas County,AL,56.07142857142857,NA
36854,Chambers County,AL,84.52380952380952,NA
99504,Anchorage Municipality,AK,21.19047619047619,NA
99516,Anchorage Municipality,AK,76.30952380952381,NA
99603,Kenai Peninsula Borough,AK,75.71428571428571,NA
85022,Maricopa County,AZ,19.404761904761905,NA
85086,Maricopa County,AZ,NA,76.08370702541106
85143,Pinal County,AZ,NA,72.49626307922273
85202,Maricopa County,AZ,NA,52.46636771300448
85208,Maricopa County,AZ,NA,74.58893871449925
85255,Maricopa County,AZ,45.714285714285715,NA
85308,Maricopa County,AZ,30.357142857142854,NA
85331,Maricopa County,AZ,50.357142857142854,NA
85365,Yuma County,AZ,NA,20.179372197309416
85374,Maricopa County,AZ,NA,17.638266068759343
85387,Maricopa County,AZ,NA,77.57847533632287
85718,Pima County,AZ,NA,19.581464872944693
86025,Navajo County,AZ,90.71428571428571,NA
86303,Yavapai County,AZ,NA,46.038863976083704
86323,Yavapai County,AZ,47.85714285714286,NA
86404,Mohave County,AZ,NA,82.95964125560538
72019,Saline County,AR,89.76190476190476,NA
72104,Hot Spring County,AR,NA,62.18236173393124
72150,Grant County,AR,NA,85.79970104633782
72173,Faulkner County,AR,86.07142857142858,NA
72209,Pulaski County,AR,48.80952380952381,NA
72210,Pulaski County,AR,88.92857142857142,NA
72401,Craighead County,AR,14.523809523809526,11.210762331838566
72450,Greene County,AR,NA,24.962630792227205
72653,Baxter County,AR,85,20.029895366218238
72714,Benton County,AR,NA,70.85201793721974
72758,Benton County,AR,54.761904761904766,NA
72802,Pope County,AR,72.5,NA
72837,Pope County,AR,86.30952380952381,NA
90001,Los Angeles County,CA,41.42857142857143,NA
90034,Los Angeles County,CA,NA,57.24962630792228
90043,Los Angeles County,CA,72.61904761904762,NA
90044,Los Angeles County,CA,NA,16.89088191330344
90057,Los Angeles County,CA,NA,23.467862481315397
90063,Los Angeles County,CA,NA,47.832585949177876
90066,Los Angeles County,CA,NA,69.05829596412556
90278,Los Angeles County,CA,NA,58.29596412556054
90505,Los Angeles County,CA,53.45238095238095,42.89985052316891
90601,Los Angeles County,CA,49.523809523809526,NA
90706,Los Angeles County,CA,23.452380952380953,NA
90715,Los Angeles County,CA,85.35714285714285,NA
90744,Los Angeles County,CA,54.4047619047619,NA
91016,Los Angeles County,CA,NA,59.49177877428998
91205,Los Angeles County,CA,65.95238095238095,NA
91206,Los Angeles County,CA,70.83333333333334,NA
91207,Los Angeles County,CA,99.76190476190476,NA
91326,Los Angeles County,CA,86.78571428571429,NA
91352,Los Angeles County,CA,NA,47.08520179372198
91362,Ventura County,CA,NA,76.5321375186846
91403,Los Angeles County,CA,77.97619047619048,NA
91406,Los Angeles County,CA,NA,41.106128550074736
91501,Los Angeles County,CA,NA,83.10911808669657
91505,Los Angeles County,CA,NA,80.11958146487295
91724,Los Angeles County,CA,NA,74.73841554559043
91739,San Bernardino County,CA,58.214285714285715,NA
91741,Los Angeles County,CA,77.85714285714286,NA
91790,Los Angeles County,CA,48.69047619047619,NA
91792,Los Angeles County,CA,63.8095238095238,83.85650224215246
91910,San Diego County,CA,23.809523809523807,32.13751868460389
92009,San Diego County,CA,61.42857142857143,NA
92057,San Diego County,CA,51.78571428571429,NA
92065,San Diego County,CA,44.761904761904766,NA
92084,San Diego County,CA,NA,65.17189835575485
92103,San Diego County,CA,40.833333333333336,NA
92110,San Diego County,CA,52.142857142857146,NA
92117,San Diego County,CA,NA,58.594917787742894
92126,San Diego County,CA,NA,34.97757847533632
92129,San Diego County,CA,82.02380952380952,53.064275037369214
92131,San Diego County,CA,67.61904761904762,NA
92225,Riverside County,CA,NA,94.31988041853513
92227,Imperial County,CA,36.547619047619044,NA
92234,Riverside County,CA,13.690476190476192,NA
92250,Imperial County,CA,90.11904761904762,NA
92253,Riverside County,CA,NA,9.417040358744394
92256,San Bernardino County,CA,99.64285714285714,NA
92262,Riverside County,CA,NA,10.612855007473842
92284,San Bernardino County,CA,24.642857142857146,NA
92335,San Bernardino County,CA,NA,14.499252615844544
92336,San Bernardino County,CA,9.285714285714286,15.54559043348281
92399,San Bernardino County,CA,NA,20.47832585949178
92503,Riverside County,CA,19.28571428571429,NA
92530,Riverside County,CA,63.45238095238095,NA
92592,Riverside County,CA,25.833333333333336,NA
92604,Orange County,CA,78.92857142857143,NA
92626,Orange County,CA,70.47619047619048,48.57997010463378
92627,Orange County,CA,19.88095238095238,NA
92649,Orange County,CA,50.95238095238095,NA
92657,Orange County,CA,96.19047619047619,NA
92660,Orange County,CA,55.952380952380956,NA
92675,Orange County,CA,60.952380952380956,NA
92677,Orange County,CA,61.66666666666667,NA
92688,Orange County,CA,32.261904761904766,NA
92805,Orange County,CA,54.52380952380952,NA
92808,Orange County,CA,75.11904761904762,NA
92835,Orange County,CA,78.69047619047619,NA
92841,Orange County,CA,94.88095238095238,NA
92870,Orange County,CA,32.142857142857146,NA
92880,Riverside County,CA,21.30952380952381,NA
93010,Ventura County,CA,29.761904761904763,NA
93021,Ventura County,CA,82.61904761904762,NA
93030,Ventura County,CA,16.666666666666664,NA
93063,Ventura County,CA,NA,25.26158445440957
93245,Kings County,CA,NA,72.04783258594918
93277,Tulare County,CA,23.92857142857143,NA
93306,Kern County,CA,NA,40.95665171898356
93311,Kern County,CA,83.80952380952381,NA
93534,Los Angeles County,CA,NA,40.20926756352765
93638,Madera County,CA,18.452380952380953,NA
93662,Fresno County,CA,80.95238095238095,NA
93933,Monterey County,CA,60.357142857142854,NA
93960,Monterey County,CA,NA,95.96412556053812
94015,San Mateo County,CA,39.04761904761905,NA
94022,Santa Clara County,CA,91.54761904761905,NA
94025,San Mateo County,CA,44.642857142857146,NA
94043,Santa Clara County,CA,NA,69.80568011958147
94044,San Mateo County,CA,48.214285714285715,NA
94062,San Mateo County,CA,NA,54.7085201793722
94070,San Mateo County,CA,NA,94.17040358744396
94080,San Mateo County,CA,NA,7.324364723467862
94109,San Francisco County,CA,NA,11.80866965620329
94110,San Francisco County,CA,12.142857142857142,NA
94112,San Francisco County,CA,NA,35.57548579970104
94118,San Francisco County,CA,51.3095238095238,NA
94121,San Francisco County,CA,68.33333333333333,NA
94123,San Francisco County,CA,58.57142857142858,NA
94403,San Mateo County,CA,47.26190476190476,NA
94539,Alameda County,CA,NA,96.8609865470852
94545,Alameda County,CA,NA,71.74887892376681
94563,Contra Costa County,CA,NA,80.71748878923766
94579,Alameda County,CA,NA,77.13004484304933
94589,Solano County,CA,NA,53.96113602391629
94591,Solano County,CA,61.07142857142858,NA
94598,Contra Costa County,CA,78.21428571428571,NA
94602,Alameda County,CA,77.97619047619048,NA
94619,Alameda County,CA,NA,62.03288490284006
94901,Marin County,CA,49.88095238095238,NA
94952,Sonoma County,CA,74.16666666666667,NA
95008,Santa Clara County,CA,60,NA
95122,Santa Clara County,CA,41.07142857142857,NA
95148,Santa Clara County,CA,NA,45.2914798206278
95304,San Joaquin County,CA,NA,97.90732436472346
95324,Merced County,CA,95.5952380952381,NA
95348,Merced County,CA,NA,67.2645739910314
95358,Stanislaus County,CA,NA,53.96113602391629
95403,Sonoma County,CA,NA,41.106128550074736
95678,Placer County,CA,NA,35.276532137518686
95709,El Dorado County,CA,NA,97.45889387144993
95762,El Dorado County,CA,45.95238095238095,NA
95828,Sacramento County,CA,NA,33.482810164424514
95829,Sacramento County,CA,73.33333333333333,NA
95949,Nevada County,CA,NA,55.00747384155456
80004,Jefferson County,CO,51.42857142857142,NA
80013,Arapahoe County,CO,9.166666666666666,22.57100149476831
80014,Arapahoe County,CO,NA,26.606875934230196
80020,Broomfield County,CO,39.64285714285714,NA
80023,Broomfield County,CO,NA,79.82062780269058
80123,Jefferson County,CO,42.857142857142854,NA
80126,Douglas County,CO,47.5,NA
80205,Denver County,CO,NA,36.02391629297459
80241,Adams County,CO,50.595238095238095,NA
80439,Jefferson County,CO,NA,55.4559043348281
80526,Larimer County,CO,32.38095238095238,35.42600896860987
80549,Larimer County,CO,85.95238095238096,NA
80550,Weld County,CO,27.023809523809522,NA
80602,Adams County,CO,41.54761904761905,NA
80915,El Paso County,CO,NA,78.62481315396114
80916,El Paso County,CO,65.35714285714286,NA
81419,Delta County,CO,98.80952380952381,NA
81620,Eagle County,CO,NA,99.85052316890882
81625,Moffat County,CO,NA,61.285500747384155
06002,Hartford County,CT,44.404761904761905,NA
06010,Hartford County,CT,1.4285714285714286,NA
06040,Hartford County,CT,NA,18.83408071748879
06051,Hartford County,CT,2.738095238095238,NA
06052,Hartford County,CT,77.14285714285715,NA
06066,Tolland County,CT,NA,17.937219730941703
06067,Hartford County,CT,64.88095238095238,NA
06078,Hartford County,CT,NA,88.04185351270553
06084,Tolland County,CT,NA,66.3677130044843
06108,Hartford County,CT,58.333333333333336,NA
06109,Hartford County,CT,59.166666666666664,58.445440956651716
06238,Tolland County,CT,93.33333333333333,NA
06416,Middlesex County,CT,67.97619047619048,NA
06422,Middlesex County,CT,82.85714285714286,NA
06424,Middlesex County,CT,75.23809523809524,82.36173393124065
06438,Middlesex County,CT,99.88095238095238,NA
06441,Middlesex County,CT,94.4047619047619,NA
06457,Middlesex County,CT,6.904761904761905,NA
06473,New Haven County,CT,NA,83.25859491778775
06478,New Haven County,CT,99.40476190476191,65.32137518684604
06479,Hartford County,CT,80.47619047619048,NA
06483,New Haven County,CT,NA,86.09865470852019
06513,New Haven County,CT,3.214285714285714,NA
06514,New Haven County,CT,63.57142857142857,NA
06606,Fairfield County,CT,17.38095238095238,NA
06608,Fairfield County,CT,59.64285714285714,NA
06776,Litchfield County,CT,26.190476190476193,NA
06790,Litchfield County,CT,NA,2.5411061285500747
06811,Fairfield County,CT,NA,27.95216741405082
06840,Fairfield County,CT,76.19047619047619,NA
06854,Fairfield County,CT,85.83333333333333,75.33632286995515
06878,Fairfield County,CT,97.5,NA
06880,Fairfield County,CT,75.59523809523809,NA
06883,Fairfield County,CT,95.95238095238095,NA
06897,Fairfield County,CT,73.80952380952381,77.42899850523169
06903,Fairfield County,CT,86.42857142857143,NA
19702,New Castle County,DE,15,NA
19711,New Castle County,DE,NA,10.46337817638266
19809,New Castle County,DE,55.35714285714286,NA
19904,Kent County,DE,NA,14.349775784753364
19962,Kent County,DE,NA,76.83109118086696
19977,Kent County,DE,NA,47.832585949177876
32011,Nassau County,FL,55.35714285714286,NA
32024,Columbia County,FL,57.85714285714286,NA
32034,Nassau County,FL,NA,9.267563527653214
32073,Clay County,FL,70.35714285714286,NA
32080,St. Johns County,FL,NA,61.43497757847533
32084,St. Johns County,FL,NA,65.02242152466367
32162,Sumter County,FL,NA,57.69805680119582
32210,Duval County,FL,20.11904761904762,NA
32218,Duval County,FL,NA,48.13153961136024
32225,Duval County,FL,NA,14.798206278026907
32246,Duval County,FL,41.19047619047619,NA
32258,Duval County,FL,50.71428571428571,NA
32259,St. Johns County,FL,39.404761904761905,39.76083707025411
32435,Walton County,FL,NA,74.43946188340807
32444,Bay County,FL,65.5952380952381,NA
32503,Escambia County,FL,20.357142857142858,NA
32504,Escambia County,FL,46.07142857142857,NA
32526,Escambia County,FL,NA,8.968609865470851
32534,Escambia County,FL,NA,49.47683109118087
32541,Okaloosa County,FL,62.857142857142854,40.80717488789238
32561,Santa Rosa County,FL,89.16666666666667,NA
32618,Alachua County,FL,75.83333333333333,NA
32653,Alachua County,FL,NA,39.31240657698057
32712,Orange County,FL,58.92857142857143,NA
32724,Volusia County,FL,NA,61.58445440956651
32751,Orange County,FL,68.45238095238095,NA
32757,Lake County,FL,NA,29.895366218236173
32801,Orange County,FL,NA,90.43348281016442
32812,Orange County,FL,31.9047619047619,NA
32819,Orange County,FL,66.9047619047619,NA
32837,Orange County,FL,20.476190476190474,NA
32967,Indian River County,FL,42.38095238095238,NA
33010,Miami-Dade County,FL,NA,43.19880418535127
33014,Miami-Dade County,FL,NA,72.6457399103139
33024,Broward County,FL,NA,23.916292974588938
33029,Broward County,FL,83.21428571428572,NA
33033,Miami-Dade County,FL,70.11904761904762,NA
33064,Broward County,FL,33.80952380952381,NA
33065,Broward County,FL,42.97619047619048,NA
33071,Broward County,FL,49.166666666666664,NA
33073,Broward County,FL,NA,78.1763826606876
33126,Miami-Dade County,FL,65,NA
33134,Miami-Dade County,FL,NA,57.847533632286996
33141,Miami-Dade County,FL,NA,37.66816143497758
33154,Miami-Dade County,FL,NA,80.4185351270553
33160,Miami-Dade County,FL,62.38095238095238,NA
33168,Miami-Dade County,FL,66.54761904761905,NA
33180,Miami-Dade County,FL,NA,48.28101644245142
33184,Miami-Dade County,FL,74.04761904761905,NA
33301,Broward County,FL,NA,69.20777279521674
33309,Broward County,FL,53.333333333333336,NA
33404,Palm Beach County,FL,33.33333333333333,50.97159940209267
33410,Palm Beach County,FL,46.42857142857143,NA
33411,Palm Beach County,FL,66.78571428571428,20.777279521674142
33414,Palm Beach County,FL,NA,44.39461883408072
33418,Palm Beach County,FL,49.404761904761905,NA
33428,Palm Beach County,FL,NA,57.100149476831085
33433,Palm Beach County,FL,NA,95.21674140508222
33446,Palm Beach County,FL,NA,68.16143497757847
33449,Palm Beach County,FL,NA,94.91778774289985
33461,Palm Beach County,FL,NA,85.05231689088191
33463,Palm Beach County,FL,NA,38.86397608370702
33467,Palm Beach County,FL,NA,24.663677130044842
33472,Palm Beach County,FL,NA,75.48579970104635
33544,Pasco County,FL,NA,84.30493273542601
33578,Hillsborough County,FL,30.714285714285715,NA
33610,Hillsborough County,FL,13.80952380952381,NA
33611,Hillsborough County,FL,NA,95.66517189835575
33619,Hillsborough County,FL,NA,40.50822122571002
33629,Hillsborough County,FL,68.21428571428572,81.61434977578476
33756,Pinellas County,FL,NA,74.14050822122572
33825,Highlands County,FL,NA,14.200298953662182
33830,Polk County,FL,93.0952380952381,NA
33870,Highlands County,FL,NA,29.446935724962632
33898,Polk County,FL,NA,70.85201793721974
33914,Lee County,FL,36.19047619047619,NA
33919,Lee County,FL,53.69047619047619,NA
33928,Lee County,FL,NA,33.18385650224215
34108,Collier County,FL,NA,59.19282511210763
34110,Collier County,FL,NA,55.75485799701047
34145,Collier County,FL,NA,46.63677130044843
34210,Manatee County,FL,85.71428571428571,NA
34229,Sarasota County,FL,NA,70.10463378176382
34275,Sarasota County,FL,73.45238095238096,NA
34293,Sarasota County,FL,43.452380952380956,NA
34461,Citrus County,FL,83.33333333333334,NA
34638,Pasco County,FL,88.80952380952381,NA
34667,Pasco County,FL,39.285714285714285,NA
34685,Pinellas County,FL,NA,76.98056801195816
34715,Lake County,FL,79.88095238095238,NA
34758,Osceola County,FL,21.666666666666668,NA
34786,Orange County,FL,52.023809523809526,NA
34952,St. Lucie County,FL,NA,8.669656203288492
34953,St. Lucie County,FL,NA,6.726457399103139
30012,Rockdale County,GA,NA,55.4559043348281
30033,DeKalb County,GA,NA,75.63527653213752
30041,Forsyth County,GA,25.476190476190474,NA
30043,Gwinnett County,GA,22.142857142857142,NA
30052,Walton County,GA,45.357142857142854,NA
30064,Cobb County,GA,57.26190476190476,NA
30083,DeKalb County,GA,NA,33.6322869955157
30092,Gwinnett County,GA,NA,65.47085201793722
30114,Cherokee County,GA,31.30952380952381,NA
30120,Bartow County,GA,NA,47.6831091180867
30134,Douglas County,GA,23.57142857142857,NA
30173,Floyd County,GA,87.14285714285714,NA
30179,Carroll County,GA,52.73809523809524,NA
30188,Cherokee County,GA,NA,71.898355754858
30223,Spalding County,GA,NA,38.56502242152467
30240,Troup County,GA,24.166666666666668,NA
30263,Coweta County,GA,NA,12.25710014947683
30305,Fulton County,GA,92.14285714285714,NA
30436,Toombs County,GA,NA,79.97010463378177
30442,Jenkins County,GA,76.42857142857142,NA
30501,Hall County,GA,61.07142857142858,NA
30523,Habersham County,GA,NA,91.92825112107623
30646,Madison County,GA,87.5,NA
30655,Walton County,GA,NA,30.493273542600896
30677,Oconee County,GA,96.42857142857143,NA
30707,Walker County,GA,70,NA
30735,Gordon County,GA,77.73809523809524,NA
30747,Chattooga County,GA,NA,67.41405082212258
30813,Columbia County,GA,28.69047619047619,NA
30814,Columbia County,GA,79.4047619047619,NA
30907,Columbia County,GA,54.166666666666664,NA
31008,Peach County,GA,NA,60.38863976083707
31032,Jones County,GA,NA,81.01644245142003
31061,Baldwin County,GA,NA,28.400597907324364
31069,Houston County,GA,NA,51.270553064275035
31216,Bibb County,GA,NA,86.24813153961136
31321,Bryan County,GA,NA,95.3662182361734
31324,Bryan County,GA,79.76190476190477,NA
31406,Chatham County,GA,NA,66.06875934230195
31516,Pierce County,GA,NA,71.30044843049326
31539,Jeff Davis County,GA,NA,89.8355754857997
31545,Wayne County,GA,69.4047619047619,NA
31557,Pierce County,GA,100,NA
31602,Lowndes County,GA,33.45238095238095,NA
31820,Muscogee County,GA,NA,85.949177877429
31822,Harris County,GA,96.78571428571429,NA
31906,Muscogee County,GA,NA,45.14200298953662
31907,Muscogee County,GA,NA,4.185351270553064
31909,Muscogee County,GA,NA,27.65321375186846
39819,Decatur County,GA,NA,80.86696562032884
96701,Honolulu County,HI,62.5,16.292974588938712
96753,Maui County,HI,76.54761904761904,NA
96792,Honolulu County,HI,11.785714285714285,23.766816143497756
96797,Honolulu County,HI,29.166666666666668,NA
96816,Honolulu County,HI,NA,15.695067264573993
96817,Honolulu County,HI,11.190476190476192,6.427503736920777
96822,Honolulu County,HI,NA,19.880418535127056
83642,Ada County,ID,44.52380952380952,NA
83686,Canyon County,ID,7.6190476190476195,NA
60002,Lake County,IL,NA,35.874439461883405
60013,McHenry County,IL,NA,36.771300448430495
60014,McHenry County,IL,NA,13.452914798206278
60031,Lake County,IL,43.69047619047619,NA
60045,Lake County,IL,NA,22.869955156950674
60046,Lake County,IL,34.166666666666664,NA
60047,Lake County,IL,33.214285714285715,NA
60073,Lake County,IL,15.476190476190476,NA
60077,Cook County,IL,NA,31.09118086696562
60087,Lake County,IL,65.23809523809524,NA
60091,Cook County,IL,67.02380952380952,NA
60102,McHenry County,IL,42.61904761904762,NA
60106,DuPage County,IL,58.0952380952381,NA
60123,Kane County,IL,20.714285714285715,NA
60126,DuPage County,IL,NA,3.7369207772795217
60134,Kane County,IL,71.66666666666667,NA
60136,Kane County,IL,92.97619047619048,NA
60139,DuPage County,IL,45.476190476190474,NA
60151,Kane County,IL,NA,99.55156950672645
60155,Cook County,IL,NA,65.6203288490284
60156,McHenry County,IL,64.52380952380953,NA
60177,Kane County,IL,53.57142857142857,NA
60189,DuPage County,IL,31.071428571428573,NA
60193,Cook County,IL,34.88095238095238,NA
60402,Cook County,IL,35.35714285714286,NA
60440,Will County,IL,47.976190476190474,69.65620328849027
60459,Cook County,IL,62.5,NA
60462,Cook County,IL,55.11904761904762,NA
60464,Cook County,IL,NA,65.91928251121077
60473,Cook County,IL,NA,53.064275037369214
60480,Cook County,IL,NA,95.06726457399103
60482,Cook County,IL,66.66666666666666,NA
60491,Will County,IL,64.76190476190476,NA
60502,DuPage County,IL,48.57142857142857,NA
60505,Kane County,IL,NA,76.68161434977578
60510,Kane County,IL,31.30952380952381,53.36322869955157
60525,Cook County,IL,22.5,NA
60527,DuPage County,IL,47.26190476190476,NA
60532,DuPage County,IL,NA,88.78923766816143
60540,DuPage County,IL,56.904761904761905,NA
60560,Kendall County,IL,38.57142857142858,NA
60564,Will County,IL,33.92857142857143,NA
60586,Will County,IL,40.11904761904762,NA
60608,Cook County,IL,NA,13.004484304932735
60619,Cook County,IL,NA,28.699551569506728
60620,Cook County,IL,NA,23.318385650224215
60622,Cook County,IL,32.73809523809524,NA
60629,Cook County,IL,5.357142857142857,26.905829596412556
60630,Cook County,IL,22.61904761904762,NA
60632,Cook County,IL,12.738095238095237,NA
60638,Cook County,IL,NA,38.714499252615845
60643,Cook County,IL,7.976190476190475,4.633781763826607
60647,Cook County,IL,7.142857142857142,NA
60655,Cook County,IL,NA,32.585949177877424
60804,Cook County,IL,47.73809523809524,NA
60914,Kankakee County,IL,29.642857142857142,NA
60942,Vermilion County,IL,90,NA
61068,Ogle County,IL,64.64285714285715,NA
61107,Winnebago County,IL,39.64285714285714,NA
61108,Winnebago County,IL,NA,24.2152466367713
61115,Winnebago County,IL,78.45238095238095,NA
61364,LaSalle County,IL,NA,58.14648729446936
61614,Peoria County,IL,71.19047619047619,NA
61802,Champaign County,IL,NA,32.28699551569507
61846,Vermilion County,IL,95.11904761904762,NA
62234,Madison County,IL,NA,47.384155455904335
62298,Monroe County,IL,80.71428571428572,NA
62521,Macon County,IL,NA,8.221225710014949
62522,Macon County,IL,NA,56.20328849028401
62568,Christian County,IL,NA,59.79073243647235
62650,Morgan County,IL,89.28571428571429,NA
46074,Hamilton County,IN,NA,63.37817638266069
46173,Rush County,IN,52.142857142857146,NA
46224,Marion County,IN,NA,53.81165919282511
46307,Lake County,IN,NA,1.6442451420029895
46311,Lake County,IN,29.04761904761905,NA
46312,Lake County,IN,15.595238095238095,NA
46514,Elkhart County,IN,NA,22.122571001494766
46538,Kosciusko County,IN,97.61904761904762,NA
46628,St. Joseph County,IN,45,NA
46703,Steuben County,IN,47.023809523809526,NA
46814,Allen County,IN,81.19047619047619,NA
46952,Grant County,IN,17.976190476190474,NA
47130,Clark County,IN,8.80952380952381,NA
47546,Dubois County,IN,NA,39.46188340807175
50208,Jasper County,IA,NA,67.56352765321375
50511,Kossuth County,IA,91.19047619047619,NA
51301,Clay County,IA,48.095238095238095,NA
51503,Pottawattamie County,IA,7.857142857142857,NA
52245,Johnson County,IA,NA,41.70403587443946
52803,Scott County,IA,NA,57.399103139013455
52804,Scott County,IA,NA,37.96711509715994
66204,Johnson County,KS,69.4047619047619,NA
66208,Johnson County,KS,82.5,NA
66224,Johnson County,KS,NA,87.29446935724962
66749,Allen County,KS,73.69047619047619,NA
67042,Butler County,KS,NA,87.74289985052317
67601,Ellis County,KS,NA,17.48878923766816
67871,Scott County,KS,NA,68.46038863976084
40047,Bullitt County,KY,26.904761904761905,NA
40071,Spencer County,KY,50.11904761904762,NA
40108,Meade County,KY,88.45238095238095,NA
40150,Bullitt County,KY,91.78571428571428,NA
40213,Jefferson County,KY,63.69047619047619,NA
40243,Jefferson County,KY,NA,94.61883408071749
40258,Jefferson County,KY,21.785714285714285,NA
40272,Jefferson County,KY,12.857142857142856,NA
40299,Jefferson County,KY,NA,22.421524663677133
40422,Boyle County,KY,43.333333333333336,NA
40475,Madison County,KY,7.261904761904763,NA
40508,Fayette County,KY,29.88095238095238,NA
40965,Bell County,KY,55.595238095238095,NA
41011,Kenton County,KY,13.452380952380953,NA
41056,Mason County,KY,NA,66.81614349775785
41071,Campbell County,KY,24.761904761904763,NA
41143,Carter County,KY,NA,53.51270553064275
41230,Lawrence County,KY,NA,46.78624813153961
42066,Graves County,KY,NA,20.62780269058296
42202,Logan County,KY,99.04761904761905,NA
42261,Butler County,KY,NA,89.0881913303438
42757,Hart County,KY,99.52380952380952,NA
70043,St. Bernard Parish,LA,14.404761904761903,NA
70062,Jefferson Parish,LA,NA,31.390134529147986
70346,Ascension Parish,LA,42.142857142857146,NA
70360,Terrebonne Parish,LA,10.357142857142858,27.204783258594915
70420,St. Tammany Parish,LA,NA,72.19730941704036
