ZipCode,county,state,Youth
35045,Chilton County,AL,42.16216216216216
35146,St. Clair County,AL,96.75675675675676
35171,Chilton County,AL,99.45945945945947
35173,Jefferson County,AL,35.4054054054054
35188,Bibb County,AL,95.94594594594594
35406,Tuscaloosa County,AL,77.02702702702703
35758,Madison County,AL,50.27027027027027
35803,Madison County,AL,90.81081081081082
35986,DeKalb County,AL,57.027027027027025
36107,Montgomery County,AL,93.51351351351352
36303,Houston County,AL,43.513513513513516
36320,Houston County,AL,93.51351351351352
36426,Escambia County,AL,48.64864864864865
36445,Monroe County,AL,95.67567567567568
99504,Anchorage Municipality,AK,8.64864864864865
99518,Anchorage Municipality,AK,77.83783783783784
99645,Matanuska-Susitna Borough,AK,11.621621621621623
85354,Maricopa County,AZ,98.91891891891892
85379,Maricopa County,AZ,22.972972972972975
85501,Gila County,AZ,48.64864864864865
86001,Coconino County,AZ,15.405405405405407
86045,Coconino County,AZ,63.78378378378379
72113,Pulaski County,AR,36.21621621621622
72120,Pulaski County,AR,77.56756756756756
72150,Grant County,AR,79.72972972972973
72211,Pulaski County,AR,41.891891891891895
72212,Pulaski County,AR,60.27027027027027
72455,Randolph County,AR,74.05405405405405
90004,Los Angeles County,CA,80
90012,Los Angeles County,CA,92.16216216216216
90022,Los Angeles County,CA,62.972972972972975
90042,Los Angeles County,CA,46.48648648648649
90045,Los Angeles County,CA,65.4054054054054
90047,Los Angeles County,CA,82.16216216216216
90254,Los Angeles County,CA,61.891891891891895
90602,Los Angeles County,CA,20.54054054054054
90807,Los Angeles County,CA,63.24324324324324
91306,Los Angeles County,CA,61.62162162162163
91355,Los Angeles County,CA,45.67567567567568
91504,Los Angeles County,CA,88.91891891891892
91740,Los Angeles County,CA,87.83783783783784
91765,Los Angeles County,CA,86.75675675675676
92057,San Diego County,CA,37.83783783783784
92117,San Diego County,CA,57.83783783783784
92130,San Diego County,CA,81.62162162162161
92335,San Bernardino County,CA,8.64864864864865
92505,Riverside County,CA,71.08108108108108
92592,Riverside County,CA,9.72972972972973
92595,Riverside County,CA,32.7027027027027
92602,Orange County,CA,51.35135135135135
92704,Orange County,CA,19.18918918918919
92805,Orange County,CA,80.27027027027027
93219,Tulare County,CA,78.37837837837837
93274,Tulare County,CA,39.189189189189186
93446,San Luis Obispo County,CA,78.64864864864865
93455,Santa Barbara County,CA,31.62162162162162
93611,Fresno County,CA,54.32432432432432
93703,Fresno County,CA,21.08108108108108
93706,Fresno County,CA,68.91891891891892
93722,Fresno County,CA,1.6216216216216217
94502,Alameda County,CA,83.24324324324324
94534,Solano County,CA,73.51351351351352
95301,Merced County,CA,29.18918918918919
95337,San Joaquin County,CA,61.35135135135135
95376,San Joaquin County,CA,84.05405405405405
95407,Sonoma County,CA,50.810810810810814
95632,Sacramento County,CA,67.29729729729729
95678,Placer County,CA,48.37837837837838
95746,Placer County,CA,93.24324324324324
95776,Yolo County,CA,54.32432432432432
95828,Sacramento County,CA,90.27027027027027
80015,Arapahoe County,CO,4.054054054054054
80017,Arapahoe County,CO,36.75675675675676
80026,Boulder County,CO,18.10810810810811
80204,Denver County,CO,44.054054054054056
80226,Jefferson County,CO,56.486486486486484
80439,Jefferson County,CO,53.783783783783775
80528,Larimer County,CO,95.4054054054054
80615,Weld County,CO,66.75675675675676
80817,El Paso County,CO,72.16216216216216
06443,New Haven County,CT,60.27027027027027
19702,New Castle County,DE,71.35135135135135
19709,New Castle County,DE,12.972972972972974
32097,Nassau County,FL,85.94594594594595
32259,St. Johns County,FL,23.783783783783786
32904,Brevard County,FL,68.91891891891892
32934,Brevard County,FL,72.70270270270271
33410,Palm Beach County,FL,84.5945945945946
33617,Hillsborough County,FL,8.378378378378379
33701,Pinellas County,FL,67.02702702702703
34286,Sarasota County,FL,44.5945945945946
34787,Orange County,FL,21.62162162162162
30016,Newton County,GA,45.94594594594595
30028,Forsyth County,GA,59.189189189189186
30040,Forsyth County,GA,25.405405405405407
30064,Cobb County,GA,37.567567567567565
30115,Cherokee County,GA,37.83783783783784
30135,Douglas County,GA,5.9459459459459465
30548,Jackson County,GA,74.86486486486487
30701,Gordon County,GA,14.864864864864865
30721,Whitfield County,GA,24.864864864864867
30736,Catoosa County,GA,11.891891891891893
31601,Lowndes County,GA,19.72972972972973
31808,Harris County,GA,83.51351351351352
96740,Hawaii County,HI,81.89189189189189
96797,Honolulu County,HI,10
96818,Honolulu County,HI,47.02702702702703
60047,Lake County,IL,76.21621621621621
60056,Cook County,IL,18.37837837837838
60077,Cook County,IL,11.351351351351353
60101,DuPage County,IL,81.08108108108108
60102,McHenry County,IL,97.56756756756756
60526,Cook County,IL,17.56756756756757
60554,Kane County,IL,95.13513513513514
60614,Cook County,IL,51.08108108108108
60657,Cook County,IL,30.54054054054054
60914,Kankakee County,IL,49.18918918918919
61101,Winnebago County,IL,89.72972972972974
46040,Hancock County,IN,99.1891891891892
46077,Boone County,IN,59.189189189189186
46151,Morgan County,IN,80.54054054054053
46218,Marion County,IN,5.135135135135135
46350,LaPorte County,IN,6.216216216216217
46804,Allen County,IN,40.54054054054054
47025,Dearborn County,IN,27.027027027027028
47274,Jackson County,IN,18.91891891891892
47933,Montgomery County,IN,68.37837837837839
47987,Fountain County,IN,85.13513513513513
50317,Polk County,IA,79.45945945945945
66762,Crawford County,KS,50.54054054054053
67665,Russell County,KS,62.43243243243243
40220,Jefferson County,KY,27.297297297297295
42003,McCracken County,KY,37.027027027027025
70115,Orleans Parish,LA,17.2972972972973
70117,Orleans Parish,LA,1.0810810810810811
70128,Orleans Parish,LA,10.54054054054054
70392,St. Mary Parish,LA,56.21621621621622
70810,East Baton Rouge Parish,LA,5.405405405405405
71106,Caddo Parish,LA,2.1621621621621623
04457,Penobscot County,ME,97.2972972972973
20816,Montgomery County,MD,63.51351351351351
21037,Anne Arundel County,MD,58.648648648648646
21050,Harford County,MD,79.1891891891892
21210,Baltimore city,MD,87.29729729729729
21784,Carroll County,MD,24.594594594594597
01085,Hampden County,MA,20.81081081081081
01109,Hampden County,MA,51.891891891891895
01510,Worcester County,MA,32.972972972972975
01569,Worcester County,MA,32.16216216216216
01749,Middlesex County,MA,70
01801,Middlesex County,MA,9.45945945945946
01940,Essex County,MA,56.75675675675676
01952,Essex County,MA,94.5945945945946
02169,Norfolk County,MA,4.594594594594595
02176,Middlesex County,MA,47.83783783783784
48059,St. Clair County,MI,94.05405405405406
48141,Wayne County,MI,73.24324324324324
48170,Wayne County,MI,17.027027027027028
48182,Monroe County,MI,55.4054054054054
48192,Wayne County,MI,40.27027027027027
48353,Livingston County,MI,82.43243243243244
48375,Oakland County,MI,53.24324324324324
48383,Oakland County,MI,72.70270270270271
48603,Saginaw County,MI,4.864864864864865
48840,Ingham County,MI,70.8108108108108
49202,Jackson County,MI,29.45945945945946
49221,Lenawee County,MI,78.91891891891892
49546,Kent County,MI,41.351351351351354
49807,Delta County,MI,90.81081081081082
55104,Ramsey County,MN,22.432432432432435
55359,Hennepin County,MN,88.10810810810811
55372,Scott County,MN,16.486486486486488
55398,Sherburne County,MN,53.783783783783775
55411,Hennepin County,MN,0.5405405405405406
55413,Hennepin County,MN,53.24324324324324
55418,Hennepin County,MN,67.56756756756756
55423,Hennepin County,MN,86.21621621621621
55917,Steele County,MN,95.94594594594594
56378,Stearns County,MN,75.94594594594595
56479,Todd County,MN,74.5945945945946
56586,Otter Tail County,MN,99.72972972972973
38654,DeSoto County,MS,16.216216216216218
39073,Rankin County,MS,82.70270270270271
39206,Hinds County,MS,33.513513513513516
63005,St. Louis County,MO,59.189189189189186
63028,Jefferson County,MO,25.135135135135133
63138,St. Louis County,MO,41.62162162162162
64015,Jackson County,MO,21.891891891891895
64062,Ray County,MO,52.43243243243243
64081,Jackson County,MO,27.837837837837835
64746,Cass County,MO,98.64864864864865
68850,Dawson County,NE,72.16216216216216
07936,Morris County,NJ,84.86486486486487
08012,Camden County,NJ,32.432432432432435
08226,Cape May County,NJ,76.48648648648648
08322,Gloucester County,NJ,65.94594594594595
08360,Cumberland County,NJ,88.64864864864866
08882,Middlesex County,NJ,88.91891891891892
87401,San Juan County,NM,91.62162162162161
87544,Los Alamos County,NM,92.97297297297298
88012,Doa Ana County,NM,28.37837837837838
12184,Columbia County,NY,38.648648648648646
12822,Saratoga County,NY,65.13513513513513
13021,Cayuga County,NY,3.2432432432432434
13158,Cortland County,NY,91.35135135135135
13203,Onondaga County,NY,33.24324324324324
13326,Otsego County,NY,57.83783783783784
13327,Lewis County,NY,87.56756756756758
13365,Herkimer County,NY,25.945945945945947
13413,Oneida County,NY,40
14221,Erie County,NY,12.162162162162163
14624,Monroe County,NY,1.3513513513513513
14882,Tompkins County,NY,70.54054054054055
14886,Tompkins County,NY,46.21621621621622
27018,Yadkin County,NC,90
27278,Orange County,NC,67.83783783783784
27518,Wake County,NC,88.91891891891892
27526,Wake County,NC,69.45945945945947
27704,Durham County,NC,3.5135135135135136
27909,Pasquotank County,NC,58.91891891891892
27958,Currituck County,NC,71.62162162162163
28376,Hoke County,NC,15.945945945945947
28398,Duplin County,NC,74.86486486486487
28602,Catawba County,NC,60
28732,Henderson County,NC,38.91891891891892
28791,Henderson County,NC,49.72972972972973
43105,Fairfield County,OH,73.51351351351352
43204,Franklin County,OH,62.16216216216216
43537,Lucas County,OH,39.729729729729726
43560,Lucas County,OH,2.9729729729729732
