ZipCode,county,state,Adult,Retirement,Geriatric
35022,Jefferson County,AL,NA,55.40796963946869,NA
35023,Jefferson County,AL,NA,16.318785578747626,NA
35127,Jefferson County,AL,NA,62.808349146110054,NA
35209,Jefferson County,AL,NA,71.15749525616698,NA
35214,Jefferson County,AL,NA,77.41935483870968,NA
35217,Jefferson County,AL,NA,NA,92.98642533936652
35601,Morgan County,AL,NA,16.698292220113853,NA
35951,Marshall County,AL,67.15867158671587,NA,NA
35976,Marshall County,AL,NA,39.27893738140417,NA
36067,Autauga County,AL,39.11439114391143,NA,NA
36089,Bullock County,AL,NA,90.5123339658444,NA
36108,Montgomery County,AL,46.494464944649444,NA,NA
36110,Montgomery County,AL,59.40959409594095,NA,NA
36535,Baldwin County,AL,NA,NA,31.90045248868778
99501,Anchorage Municipality,AK,25.092250922509223,NA,NA
85019,Maricopa County,AZ,NA,75.33206831119544,NA
85022,Maricopa County,AZ,NA,32.82732447817837,NA
85128,Pinal County,AZ,NA,86.52751423149905,NA
85260,Maricopa County,AZ,NA,NA,21.945701357466064
85297,Maricopa County,AZ,NA,NA,95.47511312217195
85306,Maricopa County,AZ,NA,86.90702087286527,NA
85350,Yuma County,AZ,81.91881918819189,NA,NA
85374,Maricopa County,AZ,NA,20.872865275142317,NA
85614,Pima County,AZ,88.56088560885608,NA,NA
85704,Pima County,AZ,NA,34.34535104364326,NA
85706,Pima County,AZ,4.059040590405904,NA,NA
85712,Pima County,AZ,NA,47.6280834914611,NA
85730,Pima County,AZ,NA,NA,51.35746606334841
85749,Pima County,AZ,NA,40.98671726755218,NA
86323,Yavapai County,AZ,94.8339483394834,NA,NA
86326,Yavapai County,AZ,NA,25.047438330170777,NA
71653,Chicot County,AR,NA,96.7741935483871,NA
71753,Columbia County,AR,NA,90.89184060721063,NA
71901,Garland County,AR,NA,47.43833017077799,NA
72210,Pulaski County,AR,87.82287822878229,99.24098671726756,NA
72601,Boone County,AR,NA,36.43263757115749,91.4027149321267
72653,Baxter County,AR,NA,NA,9.95475113122172
72687,Marion County,AR,NA,NA,96.60633484162896
72756,Benton County,AR,NA,NA,63.80090497737556
72762,Washington County,AR,NA,63.37760910815939,NA
72823,Pope County,AR,90.7749077490775,NA,NA
72855,Logan County,AR,NA,NA,94.57013574660633
72916,Sebastian County,AR,NA,95.82542694497154,NA
90007,Los Angeles County,CA,31.365313653136536,NA,NA
90011,Los Angeles County,CA,NA,47.81783681214421,NA
90059,Los Angeles County,CA,NA,NA,68.32579185520362
90067,Los Angeles County,CA,NA,NA,76.2443438914027
90212,Los Angeles County,CA,NA,NA,67.64705882352942
90292,Los Angeles County,CA,NA,NA,42.30769230769231
90621,Orange County,CA,NA,87.85578747628084,NA
90720,Orange County,CA,NA,NA,95.24886877828054
90731,Los Angeles County,CA,NA,NA,81.44796380090497
90813,Los Angeles County,CA,82.65682656826569,NA,NA
91202,Los Angeles County,CA,NA,72.29601518026566,NA
91304,Los Angeles County,CA,NA,NA,16.063348416289593
91351,Los Angeles County,CA,NA,78.93738140417457,NA
91355,Los Angeles County,CA,NA,NA,65.83710407239819
91381,Los Angeles County,CA,75.64575645756457,NA,NA
91505,Los Angeles County,CA,NA,81.78368121442125,NA
91702,Los Angeles County,CA,NA,NA,54.52488687782805
91741,Los Angeles County,CA,NA,55.02846299810247,NA
91748,Los Angeles County,CA,NA,NA,32.80542986425339
91752,Riverside County,CA,NA,67.74193548387096,NA
91762,San Bernardino County,CA,NA,51.423149905123346,NA
91784,San Bernardino County,CA,NA,50.664136622390885,NA
91786,San Bernardino County,CA,NA,NA,41.17647058823529
92083,San Diego County,CA,NA,70.20872865275142,NA
92220,Riverside County,CA,NA,NA,24.43438914027149
92234,Riverside County,CA,NA,3.795066413662239,NA
92250,Imperial County,CA,NA,NA,86.42533936651584
92284,San Bernardino County,CA,NA,31.119544592030362,NA
92308,San Bernardino County,CA,NA,NA,42.98642533936652
92344,San Bernardino County,CA,NA,NA,93.89140271493213
92354,San Bernardino County,CA,NA,NA,59.502262443438916
92408,San Bernardino County,CA,90.03690036900369,NA,NA
92544,Riverside County,CA,NA,50.284629981024665,NA
92553,Riverside County,CA,NA,44.78178368121442,NA
92587,Riverside County,CA,NA,NA,79.18552036199095
92626,Orange County,CA,47.601476014760145,NA,NA
92660,Orange County,CA,NA,43.07400379506641,NA
92663,Orange County,CA,NA,82.92220113851992,NA
92802,Orange County,CA,NA,79.88614800759012,NA
92805,Orange County,CA,NA,45.54079696394687,NA
92821,Orange County,CA,NA,NA,29.185520361990953
92840,Orange County,CA,NA,76.280834914611,62.44343891402715
92868,Orange County,CA,66.78966789667896,NA,NA
92886,Orange County,CA,NA,NA,22.850678733031675
93004,Ventura County,CA,NA,NA,54.07239819004525
93023,Ventura County,CA,NA,NA,55.203619909502265
93036,Ventura County,CA,NA,53.510436432637576,NA
93065,Ventura County,CA,50.55350553505535,NA,17.420814479638008
93241,Kern County,CA,NA,NA,98.64253393665159
93428,San Luis Obispo County,CA,NA,NA,86.87782805429865
93436,Santa Barbara County,CA,NA,17.4573055028463,NA
93702,Fresno County,CA,NA,38.33017077798861,NA
93710,Fresno County,CA,NA,NA,46.60633484162896
93720,Fresno County,CA,NA,29.98102466793169,NA
93726,Fresno County,CA,NA,96.9639468690702,NA
94014,San Mateo County,CA,NA,NA,9.728506787330318
