ZipCode,county,state,Youth,Adult
35210,Jefferson County,AL,NA,71.7948717948718
35640,Morgan County,AL,22.023809523809522,NA
35906,Etowah County,AL,NA,87.82051282051282
36251,Clay County,AL,88.69047619047619,NA
36530,Baldwin County,AL,99.10714285714286,NA
99502,Anchorage Municipality,AK,NA,80.44871794871796
99603,Kenai Peninsula Borough,AK,66.66666666666666,NA
99611,Kenai Peninsula Borough,AK,NA,72.11538461538461
85008,Maricopa County,AZ,8.035714285714286,NA
85037,Maricopa County,AZ,43.154761904761905,NA
85041,Maricopa County,AZ,NA,10.576923076923077
85043,Maricopa County,AZ,77.97619047619048,NA
85382,Maricopa County,AZ,52.083333333333336,NA
85388,Maricopa County,AZ,43.154761904761905,NA
85714,Pima County,AZ,NA,33.65384615384615
86327,Yavapai County,AZ,NA,91.02564102564102
71852,Howard County,AR,80.95238095238095,NA
72301,Crittenden County,AR,59.226190476190474,NA
90001,Los Angeles County,CA,36.607142857142854,NA
90056,Los Angeles County,CA,94.34523809523809,NA
90706,Los Angeles County,CA,38.095238095238095,NA
91326,Los Angeles County,CA,69.34523809523809,NA
91360,Ventura County,CA,NA,63.78205128205128
91711,Los Angeles County,CA,NA,82.37179487179486
91744,Los Angeles County,CA,21.13095238095238,NA
91761,San Bernardino County,CA,NA,83.33333333333334
91910,San Diego County,CA,30.654761904761905,NA
91911,San Diego County,CA,NA,24.358974358974358
91932,San Diego County,CA,58.03571428571429,NA
92056,San Diego County,CA,NA,55.12820512820513
92104,San Diego County,CA,NA,27.564102564102566
92311,San Bernardino County,CA,72.61904761904762,NA
92394,San Bernardino County,CA,75.59523809523809,NA
92509,Riverside County,CA,15.178571428571427,NA
92555,Riverside County,CA,NA,59.93589743589743
92691,Orange County,CA,NA,52.88461538461539
92883,Riverside County,CA,76.78571428571429,NA
93212,Kings County,CA,NA,87.17948717948718
93257,Tulare County,CA,NA,14.102564102564102
93277,Tulare County,CA,NA,25
93291,Tulare County,CA,33.035714285714285,22.756410256410255
93313,Kern County,CA,NA,53.205128205128204
93454,Santa Barbara County,CA,NA,31.41025641025641
93534,Los Angeles County,CA,38.98809523809524,NA
93637,Madera County,CA,52.976190476190474,NA
93647,Tulare County,CA,NA,97.75641025641025
93703,Fresno County,CA,26.488095238095237,NA
93704,Fresno County,CA,55.05952380952381,NA
93722,Fresno County,CA,2.6785714285714284,NA
93901,Monterey County,CA,NA,54.807692307692314
93933,Monterey County,CA,NA,66.34615384615384
94062,San Mateo County,CA,NA,56.41025641025641
94108,San Francisco County,CA,NA,85.8974358974359
94115,San Francisco County,CA,68.15476190476191,NA
94501,Alameda County,CA,NA,38.782051282051285
94518,Contra Costa County,CA,NA,91.98717948717949
94520,Contra Costa County,CA,42.26190476190476,NA
94536,Alameda County,CA,NA,32.69230769230769
94577,Alameda County,CA,25.595238095238095,70.83333333333334
94605,Alameda County,CA,NA,24.679487179487182
94803,Contra Costa County,CA,71.13095238095238,NA
95136,Santa Clara County,CA,53.86904761904761,NA
95407,Sonoma County,CA,34.523809523809526,NA
95422,Lake County,CA,NA,60.89743589743589
95457,Lake County,CA,88.39285714285714,NA
95603,Placer County,CA,NA,68.91025641025641
95821,Sacramento County,CA,69.64285714285714,43.58974358974359
95822,Sacramento County,CA,NA,40.06410256410257
95901,Yuba County,CA,28.273809523809522,24.03846153846154
95965,Butte County,CA,NA,20.192307692307693
96003,Shasta County,CA,NA,45.19230769230769
96021,Tehama County,CA,56.845238095238095,NA
80004,Jefferson County,CO,NA,95.51282051282051
80013,Arapahoe County,CO,NA,11.858974358974358
80015,Arapahoe County,CO,NA,19.871794871794872
80021,Jefferson County,CO,30.952380952380953,61.21794871794872
80022,Adams County,CO,NA,19.230769230769234
80027,Boulder County,CO,NA,61.53846153846154
80033,Jefferson County,CO,NA,50.641025641025635
80108,Douglas County,CO,NA,49.67948717948718
80120,Arapahoe County,CO,44.642857142857146,NA
80123,Jefferson County,CO,NA,48.3974358974359
80126,Douglas County,CO,NA,52.56410256410257
80214,Jefferson County,CO,29.761904761904763,NA
80215,Jefferson County,CO,NA,66.66666666666666
80224,Denver County,CO,NA,63.141025641025635
80226,Jefferson County,CO,NA,49.03846153846153
80231,Denver County,CO,NA,39.1025641025641
80232,Jefferson County,CO,61.30952380952381,NA
80241,Adams County,CO,40.476190476190474,NA
80465,Jefferson County,CO,78.86904761904762,NA
80501,Boulder County,CO,27.380952380952383,NA
80516,Weld County,CO,NA,86.21794871794873
80525,Larimer County,CO,15.476190476190476,NA
80526,Larimer County,CO,22.916666666666664,NA
80601,Adams County,CO,NA,34.294871794871796
80909,El Paso County,CO,33.63095238095239,NA
80911,El Paso County,CO,NA,41.66666666666667
80920,El Paso County,CO,41.66666666666667,NA
81003,Pueblo County,CO,NA,68.58974358974359
81501,Mesa County,CO,68.15476190476191,NA
81503,Mesa County,CO,50.89285714285714,NA
06412,Middlesex County,CT,99.70238095238095,NA
06418,New Haven County,CT,NA,88.46153846153845
06443,New Haven County,CT,63.095238095238095,NA
06450,New Haven County,CT,NA,7.371794871794872
06611,Fairfield County,CT,NA,78.2051282051282
32117,Volusia County,FL,NA,33.97435897435898
32131,Putnam County,FL,NA,96.15384615384616
32208,Duval County,FL,69.04761904761905,NA
32259,St. Johns County,FL,87.79761904761905,NA
32757,Lake County,FL,NA,57.692307692307686
32778,Lake County,FL,99.40476190476191,NA
32792,Orange County,FL,26.190476190476193,95.83333333333334
32796,Brevard County,FL,84.22619047619048,89.1025641025641
32807,Orange County,FL,11.011904761904761,NA
32808,Orange County,FL,4.166666666666666,NA
32818,Orange County,FL,41.36904761904761,NA
32828,Orange County,FL,46.42857142857143,NA
32922,Brevard County,FL,49.404761904761905,NA
32958,Indian River County,FL,NA,70.1923076923077
33134,Miami-Dade County,FL,85.11904761904762,NA
33435,Palm Beach County,FL,46.13095238095239,NA
33544,Pasco County,FL,79.16666666666666,NA
33609,Hillsborough County,FL,95.83333333333334,NA
