ZipCode,county,state,Retirement,Geriatric
35058,Cullman County,AL,81.5,NA
35674,Colbert County,AL,NA,70.95238095238095
36303,Houston County,AL,NA,54.761904761904766
36618,Mobile County,AL,90.5,NA
99835,Sitka City and Borough,AK,NA,90.95238095238095
85008,Maricopa County,AZ,29.5,NA
85206,Maricopa County,AZ,35,NA
85250,Maricopa County,AZ,92.5,NA
85367,Yuma County,AZ,NA,18.571428571428573
85937,Navajo County,AZ,NA,89.52380952380953
86045,Coconino County,AZ,NA,50.476190476190474
86301,Yavapai County,AZ,NA,24.285714285714285
86503,Apache County,AZ,NA,77.61904761904762
90266,Los Angeles County,CA,54.50000000000001,NA
90650,Los Angeles County,CA,14.499999999999998,NA
90713,Los Angeles County,CA,59,NA
91007,Los Angeles County,CA,NA,50
91040,Los Angeles County,CA,69.5,NA
91107,Los Angeles County,CA,54,NA
91316,Los Angeles County,CA,58.5,NA
91387,Los Angeles County,CA,42,NA
91745,Los Angeles County,CA,48.5,NA
91910,San Diego County,CA,34.5,NA
91935,San Diego County,CA,98,NA
92009,San Diego County,CA,45,NA
92037,San Diego County,CA,55.50000000000001,NA
92101,San Diego County,CA,NA,41.904761904761905
92114,San Diego County,CA,NA,35.23809523809524
92126,San Diego County,CA,37,NA
92335,San Bernardino County,CA,15.5,NA
92376,San Bernardino County,CA,17,56.666666666666664
92399,San Bernardino County,CA,24,NA
92504,Riverside County,CA,NA,90
92625,Orange County,CA,NA,79.52380952380952
92637,Orange County,CA,NA,7.6190476190476195
92677,Orange County,CA,79,NA
93111,Santa Barbara County,CA,NA,69.04761904761905
93291,Tulare County,CA,38.5,NA
93551,Los Angeles County,CA,88.5,NA
93705,Fresno County,CA,46.5,NA
93726,Fresno County,CA,NA,59.523809523809526
94044,San Mateo County,CA,NA,44.285714285714285
94116,San Francisco County,CA,NA,68.57142857142857
94526,Contra Costa County,CA,NA,47.14285714285714
94706,Alameda County,CA,90,93.80952380952381
94709,Alameda County,CA,NA,88.09523809523809
94903,Marin County,CA,57.49999999999999,NA
94947,Marin County,CA,53.5,NA
95014,Santa Clara County,CA,64,NA
95037,Santa Clara County,CA,NA,38.095238095238095
95060,Santa Cruz County,CA,86,NA
95148,Santa Clara County,CA,NA,61.904761904761905
95252,Calaveras County,CA,74,NA
95355,Stanislaus County,CA,NA,30.476190476190478
95624,Sacramento County,CA,30.5,NA
95667,El Dorado County,CA,NA,4.285714285714286
95945,Nevada County,CA,40,NA
80010,Arapahoe County,CO,47.5,NA
80016,Arapahoe County,CO,20.5,NA
80218,Denver County,CO,NA,88.57142857142857
80219,Denver County,CO,25.5,NA
80504,Boulder County,CO,NA,73.33333333333333
80904,El Paso County,CO,65.5,NA
32043,Clay County,FL,NA,53.80952380952381
32162,Sumter County,FL,57.99999999999999,NA
32211,Duval County,FL,46,NA
32514,Escambia County,FL,NA,16.19047619047619
32526,Escambia County,FL,8.5,NA
32606,Alachua County,FL,NA,30
32746,Seminole County,FL,44.5,NA
33068,Broward County,FL,56.99999999999999,NA
33134,Miami-Dade County,FL,NA,37.142857142857146
33139,Miami-Dade County,FL,NA,19.523809523809526
