fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,66.92644909887969
01003,Baldwin County,AL,NA,14.12566975158305
01007,Bibb County,AL,NA,93.86264003896736
01009,Blount County,AL,96.82352941176471,40.818314661471014
01013,Butler County,AL,NA,95.85971748660496
01015,Calhoun County,AL,NA,41.20798830979055
01017,Chambers County,AL,68.94117647058823,32.976132489040424
01019,Cherokee County,AL,82.47058823529412,42.766682903068684
01021,Chilton County,AL,NA,90.842669264491
01027,Clay County,AL,NA,34.38869946419874
01031,Coffee County,AL,NA,50.94982951777885
01033,Colbert County,AL,NA,21.237213833414515
01043,Cullman County,AL,30.941176470588232,71.55382367267413
01045,Dale County,AL,82,65.07549926936191
01047,Dallas County,AL,NA,20.36044812469557
01049,DeKalb County,AL,NA,35.1680467608378
01051,Elmore County,AL,NA,31.660983925962004
01053,Escambia County,AL,NA,1.412566975158305
01055,Etowah County,AL,10.588235294117647,23.721383341451535
01057,Fayette County,AL,74.94117647058823,30.832927423283003
01059,Franklin County,AL,NA,71.01802240623478
01061,Geneva County,AL,NA,42.71797369702874
01067,Henry County,AL,89.52941176470588,97.46712128592304
01069,Houston County,AL,62,55.77204091573308
01073,Jefferson County,AL,78.11764705882352,53.72625426205553
01075,Lamar County,AL,62.23529411764706,38.139308329274236
01077,Lauderdale County,AL,67.64705882352942,7.014125669751584
01079,Lawrence County,AL,NA,3.068679980516318
01081,Lee County,AL,50.588235294117645,38.23672674135412
01083,Limestone County,AL,10.23529411764706,82.80565026790063
01089,Madison County,AL,66.3529411764706,34.680954700438384
01093,Marion County,AL,72,76.22990745250853
01095,Marshall County,AL,58.82352941176471,13.151485630784219
01097,Mobile County,AL,NA,36.921578178275695
01099,Monroe County,AL,NA,96.4929371651242
01101,Montgomery County,AL,4.588235294117647,40.37993180711155
01103,Morgan County,AL,6.235294117647059,14.076960545543107
01107,Pickens County,AL,93.52941176470588,NA
01109,Pike County,AL,NA,88.65075499269362
01111,Randolph County,AL,NA,21.773015099853872
01113,Russell County,AL,NA,92.54749147588895
01115,St. Clair County,AL,52.352941176470594,55.28494885533366
01117,Shelby County,AL,84.35294117647058,59.6687773989284
01119,Sumter County,AL,NA,94.10618606916708
01121,Talladega County,AL,32,58.74330248416951
01123,Tallapoosa County,AL,NA,69.94641987335606
01125,Tuscaloosa County,AL,3.7647058823529407,13.443740867023868
01127,Walker County,AL,85.41176470588235,93.4242571846079
01131,Wilcox County,AL,NA,70.9206039941549
01133,Winston County,AL,57.647058823529406,NA
02020,Anchorage Municipality,AK,54.58823529411765,81.19824646858255
02050,Bethel Census Area,AK,98,89.04042864101315
02090,Fairbanks North Star Borough,AK,NA,17.827569410618608
02110,Juneau City and Borough,AK,NA,97.1748660496834
02122,Kenai Peninsula Borough,AK,NA,91.3297613248904
02130,Ketchikan Gateway Borough,AK,NA,40.769605455431076
02170,Matanuska-Susitna Borough,AK,59.411764705882355,48.75791524598149
02180,Nome Census Area,AK,NA,99.51290793960058
04001,Apache County,AZ,26.47058823529412,76.37603507062835
04003,Cochise County,AZ,32.82352941176471,57.23331709693132
04005,Coconino County,AZ,1.1764705882352942,74.9147588894301
04007,Gila County,AZ,89.05882352941177,76.18119824646858
04009,Graham County,AZ,81.76470588235294,52.995616171456405
04012,La Paz County,AZ,NA,66.09839259620068
04013,Maricopa County,AZ,37.76470588235294,83.48757915245982
04015,Mohave County,AZ,56.00000000000001,60.204578665367755
04017,Navajo County,AZ,NA,73.30735509011204
04019,Pima County,AZ,52.94117647058824,76.3273258645884
04021,Pinal County,AZ,22.11764705882353,85.28981977593764
04023,Santa Cruz County,AZ,NA,25.913297613248904
04025,Yavapai County,AZ,NA,78.90891378470532
04027,Yuma County,AZ,74.23529411764706,8.18314661471018
05005,Baxter County,AR,NA,81.44179249878228
05007,Benton County,AR,NA,36.87286897223575
05009,Boone County,AR,NA,21.821724305893813
05015,Carroll County,AR,NA,10.0828056502679
05017,Chicot County,AR,NA,98.92839746712129
05019,Clark County,AR,NA,20.506575742815393
05021,Clay County,AR,NA,68.24159766195811
05023,Cleburne County,AR,NA,68.63127131027764
05029,Conway County,AR,NA,77.88602045786654
05031,Craighead County,AR,NA,14.417924987822698
05033,Crawford County,AR,NA,11.00828056502679
05035,Crittenden County,AR,NA,15.927910375060886
05039,Dallas County,AR,NA,82.90306867998052
05043,Drew County,AR,NA,95.37262542620554
05045,Faulkner County,AR,NA,89.28397467121286
05049,Fulton County,AR,NA,82.6595226497808
05051,Garland County,AR,NA,86.79980516317583
05055,Greene County,AR,NA,1.8509498295177789
05059,Hot Spring County,AR,NA,65.46517291768144
05063,Independence County,AR,NA,39.74671212859231
05067,Jackson County,AR,NA,38.188017535314174
05069,Jefferson County,AR,NA,37.26254262055528
05081,Little River County,AR,NA,42.036044812469555
05083,Logan County,AR,NA,95.22649780808572
05085,Lonoke County,AR,NA,5.893813930832927
05091,Miller County,AR,NA,61.22747199220653
05093,Mississippi County,AR,NA,6.137359961032636
05095,Monroe County,AR,NA,86.4101315148563
05103,Ouachita County,AR,NA,57.67169995129079
05111,Poinsett County,AR,NA,84.41305406721871
05113,Polk County,AR,NA,74.18412079883097
05115,Pope County,AR,NA,89.38139308329274
05119,Pulaski County,AR,NA,87.04335119337556
05121,Randolph County,AR,NA,33.51193375547978
05123,St. Francis County,AR,NA,85.72820263029712
05125,Saline County,AR,NA,64.10131514856307
05127,Scott County,AR,NA,48.22211397954214
05129,Searcy County,AR,NA,85.38723818801753
05131,Sebastian County,AR,NA,11.787627861665854
05139,Union County,AR,NA,47.44276668290307
05141,Van Buren County,AR,NA,33.804188991719435
05143,Washington County,AR,NA,12.372138334145154
05145,White County,AR,NA,15.73307355090112
05149,Yell County,AR,NA,32.78129566488066
06001,Alameda County,CA,84.70588235294117,76.42474427666829
06005,Amador County,CA,NA,69.99512907939601
06007,Butte County,CA,34.23529411764706,55.57720409157331
06009,Calaveras County,CA,NA,74.03799318071115
06011,Colusa County,CA,78,47.10180224062348
06013,Contra Costa County,CA,92.23529411764706,78.61665854846565
06015,Del Norte County,CA,NA,93.6678032148076
06017,El Dorado County,CA,70.82352941176471,80.85728202630297
06019,Fresno County,CA,32.70588235294118,62.39649293716513
06021,Glenn County,CA,NA,27.228446176327324
06023,Humboldt County,CA,32.11764705882353,92.10910862152947
06025,Imperial County,CA,66.23529411764706,5.99123234291281
06027,Inyo County,CA,NA,28.59230394544569
06029,Kern County,CA,38,39.405747686312715
06031,Kings County,CA,14.352941176470587,26.595226497808085
06033,Lake County,CA,57.88235294117647,88.11495372625427
06035,Lassen County,CA,NA,63.32196785192401
06037,Los Angeles County,CA,17.529411764705884,54.89527520701413
06039,Madera County,CA,4.823529411764706,37.554797856794934
06041,Marin County,CA,73.52941176470588,67.12128592303945
06043,Mariposa County,CA,NA,86.65367754505601
06045,Mendocino County,CA,84.58823529411764,71.89478811495373
06047,Merced County,CA,30.705882352941178,13.687286897223574
06049,Modoc County,CA,NA,64.73453482708233
06053,Monterey County,CA,37.05882352941177,24.354603019970774
06055,Napa County,CA,98.94117647058823,95.95713589868485
06057,Nevada County,CA,81.29411764705883,79.29858743302484
06059,Orange County,CA,25.176470588235293,67.94934242571846
06061,Placer County,CA,78.58823529411765,84.5104724792986
06065,Riverside County,CA,28.000000000000004,43.98441305406722
06067,Sacramento County,CA,37.411764705882355,80.56502679006331
06069,San Benito County,CA,NA,76.13248904042864
06071,San Bernardino County,CA,20.352941176470587,56.89235265465173
06073,San Diego County,CA,89.64705882352942,60.10716025328787
06075,San Francisco County,CA,66.94117647058823,72.62542620555284
06077,San Joaquin County,CA,28.705882352941174,41.45153433999026
06079,San Luis Obispo County,CA,22.235294117647058,44.03312226010716
06081,San Mateo County,CA,17.058823529411764,79.88309790550414
06083,Santa Barbara County,CA,0.9411764705882352,77.54505601558694
06085,Santa Clara County,CA,38.82352941176471,83.19532391622016
06087,Santa Cruz County,CA,NA,57.963955187530445
06089,Shasta County,CA,NA,34.72966390647832
06093,Siskiyou County,CA,90.47058823529412,2.386751095957136
06095,Solano County,CA,82.82352941176471,93.71651242084754
06097,Sonoma County,CA,5.294117647058823,89.18655625913297
06099,Stanislaus County,CA,52.23529411764706,29.27423283000487
06101,Sutter County,CA,87.6470588235294,87.5791524598149
06103,Tehama County,CA,NA,70.48222113979541
06105,Trinity County,CA,NA,99.61032635168047
06107,Tulare County,CA,0.4705882352941176,8.52411105698977
06109,Tuolumne County,CA,NA,75.54797856794934
06111,Ventura County,CA,45.41176470588235,58.79201169020944
06113,Yolo County,CA,88.47058823529412,95.51875304432538
06115,Yuba County,CA,41.05882352941176,86.02045786653677
08001,Adams County,CO,35.17647058823529,52.94690696541646
08005,Arapahoe County,CO,72.11764705882354,43.83828543594739
08013,Boulder County,CO,52.470588235294116,2.8738431563565516
08014,Broomfield County,CO,86.47058823529412,13.248904042864101
08015,Chaffee County,CO,NA,49.245007306380906
08029,Delta County,CO,NA,65.31904529956162
08031,Denver County,CO,48.35294117647059,40.72089624939114
08035,Douglas County,CO,74.70588235294117,57.42815392109109
08037,Eagle County,CO,NA,90.64783244033123
08041,El Paso County,CO,44.11764705882353,65.66000974184121
08043,Fremont County,CO,NA,51.04724792985874
08045,Garfield County,CO,NA,82.31855820750121
08051,Gunnison County,CO,97.05882352941177,70.18996590355577
08055,Huerfano County,CO,NA,92.01169020944958
08059,Jefferson County,CO,43.1764705882353,62.591329761324886
08067,La Plata County,CO,NA,79.54213346322454
08069,Larimer County,CO,70.58823529411765,60.74037993180711
08071,Las Animas County,CO,NA,58.84072089624939
08075,Logan County,CO,90.70588235294117,70.96931320019483
08077,Mesa County,CO,NA,8.231855820750123
08081,Moffat County,CO,95.6470588235294,93.57038480272772
08083,Montezuma County,CO,NA,25.718460789089136
08085,Montrose County,CO,NA,12.713102776424744
08087,Morgan County,CO,49.1764705882353,NA
08089,Otero County,CO,NA,59.961032635168046
08093,Park County,CO,NA,92.88845591816853
08099,Prowers County,CO,NA,71.40769605455432
08101,Pueblo County,CO,NA,54.40818314661471
08105,Rio Grande County,CO,NA,98.44130540672187
08107,Routt County,CO,NA,79.49342425718461
08111,San Juan County,CO,NA,94.30102289332683
08123,Weld County,CO,66.47058823529412,73.84315635655139
09001,Fairfield County,CT,7.0588235294117645,41.013151485630786
09003,Hartford County,CT,49.88235294117647,66.19581100828057
09005,Litchfield County,CT,13.411764705882353,16.707257671699953
09007,Middlesex County,CT,20.11764705882353,81.78275694106186
09009,New Haven County,CT,26.35294117647059,46.760837798343886
09011,New London County,CT,NA,6.478324403312226
09013,Tolland County,CT,61.882352941176464,69.65416463711641
09015,Windham County,CT,7.882352941176471,28.981977593765222
10001,Kent County,DE,NA,27.03360935216756
10003,New Castle County,DE,1.0588235294117647,87.67657087189478
10005,Sussex County,DE,11.294117647058824,11.98246468582562
11001,District of Columbia,DC,65.41176470588236,65.36775450560157
12001,Alachua County,FL,93.05882352941175,64.39357038480273
12003,Baker County,FL,NA,9.547004383828543
12005,Bay County,FL,NA,43.643448611787626
12007,Bradford County,FL,74.58823529411764,76.47345348270824
12009,Brevard County,FL,7.647058823529412,58.01266439357039
12011,Broward County,FL,5.0588235294117645,43.546030199707744
12013,Calhoun County,FL,NA,73.64831953239162
12015,Charlotte County,FL,38.23529411764706,85.97174866049684
12017,Citrus County,FL,20.235294117647058,70.72576716999512
12019,Clay County,FL,5.529411764705882,61.471018022406234
12021,Collier County,FL,2.705882352941176,58.06137359961032
12023,Columbia County,FL,21.88235294117647,55.47978567949342
12027,DeSoto County,FL,NA,22.503653190452997
12029,Dixie County,FL,NA,80.95470043838286
12031,Duval County,FL,18.58823529411765,40.428641013151484
12033,Escambia County,FL,4.352941176470588,26.79006332196785
12035,Flagler County,FL,NA,40.96444227959084
12039,Gadsden County,FL,NA,7.501217730150998
12041,Gilchrist County,FL,NA,90.30686799805163
12043,Glades County,FL,NA,86.26400389673648
12051,Hendry County,FL,57.529411764705884,45.20214320506576
12053,Hernando County,FL,NA,56.600097418412076
12055,Highlands County,FL,63.76470588235294,74.23283000487092
12057,Hillsborough County,FL,33.52941176470588,59.814905017048225
12061,Indian River County,FL,NA,21.96785192401364
12063,Jackson County,FL,NA,68.72868972235753
12065,Jefferson County,FL,NA,73.79444715051144
12069,Lake County,FL,3.4117647058823533,49.391134924500726
12071,Lee County,FL,49.29411764705882,30.297126156843646
12073,Leon County,FL,NA,75.64539698002922
12075,Levy County,FL,NA,94.44715051144667
12081,Manatee County,FL,78.23529411764706,66.87773989283976
12083,Marion County,FL,45.1764705882353,25.182659522649782
12085,Martin County,FL,NA,89.86848514369215
12086,Miami-Dade County,FL,25.294117647058822,34.63224549439844
