fips,county,state,Under18,Over18
01005,Barbour County,AL,90.44585987261146,NA
01031,Coffee County,AL,83.2271762208068,NA
01045,Dale County,AL,81.31634819532908,NA
01051,Elmore County,AL,NA,70.52341597796143
01073,Jefferson County,AL,24.416135881104033,22.31404958677686
01081,Lee County,AL,59.23566878980891,NA
01093,Marion County,AL,88.53503184713377,NA
01097,Mobile County,AL,12.101910828025478,NA
01101,Montgomery County,AL,NA,46.005509641873275
01103,Morgan County,AL,36.30573248407643,NA
01113,Russell County,AL,76.64543524416136,NA
01127,Walker County,AL,NA,73.00275482093664
02020,Anchorage Municipality,AK,NA,38.01652892561984
02130,Ketchikan Gateway Borough,AK,NA,95.31680440771349
04001,Apache County,AZ,NA,65.0137741046832
04005,Coconino County,AZ,17.197452229299362,51.515151515151516
04009,Graham County,AZ,NA,87.87878787878788
04013,Maricopa County,AZ,27.176220806794056,15.426997245179063
04015,Mohave County,AZ,70.48832271762208,NA
04019,Pima County,AZ,4.670912951167728,23.415977961432507
04021,Pinal County,AZ,11.8895966029724,NA
06001,Alameda County,CA,31.422505307855626,16.528925619834713
06007,Butte County,CA,20.169851380042463,NA
06013,Contra Costa County,CA,40.339702760084926,50.413223140495866
06019,Fresno County,CA,19.32059447983015,NA
06023,Humboldt County,CA,69.00212314225053,NA
06025,Imperial County,CA,37.79193205944799,NA
06029,Kern County,CA,58.174097664543524,41.32231404958678
06031,Kings County,CA,NA,88.1542699724518
06037,Los Angeles County,CA,9.766454352441615,9.366391184573002
06039,Madera County,CA,NA,66.11570247933885
06059,Orange County,CA,57.324840764331206,0
06065,Riverside County,CA,25.477707006369428,0.8264462809917356
06067,Sacramento County,CA,3.821656050955414,27.823691460055095
06071,San Bernardino County,CA,4.033970276008493,11.294765840220386
06073,San Diego County,CA,35.24416135881104,5.785123966942149
06075,San Francisco County,CA,12.526539278131635,NA
06077,San Joaquin County,CA,25.902335456475583,16.804407713498623
06079,San Luis Obispo County,CA,NA,44.90358126721763
06081,San Mateo County,CA,15.286624203821656,NA
06083,Santa Barbara County,CA,16.13588110403397,NA
06085,Santa Clara County,CA,5.095541401273886,17.079889807162534
06089,Shasta County,CA,NA,57.57575757575758
06093,Siskiyou County,CA,88.32271762208069,NA
06097,Sonoma County,CA,NA,25.068870523415974
06099,Stanislaus County,CA,10.40339702760085,54.54545454545454
06101,Sutter County,CA,78.13163481953292,NA
06107,Tulare County,CA,63.69426751592356,29.201101928374655
06111,Ventura County,CA,45.010615711252655,NA
08001,Adams County,CO,7.43099787685775,68.59504132231406
08013,Boulder County,CO,51.80467091295117,47.107438016528924
08014,Broomfield County,CO,70.06369426751591,NA
08031,Denver County,CO,44.5859872611465,15.702479338842975
08035,Douglas County,CO,46.28450106157113,NA
08041,El Paso County,CO,28.02547770700637,NA
08045,Garfield County,CO,78.343949044586,NA
08059,Jefferson County,CO,27.60084925690021,22.03856749311295
08067,La Plata County,CO,98.93842887473461,NA
08069,Larimer County,CO,NA,66.39118457300276
08081,Moffat County,CO,92.78131634819533,NA
08083,Montezuma County,CO,91.71974522292994,NA
08099,Prowers County,CO,94.90445859872611,NA
