ZipCode,county,state,Adult,Retirement
35054,St. Clair County,AL,99.43181818181817,NA
35601,Morgan County,AL,14.772727272727273,NA
35633,Lauderdale County,AL,55.68181818181818,NA
35640,Morgan County,AL,NA,37.264150943396224
99507,Anchorage Municipality,AK,65.9090909090909,NA
99577,Anchorage Municipality,AK,73.86363636363636,NA
85007,Maricopa County,AZ,10.795454545454545,NA
85020,Maricopa County,AZ,39.20454545454545,NA
85128,Pinal County,AZ,NA,58.01886792452831
85201,Maricopa County,AZ,NA,34.43396226415094
85234,Maricopa County,AZ,65.3409090909091,NA
85353,Maricopa County,AZ,NA,79.71698113207547
85635,Cochise County,AZ,27.27272727272727,NA
85718,Pima County,AZ,85.79545454545455,NA
86403,Mohave County,AZ,48.29545454545455,NA
72143,White County,AR,NA,10.377358490566039
90266,Los Angeles County,CA,NA,50
90304,Los Angeles County,CA,92.04545454545455,NA
90716,Los Angeles County,CA,NA,96.69811320754717
91406,Los Angeles County,CA,NA,39.62264150943396
91702,Los Angeles County,CA,NA,44.339622641509436
91765,Los Angeles County,CA,NA,54.24528301886793
92211,Riverside County,CA,NA,8.962264150943396
92240,Riverside County,CA,23.863636363636363,NA
92346,San Bernardino County,CA,NA,48.58490566037736
92407,San Bernardino County,CA,NA,51.886792452830186
92503,Riverside County,CA,21.022727272727273,NA
92505,Riverside County,CA,49.43181818181818,NA
92649,Orange County,CA,NA,64.62264150943396
92656,Orange County,CA,NA,80.66037735849056
92808,Orange County,CA,77.8409090909091,NA
93245,Kings County,CA,NA,71.69811320754717
93306,Kern County,CA,22.15909090909091,NA
93638,Madera County,CA,NA,79.24528301886792
93662,Fresno County,CA,NA,91.0377358490566
93703,Fresno County,CA,NA,85.84905660377359
93704,Fresno County,CA,NA,55.660377358490564
94501,Alameda County,CA,39.77272727272727,NA
94510,Solano County,CA,85.22727272727273,NA
94513,Contra Costa County,CA,35.79545454545455,NA
94538,Alameda County,CA,50,NA
95062,Santa Cruz County,CA,NA,77.35849056603774
95824,Sacramento County,CA,NA,62.735849056603776
80004,Jefferson County,CO,56.81818181818182,NA
80205,Denver County,CO,14.204545454545455,NA
80207,Denver County,CO,NA,70.28301886792453
80525,Larimer County,CO,NA,11.320754716981133
80918,El Paso County,CO,NA,34.90566037735849
80922,El Paso County,CO,56.25,NA
81008,Pueblo County,CO,NA,90.09433962264151
