ZipCode,county,state,Adult,Retirement,Geriatric
35007,Shelby County,AL,NA,NA,66.70454545454545
35016,Marshall County,AL,NA,NA,16.071428571428573
35022,Jefferson County,AL,NA,45.40909090909091,4.188311688311688
35023,Jefferson County,AL,NA,NA,23.75
35054,St. Clair County,AL,NA,NA,61.86688311688312
35055,Cullman County,AL,NA,58.27272727272727,23.295454545454543
35062,Jefferson County,AL,NA,NA,63.31168831168831
35068,Jefferson County,AL,NA,NA,84.67532467532467
35071,Jefferson County,AL,NA,NA,24.74025974025974
35077,Cullman County,AL,NA,62.590909090909086,NA
35111,Tuscaloosa County,AL,NA,NA,28.31168831168831
35114,Shelby County,AL,NA,NA,98.3603896103896
35115,Shelby County,AL,NA,NA,70.63311688311688
35117,Jefferson County,AL,NA,96.4090909090909,NA
35121,Blount County,AL,NA,44.86363636363636,NA
35124,Shelby County,AL,NA,66.77272727272727,34.659090909090914
35125,St. Clair County,AL,NA,65.36363636363637,28.6525974025974
35127,Jefferson County,AL,NA,82.5909090909091,75.43831168831169
35128,St. Clair County,AL,NA,NA,74.44805194805195
35133,Blount County,AL,NA,NA,90.2435064935065
35150,Talladega County,AL,NA,NA,17.75974025974026
35160,Talladega County,AL,NA,NA,8.620129870129869
35173,Jefferson County,AL,NA,NA,67.01298701298701
35175,Marshall County,AL,NA,NA,85.22727272727273
35179,Cullman County,AL,87.03125,NA,NA
35204,Jefferson County,AL,NA,86.72727272727273,NA
35205,Jefferson County,AL,65.15625,NA,NA
35209,Jefferson County,AL,NA,NA,33.06818181818182
35210,Jefferson County,AL,NA,NA,28.133116883116884
35213,Jefferson County,AL,NA,NA,78.78246753246754
35214,Jefferson County,AL,NA,NA,36.05519480519481
35215,Jefferson County,AL,NA,NA,10.324675324675326
35216,Jefferson County,AL,NA,43.68181818181818,NA
35226,Jefferson County,AL,48.125,NA,5.633116883116883
35234,Jefferson County,AL,NA,NA,94.67532467532467
35235,Jefferson County,AL,54.53125,NA,NA
35242,Shelby County,AL,NA,9.636363636363637,36.36363636363637
35243,Jefferson County,AL,NA,NA,97.80844155844156
35404,Tuscaloosa County,AL,NA,27.454545454545453,NA
35476,Tuscaloosa County,AL,NA,NA,26.37987012987013
35503,Walker County,AL,NA,NA,90.21103896103895
35504,Walker County,AL,NA,NA,21.67207792207792
35549,Walker County,AL,NA,NA,97.22402597402598
35555,Fayette County,AL,NA,NA,48.84740259740259
35565,Winston County,AL,NA,NA,26.37987012987013
35592,Lamar County,AL,NA,82.81818181818181,NA
35603,Morgan County,AL,NA,NA,6.8181818181818175
35611,Limestone County,AL,NA,NA,74.02597402597402
35622,Morgan County,AL,NA,NA,98.86363636363636
35630,Lauderdale County,AL,34.0625,NA,45.50324675324675
35633,Lauderdale County,AL,NA,NA,46.41233766233766
35634,Lauderdale County,AL,NA,NA,79.44805194805194
35646,Colbert County,AL,NA,NA,96.50974025974025
35652,Lauderdale County,AL,NA,NA,63.31168831168831
35661,Colbert County,AL,64.375,NA,NA
35672,Lawrence County,AL,77.03125,NA,NA
35674,Colbert County,AL,NA,NA,32.75974025974026
35749,Madison County,AL,NA,78.27272727272727,85.66558441558442
35750,Madison County,AL,NA,NA,41.36363636363637
35758,Madison County,AL,NA,NA,8.035714285714286
35763,Madison County,AL,NA,NA,37.02922077922078
35769,Jackson County,AL,NA,69.04545454545455,NA
35773,Madison County,AL,NA,NA,70.76298701298701
35803,Madison County,AL,NA,NA,30.957792207792206
35805,Madison County,AL,NA,NA,37.19155844155844
35806,Madison County,AL,NA,NA,22.435064935064936
35811,Madison County,AL,NA,NA,10.665584415584416
35816,Madison County,AL,NA,NA,88.13311688311688
