fips,county,state,Over18
01001,Autauga County,AL,NA
01003,Baldwin County,AL,43.932038834951456
01005,Barbour County,AL,NA
01007,Bibb County,AL,NA
01009,Blount County,AL,NA
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,58.98058252427184
01017,Chambers County,AL,NA
01019,Cherokee County,AL,NA
01021,Chilton County,AL,67.83980582524272
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,83.85922330097088
01033,Colbert County,AL,NA
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,NA
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,41.140776699029125
01045,Dale County,AL,83.7378640776699
01047,Dallas County,AL,54.73300970873787
01049,DeKalb County,AL,NA
01051,Elmore County,AL,NA
01053,Escambia County,AL,NA
01055,Etowah County,AL,58.13106796116505
01057,Fayette County,AL,NA
01059,Franklin County,AL,NA
01061,Geneva County,AL,NA
01063,Greene County,AL,NA
01065,Hale County,AL,NA
01067,Henry County,AL,NA
01069,Houston County,AL,50.36407766990292
01071,Jackson County,AL,NA
01073,Jefferson County,AL,26.21359223300971
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,NA
01079,Lawrence County,AL,NA
01081,Lee County,AL,29.61165048543689
01083,Limestone County,AL,NA
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,NA
01091,Marengo County,AL,NA
01093,Marion County,AL,NA
01095,Marshall County,AL,NA
01097,Mobile County,AL,3.8834951456310676
01099,Monroe County,AL,90.65533980582524
01101,Montgomery County,AL,10.194174757281553
01103,Morgan County,AL,NA
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,NA
01111,Randolph County,AL,NA
01113,Russell County,AL,NA
01115,St. Clair County,AL,NA
01117,Shelby County,AL,35.55825242718447
01119,Sumter County,AL,NA
01121,Talladega County,AL,56.310679611650485
01123,Tallapoosa County,AL,NA
01125,Tuscaloosa County,AL,45.75242718446602
01127,Walker County,AL,NA
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,81.31067961165049
02020,Anchorage Municipality,AK,41.62621359223301
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,51.577669902912625
02110,Juneau City and Borough,AK,NA
02122,Kenai Peninsula Borough,AK,NA
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,63.3495145631068
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,69.41747572815534
04003,Cochise County,AZ,NA
04005,Coconino County,AZ,15.4126213592233
04007,Gila County,AZ,NA
04009,Graham County,AZ,65.29126213592234
04012,La Paz County,AZ,95.87378640776699
04013,Maricopa County,AZ,15.291262135922329
04015,Mohave County,AZ,15.048543689320388
04017,Navajo County,AZ,NA
04019,Pima County,AZ,44.78155339805826
04021,Pinal County,AZ,14.199029126213592
04023,Santa Cruz County,AZ,81.55339805825243
04025,Yavapai County,AZ,17.111650485436893
04027,Yuma County,AZ,NA
05001,Arkansas County,AR,NA
05003,Ashley County,AR,NA
05005,Baxter County,AR,NA
05007,Benton County,AR,NA
