fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,8.977978543195935
01003,Baldwin County,AL,42.58373205741627,17.673630717108978
01005,Barbour County,AL,NA,32.072275550536425
01009,Blount County,AL,NA,56.29587803500847
01011,Bullock County,AL,NA,75.49407114624506
01013,Butler County,AL,NA,41.84076792772445
01015,Calhoun County,AL,NA,72.95313382269904
01017,Chambers County,AL,87.79904306220095,NA
01021,Chilton County,AL,83.01435406698565,49.40711462450593
01025,Clarke County,AL,NA,37.60587238848108
01027,Clay County,AL,NA,66.96781479390175
01031,Coffee County,AL,NA,12.648221343873518
01033,Colbert County,AL,88.51674641148325,18.972332015810274
01039,Covington County,AL,NA,77.41389045736872
01041,Crenshaw County,AL,NA,94.18407679277244
01043,Cullman County,AL,NA,32.467532467532465
01049,DeKalb County,AL,59.09090909090909,NA
01051,Elmore County,AL,NA,12.140033879164314
01053,Escambia County,AL,77.99043062200957,58.32862789384529
01055,Etowah County,AL,NA,16.431394692264256
01057,Fayette County,AL,NA,63.015245623941276
01061,Geneva County,AL,NA,51.439864483342745
01065,Hale County,AL,94.49760765550239,NA
01069,Houston County,AL,NA,5.307735742518351
01071,Jackson County,AL,91.6267942583732,NA
01073,Jefferson County,AL,36.124401913875595,39.75155279503105
01077,Lauderdale County,AL,NA,42.51835121400339
01081,Lee County,AL,NA,8.130999435347261
01089,Madison County,AL,18.660287081339714,20.77922077922078
01093,Marion County,AL,NA,42.57481648785997
01095,Marshall County,AL,49.282296650717704,0.2258610954263128
01097,Mobile County,AL,NA,13.777526821005083
01099,Monroe County,AL,NA,67.64539808018068
01101,Montgomery County,AL,29.904306220095695,50.931677018633536
01103,Morgan County,AL,37.32057416267943,58.498023715415016
01109,Pike County,AL,NA,32.6369282891022
01115,St. Clair County,AL,56.9377990430622,25.691699604743086
01117,Shelby County,AL,NA,46.35798983625071
01121,Talladega County,AL,44.97607655502392,53.19028797289667
01123,Tallapoosa County,AL,NA,58.723884810841334
01125,Tuscaloosa County,AL,NA,91.9819311123659
01127,Walker County,AL,NA,14.059853190287974
01133,Winston County,AL,NA,36.42010163749294
02020,Anchorage Municipality,AK,18.181818181818183,64.257481648786
02050,Bethel Census Area,AK,NA,94.35347261434218
02090,Fairbanks North Star Borough,AK,NA,63.63636363636363
02110,Juneau City and Borough,AK,NA,81.93111236589498
02122,Kenai Peninsula Borough,AK,NA,93.05477131564088
02130,Ketchikan Gateway Borough,AK,NA,72.72727272727273
02170,Matanuska-Susitna Borough,AK,NA,11.744776962168267
02220,Sitka City and Borough,AK,NA,62.90231507622812
02261,Valdez-Cordova Census Area,AK,NA,99.60474308300395
04001,Apache County,AZ,23.684210526315788,0.9599096555618294
04003,Cochise County,AZ,84.92822966507177,87.69057029926594
04005,Coconino County,AZ,42.3444976076555,39.29983060417843
04007,Gila County,AZ,NA,27.555053642010165
04012,La Paz County,AZ,NA,54.88424618859401
04013,Maricopa County,AZ,11.483253588516746,40.033879164313944
04015,Mohave County,AZ,NA,57.368718238283456
04017,Navajo County,AZ,NA,43.19593450028233
04019,Pima County,AZ,48.5645933014354,67.25014116318464
04021,Pinal County,AZ,NA,55.11010728402033
04023,Santa Cruz County,AZ,NA,58.046301524562395
04025,Yavapai County,AZ,NA,20.496894409937887
04027,Yuma County,AZ,NA,11.801242236024844
05005,Baxter County,AR,NA,11.236589497459063
05007,Benton County,AR,NA,15.13269339356296
05009,Boone County,AR,NA,53.077357425183514
05019,Clark County,AR,NA,84.07679277244495
05023,Cleburne County,AR,NA,22.586109542631284
05031,Craighead County,AR,NA,2.0327498588368154
05037,Cross County,AR,NA,95.53924336533032
05045,Faulkner County,AR,NA,26.990400903444385
05049,Fulton County,AR,NA,98.24957651044608
05051,Garland County,AR,NA,43.591191417278374
05069,Jefferson County,AR,NA,31.3382269904009
05085,Lonoke County,AR,NA,25.014116318464147
05095,Monroe County,AR,NA,93.11123658949747
05107,Phillips County,AR,NA,97.91078486730662
05111,Poinsett County,AR,NA,92.15132693393564
05119,Pulaski County,AR,NA,27.442123094297006
05125,Saline County,AR,NA,19.536984754376057
05139,Union County,AR,NA,54.60191981931113
05141,Van Buren County,AR,NA,89.66685488424618
05143,Washington County,AR,NA,38.79164313946923
05145,White County,AR,NA,20.214568040655
06001,Alameda County,CA,NA,47.600225861095424
06007,Butte County,CA,56.9377990430622,37.66233766233766
06009,Calaveras County,CA,NA,8.243929983060418
06011,Colusa County,CA,NA,76.3975155279503
06013,Contra Costa County,CA,8.133971291866029,49.18125352907962
